index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
101,"[-0.5664405226707458, -4.8410563468933105, -2.952603816986084, -3.340662956237793, -1.0727639198303223, -9.348505020141602, -4.155370235443115, -6.037298679351807, -1.0244616270065308, -1.6476885080337524, 2.1161720752716064, 0.5283160209655762, 5.59518575668335, 4.023835182189941]","[30, 30, 30]",<function relu at 0x00000262C54361E0>,1500,100,3.975825602096455,0.01
61,"[-0.031061694025993347, 0.7404794692993164, -0.6923210024833679, -0.7495449781417847, -7.130343437194824, -4.115476608276367, -0.013925135135650635, -9.601767539978027, 27.429533004760742, 7.368300914764404, -10.012250900268555, -7.3186492919921875, 4.6123504638671875, 5.690493583679199]",[50],<function elu at 0x00000262C5430E18>,1500,100,4.007627821045478,0.01
140,"[-0.51780766248703, -1.393803358078003, -4.319931507110596, -2.8996036052703857, -0.8387412428855896, 4.199752330780029, -1.083009958267212, 0.04733113944530487, -0.1564931422472, -1.7770265340805054, 1.56533944606781, 3.187138319015503, 2.576043128967285, 5.044897556304932]",[75],<function relu at 0x00000262C54361E0>,1500,50,4.426536738281763,0.01
108,"[-0.08564320206642151, 1.2661919593811035, 1.1687664985656738, -2.5582945346832275, -2.612499475479126, 0.25472569465637207, -2.3332302570343018, -2.844393730163574, 0.6716911792755127, 1.2769148349761963, 0.9710285663604736, 6.455875396728516, 0.47679567337036133, 1.6305913925170898]",[30],<function relu at 0x00000262C54361E0>,1500,50,4.687129832944366,0.01
68,"[0.22712135314941406, -0.3656865656375885, 1.7875566482543945, 0.07514044642448425, -7.116896152496338, -6.749384880065918, 1.4671496152877808, 16.569725036621094, -9.62148666381836, 4.981940746307373, 4.950533866882324, -8.09080982208252, 7.532467365264893, 2.4619545936584473]",[75],<function elu at 0x00000262C5430E18>,1500,50,4.928225193677581,0.01
116,"[0.08429956436157227, 1.5699987411499023, 0.9425888061523438, -3.8495516777038574, -3.110410690307617, 2.322453022003174, 2.322768449783325, 3.6479220390319824, 3.071417808532715, 4.698134422302246, 3.498277425765991, 5.586616516113281, 4.534886360168457, 5.901784420013428]","[10, 10, 10]",<function relu at 0x00000262C54361E0>,1500,50,5.2694138356999005,0.01
126,"[0.37913912534713745, 1.090874433517456, 1.2104425430297852, -2.2931554317474365, -2.975990056991577, 1.2632520198822021, 2.5871050357818604, 5.179256439208984, 5.676661491394043, 5.120001316070557, 3.8904244899749756, 5.180294036865234, 1.5917739868164062, 1.2193799018859863]",[25],<function relu at 0x00000262C54361E0>,1500,150,5.288695791902941,0.01
30,"[-0.6448268890380859, -4.742736339569092, -2.3797988891601562, -3.5697438716888428, -9.109074592590332, 6.032785892486572, -12.904561042785645, 4.285064220428467, 11.582598686218262, -4.720849990844727, 6.329854488372803, -2.311549663543701, -2.3101260662078857, -10.02496337890625]","[30, 30, 30]",<function elu at 0x00000262C5430E18>,1500,150,5.330656674478839,0.01
132,"[0.2442343533039093, -0.1192762553691864, 1.0471711158752441, 2.4125242233276367, -1.862062692642212, -0.40543708205223083, 0.6133966445922852, 2.0137698650360107, 4.6745171546936035, 5.355563163757324, 9.730015754699707, 9.530184745788574, 7.724433422088623, 8.660334587097168]",[50],<function relu at 0x00000262C54361E0>,1500,50,5.484536577844137,0.01
52,"[-0.0806785523891449, 0.8983544111251831, 1.9038079977035522, 3.4661664962768555, -2.02522873878479, -2.893249034881592, -3.122257947921753, -1.0902462005615234, 1.9940022230148315, 1.374574065208435, 1.3732463121414185, 3.423024892807007, 3.9900729656219482, 5.374402046203613]",[25],<function elu at 0x00000262C5430E18>,1500,50,5.679744615592149,0.01
3,"[-0.26739126443862915, -0.4576181173324585, 0.08796586096286774, 0.5373619198799133, 1.2309677600860596, 1.4002622365951538, 1.7140311002731323, 1.0340898036956787, 1.3762768507003784, 2.0591824054718018, 2.091834783554077, 2.9921762943267822, 1.898640513420105, 1.3402400016784668]",[10],<function elu at 0x00000262C5430E18>,1500,200,5.7757076646435355,0.001
