index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
275,"[0.10430550575256348, -1.0158805847167969, -2.562525987625122, -4.385799407958984, -5.647836685180664, -3.1092703342437744, -1.1880905628204346, 1.4694797992706299, 3.5382142066955566, 5.809545993804932, 2.701395034790039, 0.25662076473236084, 0.2197141945362091, 1.785400390625]","[10, 10, 10]",<function relu at 0x000002392080B1E0>,1000,150,5.020314507026519,0.01
131,"[0.10430550575256348, -1.0158805847167969, -2.562525987625122, -4.385799407958984, -5.647836685180664, -3.1092703342437744, -1.1880905628204346, 1.4694797992706299, 3.5382142066955566, 5.809545993804932, 2.701395034790039, 0.25662076473236084, 0.2197141945362091, 1.785400390625]","[10, 10, 10]",<function elu at 0x0000023920809E18>,1000,150,5.020314507026519,0.01
135,"[-0.1210072785615921, -1.0475432872772217, -2.3329381942749023, -3.79838490486145, -4.361807346343994, -2.576690435409546, -0.8520938158035278, -0.664273738861084, -0.8265011310577393, -1.6848254203796387, -5.211952209472656, -2.981175184249878, -1.9369759559631348, -1.3168567419052124]","[10, 10, 10]",<function elu at 0x0000023920809E18>,500,150,5.3391454528365845,0.01
279,"[-0.1210072785615921, -1.0475432872772217, -2.3329381942749023, -3.79838490486145, -4.361807346343994, -2.576690435409546, -0.8520938158035278, -0.664273738861084, -0.8265011310577393, -1.6848254203796387, -5.211952209472656, -2.981175184249878, -1.9369759559631348, -1.3168567419052124]","[10, 10, 10]",<function relu at 0x000002392080B1E0>,500,150,5.3391454528365845,0.01
132,"[0.2667846381664276, -0.7654323577880859, -1.6531543731689453, -0.664519190788269, -1.1211007833480835, -1.512775182723999, -3.9428632259368896, -5.440289497375488, -4.197876930236816, -3.903498649597168, 1.4938812255859375, 3.9479939937591553, 2.3952035903930664, -2.5012834072113037]","[10, 10, 10]",<function elu at 0x0000023920809E18>,500,50,6.308865184207747,0.01
276,"[0.2667846381664276, -0.7654323577880859, -1.6531543731689453, -0.664519190788269, -1.1211007833480835, -1.512775182723999, -3.9428632259368896, -5.440289497375488, -4.197876930236816, -3.903498649597168, 1.4938812255859375, 3.9479939937591553, 2.3952035903930664, -2.5012834072113037]","[10, 10, 10]",<function relu at 0x000002392080B1E0>,500,50,6.308865184207747,0.01
54,"[-0.04733100160956383, -1.4392529726028442, -0.875911295413971, -1.1362775564193726, -1.621012568473816, -1.0328052043914795, -1.9561461210250854, -2.177081823348999, -1.4374611377716064, -1.1594911813735962, -1.3998397588729858, -0.14880719780921936, -0.9443435072898865, 0.3213269114494324]","[10, 10]",<function elu at 0x0000023920809E18>,500,250,6.404849597660221,0.001
198,"[-0.04733100160956383, -1.4392529726028442, -0.875911295413971, -1.1362775564193726, -1.621012568473816, -1.0328052043914795, -1.9561461210250854, -2.177081823348999, -1.4374611377716064, -1.1594911813735962, -1.3998397588729858, -0.14880719780921936, -0.9443435072898865, 0.3213269114494324]","[10, 10]",<function relu at 0x000002392080B1E0>,500,250,6.404849597660221,0.001
272,"[0.18025803565979004, -0.7552647590637207, -1.8659638166427612, -0.07224404811859131, -0.058267176151275635, -2.099557399749756, -6.03623104095459, -8.088093757629395, -5.802298545837402, -4.424251556396484, 0.6646567583084106, 2.958065986633301, 1.0924934148788452, -1.915561556816101]","[10, 10, 10]",<function relu at 0x000002392080B1E0>,1000,50,6.418907785172695,0.01
128,"[0.18025803565979004, -0.7552647590637207, -1.8659638166427612, -0.07224404811859131, -0.058267176151275635, -2.099557399749756, -6.03623104095459, -8.088093757629395, -5.802298545837402, -4.424251556396484, 0.6646567583084106, 2.958065986633301, 1.0924934148788452, -1.915561556816101]","[10, 10, 10]",<function elu at 0x0000023920809E18>,1000,50,6.418907785172695,0.01
50,"[-0.11131040751934052, -1.5777682065963745, -0.5952932834625244, -0.7946324348449707, -1.0518839359283447, -1.3718363046646118, -3.0817513465881348, -4.381635665893555, -2.2825348377227783, -2.5723376274108887, -0.7971050143241882, -0.6036497950553894, -0.6083996891975403, -0.18240998685359955]","[10, 10]",<function elu at 0x0000023920809E18>,1000,250,6.443764359910955,0.001
194,"[-0.11131040751934052, -1.5777682065963745, -0.5952932834625244, -0.7946324348449707, -1.0518839359283447, -1.3718363046646118, -3.0817513465881348, -4.381635665893555, -2.2825348377227783, -2.5723376274108887, -0.7971050143241882, -0.6036497950553894, -0.6083996891975403, -0.18240998685359955]","[10, 10]",<function relu at 0x000002392080B1E0>,1000,250,6.443764359910955,0.001
22,"[-0.47612714767456055, -1.2075355052947998, -0.9205123782157898, -1.654789924621582, -0.672088086605072, -0.3456631898880005, -0.32385188341140747, -1.8194527626037598, -1.8261572122573853, -3.2851524353027344, -2.6165356636047363, -3.074272871017456, -2.7349441051483154, -1.917654037475586]",[10],<function elu at 0x0000023920809E18>,500,250,6.744948343676691,0.0001
166,"[-0.47612714767456055, -1.2075355052947998, -0.9205123782157898, -1.654789924621582, -0.672088086605072, -0.3456631898880005, -0.32385188341140747, -1.8194527626037598, -1.8261572122573853, -3.2851524353027344, -2.6165356636047363, -3.074272871017456, -2.7349441051483154, -1.917654037475586]",[10],<function relu at 0x000002392080B1E0>,500,250,6.744948343676691,0.0001
199,"[0.060445480048656464, 0.020121119916439056, -0.11979281157255173, -0.4720926582813263, -1.1123764514923096, -1.7743864059448242, -1.4859024286270142, -3.036503553390503, -3.015693426132202, -3.887356996536255, -4.946876525878906, -5.2731852531433105, -4.4636640548706055, -3.509265661239624]","[10, 10]",<function relu at 0x000002392080B1E0>,500,150,6.838377589178672,0.001
55,"[0.060445480048656464, 0.020121119916439056, -0.11979281157255173, -0.4720926582813263, -1.1123764514923096, -1.7743864059448242, -1.4859024286270142, -3.036503553390503, -3.015693426132202, -3.887356996536255, -4.946876525878906, -5.2731852531433105, -4.4636640548706055, -3.509265661239624]","[10, 10]",<function elu at 0x0000023920809E18>,500,150,6.838377589178672,0.001
248,"[0.0912407636642456, -0.31590721011161804, -0.5967332124710083, 0.24355730414390564, -0.23313751816749573, -3.24334454536438, -0.9199397563934326, -1.1981502771377563, -1.4138988256454468, 0.38099780678749084, 1.4111707210540771, 4.727008819580078, 3.072978973388672, 5.9655842781066895]",[30],<function relu at 0x000002392080B1E0>,1000,50,6.868216058974672,0.01
104,"[0.0912407636642456, -0.31590721011161804, -0.5967332124710083, 0.24355730414390564, -0.23313751816749573, -3.24334454536438, -0.9199397563934326, -1.1981502771377563, -1.4138988256454468, 0.38099780678749084, 1.4111707210540771, 4.727008819580078, 3.072978973388672, 5.9655842781066895]",[30],<function elu at 0x0000023920809E18>,1000,50,6.868216058974672,0.01
