index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
9,"[-1.2547330856323242, -0.32160696387290955, -0.8794633746147156, -1.0868353843688965, 0.0677894800901413, 0.2573375105857849, -0.14208422601222992, -0.5861244201660156, 0.6616347432136536, 2.848118782043457, 6.536886215209961, 10.906493186950684, 15.558023452758789, 18.207427978515625]","[10, 10, 10]",<function elu at 0x00000244399ABE18>,1000,100,7.7059918675386925,0.001
11,"[-1.1834049224853516, -0.1960867941379547, -0.4239528477191925, -0.008571655489504337, 0.7752886414527893, 1.8127950429916382, 1.5028020143508911, 2.4761393070220947, 5.236186504364014, 9.68196964263916, 13.32676887512207, 16.466217041015625, 19.6998233795166, 21.38280487060547]","[10, 10, 10]",<function elu at 0x00000244399ABE18>,1500,100,8.402404392145069,0.001
24,"[-0.8991957306861877, 0.48583167791366577, 2.108793020248413, 5.401880741119385, -0.9583354592323303, -3.6904187202453613, -2.1470139026641846, -0.6302464604377747, 0.8200773596763611, 0.4401397109031677, 0.9523939490318298, 1.5604248046875, 3.420504570007324, 2.241823196411133]","[10, 10, 10]",<function relu at 0x00000244399A91E0>,1000,50,8.587161101310267,0.001
26,"[-1.134986400604248, 0.33562445640563965, 2.344791889190674, 6.397834300994873, -0.5625447630882263, -3.5348496437072754, -2.6239771842956543, -1.516655445098877, 0.2062433362007141, -0.934102475643158, -0.004203736782073975, 1.2574090957641602, 3.6607370376586914, 2.415146827697754]","[10, 10, 10]",<function relu at 0x00000244399A91E0>,1500,50,8.7622856941466,0.001
25,"[-0.7347420454025269, 0.7826411724090576, 0.8828116655349731, 1.2194017171859741, 2.2206215858459473, 1.626090168952942, 1.5125926733016968, 0.4020688235759735, -0.3780621588230133, -3.876999616622925, -5.048551082611084, -6.996499538421631, -7.846522808074951, -10.187211990356445]","[10, 10, 10]",<function relu at 0x00000244399A91E0>,1000,100,9.076145120022767,0.001
4,"[-0.5156046152114868, -0.27907466888427734, 1.0039958953857422, 2.4489028453826904, 4.772152900695801, 2.430605411529541, -6.108842849731445, -4.410506725311279, -6.905491828918457, 3.350611925125122, 6.27964448928833, 5.5772929191589355, 4.641392707824707, 2.0130550861358643]","[30, 30, 30]",<function elu at 0x00000244399ABE18>,1000,50,9.189163580218429,0.01
27,"[-0.7815091609954834, 0.9551904201507568, 1.1581902503967285, 1.5339419841766357, 2.323122978210449, 1.7059051990509033, 1.7847802639007568, 0.49665260314941406, 0.08354876935482025, -3.068155288696289, -4.136566162109375, -6.05668830871582, -6.443252086639404, -8.273825645446777]","[10, 10, 10]",<function relu at 0x00000244399A91E0>,1500,100,9.224724573541353,0.001
14,"[-0.5932589769363403, 0.6263251304626465, 0.8354288339614868, 2.586615800857544, 4.026889801025391, 3.3834054470062256, 0.5152827501296997, -6.318234920501709, -13.604141235351562, -20.340900421142578, -26.7281551361084, -32.129634857177734, -37.40303421020508, -42.9246711730957]","[10, 10, 10]",<function elu at 0x00000244399ABE18>,1500,50,9.639927329589803,0.01
10,"[-0.8775033950805664, -0.340871125459671, -0.14963588118553162, 2.181504487991333, 4.264898300170898, 3.672677993774414, 3.2371270656585693, -0.6119731664657593, -0.271746963262558, 3.383758306503296, 5.105186462402344, 9.567112922668457, 12.291945457458496, 10.878159523010254]","[10, 10, 10]",<function elu at 0x00000244399ABE18>,1500,50,9.655309107027398,0.001
12,"[-0.659630298614502, 0.2682097852230072, 0.4882887899875641, 1.872713327407837, 3.5338685512542725, 4.235880374908447, 2.3514883518218994, -2.9176106452941895, -9.769561767578125, -16.873146057128906, -23.438222885131836, -28.78784942626953, -34.33366012573242, -39.49262237548828]","[10, 10, 10]",<function elu at 0x00000244399ABE18>,1000,50,9.719788464184115,0.01
