index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
21,"[0.24342668056488037, -0.190301313996315, -0.9442039132118225, 0.3783864974975586, 0.2441272735595703, 1.9238346815109253, 2.7412493228912354, 2.8465473651885986, 3.754117250442505, 5.604636192321777, 6.230526447296143, 10.091845512390137, 10.40168571472168, 9.149295806884766]",[100],<function elu at 0x0000024E22A52E18>,1000,100,3.1589649332464957,0.0005
93,"[0.24342668056488037, -0.190301313996315, -0.9442039132118225, 0.3783864974975586, 0.2441272735595703, 1.9238346815109253, 2.7412493228912354, 2.8465473651885986, 3.754117250442505, 5.604636192321777, 6.230526447296143, 10.091845512390137, 10.40168571472168, 9.149295806884766]",[100],<function relu at 0x0000024E22A681E0>,1000,100,3.1589649332464957,0.0005
134,"[0.12910981476306915, -0.35815519094467163, -0.5763577818870544, -1.005333662033081, -0.23494210839271545, -0.6903795599937439, 0.3792923390865326, 1.2299388647079468, 0.6474671959877014, 0.23962673544883728, 0.722412645816803, 0.7467171549797058, 1.1898105144500732, 0.7375568747520447]",[1000],<function relu at 0x0000024E22A681E0>,500,250,3.1782926204393114,0.005
62,"[0.12910981476306915, -0.35815519094467163, -0.5763577818870544, -1.005333662033081, -0.23494210839271545, -0.6903795599937439, 0.3792923390865326, 1.2299388647079468, 0.6474671959877014, 0.23962673544883728, 0.722412645816803, 0.7467171549797058, 1.1898105144500732, 0.7375568747520447]",[1000],<function elu at 0x0000024E22A52E18>,500,250,3.1782926204393114,0.005
6,"[0.21876749396324158, -0.09486251324415207, -0.6716264486312866, 0.30426132678985596, 0.1814042031764984, 1.3912951946258545, 2.0357065200805664, 3.6977617740631104, 5.979834079742432, 7.018287181854248, 9.049440383911133, 11.496404647827148, 9.953473091125488, 9.071904182434082]",[100],<function elu at 0x0000024E22A52E18>,500,100,3.2103201820225666,0.001
78,"[0.21876749396324158, -0.09486251324415207, -0.6716264486312866, 0.30426132678985596, 0.1814042031764984, 1.3912951946258545, 2.0357065200805664, 3.6977617740631104, 5.979834079742432, 7.018287181854248, 9.049440383911133, 11.496404647827148, 9.953473091125488, 9.071904182434082]",[100],<function relu at 0x0000024E22A681E0>,500,100,3.2103201820225666,0.001
90,"[0.28379327058792114, 0.005008126609027386, -0.8012937903404236, 0.20299938321113586, 0.04212970659136772, 0.6050834655761719, 1.353957176208496, 1.5751293897628784, 2.8254647254943848, 4.8222150802612305, 5.38638973236084, 8.084859848022461, 7.2109293937683105, 6.275778770446777]",[100],<function relu at 0x0000024E22A681E0>,500,100,3.2125767824056175,0.0005
18,"[0.28379327058792114, 0.005008126609027386, -0.8012937903404236, 0.20299938321113586, 0.04212970659136772, 0.6050834655761719, 1.353957176208496, 1.5751293897628784, 2.8254647254943848, 4.8222150802612305, 5.38638973236084, 8.084859848022461, 7.2109293937683105, 6.275778770446777]",[100],<function elu at 0x0000024E22A52E18>,500,100,3.2125767824056175,0.0005
11,"[0.21705757081508636, -0.28836190700531006, -0.53879314661026, 1.329762578010559, -0.5171639323234558, 0.48154956102371216, 1.634871482849121, 2.8176560401916504, 6.3870134353637695, 10.857609748840332, 9.373499870300293, 9.526261329650879, 5.289647102355957, 3.6406824588775635]",[100],<function elu at 0x0000024E22A52E18>,1000,250,3.214103810205888,0.001
83,"[0.21705757081508636, -0.28836190700531006, -0.53879314661026, 1.329762578010559, -0.5171639323234558, 0.48154956102371216, 1.634871482849121, 2.8176560401916504, 6.3870134353637695, 10.857609748840332, 9.373499870300293, 9.526261329650879, 5.289647102355957, 3.6406824588775635]",[100],<function relu at 0x0000024E22A681E0>,1000,250,3.214103810205888,0.001
94,"[0.27878111600875854, -0.12270526587963104, -0.5810954570770264, 0.8588389754295349, 0.5696772933006287, 1.1557788848876953, 2.526155710220337, 2.951965093612671, 7.118967056274414, 9.476497650146484, 8.197023391723633, 6.408535957336426, 4.652951240539551, 1.511999487876892]",[100],<function relu at 0x0000024E22A681E0>,1000,500,3.2420314004573685,0.0005
22,"[0.27878111600875854, -0.12270526587963104, -0.5810954570770264, 0.8588389754295349, 0.5696772933006287, 1.1557788848876953, 2.526155710220337, 2.951965093612671, 7.118967056274414, 9.476497650146484, 8.197023391723633, 6.408535957336426, 4.652951240539551, 1.511999487876892]",[100],<function elu at 0x0000024E22A52E18>,1000,500,3.2420314004573685,0.0005
92,"[0.12090951949357986, -0.10471821576356888, -0.5814828276634216, 1.1517916917800903, -0.08039451390504837, 0.15458561480045319, 1.2667028903961182, 1.959830403327942, 3.048360824584961, 4.831121921539307, 5.259773254394531, 5.589508056640625, 4.270690441131592, 2.451542854309082]",[100],<function relu at 0x0000024E22A681E0>,500,250,3.2591687195209134,0.0005
20,"[0.12090951949357986, -0.10471821576356888, -0.5814828276634216, 1.1517916917800903, -0.08039451390504837, 0.15458561480045319, 1.2667028903961182, 1.959830403327942, 3.048360824584961, 4.831121921539307, 5.259773254394531, 5.589508056640625, 4.270690441131592, 2.451542854309082]",[100],<function elu at 0x0000024E22A52E18>,500,250,3.2591687195209134,0.0005
23,"[0.1427195519208908, -0.12773524224758148, -0.5697674751281738, 1.4476677179336548, -0.1182793602347374, 1.5676798820495605, 2.732839822769165, 2.9117209911346436, 3.1628499031066895, 4.959280014038086, 6.178304672241211, 6.6323628425598145, 5.9296793937683105, 5.308326721191406]",[100],<function elu at 0x0000024E22A52E18>,1000,250,3.2643029219973605,0.0005
