index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
61,<function elu at 0x0000000008D556A8>,500,3.680175952468052,1000,0.005,"[-0.21923291683197021, 0.15597108006477356, 1.3812260627746582, 1.0432026386260986, 0.7765125036239624, 0.47637900710105896, 0.19469580054283142, 0.3232029378414154, 0.158573716878891, -0.24800005555152893, 0.32466694712638855, 2.4100515842437744, 4.175826549530029, 3.6517655849456787]",3.680175952468052
60,<function elu at 0x0000000008D556A8>,500,3.699643538269024,1000,0.005,"[-0.041025277227163315, 0.09320136904716492, 1.6014739274978638, 0.9010991454124451, 0.3777328133583069, 0.8403320908546448, 0.11321717500686646, -0.254055917263031, 0.6380491852760315, 3.3692691326141357, 1.764243245124817, 4.881937026977539, 4.3839640617370605, 5.592383861541748]",3.699643538269024
74,<function relu at 0x0000000008D4B400>,500,3.853384276056386,100,0.0001,"[0.37705501914024353, 0.7452827095985413, 0.8758825659751892, 1.5261741876602173, 1.0779625177383423, 1.3159703016281128, 1.0552130937576294, 1.920817494392395, 1.3839470148086548, 0.6230725646018982, -0.16951017081737518, -1.5786585807800293, -2.4587433338165283, -3.5374653339385986]",3.853384276056386
1,<function elu at 0x0000000008D556A8>,500,3.87145236842096,100,0.0001,"[-0.023170268163084984, 0.8629357814788818, 1.262186884880066, 1.5834267139434814, 1.069936752319336, 1.247847557067871, 0.9926630258560181, -0.10589197278022766, -0.6659430265426636, -0.04245883226394653, 0.557287335395813, 0.3364356756210327, 2.77362322807312, 6.238022327423096]",3.87145236842096
63,<function elu at 0x0000000008D556A8>,1000,3.8777031633701693,1000,0.005,"[-0.1551068276166916, 0.925020158290863, 1.8313326835632324, 1.066373586654663, 1.2517035007476807, 1.2085520029067993, 1.3115429878234863, 1.1896157264709473, 2.8804080486297607, 4.072413921356201, 1.9495612382888794, 1.3661267757415771, 1.0695781707763672, 2.7994277477264404]",3.8777031633701693
62,<function elu at 0x0000000008D556A8>,500,3.8909690899115863,1000,0.005,"[-0.04386988282203674, 0.8183426856994629, 1.342273235321045, 1.2069270610809326, 1.1171648502349854, 0.7172670960426331, 0.01742929220199585, 0.05827969312667847, 0.2565099596977234, 0.3098066449165344, 0.3736911714076996, 0.7334317564964294, -0.1135416030883789, 0.09084314107894897]",3.8909690899115863
5,<function elu at 0x0000000008D556A8>,1000,3.8940248604802123,100,0.0001,"[0.07013260573148727, 0.9737765789031982, 1.1776915788650513, 1.1610853672027588, -0.07189642637968063, -0.11354326456785202, 0.37086963653564453, 1.3464916944503784, 2.364654541015625, 3.052000045776367, 4.703424453735352, 4.824094295501709, 6.8360443115234375, 7.816595077514648]",3.8940248604802123
65,<function elu at 0x0000000008D556A8>,1000,3.9049462264268517,1000,0.005,"[-0.05461318790912628, 1.1988431215286255, 1.238952875137329, 1.0187435150146484, 1.421818733215332, 0.5770224332809448, 0.7271237373352051, 0.7190868854522705, 0.5332343578338623, 0.48189234733581543, 0.227112278342247, -0.23177893459796906, -0.6378687024116516, 0.5869393348693848]",3.9049462264268517
2,<function elu at 0x0000000008D556A8>,500,3.9128099408706554,100,0.0001,"[0.04172978550195694, 0.7322272658348083, 1.208706021308899, 1.752799153327942, 0.2750515043735504, 0.2827419340610504, 0.40268757939338684, 1.2435204982757568, 1.4723056554794312, 1.6073909997940063, 1.7783148288726807, 1.9012324810028076, 2.6022531986236572, 4.317831039428711]",3.9128099408706554
4,<function elu at 0x0000000008D556A8>,1000,3.9391120817701424,100,0.0001,"[0.039381708949804306, 1.1062244176864624, 1.3175824880599976, 1.495751142501831, 1.048802375793457, 0.9189376831054688, 0.9892706274986267, -0.3304971754550934, -0.15147413313388824, 1.8772176504135132, 3.9062042236328125, 3.246185541152954, 5.3010783195495605, 6.734932899475098]",3.9391120817701424
68,<function elu at 0x0000000008D556A8>,500,3.946751304629974,1000,0.0005,"[0.6788194179534912, 1.3050575256347656, 0.6330139636993408, 1.3894150257110596, 0.6598621606826782, 1.4261901378631592, 1.7114739418029785, 0.9334142208099365, 1.1174044609069824, -1.2393940687179565, -1.2968965768814087, 1.1799511909484863, 1.5947232246398926, 2.238476037979126]",3.946751304629974
73,<function relu at 0x0000000008D4B400>,500,3.9616215810149464,100,0.0001,"[0.4120018184185028, 1.0381630659103394, 1.0523074865341187, 1.6270033121109009, 0.6450245380401611, 0.5404641628265381, 1.2936129570007324, 1.7412551641464233, 1.35625159740448, 0.8983330726623535, 0.6447447538375854, 0.5263791680335999, 0.7762494087219238, 1.9826728105545044]",3.9616215810149464
120,<function relu at 0x0000000008D4B400>,500,3.9664730585471295,1000,0.0001,"[0.4019244611263275, 1.051612377166748, 0.9388884902000427, 1.8543047904968262, 0.613400399684906, 0.93422931432724, 1.3392823934555054, 0.5260240435600281, 0.8176586031913757, 1.7479262351989746, 2.772085428237915, 1.7826215028762817, -1.0126864910125732, -6.503739833831787]",3.9664730585471295
32,<function elu at 0x0000000008D556A8>,500,3.97417038206106,500,0.001,"[0.8112053275108337, 1.2597600221633911, 0.9076720476150513, 1.2546190023422241, 0.4529205560684204, 2.0758166313171387, 2.0317165851593018, -1.219124674797058, -1.6713963747024536, -0.1197897344827652, -0.44780099391937256, 0.3148312568664551, -2.8907439708709717, -2.1315276622772217]",3.97417038206106
64,<function elu at 0x0000000008D556A8>,1000,4.003961180959009,1000,0.005,"[-0.008339941501617432, 0.9117012619972229, 1.4979662895202637, 1.5623092651367188, 1.974327564239502, 1.460634708404541, 0.4995436668395996, 1.3150854110717773, 0.9058737754821777, 1.0173063278198242, 0.8922572135925293, 0.572598934173584, 2.2819175720214844, 4.45917272567749]",4.003961180959009
67,<function elu at 0x0000000008D556A8>,500,4.019916326950127,1000,0.0005,"[0.6008012890815735, 1.1879262924194336, 0.7207219004631042, 1.3445855379104614, 0.6587971448898315, 0.51275235414505, -0.03489775210618973, -1.5272390842437744, 0.1477167010307312, -0.9656152129173279, -0.15772050619125366, 0.4726119637489319, 1.4987050294876099, 2.902646780014038]",4.019916326950127
77,<function relu at 0x0000000008D4B400>,1000,4.020666778109718,100,0.0001,"[0.5082008838653564, 0.9150446057319641, 1.0924365520477295, 1.9930169582366943, 1.3640527725219727, 1.7815897464752197, 1.6672005653381348, 2.861793279647827, 2.4609806537628174, 2.298337936401367, 1.952059268951416, 1.4064298868179321, 1.072806477546692, 0.7966939210891724]",4.020666778109718
47,<function elu at 0x0000000008D556A8>,1000,4.026880175019059,500,0.0005,"[0.6900401711463928, 1.239196538925171, 0.766666829586029, 1.7955210208892822, 0.277239054441452, 2.1227385997772217, 3.3816542625427246, 1.1349493265151978, 2.0049638748168945, 1.9607532024383545, -1.1296005249023438, -3.2636642456054688, 1.255265235900879, -0.7731195092201233]",4.026880175019059
9,<function elu at 0x0000000008D556A8>,1000,4.0275430523464895,100,0.001,"[0.3788299858570099, 1.2996442317962646, 1.0851125717163086, 0.46907946467399597, -1.584524393081665, 0.043103668838739395, -0.6380724906921387, -2.027719020843506, 0.1545846164226532, -0.04986002668738365, 2.9168519973754883, 3.1888928413391113, 2.851369857788086, 1.9753156900405884]",4.0275430523464895
