index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
134,"[0.19564642012119293, 0.11822766810655594, -0.3359646201133728, -0.633254885673523, -1.357559084892273, -1.1778792142868042, 0.16743814945220947, -0.1105583906173706, 0.6036831140518188, 0.8666588068008423, 0.8483792543411255, 0.7860928773880005, 0.730695366859436, 0.7074066400527954]",[1000],<function relu at 0x0000024E22A681E0>,500,250,4.032096182644048,0.005
62,"[0.19564642012119293, 0.11822766810655594, -0.3359646201133728, -0.633254885673523, -1.357559084892273, -1.1778792142868042, 0.16743814945220947, -0.1105583906173706, 0.6036831140518188, 0.8666588068008423, 0.8483792543411255, 0.7860928773880005, 0.730695366859436, 0.7074066400527954]",[1000],<function elu at 0x0000024E22A52E18>,500,250,4.032096182644048,0.005
65,"[0.38220083713531494, 0.4087494909763336, 0.19376006722450256, -0.26351505517959595, -1.1082520484924316, -2.0287187099456787, -0.7889891266822815, -0.33291536569595337, 0.6515659689903259, 0.674221932888031, 1.0345964431762695, 0.8506678938865662, 0.9372128844261169, 0.7450923323631287]",[1000],<function elu at 0x0000024E22A52E18>,1000,250,4.144040538487451,0.005
137,"[0.38220083713531494, 0.4087494909763336, 0.19376006722450256, -0.26351505517959595, -1.1082520484924316, -2.0287187099456787, -0.7889891266822815, -0.33291536569595337, 0.6515659689903259, 0.674221932888031, 1.0345964431762695, 0.8506678938865662, 0.9372128844261169, 0.7450923323631287]",[1000],<function relu at 0x0000024E22A681E0>,1000,250,4.144040538487451,0.005
98,"[0.22731515765190125, 0.3680618703365326, 0.2812681198120117, -0.32009580731391907, -0.837013304233551, -0.3691340982913971, 0.4538923501968384, 0.5443166494369507, 0.6801843643188477, -0.7669376730918884, -0.4521714448928833, -0.9824615716934204, -4.4087347984313965, -4.184930801391602]",[500],<function relu at 0x0000024E22A681E0>,500,250,4.39718825264413,0.0001
26,"[0.22731515765190125, 0.3680618703365326, 0.2812681198120117, -0.32009580731391907, -0.837013304233551, -0.3691340982913971, 0.4538923501968384, 0.5443166494369507, 0.6801843643188477, -0.7669376730918884, -0.4521714448928833, -0.9824615716934204, -4.4087347984313965, -4.184930801391602]",[500],<function elu at 0x0000024E22A52E18>,500,250,4.39718825264413,0.0001
0,"[0.20635569095611572, 0.3412414491176605, 0.35113754868507385, 0.012724779546260834, -0.4305886924266815, -0.577678382396698, 0.022124841809272766, -0.056761667132377625, 0.5636862516403198, -0.5868952870368958, -0.8374841809272766, -0.8641049265861511, -1.608845829963684, -0.1609414517879486]",[100],<function elu at 0x0000024E22A52E18>,500,100,4.446977822579633,0.0001
72,"[0.20635569095611572, 0.3412414491176605, 0.35113754868507385, 0.012724779546260834, -0.4305886924266815, -0.577678382396698, 0.022124841809272766, -0.056761667132377625, 0.5636862516403198, -0.5868952870368958, -0.8374841809272766, -0.8641049265861511, -1.608845829963684, -0.1609414517879486]",[100],<function relu at 0x0000024E22A681E0>,500,100,4.446977822579633,0.0001
25,"[0.2228754162788391, 0.4159408509731293, 0.33552199602127075, -0.23602154850959778, -0.691486120223999, -0.45831504464149475, 0.8445440530776978, 1.4824951887130737, 0.7475746870040894, -0.5108142495155334, -0.4309989809989929, -0.937605082988739, -2.3283557891845703, -1.9978009462356567]",[500],<function elu at 0x0000024E22A52E18>,500,500,4.452252701760024,0.0001
97,"[0.2228754162788391, 0.4159408509731293, 0.33552199602127075, -0.23602154850959778, -0.691486120223999, -0.45831504464149475, 0.8445440530776978, 1.4824951887130737, 0.7475746870040894, -0.5108142495155334, -0.4309989809989929, -0.937605082988739, -2.3283557891845703, -1.9978009462356567]",[500],<function relu at 0x0000024E22A681E0>,500,500,4.452252701760024,0.0001
