index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
85,"[-0.6260440945625305, 0.36398425698280334, -2.079655885696411, -4.3013763427734375, -2.0442168712615967, 0.3888891637325287, 1.5735876560211182, -0.2813912332057953, 1.8991668224334717, -4.972095012664795, 1.2657591104507446, -6.3080010414123535, -5.109092712402344, -3.4414565563201904]","[30, 30]",<function relu at 0x0000021D67FCF1E0>,1500,100,8.668729692174116,0.01
13,"[-0.6260440945625305, 0.36398425698280334, -2.079655885696411, -4.3013763427734375, -2.0442168712615967, 0.3888891637325287, 1.5735876560211182, -0.2813912332057953, 1.8991668224334717, -4.972095012664795, 1.2657591104507446, -6.3080010414123535, -5.109092712402344, -3.4414565563201904]","[30, 30]",<function elu at 0x0000021D67FB1E18>,1500,100,8.668729692174116,0.01
99,"[-0.6762797236442566, -1.1601738929748535, -1.691024899482727, -2.618699073791504, -2.8443009853363037, -3.100489854812622, -3.880721092224121, -1.24067223072052, 2.4386863708496094, 5.3221893310546875, 2.271643877029419, -3.3519914150238037, -5.9676594734191895, 2.4384536743164062]","[30, 30, 30]",<function relu at 0x0000021D67FCF1E0>,1500,200,8.781076176322399,0.001
27,"[-0.6762797236442566, -1.1601738929748535, -1.691024899482727, -2.618699073791504, -2.8443009853363037, -3.100489854812622, -3.880721092224121, -1.24067223072052, 2.4386863708496094, 5.3221893310546875, 2.271643877029419, -3.3519914150238037, -5.9676594734191895, 2.4384536743164062]","[30, 30, 30]",<function elu at 0x0000021D67FB1E18>,1500,200,8.781076176322399,0.001
63,"[0.28720033168792725, -0.010874912142753601, -3.087390184402466, -4.284666061401367, -2.175755739212036, -2.2648277282714844, -1.1129190921783447, -8.612044334411621, -8.582134246826172, -4.258089065551758, 2.445488691329956, -5.354662895202637, 1.2689628601074219, -7.998628616333008]",[50],<function elu at 0x0000021D67FB1E18>,1500,200,8.788237086811508,0.01
135,"[0.28720033168792725, -0.010874912142753601, -3.087390184402466, -4.284666061401367, -2.175755739212036, -2.2648277282714844, -1.1129190921783447, -8.612044334411621, -8.582134246826172, -4.258089065551758, 2.445488691329956, -5.354662895202637, 1.2689628601074219, -7.998628616333008]",[50],<function relu at 0x0000021D67FCF1E0>,1500,200,8.788237086811508,0.01
44,"[-1.1232541799545288, -1.0878915786743164, 0.2439008355140686, -1.3509454727172852, -4.058217525482178, 1.5618679523468018, 4.690971851348877, 12.495756149291992, 16.220287322998047, 7.498025894165039, 3.0707061290740967, 5.854386806488037, 8.167595863342285, 11.446026802062988]","[10, 10, 10]",<function elu at 0x0000021D67FB1E18>,1500,50,8.825444603924062,0.01
116,"[-1.1232541799545288, -1.0878915786743164, 0.2439008355140686, -1.3509454727172852, -4.058217525482178, 1.5618679523468018, 4.690971851348877, 12.495756149291992, 16.220287322998047, 7.498025894165039, 3.0707061290740967, 5.854386806488037, 8.167595863342285, 11.446026802062988]","[10, 10, 10]",<function relu at 0x0000021D67FCF1E0>,1500,50,8.825444603924062,0.01
45,"[-0.49105122685432434, 0.132268488407135, -1.6032353639602661, -2.8389196395874023, -2.9890570640563965, -2.1634020805358887, 1.7326375246047974, 5.870638370513916, 15.186910629272461, 19.083423614501953, 15.511202812194824, 15.553881645202637, 16.928098678588867, 12.999159812927246]","[10, 10, 10]",<function elu at 0x0000021D67FB1E18>,1500,100,8.870073021705897,0.01
117,"[-0.49105122685432434, 0.132268488407135, -1.6032353639602661, -2.8389196395874023, -2.9890570640563965, -2.1634020805358887, 1.7326375246047974, 5.870638370513916, 15.186910629272461, 19.083423614501953, 15.511202812194824, 15.553881645202637, 16.928098678588867, 12.999159812927246]","[10, 10, 10]",<function relu at 0x0000021D67FCF1E0>,1500,100,8.870073021705897,0.01
