index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
44,"[0.7263782024383545, 0.1995481550693512, 0.7710745930671692, 1.764310359954834, 3.329972267150879, 1.8382213115692139, 1.5601701736450195, -2.657662868499756, -3.467552900314331, -1.9517817497253418, 1.3164808750152588, -0.5978782773017883, 5.570538520812988, 5.880860328674316]",[30],<function elu at 0x0000025A38D4FE18>,1000,200,1.4526549812509306,0.01
104,"[0.7263782024383545, 0.1995481550693512, 0.7710745930671692, 1.764310359954834, 3.329972267150879, 1.8382213115692139, 1.5601701736450195, -2.657662868499756, -3.467552900314331, -1.9517817497253418, 1.3164808750152588, -0.5978782773017883, 5.570538520812988, 5.880860328674316]",[30],<function relu at 0x0000025A38D6A1E0>,1000,200,1.4526549812509306,0.01
67,"[0.597376823425293, 1.0885714292526245, 0.5295951962471008, 2.54361891746521, 3.213780403137207, 2.6195387840270996, 2.0976505279541016, -0.016498003154993057, -2.1428370475769043, -5.3116583824157715, -8.94129467010498, -8.694735527038574, -6.925421714782715, -8.142749786376953]",[100],<function relu at 0x0000025A38D6A1E0>,1000,250,1.5210269003919046,0.001
7,"[0.597376823425293, 1.0885714292526245, 0.5295951962471008, 2.54361891746521, 3.213780403137207, 2.6195387840270996, 2.0976505279541016, -0.016498003154993057, -2.1428370475769043, -5.3116583824157715, -8.94129467010498, -8.694735527038574, -6.925421714782715, -8.142749786376953]",[100],<function elu at 0x0000025A38D4FE18>,1000,250,1.5210269003919046,0.001
13,"[0.9148339629173279, 1.339661955833435, 1.2094221115112305, 2.0924878120422363, 5.776889324188232, 4.72988224029541, 3.7981910705566406, 0.08704527467489243, -2.2274844646453857, -5.615680694580078, -8.248834609985352, -8.499871253967285, -7.326888084411621, -6.482201099395752]",[50],<function elu at 0x0000025A38D4FE18>,1000,150,1.5826120116315605,0.01
73,"[0.9148339629173279, 1.339661955833435, 1.2094221115112305, 2.0924878120422363, 5.776889324188232, 4.72988224029541, 3.7981910705566406, 0.08704527467489243, -2.2274844646453857, -5.615680694580078, -8.248834609985352, -8.499871253967285, -7.326888084411621, -6.482201099395752]",[50],<function relu at 0x0000025A38D6A1E0>,1000,150,1.5826120116315605,0.01
24,"[0.6427255868911743, 0.4566352963447571, 0.8168842196464539, 3.2729649543762207, 2.5800023078918457, 3.0511317253112793, 3.6262335777282715, 3.3074593544006348, 3.33994722366333, 0.4507858157157898, -1.6943961381912231, -2.660104274749756, -2.3419651985168457, 0.8357106447219849]",[25],<function elu at 0x0000025A38D4FE18>,1000,200,1.7009240175166984,0.01
84,"[0.6427255868911743, 0.4566352963447571, 0.8168842196464539, 3.2729649543762207, 2.5800023078918457, 3.0511317253112793, 3.6262335777282715, 3.3074593544006348, 3.33994722366333, 0.4507858157157898, -1.6943961381912231, -2.660104274749756, -2.3419651985168457, 0.8357106447219849]",[25],<function relu at 0x0000025A38D6A1E0>,1000,200,1.7009240175166984,0.01
20,"[0.6905553340911865, 1.4270108938217163, 0.5448734760284424, 3.51638126373291, 4.221625804901123, 1.697968602180481, 0.041984766721725464, -0.21946612000465393, -3.396181583404541, -8.846315383911133, -12.186783790588379, -14.401835441589355, -13.517546653747559, -5.941379547119141]",[25],<function elu at 0x0000025A38D4FE18>,1000,50,1.7032948995648591,0.01
80,"[0.6905553340911865, 1.4270108938217163, 0.5448734760284424, 3.51638126373291, 4.221625804901123, 1.697968602180481, 0.041984766721725464, -0.21946612000465393, -3.396181583404541, -8.846315383911133, -12.186783790588379, -14.401835441589355, -13.517546653747559, -5.941379547119141]",[25],<function relu at 0x0000025A38D6A1E0>,1000,50,1.7032948995648591,0.01
43,"[0.5356247425079346, 1.1087086200714111, 1.6752485036849976, 3.0563137531280518, 3.502117872238159, 0.5380845665931702, 2.16347336769104, 0.3399851322174072, -1.1546311378479004, 3.946082830429077, 1.6961716413497925, -0.3963087797164917, 0.8599469065666199, -0.26990318298339844]",[30],<function elu at 0x0000025A38D4FE18>,1000,150,1.75529155747417,0.01
103,"[0.5356247425079346, 1.1087086200714111, 1.6752485036849976, 3.0563137531280518, 3.502117872238159, 0.5380845665931702, 2.16347336769104, 0.3399851322174072, -1.1546311378479004, 3.946082830429077, 1.6961716413497925, -0.3963087797164917, 0.8599469065666199, -0.26990318298339844]",[30],<function relu at 0x0000025A38D6A1E0>,1000,150,1.75529155747417,0.01
42,"[1.364021897315979, -0.12637066841125488, 2.9588184356689453, 2.2004945278167725, 3.6920034885406494, 2.567366600036621, 1.12017822265625, -1.225165843963623, 0.957648515701294, 0.13310281932353973, 0.0010885894298553467, 5.007481575012207, 7.215929985046387, 7.08974552154541]",[30],<function elu at 0x0000025A38D4FE18>,1000,250,1.7746288426913543,0.01
102,"[1.364021897315979, -0.12637066841125488, 2.9588184356689453, 2.2004945278167725, 3.6920034885406494, 2.567366600036621, 1.12017822265625, -1.225165843963623, 0.957648515701294, 0.13310281932353973, 0.0010885894298553467, 5.007481575012207, 7.215929985046387, 7.08974552154541]",[30],<function relu at 0x0000025A38D6A1E0>,1000,250,1.7746288426913543,0.01
12,"[1.2077637910842896, 0.6252633333206177, -0.4702003002166748, 3.705130100250244, 9.07203483581543, 5.382308006286621, 2.538928985595703, 4.367435455322266, 8.955855369567871, 9.031590461730957, 9.20925235748291, 7.132754325866699, 4.771162033081055, 2.8373703956604004]",[50],<function elu at 0x0000025A38D4FE18>,1000,250,1.8680075951678605,0.01
72,"[1.2077637910842896, 0.6252633333206177, -0.4702003002166748, 3.705130100250244, 9.07203483581543, 5.382308006286621, 2.538928985595703, 4.367435455322266, 8.955855369567871, 9.031590461730957, 9.20925235748291, 7.132754325866699, 4.771162033081055, 2.8373703956604004]",[50],<function relu at 0x0000025A38D6A1E0>,1000,250,1.8680075951678605,0.01
70,"[0.8358504772186279, 0.9869565963745117, 1.6005643606185913, 3.283658027648926, 2.4676592350006104, 3.699601173400879, 2.8187434673309326, -0.9321465492248535, -1.4765620231628418, 1.7515400648117065, 5.809358596801758, -0.08597689121961594, -5.672582626342773, -10.14880657196045]",[50],<function relu at 0x0000025A38D6A1E0>,1000,50,1.8992551096513586,0.01
