index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
90,"[-0.03413434326648712, 0.28944194316864014, 0.9928957223892212, 2.141270875930786, 1.8567346334457397, 3.0318048000335693, 1.86650550365448, 2.56573486328125, 2.3384976387023926, 3.0640769004821777, 1.9814561605453491, 2.9140806198120117, 1.3542410135269165, 2.301755905151367]","[10, 10]",<function relu at 0x000001D0727851E0>,1500,150,3.3596115734537495,0.001
18,"[-0.03413434326648712, 0.28944194316864014, 0.9928957223892212, 2.141270875930786, 1.8567346334457397, 3.0318048000335693, 1.86650550365448, 2.56573486328125, 2.3384976387023926, 3.0640769004821777, 1.9814561605453491, 2.9140806198120117, 1.3542410135269165, 2.301755905151367]","[10, 10]",<function elu at 0x000001D07278BE18>,1500,150,3.3596115734537495,0.001
104,"[0.3411746025085449, 0.7733885645866394, 1.2496652603149414, 1.5691838264465332, 0.9508349299430847, 2.5120067596435547, 0.8444671630859375, 1.507659673690796, 1.6083803176879883, 2.2313802242279053, 2.031059980392456, 3.112067222595215, 2.678417205810547, 4.144691467285156]",[30],<function relu at 0x000001D0727851E0>,1500,50,3.723807510541135,0.001
32,"[0.3411746025085449, 0.7733885645866394, 1.2496652603149414, 1.5691838264465332, 0.9508349299430847, 2.5120067596435547, 0.8444671630859375, 1.507659673690796, 1.6083803176879883, 2.2313802242279053, 2.031059980392456, 3.112067222595215, 2.678417205810547, 4.144691467285156]",[30],<function elu at 0x000001D07278BE18>,1500,50,3.723807510541135,0.001
116,"[0.4037797451019287, 0.389376163482666, 0.45736896991729736, 1.014458179473877, -0.006819054484367371, 3.05800199508667, 4.748031139373779, 3.7903425693511963, 6.2229413986206055, 3.7622573375701904, 3.2469260692596436, 5.346616268157959, 2.1730165481567383, 2.5249886512756348]","[10, 10, 10]",<function relu at 0x000001D0727851E0>,1500,50,3.8069379622001294,0.01
44,"[0.4037797451019287, 0.389376163482666, 0.45736896991729736, 1.014458179473877, -0.006819054484367371, 3.05800199508667, 4.748031139373779, 3.7903425693511963, 6.2229413986206055, 3.7622573375701904, 3.2469260692596436, 5.346616268157959, 2.1730165481567383, 2.5249886512756348]","[10, 10, 10]",<function elu at 0x000001D07278BE18>,1500,50,3.8069379622001294,0.01
134,"[0.355408638715744, 1.0001230239868164, 0.8267226219177246, 0.8003654479980469, 0.40766528248786926, 2.7326080799102783, 3.2853646278381348, 2.764186143875122, 1.8750675916671753, -2.6249630451202393, -3.7132208347320557, -2.084637403488159, -5.609157085418701, -0.5796564817428589]",[50],<function relu at 0x000001D0727851E0>,1500,150,3.8232442076073494,0.01
62,"[0.355408638715744, 1.0001230239868164, 0.8267226219177246, 0.8003654479980469, 0.40766528248786926, 2.7326080799102783, 3.2853646278381348, 2.764186143875122, 1.8750675916671753, -2.6249630451202393, -3.7132208347320557, -2.084637403488159, -5.609157085418701, -0.5796564817428589]",[50],<function elu at 0x000001D07278BE18>,1500,150,3.8232442076073494,0.01
126,"[0.5430802702903748, 0.9206420183181763, 1.6830235719680786, 2.4562339782714844, 0.3216252326965332, 2.1329054832458496, 3.7863707542419434, 4.00888729095459, 5.208805084228516, 3.52600359916687, 4.3198161125183105, 4.944939136505127, -0.9989277124404907, -0.050181981176137924]",[25],<function relu at 0x000001D0727851E0>,1500,150,3.8507124618782034,0.01
54,"[0.5430802702903748, 0.9206420183181763, 1.6830235719680786, 2.4562339782714844, 0.3216252326965332, 2.1329054832458496, 3.7863707542419434, 4.00888729095459, 5.208805084228516, 3.52600359916687, 4.3198161125183105, 4.944939136505127, -0.9989277124404907, -0.050181981176137924]",[25],<function elu at 0x000001D07278BE18>,1500,150,3.8507124618782034,0.01
31,"[0.5843182802200317, 1.5765860080718994, 0.7668182849884033, 0.28561699390411377, 0.01120467483997345, 3.2014737129211426, -0.012139931321144104, -2.7028071880340576, -3.9526760578155518, -2.6676278114318848, -5.417844772338867, -6.6915082931518555, -0.38879942893981934, -2.006410598754883]","[30, 30, 30]",<function elu at 0x000001D07278BE18>,1500,200,3.9788829834629507,0.01
103,"[0.5843182802200317, 1.5765860080718994, 0.7668182849884033, 0.28561699390411377, 0.01120467483997345, 3.2014737129211426, -0.012139931321144104, -2.7028071880340576, -3.9526760578155518, -2.6676278114318848, -5.417844772338867, -6.6915082931518555, -0.38879942893981934, -2.006410598754883]","[30, 30, 30]",<function relu at 0x000001D0727851E0>,1500,200,3.9788829834629507,0.01
139,"[0.5840722918510437, 0.7128059267997742, 1.3169512748718262, 0.7040789723396301, -0.008283846080303192, 2.0965521335601807, 1.785483479499817, 3.758510112762451, 4.277202606201172, 3.1680188179016113, 0.4015248119831085, -0.5614112615585327, -1.1252107620239258, 2.7715961933135986]",[75],<function relu at 0x000001D0727851E0>,1500,200,3.9907617922471292,0.001
67,"[0.5840722918510437, 0.7128059267997742, 1.3169512748718262, 0.7040789723396301, -0.008283846080303192, 2.0965521335601807, 1.785483479499817, 3.758510112762451, 4.277202606201172, 3.1680188179016113, 0.4015248119831085, -0.5614112615585327, -1.1252107620239258, 2.7715961933135986]",[75],<function elu at 0x000001D07278BE18>,1500,200,3.9907617922471292,0.001
45,"[0.00034414976835250854, 1.171777367591858, 1.5205299854278564, 2.0540993213653564, 0.48229506611824036, 1.7714053392410278, 1.4322508573532104, 0.5244345664978027, 0.8953502178192139, 0.7673166990280151, 2.6471195220947266, 5.007667541503906, 6.432565689086914, 5.3480963706970215]","[10, 10, 10]",<function elu at 0x000001D07278BE18>,1500,100,4.008817236353979,0.01
117,"[0.00034414976835250854, 1.171777367591858, 1.5205299854278564, 2.0540993213653564, 0.48229506611824036, 1.7714053392410278, 1.4322508573532104, 0.5244345664978027, 0.8953502178192139, 0.7673166990280151, 2.6471195220947266, 5.007667541503906, 6.432565689086914, 5.3480963706970215]","[10, 10, 10]",<function relu at 0x000001D0727851E0>,1500,100,4.008817236353979,0.01
112,"[0.08753751218318939, 0.578164279460907, 1.9714763164520264, 1.9877933263778687, 0.7338459491729736, 1.2930303812026978, 1.1819120645523071, 2.1912410259246826, 2.0563690662384033, -0.19922398030757904, -0.6946682929992676, -0.9805760383605957, -1.5553843975067139, -0.46895384788513184]","[10, 10, 10]",<function relu at 0x000001D0727851E0>,1500,50,4.042409849539199,0.001
40,"[0.08753751218318939, 0.578164279460907, 1.9714763164520264, 1.9877933263778687, 0.7338459491729736, 1.2930303812026978, 1.1819120645523071, 2.1912410259246826, 2.0563690662384033, -0.19922398030757904, -0.6946682929992676, -0.9805760383605957, -1.5553843975067139, -0.46895384788513184]","[10, 10, 10]",<function elu at 0x000001D07278BE18>,1500,50,4.042409849539199,0.001
100,"[0.18295074999332428, 0.3257628083229065, -2.579371452331543, -1.5733424425125122, 3.4398880004882812, 4.134997367858887, 5.143119812011719, 3.403940200805664, 17.700605392456055, 7.730070114135742, 1.7809724807739258, 0.37211874127388, 0.7389644384384155, 13.491701126098633]","[30, 30, 30]",<function relu at 0x000001D0727851E0>,1500,50,4.089523749981602,0.01
28,"[0.18295074999332428, 0.3257628083229065, -2.579371452331543, -1.5733424425125122, 3.4398880004882812, 4.134997367858887, 5.143119812011719, 3.403940200805664, 17.700605392456055, 7.730070114135742, 1.7809724807739258, 0.37211874127388, 0.7389644384384155, 13.491701126098633]","[30, 30, 30]",<function elu at 0x000001D07278BE18>,1500,50,4.089523749981602,0.01
16,"[0.5939590930938721, 0.7601532936096191, 0.9565073251724243, 1.1505835056304932, 0.1331648826599121, 1.8090710639953613, 4.275465965270996, 4.275339126586914, 6.327145576477051, 5.523651123046875, 4.290024280548096, 4.635327339172363, 1.3491588830947876, -0.22673627734184265]","[10, 10]",<function elu at 0x000001D07278BE18>,1500,50,4.103547131509271,0.001
88,"[0.5939590930938721, 0.7601532936096191, 0.9565073251724243, 1.1505835056304932, 0.1331648826599121, 1.8090710639953613, 4.275465965270996, 4.275339126586914, 6.327145576477051, 5.523651123046875, 4.290024280548096, 4.635327339172363, 1.3491588830947876, -0.22673627734184265]","[10, 10]",<function relu at 0x000001D0727851E0>,1500,50,4.103547131509271,0.001
27,"[0.3386117219924927, 0.3595290184020996, 0.7544230222702026, 0.6759933829307556, 0.5886673927307129, 1.3822568655014038, 2.0687243938446045, 2.104726552963257, 4.676509380340576, 6.515904426574707, 5.998185634613037, 8.327980995178223, 4.9969587326049805, 3.420248508453369]","[30, 30, 30]",<function elu at 0x000001D07278BE18>,1500,200,4.13830389016969,0.001
99,"[0.3386117219924927, 0.3595290184020996, 0.7544230222702026, 0.6759933829307556, 0.5886673927307129, 1.3822568655014038, 2.0687243938446045, 2.104726552963257, 4.676509380340576, 6.515904426574707, 5.998185634613037, 8.327980995178223, 4.9969587326049805, 3.420248508453369]","[30, 30, 30]",<function relu at 0x000001D0727851E0>,1500,200,4.13830389016969,0.001
124,"[0.6052461862564087, 0.20528122782707214, 0.8237078189849854, 1.1011338233947754, -0.07286325097084045, 1.577743411064148, 0.6313904523849487, 0.49121594429016113, -0.7352060079574585, -1.572537899017334, -4.880354404449463, -4.406900882720947, -5.207056045532227, -9.083173751831055]",[25],<function relu at 0x000001D0727851E0>,1500,50,4.146025940643663,0.01
52,"[0.6052461862564087, 0.20528122782707214, 0.8237078189849854, 1.1011338233947754, -0.07286325097084045, 1.577743411064148, 0.6313904523849487, 0.49121594429016113, -0.7352060079574585, -1.572537899017334, -4.880354404449463, -4.406900882720947, -5.207056045532227, -9.083173751831055]",[25],<function elu at 0x000001D07278BE18>,1500,50,4.146025940643663,0.01
