index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
50,"[0.3100273013114929, 0.5140771865844727, 0.6595344543457031, 0.885051965713501, 1.055586576461792, 1.2860773801803589, 3.43626070022583, 5.362678527832031, 6.627922058105469, 7.739499092102051, 10.594011306762695, 11.69787883758545, 11.382333755493164, 11.22524356842041]",[20],<function elu at 0x0000012CFA5BDE18>,1000,250,0.7588341171208186,0.001
242,"[0.3100273013114929, 0.5140771865844727, 0.6595344543457031, 0.885051965713501, 1.055586576461792, 1.2860773801803589, 3.43626070022583, 5.362678527832031, 6.627922058105469, 7.739499092102051, 10.594011306762695, 11.69787883758545, 11.382333755493164, 11.22524356842041]",[20],<function relu at 0x0000012CFA5DB1E0>,1000,250,0.7588341171208186,0.001
308,"[0.07885635644197464, 0.09454178065061569, 0.2167157381772995, 0.21911916136741638, 0.8168815970420837, 1.1550748348236084, 2.535684823989868, 2.6483776569366455, 3.937040090560913, 3.0961287021636963, 3.4368884563446045, 1.9865776300430298, 0.48444339632987976, -2.9068703651428223]","[30, 30, 30]",<function relu at 0x0000012CFA5DB1E0>,500,50,0.820896226267635,0.0001
116,"[0.07885635644197464, 0.09454178065061569, 0.2167157381772995, 0.21911916136741638, 0.8168815970420837, 1.1550748348236084, 2.535684823989868, 2.6483776569366455, 3.937040090560913, 3.0961287021636963, 3.4368884563446045, 1.9865776300430298, 0.48444339632987976, -2.9068703651428223]","[30, 30, 30]",<function elu at 0x0000012CFA5BDE18>,500,50,0.820896226267635,0.0001
62,"[0.017374545335769653, 0.9414805769920349, 0.4904201626777649, -0.45144933462142944, -0.36131930351257324, 1.6965112686157227, 5.0390944480896, 5.286289691925049, 11.993618965148926, 9.026638984680176, 6.413853645324707, 5.080384254455566, 6.848165512084961, 6.406453609466553]",[20],<function elu at 0x0000012CFA5BDE18>,500,250,0.9533952266211149,0.01
254,"[0.017374545335769653, 0.9414805769920349, 0.4904201626777649, -0.45144933462142944, -0.36131930351257324, 1.6965112686157227, 5.0390944480896, 5.286289691925049, 11.993618965148926, 9.026638984680176, 6.413853645324707, 5.080384254455566, 6.848165512084961, 6.406453609466553]",[20],<function relu at 0x0000012CFA5DB1E0>,500,250,0.9533952266211149,0.01
379,"[0.08846470713615417, 0.010406363755464554, 0.3475710153579712, 0.5276778936386108, 0.8454345464706421, 1.1671441793441772, 2.0944769382476807, 1.5807528495788574, 2.3217735290527344, 2.0194780826568604, 2.0043256282806396, 1.4233466386795044, 1.8119741678237915, -0.39521265029907227]","[20, 20]",<function relu at 0x0000012CFA5DB1E0>,1000,150,0.9690679996828365,0.0001
187,"[0.08846470713615417, 0.010406363755464554, 0.3475710153579712, 0.5276778936386108, 0.8454345464706421, 1.1671441793441772, 2.0944769382476807, 1.5807528495788574, 2.3217735290527344, 2.0194780826568604, 2.0043256282806396, 1.4233466386795044, 1.8119741678237915, -0.39521265029907227]","[20, 20]",<function elu at 0x0000012CFA5BDE18>,1000,150,0.9690679996828365,0.0001
246,"[0.15292739868164062, 0.17502035200595856, 0.4885527789592743, 1.092071294784546, 1.420732021331787, 0.7831593751907349, 2.3299930095672607, 3.3218679428100586, 5.162343978881836, 5.365153789520264, 6.877063274383545, 7.700782299041748, 8.015721321105957, 8.238312721252441]",[20],<function relu at 0x0000012CFA5DB1E0>,500,250,0.9734489181330673,0.001
54,"[0.15292739868164062, 0.17502035200595856, 0.4885527789592743, 1.092071294784546, 1.420732021331787, 0.7831593751907349, 2.3299930095672607, 3.3218679428100586, 5.162343978881836, 5.365153789520264, 6.877063274383545, 7.700782299041748, 8.015721321105957, 8.238312721252441]",[20],<function elu at 0x0000012CFA5BDE18>,500,250,0.9734489181330673,0.001
304,"[0.18716423213481903, 0.45095470547676086, 0.7211562991142273, 0.6405226588249207, 1.527204155921936, 2.059624671936035, 4.1496381759643555, 4.2880754470825195, 6.469006061553955, 6.089948654174805, 6.8858323097229, 7.540911674499512, 7.457340717315674, 2.5391783714294434]","[30, 30, 30]",<function relu at 0x0000012CFA5DB1E0>,1000,50,0.976953092629455,0.0001
112,"[0.18716423213481903, 0.45095470547676086, 0.7211562991142273, 0.6405226588249207, 1.527204155921936, 2.059624671936035, 4.1496381759643555, 4.2880754470825195, 6.469006061553955, 6.089948654174805, 6.8858323097229, 7.540911674499512, 7.457340717315674, 2.5391783714294434]","[30, 30, 30]",<function elu at 0x0000012CFA5BDE18>,1000,50,0.976953092629455,0.0001
375,"[1.4834233522415161, 0.3246551752090454, -0.2260839194059372, -0.7642305493354797, -0.33370304107666016, 2.3865339756011963, 4.015042304992676, 2.178852081298828, 1.4181442260742188, 0.37514621019363403, -3.5447983741760254, -6.73128080368042, -5.964150905609131, -7.71742582321167]","[20, 20]",<function relu at 0x0000012CFA5DB1E0>,500,150,0.9997557993383964,0.01
183,"[1.4834233522415161, 0.3246551752090454, -0.2260839194059372, -0.7642305493354797, -0.33370304107666016, 2.3865339756011963, 4.015042304992676, 2.178852081298828, 1.4181442260742188, 0.37514621019363403, -3.5447983741760254, -6.73128080368042, -5.964150905609131, -7.71742582321167]","[20, 20]",<function elu at 0x0000012CFA5BDE18>,500,150,0.9997557993383964,0.01
