index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
21,"[0.09018048644065857, 0.14593055844306946, 1.2732853889465332, -2.9286084175109863, -6.307639122009277, -7.318747043609619, -6.199495792388916, -5.3543219566345215, -5.418450832366943, -2.3834047317504883, -1.0959492921829224, 2.4453842639923096, 4.100903511047363, 3.1213107109069824]","[100, 100, 100]",<function elu at 0x000001796BE17E18>,1500,100,2.0003950149754526,0.0001
45,"[0.09018048644065857, 0.14593055844306946, 1.2732853889465332, -2.9286084175109863, -6.307639122009277, -7.318747043609619, -6.199495792388916, -5.3543219566345215, -5.418450832366943, -2.3834047317504883, -1.0959492921829224, 2.4453842639923096, 4.100903511047363, 3.1213107109069824]","[100, 100, 100]",<function relu at 0x000001796BE2A1E0>,1500,100,2.0003950149754526,0.0001
13,"[-0.14677275717258453, 0.21352604031562805, 1.8494185209274292, -2.859391689300537, -6.264030933380127, -7.910186290740967, -5.713664531707764, -0.510904848575592, -1.8072172403335571, 1.1539356708526611, 4.224803447723389, 7.645366668701172, 8.172603607177734, 7.224419593811035]","[100, 100]",<function elu at 0x000001796BE17E18>,1500,100,2.03283932376627,0.0001
37,"[-0.14677275717258453, 0.21352604031562805, 1.8494185209274292, -2.859391689300537, -6.264030933380127, -7.910186290740967, -5.713664531707764, -0.510904848575592, -1.8072172403335571, 1.1539356708526611, 4.224803447723389, 7.645366668701172, 8.172603607177734, 7.224419593811035]","[100, 100]",<function relu at 0x000001796BE2A1E0>,1500,100,2.03283932376627,0.0001
20,"[-0.16623258590698242, 0.2667815387248993, 1.6034475564956665, -3.8108890056610107, -7.173598766326904, -6.93298864364624, -6.102595329284668, -3.2284107208251953, -5.4294514656066895, -6.010362148284912, -0.6903209686279297, 0.8560795187950134, -0.005251523107290268, -3.403846263885498]","[100, 100, 100]",<function elu at 0x000001796BE17E18>,1500,50,2.076323668284428,0.0001
44,"[-0.16623258590698242, 0.2667815387248993, 1.6034475564956665, -3.8108890056610107, -7.173598766326904, -6.93298864364624, -6.102595329284668, -3.2284107208251953, -5.4294514656066895, -6.010362148284912, -0.6903209686279297, 0.8560795187950134, -0.005251523107290268, -3.403846263885498]","[100, 100, 100]",<function relu at 0x000001796BE2A1E0>,1500,50,2.076323668284428,0.0001
27,"[0.08939860761165619, -0.18976418673992157, 1.5185281038284302, -3.4091908931732178, -6.483042240142822, -6.55184268951416, -6.5167131423950195, -0.7363238334655762, -0.7551922798156738, -2.5135228633880615, 1.8527483940124512, 6.449390888214111, -0.3184014558792114, -6.351708889007568]",[100],<function relu at 0x000001796BE2A1E0>,1500,250,2.1188737751684976,0.001
3,"[0.08939860761165619, -0.18976418673992157, 1.5185281038284302, -3.4091908931732178, -6.483042240142822, -6.55184268951416, -6.5167131423950195, -0.7363238334655762, -0.7551922798156738, -2.5135228633880615, 1.8527483940124512, 6.449390888214111, -0.3184014558792114, -6.351708889007568]",[100],<function elu at 0x000001796BE17E18>,1500,250,2.1188737751684976,0.001
2,"[-0.027334682643413544, -0.14265215396881104, 1.716909646987915, -4.849160671234131, -6.630762100219727, -4.262967586517334, -5.787277698516846, -2.3900649547576904, -5.63703727722168, -3.956490993499756, -1.8483977317810059, -2.37514066696167, -4.392431259155273, -9.541656494140625]",[100],<function elu at 0x000001796BE17E18>,1500,123,2.908392705390642,0.001
26,"[-0.027334682643413544, -0.14265215396881104, 1.716909646987915, -4.849160671234131, -6.630762100219727, -4.262967586517334, -5.787277698516846, -2.3900649547576904, -5.63703727722168, -3.956490993499756, -1.8483977317810059, -2.37514066696167, -4.392431259155273, -9.541656494140625]",[100],<function relu at 0x000001796BE2A1E0>,1500,123,2.908392705390642,0.001
24,"[-0.05185522139072418, 0.15739737451076508, 0.18583475053310394, -4.225532054901123, -5.760512351989746, -5.157908916473389, -4.543023586273193, 0.8840987682342529, -1.6659703254699707, -3.9621152877807617, 1.6117212772369385, 6.546570777893066, 4.261886119842529, 1.7140849828720093]",[100],<function relu at 0x000001796BE2A1E0>,1500,50,2.98428365799646,0.001
0,"[-0.05185522139072418, 0.15739737451076508, 0.18583475053310394, -4.225532054901123, -5.760512351989746, -5.157908916473389, -4.543023586273193, 0.8840987682342529, -1.6659703254699707, -3.9621152877807617, 1.6117212772369385, 6.546570777893066, 4.261886119842529, 1.7140849828720093]",[100],<function elu at 0x000001796BE17E18>,1500,50,2.98428365799646,0.001
1,"[-0.07768607139587402, -0.07904115319252014, 1.2945811748504639, -5.626984596252441, -8.169865608215332, -9.133561134338379, -3.2482922077178955, 5.116519451141357, 1.1312110424041748, -1.8669283390045166, -3.6338648796081543, -2.6426141262054443, -0.37836503982543945, -2.695594310760498]",[100],<function elu at 0x000001796BE17E18>,1500,100,3.041689787005672,0.001
25,"[-0.07768607139587402, -0.07904115319252014, 1.2945811748504639, -5.626984596252441, -8.169865608215332, -9.133561134338379, -3.2482922077178955, 5.116519451141357, 1.1312110424041748, -1.8669283390045166, -3.6338648796081543, -2.6426141262054443, -0.37836503982543945, -2.695594310760498]",[100],<function relu at 0x000001796BE2A1E0>,1500,100,3.041689787005672,0.001
15,"[0.26569855213165283, 0.08956936746835709, 0.9137622117996216, -2.5719876289367676, -5.414377689361572, -5.080407619476318, -4.227748870849609, 1.0735660791397095, -1.8081722259521484, -0.8333879709243774, 0.06827060133218765, 2.1843318939208984, -0.6616593599319458, -5.900397300720215]","[100, 100]",<function elu at 0x000001796BE17E18>,1500,250,3.0547065905032404,0.0001
39,"[0.26569855213165283, 0.08956936746835709, 0.9137622117996216, -2.5719876289367676, -5.414377689361572, -5.080407619476318, -4.227748870849609, 1.0735660791397095, -1.8081722259521484, -0.8333879709243774, 0.06827060133218765, 2.1843318939208984, -0.6616593599319458, -5.900397300720215]","[100, 100]",<function relu at 0x000001796BE2A1E0>,1500,250,3.0547065905032404,0.0001
36,"[0.005296375602483749, 0.3132271468639374, 0.9025294184684753, -2.859135866165161, -6.7312846183776855, -6.449319839477539, -2.599543333053589, 3.632091999053955, -1.5239930152893066, 1.268828272819519, 5.953554630279541, 7.3261847496032715, 11.179842948913574, 13.37052059173584]","[100, 100]",<function relu at 0x000001796BE2A1E0>,1500,50,3.2302973190905524,0.0001
12,"[0.005296375602483749, 0.3132271468639374, 0.9025294184684753, -2.859135866165161, -6.7312846183776855, -6.449319839477539, -2.599543333053589, 3.632091999053955, -1.5239930152893066, 1.268828272819519, 5.953554630279541, 7.3261847496032715, 11.179842948913574, 13.37052059173584]","[100, 100]",<function elu at 0x000001796BE17E18>,1500,50,3.2302973190905524,0.0001
46,"[-0.0816594809293747, 0.355403333902359, 1.7659335136413574, -3.3650310039520264, -6.144949913024902, -4.793625831604004, -3.271897554397583, 2.1309516429901123, 0.3630326986312866, 2.0263803005218506, 4.876143932342529, 6.750933647155762, 2.3562514781951904, 0.666861355304718]","[100, 100, 100]",<function relu at 0x000001796BE2A1E0>,1500,123,3.300073048405745,0.0001
22,"[-0.0816594809293747, 0.355403333902359, 1.7659335136413574, -3.3650310039520264, -6.144949913024902, -4.793625831604004, -3.271897554397583, 2.1309516429901123, 0.3630326986312866, 2.0263803005218506, 4.876143932342529, 6.750933647155762, 2.3562514781951904, 0.666861355304718]","[100, 100, 100]",<function elu at 0x000001796BE17E18>,1500,123,3.300073048405745,0.0001
38,"[0.22714747488498688, 0.07492104172706604, 1.6031919717788696, -1.2993499040603638, -4.468393802642822, -5.379019737243652, -3.1101720333099365, 0.008722780272364616, -0.22525185346603394, 0.756393551826477, 2.3538053035736084, 1.3501261472702026, 2.4926209449768066, 2.8227169513702393]","[100, 100]",<function relu at 0x000001796BE2A1E0>,1500,123,3.435283853510538,0.0001
14,"[0.22714747488498688, 0.07492104172706604, 1.6031919717788696, -1.2993499040603638, -4.468393802642822, -5.379019737243652, -3.1101720333099365, 0.008722780272364616, -0.22525185346603394, 0.756393551826477, 2.3538053035736084, 1.3501261472702026, 2.4926209449768066, 2.8227169513702393]","[100, 100]",<function elu at 0x000001796BE17E18>,1500,123,3.435283853510538,0.0001
23,"[0.18225377798080444, -0.006054196506738663, 0.7791064977645874, -2.26882004737854, -4.3318610191345215, -4.684987545013428, -3.3795340061187744, -1.4810047149658203, -1.8184025287628174, -0.05494249239563942, 1.2768930196762085, 2.6341512203216553, 2.1539065837860107, -2.28570556640625]","[100, 100, 100]",<function elu at 0x000001796BE17E18>,1500,250,3.478954243171592,0.0001
47,"[0.18225377798080444, -0.006054196506738663, 0.7791064977645874, -2.26882004737854, -4.3318610191345215, -4.684987545013428, -3.3795340061187744, -1.4810047149658203, -1.8184025287628174, -0.05494249239563942, 1.2768930196762085, 2.6341512203216553, 2.1539065837860107, -2.28570556640625]","[100, 100, 100]",<function relu at 0x000001796BE2A1E0>,1500,250,3.478954243171592,0.0001
6,"[0.5313580632209778, 0.12941373884677887, 1.3702460527420044, -1.1722140312194824, -4.290683269500732, -3.4493539333343506, -3.9678122997283936, -2.4264020919799805, -3.5162336826324463, -2.4392898082733154, 0.6324083805084229, 4.314980983734131, 2.0859105587005615, -1.9553896188735962]",[100],<function elu at 0x000001796BE17E18>,1500,123,3.6476240701493268,0.0001
30,"[0.5313580632209778, 0.12941373884677887, 1.3702460527420044, -1.1722140312194824, -4.290683269500732, -3.4493539333343506, -3.9678122997283936, -2.4264020919799805, -3.5162336826324463, -2.4392898082733154, 0.6324083805084229, 4.314980983734131, 2.0859105587005615, -1.9553896188735962]",[100],<function relu at 0x000001796BE2A1E0>,1500,123,3.6476240701493268,0.0001
35,"[-0.39176300168037415, 0.2746407389640808, -0.9659776091575623, -4.521753311157227, -2.7476582527160645, -5.543319225311279, -2.066848039627075, -1.9717230796813965, -2.9694983959198, 0.2534424364566803, 6.980164051055908, 6.037956237792969, -7.517863750457764, -15.568801879882812]","[100, 100]",<function relu at 0x000001796BE2A1E0>,1500,250,4.011567267595873,0.001
