index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
36,"[0.30416086316108704, 1.0953874588012695, -1.7511769533157349, 1.5080264806747437, 2.7853245735168457, -2.368093729019165, -2.986175298690796, -4.025578022003174, -1.2430773973464966, 5.001247406005859, 2.760094404220581, 2.529832363128662, 3.0021419525146484, 3.5882949829101562]","[30, 30]",<function elu at 0x00000140D384EE18>,500,50,2.3483014290212205,0.01
180,"[0.30416086316108704, 1.0953874588012695, -1.7511769533157349, 1.5080264806747437, 2.7853245735168457, -2.368093729019165, -2.986175298690796, -4.025578022003174, -1.2430773973464966, 5.001247406005859, 2.760094404220581, 2.529832363128662, 3.0021419525146484, 3.5882949829101562]","[30, 30]",<function relu at 0x00000140D387D1E0>,500,50,2.3483014290212205,0.01
134,"[0.3998912572860718, 0.3675538897514343, 1.4212193489074707, 0.5087066888809204, -0.6311625838279724, -0.851944088935852, -0.6021425724029541, -0.42924660444259644, 0.16753555834293365, 0.12786413729190826, -1.1372283697128296, -3.4686837196350098, -3.3722479343414307, -1.741781234741211]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,500,250,2.3912367587119463,0.01
278,"[0.3998912572860718, 0.3675538897514343, 1.4212193489074707, 0.5087066888809204, -0.6311625838279724, -0.851944088935852, -0.6021425724029541, -0.42924660444259644, 0.16753555834293365, 0.12786413729190826, -1.1372283697128296, -3.4686837196350098, -3.3722479343414307, -1.741781234741211]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,500,250,2.3912367587119463,0.01
248,"[-0.06414046883583069, -0.17892920970916748, -0.40973109006881714, -0.49092912673950195, 0.15120545029640198, -1.2024879455566406, -1.0883276462554932, 0.7953737378120422, -0.10666092485189438, 0.7834271192550659, 1.4620163440704346, -0.7610308527946472, -1.6083884239196777, -5.295654773712158]",[30],<function relu at 0x00000140D387D1E0>,1000,50,2.4002752202826807,0.01
104,"[-0.06414046883583069, -0.17892920970916748, -0.40973109006881714, -0.49092912673950195, 0.15120545029640198, -1.2024879455566406, -1.0883276462554932, 0.7953737378120422, -0.10666092485189438, 0.7834271192550659, 1.4620163440704346, -0.7610308527946472, -1.6083884239196777, -5.295654773712158]",[30],<function elu at 0x00000140D384EE18>,1000,50,2.4002752202826807,0.01
130,"[0.3738698959350586, 0.1731538325548172, 0.5130225419998169, -0.13485710322856903, -1.0215809345245361, -0.8492103815078735, -0.5610805749893188, -0.32946085929870605, 0.3511381149291992, 0.5647625923156738, -1.9998371601104736, -3.1594021320343018, -2.5857198238372803, -1.3173713684082031]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,1000,250,2.4018451054373617,0.01
274,"[0.3738698959350586, 0.1731538325548172, 0.5130225419998169, -0.13485710322856903, -1.0215809345245361, -0.8492103815078735, -0.5610805749893188, -0.32946085929870605, 0.3511381149291992, 0.5647625923156738, -1.9998371601104736, -3.1594021320343018, -2.5857198238372803, -1.3173713684082031]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,1000,250,2.4018451054373617,0.01
62,"[-0.39079806208610535, 0.9450747966766357, 0.014805525541305542, 0.4571619927883148, 0.9636025428771973, -0.28924885392189026, -2.6132476329803467, -2.3683221340179443, -1.7974745035171509, -2.529104232788086, -1.8974703550338745, -1.4499882459640503, -0.6948865652084351, -1.265044093132019]","[10, 10]",<function elu at 0x00000140D384EE18>,500,250,2.410149249218614,0.01
206,"[-0.39079806208610535, 0.9450747966766357, 0.014805525541305542, 0.4571619927883148, 0.9636025428771973, -0.28924885392189026, -2.6132476329803467, -2.3683221340179443, -1.7974745035171509, -2.529104232788086, -1.8974703550338745, -1.4499882459640503, -0.6948865652084351, -1.265044093132019]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,250,2.410149249218614,0.01
253,"[0.04625949263572693, -0.2940346598625183, -0.6657434701919556, 0.7123651504516602, 0.33621683716773987, -0.2970212996006012, -0.8539937734603882, -1.3066703081130981, 0.2831191122531891, 1.091839075088501, 1.3924498558044434, 1.3216396570205688, 1.5743906497955322, 2.2725889682769775]",[30],<function relu at 0x00000140D387D1E0>,500,100,2.442998036258664,0.01
109,"[0.04625949263572693, -0.2940346598625183, -0.6657434701919556, 0.7123651504516602, 0.33621683716773987, -0.2970212996006012, -0.8539937734603882, -1.3066703081130981, 0.2831191122531891, 1.091839075088501, 1.3924498558044434, 1.3216396570205688, 1.5743906497955322, 2.2725889682769775]",[30],<function elu at 0x00000140D384EE18>,500,100,2.442998036258664,0.01
30,"[-0.0619540698826313, 0.2835584878921509, -0.6321991682052612, -0.7271389365196228, -0.9460686445236206, -1.655526041984558, -1.8017643690109253, -1.652117371559143, -0.9434228539466858, -0.20458099246025085, -1.0173516273498535, -1.8975703716278076, -2.6486077308654785, -1.572110652923584]","[30, 30]",<function elu at 0x00000140D384EE18>,500,250,2.454501463133443,0.001
174,"[-0.0619540698826313, 0.2835584878921509, -0.6321991682052612, -0.7271389365196228, -0.9460686445236206, -1.655526041984558, -1.8017643690109253, -1.652117371559143, -0.9434228539466858, -0.20458099246025085, -1.0173516273498535, -1.8975703716278076, -2.6486077308654785, -1.572110652923584]","[30, 30]",<function relu at 0x00000140D387D1E0>,500,250,2.454501463133443,0.001
58,"[-0.1487002968788147, 1.0710428953170776, 0.14136123657226562, 1.167677640914917, -0.08458644151687622, -2.1705026626586914, -4.101266860961914, -4.462784290313721, -3.8233695030212402, -4.420346736907959, -4.115005970001221, -4.395574569702148, -3.6489367485046387, -3.604340076446533]","[10, 10]",<function elu at 0x00000140D384EE18>,1000,250,2.5032694978211776,0.01
202,"[-0.1487002968788147, 1.0710428953170776, 0.14136123657226562, 1.167677640914917, -0.08458644151687622, -2.1705026626586914, -4.101266860961914, -4.462784290313721, -3.8233695030212402, -4.420346736907959, -4.115005970001221, -4.395574569702148, -3.6489367485046387, -3.604340076446533]","[10, 10]",<function relu at 0x00000140D387D1E0>,1000,250,2.5032694978211776,0.01
168,"[-0.16036422550678253, 0.09533202648162842, -0.03605951741337776, 0.9561610221862793, -0.2662782371044159, -0.6223360300064087, -0.3894147574901581, -1.6239973306655884, -1.8824442625045776, -1.607886552810669, -3.2402451038360596, -3.613126516342163, 0.43120092153549194, 4.54148530960083]","[30, 30]",<function relu at 0x00000140D387D1E0>,1000,50,2.5394310894421404,0.001
24,"[-0.16036422550678253, 0.09533202648162842, -0.03605951741337776, 0.9561610221862793, -0.2662782371044159, -0.6223360300064087, -0.3894147574901581, -1.6239973306655884, -1.8824442625045776, -1.607886552810669, -3.2402451038360596, -3.613126516342163, 0.43120092153549194, 4.54148530960083]","[30, 30]",<function elu at 0x00000140D384EE18>,1000,50,2.5394310894421404,0.001
26,"[-0.05386824160814285, 0.3578369915485382, -1.308545470237732, -1.442906141281128, -1.4089661836624146, -2.2028095722198486, -2.6347432136535645, -2.4772896766662598, -1.2032095193862915, -0.5323929786682129, -1.375288486480713, -3.435830593109131, -4.157917499542236, -2.837813138961792]","[30, 30]",<function elu at 0x00000140D384EE18>,1000,250,2.606150148519448,0.001
170,"[-0.05386824160814285, 0.3578369915485382, -1.308545470237732, -1.442906141281128, -1.4089661836624146, -2.2028095722198486, -2.6347432136535645, -2.4772896766662598, -1.2032095193862915, -0.5323929786682129, -1.375288486480713, -3.435830593109131, -4.157917499542236, -2.837813138961792]","[30, 30]",<function relu at 0x00000140D387D1E0>,1000,250,2.606150148519448,0.001
204,"[0.13861596584320068, 0.6327572464942932, -0.18998701870441437, 0.9474044442176819, 1.6461474895477295, 0.5690518617630005, 1.3012202978134155, 1.2868611812591553, 1.6506049633026123, 1.5032024383544922, 1.0710222721099854, 1.0256057977676392, 1.303213119506836, 1.418910026550293]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,50,2.6513577106430883,0.01
60,"[0.13861596584320068, 0.6327572464942932, -0.18998701870441437, 0.9474044442176819, 1.6461474895477295, 0.5690518617630005, 1.3012202978134155, 1.2868611812591553, 1.6506049633026123, 1.5032024383544922, 1.0710222721099854, 1.0256057977676392, 1.303213119506836, 1.418910026550293]","[10, 10]",<function elu at 0x00000140D384EE18>,500,50,2.6513577106430883,0.01
252,"[-0.2130182981491089, -0.23040693998336792, -0.2914329469203949, -0.6670894026756287, -0.6328831911087036, -0.8789639472961426, 0.1620160937309265, -0.09413784742355347, -0.2731696665287018, 1.7048139572143555, 1.5298625230789185, -1.413167953491211, 0.19800642132759094, -1.5471608638763428]",[30],<function relu at 0x00000140D387D1E0>,500,50,2.6514708536497413,0.01
108,"[-0.2130182981491089, -0.23040693998336792, -0.2914329469203949, -0.6670894026756287, -0.6328831911087036, -0.8789639472961426, 0.1620160937309265, -0.09413784742355347, -0.2731696665287018, 1.7048139572143555, 1.5298625230789185, -1.413167953491211, 0.19800642132759094, -1.5471608638763428]",[30],<function elu at 0x00000140D384EE18>,500,50,2.6514708536497413,0.01
22,"[0.08294259011745453, 0.4633709192276001, 0.6193873882293701, 0.3893849849700928, 0.31822240352630615, 0.45775431394577026, 1.097163438796997, 1.7238866090774536, 1.9638421535491943, 2.285482406616211, 2.5489938259124756, 2.2358789443969727, 2.398338556289673, 2.2355456352233887]",[10],<function elu at 0x00000140D384EE18>,500,250,2.656449007573178,0.0001
166,"[0.08294259011745453, 0.4633709192276001, 0.6193873882293701, 0.3893849849700928, 0.31822240352630615, 0.45775431394577026, 1.097163438796997, 1.7238866090774536, 1.9638421535491943, 2.285482406616211, 2.5489938259124756, 2.2358789443969727, 2.398338556289673, 2.2355456352233887]",[10],<function relu at 0x00000140D387D1E0>,500,250,2.656449007573178,0.0001
56,"[-0.03359954059123993, 0.5742782950401306, -0.7188196778297424, 0.8690562844276428, 1.4831950664520264, 0.3166344165802002, 1.1503146886825562, 0.9845474362373352, 1.556294322013855, 0.7875401973724365, 0.5690925717353821, 0.41559189558029175, -0.328146755695343, -0.0005635768175125122]","[10, 10]",<function elu at 0x00000140D384EE18>,1000,50,2.6579201882918113,0.01
200,"[-0.03359954059123993, 0.5742782950401306, -0.7188196778297424, 0.8690562844276428, 1.4831950664520264, 0.3166344165802002, 1.1503146886825562, 0.9845474362373352, 1.556294322013855, 0.7875401973724365, 0.5690925717353821, 0.41559189558029175, -0.328146755695343, -0.0005635768175125122]","[10, 10]",<function relu at 0x00000140D387D1E0>,1000,50,2.6579201882918113,0.01
132,"[0.46775490045547485, 0.8504381775856018, 0.5521479249000549, -1.2181885242462158, -2.0522449016571045, -1.7510316371917725, -4.65932035446167, -5.204879283905029, -4.427548885345459, -4.821765422821045, -4.37134313583374, -5.0807414054870605, -4.751013278961182, -3.348092555999756]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,500,50,2.6584835669285845,0.01
276,"[0.46775490045547485, 0.8504381775856018, 0.5521479249000549, -1.2181885242462158, -2.0522449016571045, -1.7510316371917725, -4.65932035446167, -5.204879283905029, -4.427548885345459, -4.821765422821045, -4.37134313583374, -5.0807414054870605, -4.751013278961182, -3.348092555999756]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,500,50,2.6584835669285845,0.01
21,"[0.08936921507120132, 0.2958957552909851, 0.09459714591503143, 0.3869200348854065, 0.5709705948829651, 0.641313374042511, 1.1059346199035645, 1.6510729789733887, 1.8889780044555664, 2.126047134399414, 2.642573356628418, 2.584038734436035, 2.062307834625244, 2.9429683685302734]",[10],<function elu at 0x00000140D384EE18>,500,100,2.6620149148693963,0.0001
165,"[0.08936921507120132, 0.2958957552909851, 0.09459714591503143, 0.3869200348854065, 0.5709705948829651, 0.641313374042511, 1.1059346199035645, 1.6510729789733887, 1.8889780044555664, 2.126047134399414, 2.642573356628418, 2.584038734436035, 2.062307834625244, 2.9429683685302734]",[10],<function relu at 0x00000140D387D1E0>,500,100,2.6620149148693963,0.0001
164,"[0.14738941192626953, -0.26166656613349915, -0.8611597418785095, -0.3388380706310272, 0.7263101935386658, 1.0465549230575562, 0.6838730573654175, 1.064134955406189, 1.6161929368972778, 1.590890645980835, 1.174040675163269, 0.9346957206726074, 0.9706552028656006, 1.249045491218567]",[10],<function relu at 0x00000140D387D1E0>,500,50,2.6848433128509157,0.0001
20,"[0.14738941192626953, -0.26166656613349915, -0.8611597418785095, -0.3388380706310272, 0.7263101935386658, 1.0465549230575562, 0.6838730573654175, 1.064134955406189, 1.6161929368972778, 1.590890645980835, 1.174040675163269, 0.9346957206726074, 0.9706552028656006, 1.249045491218567]",[10],<function elu at 0x00000140D384EE18>,500,50,2.6848433128509157,0.0001
214,"[0.10764311254024506, 0.1800854355096817, 0.271930992603302, 0.8052810430526733, 1.0179523229599, 1.1833038330078125, 0.7547197341918945, 1.4171876907348633, 1.832227110862732, 1.979509711265564, 1.6973916292190552, 1.9654470682144165, 1.931974172592163, 2.459933280944824]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,250,2.6860796835017258,0.0001
70,"[0.10764311254024506, 0.1800854355096817, 0.271930992603302, 0.8052810430526733, 1.0179523229599, 1.1833038330078125, 0.7547197341918945, 1.4171876907348633, 1.832227110862732, 1.979509711265564, 1.6973916292190552, 1.9654470682144165, 1.931974172592163, 2.459933280944824]","[10, 10]",<function elu at 0x00000140D384EE18>,500,250,2.6860796835017258,0.0001
217,"[0.06596960127353668, 0.26286885142326355, -0.8523311614990234, -0.29872870445251465, 0.026542916893959045, 0.5889602899551392, 1.0086411237716675, 2.3740732669830322, 3.5739006996154785, 7.38543701171875, 7.660722732543945, 4.114872932434082, 1.1059590578079224, -0.8813220262527466]","[30, 30, 30]",<function relu at 0x00000140D387D1E0>,1000,100,2.6887012036563145,0.001
73,"[0.06596960127353668, 0.26286885142326355, -0.8523311614990234, -0.29872870445251465, 0.026542916893959045, 0.5889602899551392, 1.0086411237716675, 2.3740732669830322, 3.5739006996154785, 7.38543701171875, 7.660722732543945, 4.114872932434082, 1.1059590578079224, -0.8813220262527466]","[30, 30, 30]",<function elu at 0x00000140D384EE18>,1000,100,2.6887012036563145,0.001
66,"[0.21937109529972076, 0.22589094936847687, 0.4644000232219696, 0.9931898713111877, 1.2398625612258911, 1.2060770988464355, 0.9523472189903259, 1.2286038398742676, 1.7270046472549438, 1.7048710584640503, 1.2078391313552856, 1.4768487215042114, 1.704558253288269, 1.941594123840332]","[10, 10]",<function elu at 0x00000140D384EE18>,1000,250,2.694314921533729,0.0001
210,"[0.21937109529972076, 0.22589094936847687, 0.4644000232219696, 0.9931898713111877, 1.2398625612258911, 1.2060770988464355, 0.9523472189903259, 1.2286038398742676, 1.7270046472549438, 1.7048710584640503, 1.2078391313552856, 1.4768487215042114, 1.704558253288269, 1.941594123840332]","[10, 10]",<function relu at 0x00000140D387D1E0>,1000,250,2.694314921533729,0.0001
59,"[-0.36091452836990356, 0.6305339336395264, 1.0242036581039429, -0.28666049242019653, -1.6345319747924805, -0.6038368344306946, -1.1704072952270508, -0.5411253571510315, 1.4224430322647095, 4.942607402801514, 3.709470510482788, 4.133248329162598, 2.7627553939819336, 3.6238086223602295]","[10, 10]",<function elu at 0x00000140D384EE18>,1000,150,2.6946312972822075,0.01
203,"[-0.36091452836990356, 0.6305339336395264, 1.0242036581039429, -0.28666049242019653, -1.6345319747924805, -0.6038368344306946, -1.1704072952270508, -0.5411253571510315, 1.4224430322647095, 4.942607402801514, 3.709470510482788, 4.133248329162598, 2.7627553939819336, 3.6238086223602295]","[10, 10]",<function relu at 0x00000140D387D1E0>,1000,150,2.6946312972822075,0.01
63,"[-0.7019138336181641, 0.1755370795726776, 0.31710144877433777, 0.4792238771915436, 0.35951289534568787, 0.39169374108314514, -0.7517004013061523, -0.7831716537475586, -0.21379661560058594, 0.9973255395889282, 0.41706112027168274, 0.7266885042190552, -0.3715880215167999, 2.0923190116882324]","[10, 10]",<function elu at 0x00000140D384EE18>,500,150,2.70039885122966,0.01
207,"[-0.7019138336181641, 0.1755370795726776, 0.31710144877433777, 0.4792238771915436, 0.35951289534568787, 0.39169374108314514, -0.7517004013061523, -0.7831716537475586, -0.21379661560058594, 0.9973255395889282, 0.41706112027168274, 0.7266885042190552, -0.3715880215167999, 2.0923190116882324]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,150,2.70039885122966,0.01
42,"[-0.023593945428729057, -0.018370425328612328, 0.3987759053707123, 0.3746184706687927, 0.5699312090873718, 0.7766713500022888, 0.8633504509925842, 0.5340412855148315, -0.08492325991392136, 0.5486840605735779, 2.411041021347046, 3.1332623958587646, 1.8214954137802124, 1.7893086671829224]","[30, 30]",<function elu at 0x00000140D384EE18>,1000,250,2.7080456410988902,0.0001
186,"[-0.023593945428729057, -0.018370425328612328, 0.3987759053707123, 0.3746184706687927, 0.5699312090873718, 0.7766713500022888, 0.8633504509925842, 0.5340412855148315, -0.08492325991392136, 0.5486840605735779, 2.411041021347046, 3.1332623958587646, 1.8214954137802124, 1.7893086671829224]","[30, 30]",<function relu at 0x00000140D387D1E0>,1000,250,2.7080456410988902,0.0001
286,"[0.15341442823410034, 0.21085110306739807, 0.6837604641914368, 0.8608828783035278, 0.9091123342514038, 1.1176629066467285, 1.0101585388183594, 1.1282061338424683, 1.00206458568573, 0.8888515830039978, 0.8491813540458679, 1.2207225561141968, 1.985666275024414, 2.390148162841797]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,500,250,2.718637291902633,0.0001
142,"[0.15341442823410034, 0.21085110306739807, 0.6837604641914368, 0.8608828783035278, 0.9091123342514038, 1.1176629066467285, 1.0101585388183594, 1.1282061338424683, 1.00206458568573, 0.8888515830039978, 0.8491813540458679, 1.2207225561141968, 1.985666275024414, 2.390148162841797]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,500,250,2.718637291902633,0.0001
