index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
11,"[0.7124554514884949, -0.27683305740356445, -0.5454158186912537, -0.823485791683197, -0.21633581817150116, 0.2100944072008133, -1.6911296844482422, -1.3401345014572144, 0.21137090027332306, -0.7791751027107239, -1.55201256275177, -1.8486069440841675, -2.609577178955078, 0.21736223995685577]",[50],<function elu at 0x000001BAEC539E18>,500,250,1.9784038869594578,0.01
23,"[0.7124554514884949, -0.27683305740356445, -0.5454158186912537, -0.823485791683197, -0.21633581817150116, 0.2100944072008133, -1.6911296844482422, -1.3401345014572144, 0.21137090027332306, -0.7791751027107239, -1.55201256275177, -1.8486069440841675, -2.609577178955078, 0.21736223995685577]",[50],<function relu at 0x000001BAEC5371E0>,500,250,1.9784038869594578,0.01
9,"[0.7502682209014893, 0.44552966952323914, -1.0051524639129639, -2.5960872173309326, -1.5099589824676514, 0.043193936347961426, -0.8348147869110107, -1.4665582180023193, -3.2721049785614014, -1.5964056253433228, 3.2777950763702393, 3.994178056716919, 3.1458933353424072, -0.6998304128646851]",[50],<function elu at 0x000001BAEC539E18>,500,50,2.1576183455417435,0.01
21,"[0.7502682209014893, 0.44552966952323914, -1.0051524639129639, -2.5960872173309326, -1.5099589824676514, 0.043193936347961426, -0.8348147869110107, -1.4665582180023193, -3.2721049785614014, -1.5964056253433228, 3.2777950763702393, 3.994178056716919, 3.1458933353424072, -0.6998304128646851]",[50],<function relu at 0x000001BAEC5371E0>,500,50,2.1576183455417435,0.01
3,"[0.4363210201263428, 0.048515915870666504, -1.6326732635498047, -1.187694787979126, 0.3633955121040344, 1.2008352279663086, -0.5220223069190979, -0.5160985589027405, -4.629180908203125, 1.5740063190460205, 2.8716962337493896, 1.3340325355529785, 0.2936441898345947, 0.6199154853820801]",[100],<function elu at 0x000001BAEC539E18>,500,50,2.4450252873772866,0.01
15,"[0.4363210201263428, 0.048515915870666504, -1.6326732635498047, -1.187694787979126, 0.3633955121040344, 1.2008352279663086, -0.5220223069190979, -0.5160985589027405, -4.629180908203125, 1.5740063190460205, 2.8716962337493896, 1.3340325355529785, 0.2936441898345947, 0.6199154853820801]",[100],<function relu at 0x000001BAEC5371E0>,500,50,2.4450252873772866,0.01
6,"[0.6342042088508606, -0.10869434475898743, -0.31049248576164246, 0.17195209860801697, 1.180789589881897, 1.1575273275375366, 0.2945134937763214, 1.5906862020492554, 1.010830044746399, 0.3054873049259186, 1.016237735748291, 0.9677906632423401, 1.1908180713653564, 0.6998783946037292]",[50],<function elu at 0x000001BAEC539E18>,500,50,2.5402571876482645,0.1
18,"[0.6342042088508606, -0.10869434475898743, -0.31049248576164246, 0.17195209860801697, 1.180789589881897, 1.1575273275375366, 0.2945134937763214, 1.5906862020492554, 1.010830044746399, 0.3054873049259186, 1.016237735748291, 0.9677906632423401, 1.1908180713653564, 0.6998783946037292]",[50],<function relu at 0x000001BAEC5371E0>,500,50,2.5402571876482645,0.1
10,"[0.7755670547485352, 0.30296289920806885, -0.6797264814376831, -1.4174158573150635, -0.9320012927055359, 0.8665571808815002, 1.2116785049438477, 1.4100385904312134, -0.18426448106765747, 0.26243627071380615, 0.7617126703262329, 0.22825658321380615, 0.6569470763206482, 0.27671098709106445]",[50],<function elu at 0x000001BAEC539E18>,500,100,2.588270539924547,0.01
22,"[0.7755670547485352, 0.30296289920806885, -0.6797264814376831, -1.4174158573150635, -0.9320012927055359, 0.8665571808815002, 1.2116785049438477, 1.4100385904312134, -0.18426448106765747, 0.26243627071380615, 0.7617126703262329, 0.22825658321380615, 0.6569470763206482, 0.27671098709106445]",[50],<function relu at 0x000001BAEC5371E0>,500,100,2.588270539924547,0.01
4,"[0.5048593282699585, 0.17708812654018402, -1.8113603591918945, -2.185321807861328, -0.5714649558067322, 1.579667091369629, 0.8584533333778381, 0.6116546392440796, -0.3151199221611023, 0.5475313663482666, 1.0141483545303345, 0.3768773078918457, 2.1930081844329834, 2.029768943786621]",[100],<function elu at 0x000001BAEC539E18>,500,100,2.8163632012701516,0.01
16,"[0.5048593282699585, 0.17708812654018402, -1.8113603591918945, -2.185321807861328, -0.5714649558067322, 1.579667091369629, 0.8584533333778381, 0.6116546392440796, -0.3151199221611023, 0.5475313663482666, 1.0141483545303345, 0.3768773078918457, 2.1930081844329834, 2.029768943786621]",[100],<function relu at 0x000001BAEC5371E0>,500,100,2.8163632012701516,0.01
5,"[0.6468044519424438, 0.15694966912269592, -1.8844361305236816, -1.3396151065826416, 0.154641792178154, 4.3547234535217285, 2.8794848918914795, 0.12876038253307343, -1.2376610040664673, -0.1996387243270874, -4.0157151222229, -3.0217227935791016, 1.9052693843841553, 2.078831911087036]",[100],<function elu at 0x000001BAEC539E18>,500,250,3.7866391055226556,0.01
17,"[0.6468044519424438, 0.15694966912269592, -1.8844361305236816, -1.3396151065826416, 0.154641792178154, 4.3547234535217285, 2.8794848918914795, 0.12876038253307343, -1.2376610040664673, -0.1996387243270874, -4.0157151222229, -3.0217227935791016, 1.9052693843841553, 2.078831911087036]",[100],<function relu at 0x000001BAEC5371E0>,500,250,3.7866391055226556,0.01
8,"[-1.177834391593933, -5.377239227294922, -6.6511101722717285, 3.989651918411255, -3.2344725131988525, -5.6211724281311035, 1.7720057964324951, 1.6452250480651855, 1.4948647022247314, 2.5506913661956787, 1.3571655750274658, 0.18504422903060913, 0.756982147693634, 0.8786221146583557]",[50],<function elu at 0x000001BAEC539E18>,500,250,5.641670765753553,0.1
20,"[-1.177834391593933, -5.377239227294922, -6.6511101722717285, 3.989651918411255, -3.2344725131988525, -5.6211724281311035, 1.7720057964324951, 1.6452250480651855, 1.4948647022247314, 2.5506913661956787, 1.3571655750274658, 0.18504422903060913, 0.756982147693634, 0.8786221146583557]",[50],<function relu at 0x000001BAEC5371E0>,500,250,5.641670765753553,0.1
19,"[-5.703259468078613, 13.366240501403809, -13.94848346710205, 0.6440854072570801, 11.563101768493652, 0.4494953155517578, 2.0910558700561523, 8.03282642364502, -32.05449676513672, -3.2450780868530273, 21.695877075195312, 101.965087890625, 29.608020782470703, 32.79361343383789]",[50],<function relu at 0x000001BAEC5371E0>,500,100,9.190238680280448,0.1
7,"[-5.703259468078613, 13.366240501403809, -13.94848346710205, 0.6440854072570801, 11.563101768493652, 0.4494953155517578, 2.0910558700561523, 8.03282642364502, -32.05449676513672, -3.2450780868530273, 21.695877075195312, 101.965087890625, 29.608020782470703, 32.79361343383789]",[50],<function elu at 0x000001BAEC539E18>,500,100,9.190238680280448,0.1
14,"[3.090773820877075, 37.21599578857422, -17.15841293334961, 12.935375213623047, -46.416038513183594, 23.925485610961914, -21.23442840576172, -31.132606506347656, 10.586465835571289, -26.246253967285156, -33.35680389404297, -5.690089702606201, 31.943307876586914, 129.1280517578125]",[100],<function relu at 0x000001BAEC5371E0>,500,250,26.049967442104307,0.1
