index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
3,"[0.18948784470558167, 0.9475325345993042, 1.0784460306167603, 2.2913317680358887, 0.19208569824695587, -1.4985910654067993, -1.1551746129989624, 0.4721699655056, 1.913291335105896, 1.9864214658737183, -2.4130563735961914, -4.173495292663574, -2.890533208847046, -6.685794353485107]",[100],<function elu at 0x000001F88CF5A6A8>,500,50,3.2125904416873574,0.01
15,"[0.18948784470558167, 0.9475325345993042, 1.0784460306167603, 2.2913317680358887, 0.19208569824695587, -1.4985910654067993, -1.1551746129989624, 0.4721699655056, 1.913291335105896, 1.9864214658737183, -2.4130563735961914, -4.173495292663574, -2.890533208847046, -6.685794353485107]",[100],<function relu at 0x000001F88CF8A9D8>,500,50,3.2125904416873574,0.01
18,"[0.35005149245262146, 0.5332642793655396, 0.9474055767059326, 1.0979018211364746, -0.04249569773674011, 0.1476879119873047, 0.23299801349639893, -0.11437481641769409, -0.5400534868240356, -0.6772916316986084, -0.7158159017562866, -0.381282240152359, -0.36261317133903503, -0.49861517548561096]",[50],<function relu at 0x000001F88CF8A9D8>,500,50,3.4136354267561955,0.1
6,"[0.35005149245262146, 0.5332642793655396, 0.9474055767059326, 1.0979018211364746, -0.04249569773674011, 0.1476879119873047, 0.23299801349639893, -0.11437481641769409, -0.5400534868240356, -0.6772916316986084, -0.7158159017562866, -0.381282240152359, -0.36261317133903503, -0.49861517548561096]",[50],<function elu at 0x000001F88CF5A6A8>,500,50,3.4136354267561955,0.1
17,"[0.10931883007287979, 0.9910026788711548, 1.6694809198379517, 2.5840330123901367, 0.5504503846168518, -1.3150267601013184, -1.1492847204208374, -0.09498927742242813, -4.309179306030273, -5.548001289367676, -7.619922637939453, -4.669442176818848, -2.3011603355407715, 3.2497377395629883]",[100],<function relu at 0x000001F88CF8A9D8>,500,250,3.4142646395394807,0.01
5,"[0.10931883007287979, 0.9910026788711548, 1.6694809198379517, 2.5840330123901367, 0.5504503846168518, -1.3150267601013184, -1.1492847204208374, -0.09498927742242813, -4.309179306030273, -5.548001289367676, -7.619922637939453, -4.669442176818848, -2.3011603355407715, 3.2497377395629883]",[100],<function elu at 0x000001F88CF5A6A8>,500,250,3.4142646395394807,0.01
4,"[0.13364911079406738, 1.0953019857406616, 1.6969966888427734, 2.4473233222961426, 0.3673027455806732, 0.12976768612861633, -2.0399861335754395, -3.120830535888672, -5.369675159454346, -11.586946487426758, -10.105046272277832, -7.116347312927246, -4.421024322509766, -3.376767635345459]",[100],<function elu at 0x000001F88CF5A6A8>,500,100,3.4761718005070867,0.01
16,"[0.13364911079406738, 1.0953019857406616, 1.6969966888427734, 2.4473233222961426, 0.3673027455806732, 0.12976768612861633, -2.0399861335754395, -3.120830535888672, -5.369675159454346, -11.586946487426758, -10.105046272277832, -7.116347312927246, -4.421024322509766, -3.376767635345459]",[100],<function relu at 0x000001F88CF8A9D8>,500,100,3.4761718005070867,0.01
11,"[0.016504257917404175, 0.54867023229599, 0.9379763007164001, 1.8716872930526733, 2.059692144393921, 0.2024025171995163, -2.144625663757324, -3.364840269088745, -2.4774410724639893, -9.779778480529785, -12.896065711975098, -11.387410163879395, -6.756180763244629, -1.1328113079071045]",[50],<function elu at 0x000001F88CF5A6A8>,500,250,3.5760344413664056,0.01
23,"[0.016504257917404175, 0.54867023229599, 0.9379763007164001, 1.8716872930526733, 2.059692144393921, 0.2024025171995163, -2.144625663757324, -3.364840269088745, -2.4774410724639893, -9.779778480529785, -12.896065711975098, -11.387410163879395, -6.756180763244629, -1.1328113079071045]",[50],<function relu at 0x000001F88CF8A9D8>,500,250,3.5760344413664056,0.01
8,"[0.6457542777061462, -1.898115873336792, 0.03519275784492493, 0.41840606927871704, 1.756218433380127, 1.1337666511535645, 0.2355065941810608, 0.8206220269203186, 0.45490890741348267, -0.5213379859924316, 0.46443992853164673, 1.4858036041259766, -0.4244856834411621, 0.5005670189857483]",[50],<function elu at 0x000001F88CF5A6A8>,500,250,3.745660204874463,0.1
20,"[0.6457542777061462, -1.898115873336792, 0.03519275784492493, 0.41840606927871704, 1.756218433380127, 1.1337666511535645, 0.2355065941810608, 0.8206220269203186, 0.45490890741348267, -0.5213379859924316, 0.46443992853164673, 1.4858036041259766, -0.4244856834411621, 0.5005670189857483]",[50],<function relu at 0x000001F88CF8A9D8>,500,250,3.745660204874463,0.1
21,"[0.3079428970813751, 0.82878178358078, 0.8589268326759338, 2.340271234512329, 1.6980994939804077, -0.09780483692884445, -0.5445923209190369, -1.773984432220459, -3.80981707572937, -3.7863473892211914, -2.492737293243408, -3.4852402210235596, -2.9311647415161133, 1.88686203956604]",[50],<function relu at 0x000001F88CF8A9D8>,500,50,3.7639571995197376,0.01
9,"[0.3079428970813751, 0.82878178358078, 0.8589268326759338, 2.340271234512329, 1.6980994939804077, -0.09780483692884445, -0.5445923209190369, -1.773984432220459, -3.80981707572937, -3.7863473892211914, -2.492737293243408, -3.4852402210235596, -2.9311647415161133, 1.88686203956604]",[50],<function elu at 0x000001F88CF5A6A8>,500,50,3.7639571995197376,0.01
10,"[0.17049983143806458, 0.5166443586349487, 1.3270597457885742, 2.4120311737060547, 2.044829845428467, 0.7185739278793335, -0.12467032670974731, -1.3218961954116821, -1.2025096416473389, 0.10948801040649414, 2.5330328941345215, 0.6990203857421875, -2.382660150527954, -1.8329942226409912]",[50],<function elu at 0x000001F88CF5A6A8>,500,100,4.03440762172772,0.01
22,"[0.17049983143806458, 0.5166443586349487, 1.3270597457885742, 2.4120311737060547, 2.044829845428467, 0.7185739278793335, -0.12467032670974731, -1.3218961954116821, -1.2025096416473389, 0.10948801040649414, 2.5330328941345215, 0.6990203857421875, -2.382660150527954, -1.8329942226409912]",[50],<function relu at 0x000001F88CF8A9D8>,500,100,4.03440762172772,0.01
7,"[1.2325756549835205, -6.124149322509766, 6.100459575653076, 10.394987106323242, -23.912166595458984, 1.0923936367034912, -18.736818313598633, 15.482852935791016, 9.374682426452637, -6.848485469818115, -9.630958557128906, 9.669946670532227, -35.93527603149414, -2.187858819961548]",[50],<function elu at 0x000001F88CF5A6A8>,500,100,11.263411419905463,0.1
19,"[1.2325756549835205, -6.124149322509766, 6.100459575653076, 10.394987106323242, -23.912166595458984, 1.0923936367034912, -18.736818313598633, 15.482852935791016, 9.374682426452637, -6.848485469818115, -9.630958557128906, 9.669946670532227, -35.93527603149414, -2.187858819961548]",[50],<function relu at 0x000001F88CF8A9D8>,500,100,11.263411419905463,0.1
14,"[1.936988115310669, 32.6292839050293, 16.61551856994629, 15.792703628540039, 14.29847240447998, 2.8178884983062744, 10.803954124450684, 4.725558280944824, -18.697465896606445, 18.61769676208496, -5.064345359802246, -2.1603124141693115, 3.564577341079712, -22.598129272460938]",[100],<function relu at 0x000001F88CF8A9D8>,500,250,18.629219334684624,0.1
2,"[1.936988115310669, 32.6292839050293, 16.61551856994629, 15.792703628540039, 14.29847240447998, 2.8178884983062744, 10.803954124450684, 4.725558280944824, -18.697465896606445, 18.61769676208496, -5.064345359802246, -2.1603124141693115, 3.564577341079712, -22.598129272460938]",[100],<function elu at 0x000001F88CF5A6A8>,500,250,18.629219334684624,0.1
12,"[-15.737504005432129, 25.360774993896484, 265.6419677734375, 399.5623779296875, 100.27591705322266, 115.29136657714844, -103.82574462890625, -198.9468536376953, 64.52520751953125, 104.03217315673828, -13.376606941223145, -26.56263542175293, 68.5002212524414, 78.45992279052734]",[100],<function relu at 0x000001F88CF8A9D8>,500,50,195.79852488645372,0.1
0,"[-15.737504005432129, 25.360774993896484, 265.6419677734375, 399.5623779296875, 100.27591705322266, 115.29136657714844, -103.82574462890625, -198.9468536376953, 64.52520751953125, 104.03217315673828, -13.376606941223145, -26.56263542175293, 68.5002212524414, 78.45992279052734]",[100],<function elu at 0x000001F88CF5A6A8>,500,50,195.79852488645372,0.1
13,"[-23.670969009399414, 48.09275436401367, 312.1525573730469, 287.2530212402344, 173.09776306152344, 273.28057861328125, 437.2740478515625, 45.78589630126953, -224.7884063720703, 91.25348663330078, -8.070304870605469, -46.187835693359375, 551.1522827148438, -167.64259338378906]",[100],<function relu at 0x000001F88CF8A9D8>,500,100,264.0184556404904,0.1
1,"[-23.670969009399414, 48.09275436401367, 312.1525573730469, 287.2530212402344, 173.09776306152344, 273.28057861328125, 437.2740478515625, 45.78589630126953, -224.7884063720703, 91.25348663330078, -8.070304870605469, -46.187835693359375, 551.1522827148438, -167.64259338378906]",[100],<function elu at 0x000001F88CF5A6A8>,500,100,264.0184556404904,0.1
