fecha,prediccion,real,precios
11-10-2018,0.6383834679921468,1.91780821917809,3.72
12-10-2018,0.03395967682202657,2.1739130434782505,3.76
15-10-2018,-0.22379298011461893,-2.150537634408604,3.64
16-10-2018,-0.23223217328389487,-3.1496062992126013,3.69
17-10-2018,-0.4268365800380707,-1.5665796344647533,3.77
18-10-2018,-2.405757109324137,-3.1578947368420964,3.68
19-10-2018,-3.456313371658325,-4.787234042553184,3.58
22-10-2018,-3.478864590326945,,
23-10-2018,-3.7347989082336426,,
24-10-2018,-4.4412375291188555,,
25-10-2018,-4.076386372248332,,
26-10-2018,-2.675110856691996,,
29-10-2018,-1.4357661406199138,,
30-10-2018,0.5788404941558838,,
