index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
111,"[0.5687112212181091, 0.7506885528564453, 0.3511670231819153, -0.7257145643234253, -3.138326406478882, -1.847999930381775, -5.009368896484375, -5.304150104522705, -1.940895438194275, 0.5688409209251404, 2.202937126159668, 0.05809260904788971, -3.9118857383728027, 1.4671926498413086]",[500],<function relu at 0x000001C039BA61E0>,1000,100,1.6844992951870765,0.005
39,"[0.5687112212181091, 0.7506885528564453, 0.3511670231819153, -0.7257145643234253, -3.138326406478882, -1.847999930381775, -5.009368896484375, -5.304150104522705, -1.940895438194275, 0.5688409209251404, 2.202937126159668, 0.05809260904788971, -3.9118857383728027, 1.4671926498413086]",[500],<function elu at 0x000001C039B85E18>,1000,100,1.6844992951870765,0.005
135,"[0.48415911197662354, 1.0748480558395386, 0.029905572533607483, -0.7505298852920532, -1.2863208055496216, -2.3409571647644043, -2.7098920345306396, -1.1604374647140503, -3.3962783813476562, -4.067587852478027, -1.1637212038040161, -0.5191868543624878, -3.8094420433044434, -4.79410457611084]",[1000],<function relu at 0x000001C039BA61E0>,1000,100,2.00815722548159,0.005
63,"[0.48415911197662354, 1.0748480558395386, 0.029905572533607483, -0.7505298852920532, -1.2863208055496216, -2.3409571647644043, -2.7098920345306396, -1.1604374647140503, -3.3962783813476562, -4.067587852478027, -1.1637212038040161, -0.5191868543624878, -3.8094420433044434, -4.79410457611084]",[1000],<function elu at 0x000001C039B85E18>,1000,100,2.00815722548159,0.005
36,"[0.5550159215927124, 1.0261332988739014, -0.238206148147583, 0.03829958289861679, -0.022388219833374023, -0.6647722721099854, -3.5817673206329346, -5.056139945983887, -2.5382978916168213, -0.8202120065689087, -1.472556233406067, -3.26629900932312, -0.27581366896629333, 1.2924350500106812]",[500],<function elu at 0x000001C039B85E18>,500,100,2.287493309650285,0.005
108,"[0.5550159215927124, 1.0261332988739014, -0.238206148147583, 0.03829958289861679, -0.022388219833374023, -0.6647722721099854, -3.5817673206329346, -5.056139945983887, -2.5382978916168213, -0.8202120065689087, -1.472556233406067, -3.26629900932312, -0.27581366896629333, 1.2924350500106812]",[500],<function relu at 0x000001C039BA61E0>,500,100,2.287493309650285,0.005
86,"[0.6329394578933716, 0.9638926982879639, -0.11534395813941956, -1.0141857862472534, -0.9102283120155334, -0.3850563168525696, -1.6620988845825195, -4.005335330963135, -1.199394702911377, 0.5237024426460266, 0.028704466298222542, 2.447280168533325, 6.295429229736328, 13.002662658691406]",[100],<function relu at 0x000001C039BA61E0>,500,250,2.4048248218960966,0.005
14,"[0.6329394578933716, 0.9638926982879639, -0.11534395813941956, -1.0141857862472534, -0.9102283120155334, -0.3850563168525696, -1.6620988845825195, -4.005335330963135, -1.199394702911377, 0.5237024426460266, 0.028704466298222542, 2.447280168533325, 6.295429229736328, 13.002662658691406]",[100],<function elu at 0x000001C039B85E18>,500,250,2.4048248218960966,0.005
64,"[0.08045843243598938, 1.3039129972457886, 0.3047063946723938, -0.9245855212211609, -2.591820478439331, -2.2662646770477295, -0.7291061878204346, -0.6956343054771423, -1.7903907299041748, -2.079623222351074, -3.3936519622802734, -2.9915237426757812, -3.205263614654541, -1.3195899724960327]",[1000],<function elu at 0x000001C039B85E18>,1000,500,2.493073075888116,0.005
136,"[0.08045843243598938, 1.3039129972457886, 0.3047063946723938, -0.9245855212211609, -2.591820478439331, -2.2662646770477295, -0.7291061878204346, -0.6956343054771423, -1.7903907299041748, -2.079623222351074, -3.3936519622802734, -2.9915237426757812, -3.205263614654541, -1.3195899724960327]",[1000],<function relu at 0x000001C039BA61E0>,1000,500,2.493073075888116,0.005
59,"[0.5837152600288391, 0.9554712176322937, -0.688157320022583, -0.6538347601890564, -1.333194375038147, -1.6486986875534058, -0.37195244431495667, 3.911726236343384, 3.4562811851501465, 1.8792144060134888, 3.3976540565490723, 3.259490966796875, 5.338768005371094, 4.141988277435303]",[1000],<function elu at 0x000001C039B85E18>,1000,250,2.5948491489211736,0.001
131,"[0.5837152600288391, 0.9554712176322937, -0.688157320022583, -0.6538347601890564, -1.333194375038147, -1.6486986875534058, -0.37195244431495667, 3.911726236343384, 3.4562811851501465, 1.8792144060134888, 3.3976540565490723, 3.259490966796875, 5.338768005371094, 4.141988277435303]",[1000],<function relu at 0x000001C039BA61E0>,1000,250,2.5948491489211736,0.001
