index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
143,"[-1.0173327922821045, 1.5796607732772827, -0.2669828236103058, -6.580960273742676, -4.444914817810059, -6.507578372955322, -6.425854682922363, -5.044820308685303, -2.5995354652404785, 0.6508874893188477, 3.259328842163086, 3.074965238571167, 3.343748092651367, 2.9575507640838623]",[75],<function relu at 0x000001E20F90C1E0>,1500,200,2.5568417513188106,0.01
101,"[-0.9079641699790955, -2.269249439239502, -6.420312404632568, -2.2274224758148193, -1.9929827451705933, -9.767342567443848, -5.694777011871338, -1.5615335702896118, -0.07052306830883026, 2.1531031131744385, 1.3571910858154297, 2.637739419937134, 6.711427688598633, 0.5823019742965698]","[30, 30, 30]",<function relu at 0x000001E20F90C1E0>,1500,100,2.619830803513052,0.01
114,"[-0.14905159175395966, -0.6118981838226318, -0.8044685125350952, -1.9199475049972534, -4.89106559753418, -3.9018561840057373, -1.222724437713623, 0.5701091289520264, 1.9913746118545532, 3.723532199859619, 4.91759729385376, 5.577468395233154, 5.557258129119873, 3.9745593070983887]","[10, 10, 10]",<function relu at 0x000001E20F90C1E0>,1500,150,2.715563065995173,0.001
90,"[-1.3719309568405151, -0.8917396068572998, -1.2655694484710693, -1.122164011001587, -2.5595250129699707, -3.0192275047302246, -2.5950379371643066, -2.07440447807312, -2.812777280807495, -3.947676658630371, -4.817200660705566, -6.779912948608398, -7.914366722106934, -9.979257583618164]","[10, 10]",<function relu at 0x000001E20F90C1E0>,1500,150,2.8622472263978134,0.001
106,"[-0.03184608742594719, -0.14980630576610565, -1.054677128791809, -1.023970127105713, -2.969437837600708, -4.146317481994629, -3.897371768951416, -0.7961559295654297, -1.2097587585449219, -0.4114592969417572, 1.4722371101379395, 1.4366464614868164, 2.2837796211242676, 0.6333703398704529]",[30],<function relu at 0x000001E20F90C1E0>,1500,150,2.8858190996434248,0.001
141,"[-1.154610276222229, 0.9057199358940125, 0.17170386016368866, -2.8568384647369385, -4.219035625457764, -3.974992275238037, -0.2564569115638733, 2.4685869216918945, 7.741132736206055, -1.523357629776001, 0.8842023015022278, 3.369856357574463, 4.711455345153809, 1.7829258441925049]",[75],<function relu at 0x000001E20F90C1E0>,1500,100,2.9633944705256035,0.01
30,"[-0.9737902879714966, -1.483518362045288, 0.06165456771850586, -4.599512100219727, -2.916050672531128, -3.103522300720215, 0.8778562545776367, 2.649881362915039, 3.6495487689971924, 3.7879464626312256, 1.6895222663879395, 3.7395260334014893, -0.563740611076355, 7.386871337890625]","[30, 30, 30]",<function elu at 0x000001E20F90EE18>,1500,150,3.051528628049134,0.01
117,"[-0.8329230546951294, -0.4174267053604126, -1.5884748697280884, -4.424628257751465, -6.164675235748291, -5.209274768829346, 3.0077285766601562, 1.2395150661468506, 0.8401862382888794, 1.1247661113739014, 2.517651081085205, 2.399169921875, 2.869318962097168, -0.45695793628692627]","[10, 10, 10]",<function relu at 0x000001E20F90C1E0>,1500,100,3.084652709693622,0.01
135,"[-1.6269887685775757, -0.15491002798080444, 0.20127145946025848, -2.676480293273926, 0.16965341567993164, -5.864405632019043, -1.5733352899551392, -5.68250036239624, -8.206369400024414, -5.788886070251465, -4.708562850952148, -5.354997158050537, -2.334817886352539, -1.843774676322937]",[50],<function relu at 0x000001E20F90C1E0>,1500,200,3.0969498296083695,0.01
40,"[-0.03756284713745117, -0.17651325464248657, 0.9557851552963257, -0.4079288840293884, -2.619231939315796, -5.894131660461426, -5.154728412628174, -4.801845550537109, -4.145576477050781, -2.312488555908203, -2.967965602874756, -3.025921106338501, 4.8694562911987305, 9.411972045898438]","[10, 10, 10]",<function elu at 0x000001E20F90EE18>,1500,50,3.2119035716598465,0.001
