index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
229,"[1.0466599464416504, -1.393949031829834, -1.6837791204452515, -1.2313810586929321, -2.195706844329834, 0.595132052898407, 0.293347030878067, 0.9156090617179871, 0.8151076436042786, -1.3237814903259277, 0.9303342700004578, 0.9712880849838257, -2.7564857006073, -4.568671703338623]","[30, 30, 30]",<function relu at 0x0000024BB006F1E0>,500,100,2.081728106032174,0.01
82,"[1.1028577089309692, -0.27323317527770996, -1.155131220817566, -1.4666515588760376, -2.1878597736358643, 0.44718244671821594, -1.1110302209854126, -6.338031768798828, -4.699369430541992, -7.371782302856445, -5.577591896057129, -6.67989444732666, -9.576581954956055, -5.506701469421387]","[30, 30, 30]",<function elu at 0x0000024BB0065E18>,1000,250,2.1302926369481234,0.01
32,"[1.4987200498580933, 1.1425658464431763, 0.5187684297561646, -1.0250928401947021, -4.685593128204346, -0.8560805320739746, -0.651453971862793, -4.312788486480713, -8.789770126342773, -3.8154704570770264, 4.491755962371826, 2.7294838428497314, 5.724048137664795, 5.536959648132324]","[30, 30]",<function elu at 0x0000024BB0065E18>,1000,50,2.14253128438005,0.01
164,"[-1.024699091911316, -0.019447822123765945, 0.07611799240112305, -0.03238733485341072, -1.0103658437728882, 0.10409890115261078, 0.34774306416511536, 0.13254429399967194, 0.21563586592674255, 0.04363372549414635, 0.13045011460781097, 0.2817697823047638, 0.1713005006313324, 0.15009474754333496]",[10],<function relu at 0x0000024BB006F1E0>,500,50,2.153469070081726,0.0001
86,"[1.0489155054092407, 0.6690747737884521, -0.8326883316040039, -1.160764217376709, -1.6453056335449219, -0.20284341275691986, -1.266108751296997, -3.6238057613372803, -1.3137863874435425, -4.110549449920654, -2.2356646060943604, -3.7771759033203125, -9.565030097961426, -11.196695327758789]","[30, 30, 30]",<function elu at 0x0000024BB0065E18>,500,250,2.326298219311622,0.01
287,"[-0.08404777944087982, -0.11021643131971359, -0.19827142357826233, -0.0834830179810524, -0.22607123851776123, -0.20090052485466003, -0.3512774109840393, -0.1049589142203331, -0.16474571824073792, -0.18154633045196533, -0.23573541641235352, -0.24740764498710632, -0.019295204430818558, -0.07794476300477982]","[10, 10, 10]",<function relu at 0x0000024BB006F1E0>,500,150,2.389500536993774,0.0001
226,"[1.0004148483276367, 0.340339720249176, -0.1594899296760559, 0.15579181909561157, -2.030454635620117, 1.1980414390563965, 0.2609718441963196, -1.056912899017334, -2.050502300262451, -3.2130794525146484, -1.8883931636810303, -3.511446952819824, -4.707815647125244, -3.7825417518615723]","[30, 30, 30]",<function relu at 0x0000024BB006F1E0>,1000,250,2.4710989605824976,0.01
230,"[1.1736029386520386, 0.7241625189781189, -0.21933306753635406, -1.1782244443893433, -3.043699026107788, -0.922636091709137, -3.9009323120117188, -1.7621287107467651, -5.465343475341797, -6.190275192260742, -4.631963729858398, -4.485294342041016, -3.643326759338379, 0.10407380759716034]","[30, 30, 30]",<function relu at 0x0000024BB006F1E0>,500,250,2.47401925483672,0.01
36,"[1.212297797203064, 1.6950033903121948, 0.6578213572502136, 0.08985048532485962, -3.3191123008728027, -2.3606910705566406, -1.6929184198379517, -5.2950568199157715, -8.033563613891602, -4.972577095031738, 5.372265338897705, 11.19251823425293, 9.632591247558594, 9.399759292602539]","[30, 30]",<function elu at 0x0000024BB0065E18>,500,50,2.520023512801929,0.01
249,"[1.0805473327636719, 1.1552988290786743, 0.8176845908164978, 0.6427480578422546, -2.6995365619659424, -1.2966350317001343, -1.939817190170288, -4.6608967781066895, -8.833181381225586, -8.893083572387695, -4.098777770996094, -4.264964580535889, -3.204542636871338, -3.02101469039917]",[30],<function relu at 0x0000024BB006F1E0>,1000,100,2.525118539613971,0.01
20,"[-1.089364767074585, -0.06330618262290955, 0.27361515164375305, 0.6634728312492371, -0.22726137936115265, 0.2371283769607544, 1.550548791885376, 1.4048123359680176, 0.6961049437522888, -0.36578255891799927, 0.5246403217315674, 0.618984580039978, -0.15921981632709503, -0.22902707755565643]",[10],<function elu at 0x0000024BB0065E18>,500,50,2.555682402300561,0.0001
