index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
14,"[2.0107579231262207, 1.3284040689468384, 0.14380116760730743, -3.330792188644409, -4.3442840576171875, -3.6103286743164062, -4.597174644470215, -8.243169784545898, -7.103720664978027, -3.6500091552734375, -0.21746450662612915, -4.658565998077393, -0.2904784083366394, 3.1586639881134033]",[100],<function elu at 0x0000024E22A52E18>,500,250,1.9523957554972655,0.005
86,"[2.0107579231262207, 1.3284040689468384, 0.14380116760730743, -3.330792188644409, -4.3442840576171875, -3.6103286743164062, -4.597174644470215, -8.243169784545898, -7.103720664978027, -3.6500091552734375, -0.21746450662612915, -4.658565998077393, -0.2904784083366394, 3.1586639881134033]",[100],<function relu at 0x0000024E22A681E0>,500,250,1.9523957554972655,0.005
39,"[2.1193525791168213, 1.9068604707717896, 1.9205996990203857, -3.1660335063934326, -4.934066295623779, -3.583784580230713, -5.887259006500244, -6.798434734344482, -6.957965850830078, -4.846011638641357, -2.9380416870117188, -9.728740692138672, -6.334413051605225, -8.156054496765137]",[500],<function elu at 0x0000024E22A52E18>,1000,100,2.03476353846393,0.005
111,"[2.1193525791168213, 1.9068604707717896, 1.9205996990203857, -3.1660335063934326, -4.934066295623779, -3.583784580230713, -5.887259006500244, -6.798434734344482, -6.957965850830078, -4.846011638641357, -2.9380416870117188, -9.728740692138672, -6.334413051605225, -8.156054496765137]",[500],<function relu at 0x0000024E22A681E0>,1000,100,2.03476353846393,0.005
84,"[1.9131032228469849, 1.4142037630081177, 0.22007127106189728, -2.6686248779296875, -4.956489562988281, -5.114141941070557, -5.370274543762207, -2.1437296867370605, -1.2278952598571777, -1.0223157405853271, -3.2890255451202393, -3.5125021934509277, -4.600180625915527, -13.522374153137207]",[100],<function relu at 0x0000024E22A681E0>,500,100,2.053408691304368,0.005
12,"[1.9131032228469849, 1.4142037630081177, 0.22007127106189728, -2.6686248779296875, -4.956489562988281, -5.114141941070557, -5.370274543762207, -2.1437296867370605, -1.2278952598571777, -1.0223157405853271, -3.2890255451202393, -3.5125021934509277, -4.600180625915527, -13.522374153137207]",[100],<function elu at 0x0000024E22A52E18>,500,100,2.053408691304368,0.005
130,"[1.9585065841674805, 1.6803160905838013, 0.0817939043045044, -2.0466325283050537, -4.821290969848633, -2.8701539039611816, -3.659480333328247, -4.345118045806885, -5.919948101043701, -6.064894676208496, -6.584334850311279, -3.9284491539001465, -2.5233306884765625, -7.041491508483887]",[1000],<function relu at 0x0000024E22A681E0>,1000,500,2.281624544461432,0.001
58,"[1.9585065841674805, 1.6803160905838013, 0.0817939043045044, -2.0466325283050537, -4.821290969848633, -2.8701539039611816, -3.659480333328247, -4.345118045806885, -5.919948101043701, -6.064894676208496, -6.584334850311279, -3.9284491539001465, -2.5233306884765625, -7.041491508483887]",[1000],<function elu at 0x0000024E22A52E18>,1000,500,2.281624544461432,0.001
15,"[1.860193133354187, 0.8675609230995178, -1.1081563234329224, -5.04378604888916, -7.671318054199219, -6.262665271759033, -7.585989952087402, -3.305941343307495, 0.43362289667129517, -2.242759943008423, -3.323227882385254, -5.476114273071289, -6.60413122177124, -8.20211124420166]",[100],<function elu at 0x0000024E22A52E18>,1000,100,2.3445406288854334,0.005
87,"[1.860193133354187, 0.8675609230995178, -1.1081563234329224, -5.04378604888916, -7.671318054199219, -6.262665271759033, -7.585989952087402, -3.305941343307495, 0.43362289667129517, -2.242759943008423, -3.323227882385254, -5.476114273071289, -6.60413122177124, -8.20211124420166]",[100],<function relu at 0x0000024E22A681E0>,1000,100,2.3445406288854334,0.005
