index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
62,<function elu at 0x00000000092B5620>,500,2.9141430502343906,1000,0.005,"[0.14637669920921326, 1.0164687633514404, 1.07329523563385, 0.8546264171600342, 2.0061402320861816, 0.11098834872245789, 0.45157405734062195, -0.47855499386787415, -0.32102158665657043, -1.3680577278137207, -1.549014687538147, -1.3013334274291992, -0.13085907697677612, 0.640276312828064]",2.9141430502343906
61,<function elu at 0x00000000092B5620>,500,3.08010394266228,1000,0.005,"[0.23453813791275024, -0.4627995193004608, 0.7879738807678223, 0.3348730504512787, 0.44658026099205017, -0.05168071389198303, -0.3282434046268463, -0.6557875871658325, -0.23544946312904358, 0.0014205873012542725, 0.2046583592891693, 0.021885722875595093, 0.2809227406978607, 0.19771084189414978]",3.08010394266228
64,<function elu at 0x00000000092B5620>,1000,3.121167086106055,1000,0.005,"[0.464180052280426, 0.32036343216896057, 0.8512636423110962, 0.4755452573299408, 0.6478244066238403, 0.8835535049438477, 0.031413882970809937, -0.7598270177841187, -2.8700976371765137, -3.873706817626953, -3.841019630432129, -2.0297648906707764, 0.2644711434841156, 1.5839322805404663]",3.121167086106055
73,<function relu at 0x00000000092A7378>,500,3.128930890186436,100,0.0001,"[0.2078353315591812, 0.4693603515625, 0.5299491882324219, 0.7609190940856934, 0.47156092524528503, 0.033228158950805664, -0.35387223958969116, 0.31870007514953613, 0.16130326688289642, -0.9564316868782043, -1.8060073852539062, -1.686144471168518, -1.989362120628357, -2.378207206726074]",3.128930890186436
72,<function relu at 0x00000000092A7378>,500,3.143592604730073,100,0.0001,"[0.17034481465816498, 0.5271584987640381, 0.9061949849128723, 1.223010778427124, 0.4747825264930725, -0.4957830309867859, -0.7595676779747009, -0.6953017115592957, -1.51524817943573, -2.440791606903076, -3.261359930038452, -3.002964735031128, -3.3431901931762695, -4.4611687660217285]",3.143592604730073
60,<function elu at 0x00000000092B5620>,500,3.197114203524045,1000,0.005,"[0.05387819558382034, 0.09851095080375671, 1.461519718170166, 1.0803892612457275, -0.62965989112854, 0.16826492547988892, -0.19356060028076172, -0.011453874409198761, -1.0514552593231201, 0.270749568939209, 0.7301623821258545, -0.6622209548950195, -1.1621766090393066, -0.3005077838897705]",3.197114203524045
25,<function elu at 0x00000000092B5620>,500,3.2109243104239735,500,0.0001,"[0.06346555054187775, 0.6869741082191467, 1.332863211631775, 1.2485895156860352, 0.7408630847930908, -0.6793628334999084, -1.2116039991378784, -1.7331042289733887, -2.589704990386963, -3.511608123779297, -5.452985763549805, -4.079239368438721, -3.983062982559204, -7.426558971405029]",3.2109243104239735
0,<function elu at 0x00000000092B5620>,500,3.2225541142936787,100,0.0001,"[0.08720329403877258, 0.5777156352996826, 1.2160592079162598, 1.0544471740722656, 0.42294418811798096, -0.582192599773407, -0.9603515863418579, -1.081687569618225, -1.9720549583435059, -2.1373679637908936, -2.868257999420166, -3.5277159214019775, -4.235663414001465, -5.791701316833496]",3.2225541142936787
74,<function relu at 0x00000000092A7378>,500,3.2272643213290957,100,0.0001,"[0.21528925001621246, 0.4140242338180542, 0.6961453557014465, 0.5540886521339417, 0.1391635239124298, -0.038671910762786865, -0.40447789430618286, -0.5848599672317505, -1.0474411249160767, -2.9333531856536865, -3.8817780017852783, -3.5112574100494385, -4.7248454093933105, -6.187718868255615]",3.2272643213290957
26,<function elu at 0x00000000092B5620>,500,3.2350412651256995,500,0.0001,"[0.045785702764987946, 0.5703011155128479, 1.3114625215530396, 1.3614393472671509, 0.5150308609008789, -0.5442459583282471, -1.4377052783966064, -1.6582690477371216, -2.8516123294830322, -3.365368604660034, -5.080418109893799, -4.161959648132324, -3.706780433654785, -4.956205368041992]",3.2350412651256995
1,<function elu at 0x00000000092B5620>,500,3.237461946703278,100,0.0001,"[0.07675744593143463, 0.558704674243927, 1.0125634670257568, 0.9973669648170471, 0.3222835063934326, -0.6255002617835999, -0.9555046558380127, -1.1228419542312622, -2.5998592376708984, -3.7952566146850586, -5.96348762512207, -5.573816776275635, -5.625585079193115, -5.05968713760376]",3.237461946703278
2,<function elu at 0x00000000092B5620>,500,3.275202679104602,100,0.0001,"[0.08644501119852066, 0.5290778875350952, 1.0847545862197876, 1.1262855529785156, 0.30440571904182434, -0.7524418234825134, -1.2502816915512085, -1.1579370498657227, -2.0546650886535645, -3.4996209144592285, -5.967150688171387, -5.57573127746582, -5.6034016609191895, -5.188201904296875]",3.275202679104602
63,<function elu at 0x00000000092B5620>,1000,3.328940774344466,1000,0.005,"[0.03791414201259613, 0.5501463413238525, 1.4351431131362915, 0.46794143319129944, -0.26749181747436523, -0.2783934473991394, -0.27575111389160156, -1.6022028923034668, -2.984776735305786, -3.3547074794769287, -0.14866089820861816, -0.23964142799377441, 2.136596441268921, 1.5122054815292358]",3.328940774344466
97,<function relu at 0x00000000092A7378>,500,3.340740334583563,500,0.0001,"[0.1178814247250557, 0.3550126850605011, 0.7846014499664307, 0.7513494491577148, 0.23472866415977478, -0.7331492304801941, -1.3982797861099243, -2.0813798904418945, -3.3522417545318604, -5.39454460144043, -6.774135112762451, -6.4464430809021, -6.08513879776001, -6.507413864135742]",3.340740334583563
