index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
61,"[1.0013283491134644, 2.0857484340667725, 1.9363212585449219, 0.6825653910636902, 0.9388290047645569, -1.5292308330535889, -1.4173811674118042, -3.1308887004852295, -2.915940523147583, -1.4199053049087524, -0.34034186601638794, 3.238590717315674, 11.80926513671875, 14.255428314208984]",[1000],<function elu at 0x00000260926F6F28>,500,500,6.8732447991292895,0.005
133,"[1.0013283491134644, 2.0857484340667725, 1.9363212585449219, 0.6825653910636902, 0.9388290047645569, -1.5292308330535889, -1.4173811674118042, -3.1308887004852295, -2.915940523147583, -1.4199053049087524, -0.34034186601638794, 3.238590717315674, 11.80926513671875, 14.255428314208984]",[1000],<function relu at 0x00000260927112F0>,500,500,6.8732447991292895,0.005
132,"[1.0104115009307861, 1.8465988636016846, 1.4652512073516846, 0.6707651615142822, 0.3171341121196747, -0.49246838688850403, -0.37386634945869446, -1.038926362991333, -1.46419095993042, 0.4789435565471649, 0.3497028052806854, 2.627277374267578, 4.84276008605957, 5.488413333892822]",[1000],<function relu at 0x00000260927112F0>,500,100,7.014809638231419,0.005
60,"[1.0104115009307861, 1.8465988636016846, 1.4652512073516846, 0.6707651615142822, 0.3171341121196747, -0.49246838688850403, -0.37386634945869446, -1.038926362991333, -1.46419095993042, 0.4789435565471649, 0.3497028052806854, 2.627277374267578, 4.84276008605957, 5.488413333892822]",[1000],<function elu at 0x00000260926F6F28>,500,100,7.014809638231419,0.005
3,"[0.8143897652626038, 1.5780729055404663, 1.7545320987701416, 0.391684889793396, -0.378664493560791, -1.0188872814178467, -2.2215464115142822, -1.7704263925552368, -0.23189423978328705, 1.597631812095642, 4.1471147537231445, 5.707385540008545, 4.665467739105225, 2.954291582107544]",[100],<function elu at 0x00000260926F6F28>,1000,100,7.164656490165973,0.0001
75,"[0.8143897652626038, 1.5780729055404663, 1.7545320987701416, 0.391684889793396, -0.378664493560791, -1.0188872814178467, -2.2215464115142822, -1.7704263925552368, -0.23189423978328705, 1.597631812095642, 4.1471147537231445, 5.707385540008545, 4.665467739105225, 2.954291582107544]",[100],<function relu at 0x00000260927112F0>,1000,100,7.164656490165973,0.0001
0,"[0.6366208791732788, 1.364018440246582, 1.70651113986969, 0.5527341365814209, -0.2139582484960556, -0.7850945591926575, -1.6430201530456543, -1.7397797107696533, -0.41193902492523193, 0.7737652063369751, 2.0408477783203125, 2.8693387508392334, 1.6386897563934326, 0.7128770351409912]",[100],<function elu at 0x00000260926F6F28>,500,100,7.1976171092338905,0.0001
72,"[0.6366208791732788, 1.364018440246582, 1.70651113986969, 0.5527341365814209, -0.2139582484960556, -0.7850945591926575, -1.6430201530456543, -1.7397797107696533, -0.41193902492523193, 0.7737652063369751, 2.0408477783203125, 2.8693387508392334, 1.6386897563934326, 0.7128770351409912]",[100],<function relu at 0x00000260927112F0>,500,100,7.1976171092338905,0.0001
63,"[1.2547240257263184, 1.6261945962905884, 1.729017972946167, 0.19434292614459991, -0.3991827368736267, -2.2784078121185303, -4.13973331451416, -4.375736713409424, -1.7657274007797241, 0.3495786786079407, -0.2860698103904724, 4.9400506019592285, 8.549121856689453, 6.4399495124816895]",[1000],<function elu at 0x00000260926F6F28>,1000,100,7.235007495446529,0.005
135,"[1.2547240257263184, 1.6261945962905884, 1.729017972946167, 0.19434292614459991, -0.3991827368736267, -2.2784078121185303, -4.13973331451416, -4.375736713409424, -1.7657274007797241, 0.3495786786079407, -0.2860698103904724, 4.9400506019592285, 8.549121856689453, 6.4399495124816895]",[1000],<function relu at 0x00000260927112F0>,1000,100,7.235007495446529,0.005
90,"[1.0191503763198853, 1.7438825368881226, 1.804492473602295, -0.03521665185689926, -0.6460760831832886, -1.5796940326690674, -2.7607781887054443, -1.608044147491455, -0.43104371428489685, 2.6368284225463867, 4.697900772094727, 6.257124423980713, 6.866392612457275, 4.67455530166626]",[100],<function relu at 0x00000260927112F0>,500,100,7.236993440215142,0.0005
18,"[1.0191503763198853, 1.7438825368881226, 1.804492473602295, -0.03521665185689926, -0.6460760831832886, -1.5796940326690674, -2.7607781887054443, -1.608044147491455, -0.43104371428489685, 2.6368284225463867, 4.697900772094727, 6.257124423980713, 6.866392612457275, 4.67455530166626]",[100],<function elu at 0x00000260926F6F28>,500,100,7.236993440215142,0.0005
2,"[0.6994513869285583, 1.3439568281173706, 1.4502296447753906, 0.47574111819267273, -0.5285350680351257, -0.5251136422157288, -1.7733678817749023, -2.0589804649353027, -0.07245037704706192, 2.6779894828796387, 2.5426435470581055, 2.295696496963501, 1.4162299633026123, 0.4499342143535614]",[100],<function elu at 0x00000260926F6F28>,500,250,7.25104025924629,0.0001
74,"[0.6994513869285583, 1.3439568281173706, 1.4502296447753906, 0.47574111819267273, -0.5285350680351257, -0.5251136422157288, -1.7733678817749023, -2.0589804649353027, -0.07245037704706192, 2.6779894828796387, 2.5426435470581055, 2.295696496963501, 1.4162299633026123, 0.4499342143535614]",[100],<function relu at 0x00000260927112F0>,500,250,7.25104025924629,0.0001
1,"[0.650381326675415, 1.3140422105789185, 1.3948036432266235, 0.4588565528392792, -0.3620752692222595, -0.7443355321884155, -1.3238145112991333, -1.588105320930481, -1.0901317596435547, 0.1817513108253479, 0.20621177554130554, 1.8632359504699707, 2.611790418624878, 2.5046775341033936]",[100],<function elu at 0x00000260926F6F28>,500,500,7.2848874473547305,0.0001
73,"[0.650381326675415, 1.3140422105789185, 1.3948036432266235, 0.4588565528392792, -0.3620752692222595, -0.7443355321884155, -1.3238145112991333, -1.588105320930481, -1.0901317596435547, 0.1817513108253479, 0.20621177554130554, 1.8632359504699707, 2.611790418624878, 2.5046775341033936]",[100],<function relu at 0x00000260927112F0>,500,500,7.2848874473547305,0.0001
21,"[1.1882610321044922, 1.7654467821121216, 1.6743453741073608, -0.41595596075057983, -0.6568017601966858, -1.7254924774169922, -2.2990458011627197, -0.5070464015007019, 0.10015849769115448, 3.9441208839416504, 5.401726722717285, 7.624068260192871, 8.627029418945312, 7.572385311126709]",[100],<function elu at 0x00000260926F6F28>,1000,100,7.3140654745158615,0.0005
93,"[1.1882610321044922, 1.7654467821121216, 1.6743453741073608, -0.41595596075057983, -0.6568017601966858, -1.7254924774169922, -2.2990458011627197, -0.5070464015007019, 0.10015849769115448, 3.9441208839416504, 5.401726722717285, 7.624068260192871, 8.627029418945312, 7.572385311126709]",[100],<function relu at 0x00000260927112F0>,1000,100,7.3140654745158615,0.0005
96,"[0.7156327962875366, 1.4102426767349243, 1.632462501525879, 0.14058277010917664, -0.7933270931243896, -1.1952208280563354, -2.0163724422454834, -2.5977365970611572, -1.0248302221298218, 1.0087825059890747, 1.2125874757766724, -0.05207196995615959, 2.192809581756592, 2.993743419647217]",[500],<function relu at 0x00000260927112F0>,500,100,7.343480171981091,0.0001
24,"[0.7156327962875366, 1.4102426767349243, 1.632462501525879, 0.14058277010917664, -0.7933270931243896, -1.1952208280563354, -2.0163724422454834, -2.5977365970611572, -1.0248302221298218, 1.0087825059890747, 1.2125874757766724, -0.05207196995615959, 2.192809581756592, 2.993743419647217]",[500],<function elu at 0x00000260926F6F28>,500,100,7.343480171981091,0.0001
65,"[0.722594141960144, 0.2438887059688568, 0.44696924090385437, 1.530695915222168, 1.0998568534851074, 0.0569191575050354, -0.037944018840789795, -0.30409520864486694, -0.6045646071434021, -0.4365549683570862, 0.019436419010162354, 0.21011513471603394, 1.0718142986297607, 1.2286710739135742]",[1000],<function elu at 0x00000260926F6F28>,1000,250,7.343792277575205,0.005
137,"[0.722594141960144, 0.2438887059688568, 0.44696924090385437, 1.530695915222168, 1.0998568534851074, 0.0569191575050354, -0.037944018840789795, -0.30409520864486694, -0.6045646071434021, -0.4365549683570862, 0.019436419010162354, 0.21011513471603394, 1.0718142986297607, 1.2286710739135742]",[1000],<function relu at 0x00000260927112F0>,1000,250,7.343792277575205,0.005
98,"[0.6842480301856995, 1.401679277420044, 1.5058867931365967, 0.20787957310676575, -0.854779839515686, -1.5108751058578491, -1.6417275667190552, -2.087336778640747, 0.15948699414730072, 3.6466925144195557, 3.135739326477051, 1.935484528541565, 4.897343158721924, 8.17939281463623]",[500],<function relu at 0x00000260927112F0>,500,250,7.393792687173244,0.0001
26,"[0.6842480301856995, 1.401679277420044, 1.5058867931365967, 0.20787957310676575, -0.854779839515686, -1.5108751058578491, -1.6417275667190552, -2.087336778640747, 0.15948699414730072, 3.6466925144195557, 3.135739326477051, 1.935484528541565, 4.897343158721924, 8.17939281463623]",[500],<function elu at 0x00000260926F6F28>,500,250,7.393792687173244,0.0001
97,"[0.7551925778388977, 1.495743751525879, 1.537847876548767, -0.0017481958493590355, -0.889586329460144, -1.5821864604949951, -2.0360777378082275, -2.0048084259033203, -0.7459369897842407, 1.5656275749206543, 1.2345712184906006, 1.7420257329940796, 3.3511579036712646, 5.291749954223633]",[500],<function relu at 0x00000260927112F0>,500,500,7.396782762437348,0.0001
25,"[0.7551925778388977, 1.495743751525879, 1.537847876548767, -0.0017481958493590355, -0.889586329460144, -1.5821864604949951, -2.0360777378082275, -2.0048084259033203, -0.7459369897842407, 1.5656275749206543, 1.2345712184906006, 1.7420257329940796, 3.3511579036712646, 5.291749954223633]",[500],<function elu at 0x00000260926F6F28>,500,500,7.396782762437348,0.0001
4,"[0.7506135106086731, 1.367136001586914, 1.2499486207962036, 0.043847836554050446, -0.8437473773956299, -1.3431305885314941, -2.122807264328003, -1.9103565216064453, -0.6350987553596497, 1.6852742433547974, 2.283137321472168, 3.202237129211426, 3.3732988834381104, 3.9910056591033936]",[100],<function elu at 0x00000260926F6F28>,1000,500,7.426017030756033,0.0001
