index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
9,"[0.9796399474143982, 1.8020082712173462, 3.838019371032715, 5.167753219604492, 1.4814263582229614, 4.172690391540527, 6.057836055755615, 8.045021057128906, 13.593658447265625, 9.464482307434082, 6.271617889404297, 1.1091327667236328, 0.19389301538467407, -2.4460277557373047]","[30, 30, 30]",<function elu at 0x000002065B017E18>,1000,100,3.3281585323984517,0.01
201,"[1.0251542329788208, 1.0947222709655762, 1.1684693098068237, 4.600006103515625, 4.854217529296875, 4.058084011077881, 1.9947305917739868, 2.339548110961914, 3.972881555557251, 4.279263019561768, 3.6564643383026123, 1.8636738061904907, 1.9823561906814575, -1.4094008207321167]","[30, 30]",<function relu at 0x000002065B0201E0>,1000,100,3.657176091869746,0.01
205,"[1.1156506538391113, 1.0154393911361694, 0.36617037653923035, 4.163628578186035, 6.240818977355957, 4.932851314544678, 3.0200159549713135, 2.1417667865753174, 2.0836737155914307, 1.8988215923309326, 1.463430643081665, 1.4195857048034668, 2.5408525466918945, 0.21366865932941437]","[30, 30]",<function relu at 0x000002065B0201E0>,1500,100,3.874080885625178,0.01
229,"[0.9782592058181763, 1.7187752723693848, 1.8414154052734375, 3.3374857902526855, 3.233549118041992, 1.6601240634918213, 0.6365009546279907, 0.06817913055419922, -0.5376026630401611, -2.1025781631469727, -2.8260204792022705, -2.5117688179016113, -1.7491607666015625, -1.5362107753753662]","[10, 10]",<function relu at 0x000002065B0201E0>,1500,100,3.969249405218364,0.01
150,"[0.3923093378543854, 0.8028740286827087, 1.0734611749649048, 2.922476053237915, 3.890848398208618, 3.75264048576355, 3.140782356262207, 1.4194867610931396, 0.05329903960227966, 1.0667630434036255, 0.06819471716880798, 0.32991012930870056, 1.6521275043487549, 1.4128113985061646]","[30, 30, 30]",<function relu at 0x000002065B0201E0>,1500,150,4.031365284701841,0.001
173,"[1.0125112533569336, 1.565297245979309, 1.5835551023483276, 2.3594157695770264, 2.723193883895874, 2.0653488636016846, 5.262906551361084, 6.606201648712158, 6.209664821624756, 7.158984184265137, 4.56864070892334, 1.2443848848342896, 1.801467776298523, 1.870410442352295]","[10, 10, 10]",<function relu at 0x000002065B0201E0>,1500,100,4.045795613093629,0.001
197,"[0.5966261625289917, 0.6710147857666016, 1.1891404390335083, 2.3956081867218018, 3.7545907497406006, 2.967074155807495, 3.608757734298706, 4.612500190734863, 5.011406421661377, 3.031792163848877, -0.15754246711730957, -0.8638927936553955, 0.6340612769126892, -0.4315950870513916]","[30, 30]",<function relu at 0x000002065B0201E0>,1500,100,4.079727042195296,0.001
196,"[0.39585739374160767, 0.644074022769928, 0.8080525994300842, 2.755892276763916, 6.0418500900268555, 5.732057571411133, 5.015000343322754, 3.9031336307525635, 3.248394250869751, 2.6887319087982178, 3.192129135131836, 1.777220368385315, 4.776618957519531, 4.077819347381592]","[30, 30]",<function relu at 0x000002065B0201E0>,1500,50,4.109492870834205,0.001
182,"[0.48867788910865784, 0.4442442059516907, 2.1642704010009766, 2.359488010406494, 2.643372058868408, 2.2953896522521973, 2.049386739730835, 1.7197396755218506, 1.536440372467041, -0.675338625907898, -0.7095350027084351, -0.30250298976898193, 0.5953947305679321, -0.7270098924636841]","[10, 10, 10]",<function relu at 0x000002065B0201E0>,1500,150,4.114506486989101,0.01
169,"[0.9497205018997192, 1.5048364400863647, 1.5124667882919312, 2.2431023120880127, 2.465977430343628, 1.6858160495758057, 4.302058696746826, 5.688830852508545, 5.364150524139404, 5.9291605949401855, 3.376753091812134, 0.31568631529808044, 0.29436251521110535, 0.020215600728988647]","[10, 10, 10]",<function relu at 0x000002065B0201E0>,1000,100,4.134936697859871,0.001
