index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
18,"[0.5386780500411987, -0.22575987875461578, 0.31784069538116455, 0.7444698810577393, 0.5040227174758911, -0.9060297012329102, 0.11718879640102386, 0.8723223209381104, 2.974273681640625, 2.5415542125701904, 3.21323823928833, 2.8006367683410645, 2.3364408016204834, 1.8631997108459473]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,100,1.5454961997101049,0.001
54,"[0.5386780500411987, -0.22575987875461578, 0.31784069538116455, 0.7444698810577393, 0.5040227174758911, -0.9060297012329102, 0.11718879640102386, 0.8723223209381104, 2.974273681640625, 2.5415542125701904, 3.21323823928833, 2.8006367683410645, 2.3364408016204834, 1.8631997108459473]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1500,100,1.5454961997101049,0.001
29,"[0.8141752481460571, 0.634623110294342, 1.4337005615234375, 1.6138057708740234, 0.7943141460418701, 0.71690833568573, -0.9626975059509277, -2.8675169944763184, -3.789642095565796, -4.026891231536865, -3.041126251220703, -3.059433937072754, -2.270625591278076, -2.413604974746704]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,1.553551528104973,0.001
65,"[0.8141752481460571, 0.634623110294342, 1.4337005615234375, 1.6138057708740234, 0.7943141460418701, 0.71690833568573, -0.9626975059509277, -2.8675169944763184, -3.789642095565796, -4.026891231536865, -3.041126251220703, -3.059433937072754, -2.270625591278076, -2.413604974746704]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,1.553551528104973,0.001
31,"[0.8489335775375366, 0.5061278343200684, 1.5293757915496826, 1.4452791213989258, 0.806506335735321, 0.4691516160964966, -1.5316275358200073, -3.6521525382995605, -5.122196674346924, -4.783986568450928, -3.3365955352783203, -2.989727258682251, -2.4762017726898193, -2.4141080379486084]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,1.567672085398022,0.001
67,"[0.8489335775375366, 0.5061278343200684, 1.5293757915496826, 1.4452791213989258, 0.806506335735321, 0.4691516160964966, -1.5316275358200073, -3.6521525382995605, -5.122196674346924, -4.783986568450928, -3.3365955352783203, -2.989727258682251, -2.4762017726898193, -2.4141080379486084]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1500,50,1.567672085398022,0.001
52,"[0.5344793796539307, -0.3295056223869324, 0.38253724575042725, 0.40874582529067993, 0.1018403023481369, -1.2291960716247559, 0.08780194818973541, 1.451507568359375, 2.529245138168335, 1.5571503639221191, 1.8919942378997803, 1.8778913021087646, 2.04638934135437, 1.921410322189331]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1000,100,1.6009329594061839,0.001
16,"[0.5344793796539307, -0.3295056223869324, 0.38253724575042725, 0.40874582529067993, 0.1018403023481369, -1.2291960716247559, 0.08780194818973541, 1.451507568359375, 2.529245138168335, 1.5571503639221191, 1.8919942378997803, 1.8778913021087646, 2.04638934135437, 1.921410322189331]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,100,1.6009329594061839,0.001
61,"[0.6962004899978638, 0.10049755126237869, 0.9036531448364258, 0.6627436280250549, 0.6892954111099243, 0.78533935546875, -0.1506877988576889, -0.2110588699579239, -0.4449487030506134, 0.13565213978290558, 0.21108148992061615, 0.7398442029953003, 1.174302577972412, 1.4980335235595703]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,1.6327196128749606,0.0001
25,"[0.6962004899978638, 0.10049755126237869, 0.9036531448364258, 0.6627436280250549, 0.6892954111099243, 0.78533935546875, -0.1506877988576889, -0.2110588699579239, -0.4449487030506134, 0.13565213978290558, 0.21108148992061615, 0.7398442029953003, 1.174302577972412, 1.4980335235595703]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,1.6327196128749606,0.0001
51,"[0.4903832674026489, 0.36760255694389343, 0.41653311252593994, 1.0561734437942505, 1.0546163320541382, 0.8244823813438416, 0.4318144917488098, 0.7596971988677979, 0.17237910628318787, -0.27948054671287537, -0.3798227608203888, -0.2788974940776825, 0.19701869785785675, 0.08585599064826965]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1500,50,1.6427422355034231,0.0001
15,"[0.4903832674026489, 0.36760255694389343, 0.41653311252593994, 1.0561734437942505, 1.0546163320541382, 0.8244823813438416, 0.4318144917488098, 0.7596971988677979, 0.17237910628318787, -0.27948054671287537, -0.3798227608203888, -0.2788974940776825, 0.19701869785785675, 0.08585599064826965]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,1.6427422355034231,0.0001
50,"[0.7073538303375244, 0.5244491696357727, 0.6210658550262451, 0.8708183765411377, 1.1047561168670654, 0.5908897519111633, -0.3421909213066101, -0.4355691373348236, -0.43590399622917175, -0.13401266932487488, 0.056896016001701355, 0.3552080988883972, 0.5470405220985413, 0.7907772064208984]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1500,100,1.6456553647685255,0.0001
14,"[0.7073538303375244, 0.5244491696357727, 0.6210658550262451, 0.8708183765411377, 1.1047561168670654, 0.5908897519111633, -0.3421909213066101, -0.4355691373348236, -0.43590399622917175, -0.13401266932487488, 0.056896016001701355, 0.3552080988883972, 0.5470405220985413, 0.7907772064208984]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,100,1.6456553647685255,0.0001
37,"[0.6166371703147888, -0.01309264823794365, 0.6634131669998169, 0.97299724817276, 0.9677690267562866, 0.8872478604316711, 0.4482831060886383, 0.5531406998634338, 0.23359201848506927, 0.18090645968914032, 0.0161985382437706, 0.534968912601471, 0.647004246711731, 0.5917508602142334]",[10],<function relu at 0x0000020F3DB012F0>,1000,50,1.652548323907247,0.0001
1,"[0.6166371703147888, -0.01309264823794365, 0.6634131669998169, 0.97299724817276, 0.9677690267562866, 0.8872478604316711, 0.4482831060886383, 0.5531406998634338, 0.23359201848506927, 0.18090645968914032, 0.0161985382437706, 0.534968912601471, 0.647004246711731, 0.5917508602142334]",[10],<function elu at 0x0000020F3DAF8F28>,1000,50,1.652548323907247,0.0001
63,"[0.7044426202774048, 0.2651853859424591, 0.8857631087303162, 0.7643024325370789, 0.8345910906791687, 0.9670855402946472, -0.06553825736045837, -0.46241748332977295, -1.0415118932724, -0.2399570643901825, 0.05000099539756775, 0.40156614780426025, 1.1293808221817017, 1.3014416694641113]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1500,50,1.6630764327835228,0.0001
27,"[0.7044426202774048, 0.2651853859424591, 0.8857631087303162, 0.7643024325370789, 0.8345910906791687, 0.9670855402946472, -0.06553825736045837, -0.46241748332977295, -1.0415118932724, -0.2399570643901825, 0.05000099539756775, 0.40156614780426025, 1.1293808221817017, 1.3014416694641113]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,1.6630764327835228,0.0001
49,"[0.3787006735801697, 0.4318578243255615, 0.3345687985420227, 1.0056575536727905, 1.126199722290039, 0.9302302598953247, 0.5898723602294922, 0.7830665707588196, 0.25371164083480835, -0.2072531133890152, -0.4202401638031006, -0.2263099104166031, 0.2651757001876831, 0.24193516373634338]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,1.666445611367401,0.0001
13,"[0.3787006735801697, 0.4318578243255615, 0.3345687985420227, 1.0056575536727905, 1.126199722290039, 0.9302302598953247, 0.5898723602294922, 0.7830665707588196, 0.25371164083480835, -0.2072531133890152, -0.4202401638031006, -0.2263099104166031, 0.2651757001876831, 0.24193516373634338]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,1.666445611367401,0.0001
60,"[0.4865454137325287, 0.310077965259552, 0.3399959206581116, 1.075695514678955, 1.1356395483016968, 0.8637936115264893, 0.5703502893447876, 0.47192487120628357, -0.08956615626811981, -0.05094566196203232, -0.4341334402561188, 0.15178412199020386, 0.9565718173980713, 1.635206937789917]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,100,1.6701667397974396,0.0001
24,"[0.4865454137325287, 0.310077965259552, 0.3399959206581116, 1.075695514678955, 1.1356395483016968, 0.8637936115264893, 0.5703502893447876, 0.47192487120628357, -0.08956615626811981, -0.05094566196203232, -0.4341334402561188, 0.15178412199020386, 0.9565718173980713, 1.635206937789917]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,100,1.6701667397974396,0.0001
12,"[0.5703091621398926, 0.4734998941421509, 0.5121877789497375, 0.8082267045974731, 1.0542539358139038, 0.9226922988891602, 0.02162168174982071, -0.21975354850292206, -0.30628669261932373, -0.15411506593227386, -0.04716955125331879, 0.33014875650405884, 0.4627087712287903, 0.6434094309806824]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,100,1.6738447298977572,0.0001
48,"[0.5703091621398926, 0.4734998941421509, 0.5121877789497375, 0.8082267045974731, 1.0542539358139038, 0.9226922988891602, 0.02162168174982071, -0.21975354850292206, -0.30628669261932373, -0.15411506593227386, -0.04716955125331879, 0.33014875650405884, 0.4627087712287903, 0.6434094309806824]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1000,100,1.6738447298977572,0.0001
39,"[0.6489089131355286, 0.09384877979755402, 0.6394484043121338, 1.1359193325042725, 1.0810104608535767, 0.9842073321342468, 0.5290964841842651, 0.49849802255630493, 0.20724394917488098, 0.3417910039424896, 0.3311922252178192, 0.6280060410499573, 0.6303796768188477, 0.6444388031959534]",[10],<function relu at 0x0000020F3DB012F0>,1500,50,1.6771682591459611,0.0001
3,"[0.6489089131355286, 0.09384877979755402, 0.6394484043121338, 1.1359193325042725, 1.0810104608535767, 0.9842073321342468, 0.5290964841842651, 0.49849802255630493, 0.20724394917488098, 0.3417910039424896, 0.3311922252178192, 0.6280060410499573, 0.6303796768188477, 0.6444388031959534]",[10],<function elu at 0x0000020F3DAF8F28>,1500,50,1.6771682591459611,0.0001
62,"[0.6157270073890686, 0.2486567497253418, 0.5053309202194214, 0.9084978103637695, 0.9290963411331177, 0.9334381222724915, 0.7064465880393982, 0.6155393123626709, -0.11816722899675369, 0.013358356431126595, -0.4230758547782898, 0.32061636447906494, 1.2997738122940063, 2.0255110263824463]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1500,100,1.716725251649132,0.0001
26,"[0.6157270073890686, 0.2486567497253418, 0.5053309202194214, 0.9084978103637695, 0.9290963411331177, 0.9334381222724915, 0.7064465880393982, 0.6155393123626709, -0.11816722899675369, 0.013358356431126595, -0.4230758547782898, 0.32061636447906494, 1.2997738122940063, 2.0255110263824463]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,100,1.716725251649132,0.0001
47,"[0.4076062738895416, -0.4864090383052826, -0.1911778748035431, 1.4112590551376343, 1.2828178405761719, 1.0883026123046875, 0.583217978477478, 0.8884706497192383, 2.351064920425415, 3.5437042713165283, 7.417209148406982, 3.64434552192688, 4.310293197631836, 2.8068361282348633]",[10],<function relu at 0x0000020F3DB012F0>,1500,50,1.7173368966089828,0.01
11,"[0.4076062738895416, -0.4864090383052826, -0.1911778748035431, 1.4112590551376343, 1.2828178405761719, 1.0883026123046875, 0.583217978477478, 0.8884706497192383, 2.351064920425415, 3.5437042713165283, 7.417209148406982, 3.64434552192688, 4.310293197631836, 2.8068361282348633]",[10],<function elu at 0x0000020F3DAF8F28>,1500,50,1.7173368966089828,0.01
5,"[0.9789322018623352, 0.015625126659870148, 0.8318173289299011, 1.5964378118515015, 1.6883009672164917, 0.7470075488090515, 0.2134861946105957, 0.5698335766792297, 0.3549819588661194, 0.4145461916923523, 0.5385342240333557, 1.0383023023605347, 1.1074110269546509, 1.3932723999023438]",[10],<function elu at 0x0000020F3DAF8F28>,1000,50,1.7178312728245662,0.001
41,"[0.9789322018623352, 0.015625126659870148, 0.8318173289299011, 1.5964378118515015, 1.6883009672164917, 0.7470075488090515, 0.2134861946105957, 0.5698335766792297, 0.3549819588661194, 0.4145461916923523, 0.5385342240333557, 1.0383023023605347, 1.1074110269546509, 1.3932723999023438]",[10],<function relu at 0x0000020F3DB012F0>,1000,50,1.7178312728245662,0.001
43,"[1.0024628639221191, -0.04473021626472473, 0.7707144618034363, 1.5987777709960938, 1.864878535270691, 0.5365325808525085, 0.25937795639038086, 0.4366145730018616, 0.6860132813453674, 0.6696569919586182, 0.4129628539085388, 0.8672983050346375, 1.2238703966140747, 1.4363561868667603]",[10],<function relu at 0x0000020F3DB012F0>,1500,50,1.7316734975526618,0.001
7,"[1.0024628639221191, -0.04473021626472473, 0.7707144618034363, 1.5987777709960938, 1.864878535270691, 0.5365325808525085, 0.25937795639038086, 0.4366145730018616, 0.6860132813453674, 0.6696569919586182, 0.4129628539085388, 0.8672983050346375, 1.2238703966140747, 1.4363561868667603]",[10],<function elu at 0x0000020F3DAF8F28>,1500,50,1.7316734975526618,0.001
42,"[0.7694563865661621, -0.904339075088501, -0.006746500730514526, 1.0886331796646118, 1.1664237976074219, 0.7753615379333496, 0.26857712864875793, 0.7112005949020386, 0.21158450841903687, 0.220683753490448, 0.5249010324478149, 1.606563925743103, 1.6184614896774292, 1.4026479721069336]",[10],<function relu at 0x0000020F3DB012F0>,1500,100,1.7563241751233107,0.001
6,"[0.7694563865661621, -0.904339075088501, -0.006746500730514526, 1.0886331796646118, 1.1664237976074219, 0.7753615379333496, 0.26857712864875793, 0.7112005949020386, 0.21158450841903687, 0.220683753490448, 0.5249010324478149, 1.606563925743103, 1.6184614896774292, 1.4026479721069336]",[10],<function elu at 0x0000020F3DAF8F28>,1500,100,1.7563241751233107,0.001
2,"[0.3575921654701233, 0.4932739734649658, 0.3798481225967407, 0.5624831914901733, 1.3060340881347656, 0.9568023085594177, 0.7793553471565247, 0.2011808604001999, -0.11118829250335693, -0.252111554145813, -0.2829468250274658, -0.1145334392786026, 0.19226287305355072, 0.5812000632286072]",[10],<function elu at 0x0000020F3DAF8F28>,1500,100,1.7598598116865949,0.0001
38,"[0.3575921654701233, 0.4932739734649658, 0.3798481225967407, 0.5624831914901733, 1.3060340881347656, 0.9568023085594177, 0.7793553471565247, 0.2011808604001999, -0.11118829250335693, -0.252111554145813, -0.2829468250274658, -0.1145334392786026, 0.19226287305355072, 0.5812000632286072]",[10],<function relu at 0x0000020F3DB012F0>,1500,100,1.7598598116865949,0.0001
53,"[0.9423176050186157, -0.32144221663475037, 0.9907625913619995, 2.6352734565734863, 1.8552579879760742, 1.4072990417480469, 0.03033699467778206, -0.3238043487071991, -0.5922189950942993, -0.27504202723503113, -0.23881672322750092, -0.09329025447368622, 0.5245691537857056, 1.8237464427947998]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,1.7671545904739239,0.001
17,"[0.9423176050186157, -0.32144221663475037, 0.9907625913619995, 2.6352734565734863, 1.8552579879760742, 1.4072990417480469, 0.03033699467778206, -0.3238043487071991, -0.5922189950942993, -0.27504202723503113, -0.23881672322750092, -0.09329025447368622, 0.5245691537857056, 1.8237464427947998]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,1.7671545904739239,0.001
55,"[0.922533392906189, -0.3343415856361389, 0.7868020534515381, 2.691143035888672, 1.8201682567596436, 1.535085678100586, 0.17749154567718506, -0.17445707321166992, -0.5786089301109314, -0.0002079308032989502, 0.10450524091720581, 0.4744938015937805, 1.1470561027526855, 2.863929510116577]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1500,50,1.8023500241688248,0.001
19,"[0.922533392906189, -0.3343415856361389, 0.7868020534515381, 2.691143035888672, 1.8201682567596436, 1.535085678100586, 0.17749154567718506, -0.17445707321166992, -0.5786089301109314, -0.0002079308032989502, 0.10450524091720581, 0.4744938015937805, 1.1470561027526855, 2.863929510116577]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,1.8023500241688248,0.001
40,"[0.7293103337287903, -0.7760893106460571, -0.020616434514522552, 0.8470115065574646, 1.1003831624984741, 0.9966046214103699, 0.43601784110069275, 0.2177642285823822, -0.22572126984596252, -0.029966332018375397, 0.3622903525829315, 1.3613008260726929, 1.4062029123306274, 1.3983160257339478]",[10],<function relu at 0x0000020F3DB012F0>,1000,100,1.8059758180514718,0.001
4,"[0.7293103337287903, -0.7760893106460571, -0.020616434514522552, 0.8470115065574646, 1.1003831624984741, 0.9966046214103699, 0.43601784110069275, 0.2177642285823822, -0.22572126984596252, -0.029966332018375397, 0.3622903525829315, 1.3613008260726929, 1.4062029123306274, 1.3983160257339478]",[10],<function elu at 0x0000020F3DAF8F28>,1000,100,1.8059758180514718,0.001
36,"[0.19913870096206665, 0.6333287954330444, 0.19176530838012695, 0.23639816045761108, 1.2575753927230835, 0.8453006148338318, 0.9418515563011169, 0.29297763109207153, 0.10317633301019669, -0.2947288751602173, -0.3718937635421753, -0.13764286041259766, 0.10511816293001175, 0.4209898114204407]",[10],<function relu at 0x0000020F3DB012F0>,1000,100,1.8073365663719427,0.0001
0,"[0.19913870096206665, 0.6333287954330444, 0.19176530838012695, 0.23639816045761108, 1.2575753927230835, 0.8453006148338318, 0.9418515563011169, 0.29297763109207153, 0.10317633301019669, -0.2947288751602173, -0.3718937635421753, -0.13764286041259766, 0.10511816293001175, 0.4209898114204407]",[10],<function elu at 0x0000020F3DAF8F28>,1000,100,1.8073365663719427,0.0001
45,"[0.37686100602149963, -0.44348037242889404, -0.1399511694908142, 1.5298899412155151, 1.7837059497833252, 1.4099715948104858, 0.965254008769989, 1.05939781665802, 2.4334607124328613, 3.3821187019348145, 6.383270740509033, 3.129258155822754, 3.9296915531158447, 2.723494529724121]",[10],<function relu at 0x0000020F3DB012F0>,1000,50,1.83751606553721,0.01
9,"[0.37686100602149963, -0.44348037242889404, -0.1399511694908142, 1.5298899412155151, 1.7837059497833252, 1.4099715948104858, 0.965254008769989, 1.05939781665802, 2.4334607124328613, 3.3821187019348145, 6.383270740509033, 3.129258155822754, 3.9296915531158447, 2.723494529724121]",[10],<function elu at 0x0000020F3DAF8F28>,1000,50,1.83751606553721,0.01
44,"[0.5367655754089355, -0.36167505383491516, 0.43768221139907837, -0.6754725575447083, -0.7529003024101257, -0.2682081460952759, 0.586094856262207, 0.005644321441650391, -1.3387086391448975, -1.0883452892303467, -1.3757364749908447, -1.1885738372802734, -1.1221728324890137, -0.09396976232528687]",[10],<function relu at 0x0000020F3DB012F0>,1000,100,1.8959946619382892,0.01
8,"[0.5367655754089355, -0.36167505383491516, 0.43768221139907837, -0.6754725575447083, -0.7529003024101257, -0.2682081460952759, 0.586094856262207, 0.005644321441650391, -1.3387086391448975, -1.0883452892303467, -1.3757364749908447, -1.1885738372802734, -1.1221728324890137, -0.09396976232528687]",[10],<function elu at 0x0000020F3DAF8F28>,1000,100,1.8959946619382892,0.01
33,"[1.232466459274292, 0.5143334865570068, 0.9982105493545532, 0.8911333084106445, 0.3885565996170044, 0.43134117126464844, 1.6735531091690063, 1.9066542387008667, 1.5903798341751099, -0.1096869707107544, -0.6842840909957886, -0.8635989427566528, -2.111158847808838, 2.0648341178894043]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,1.9494430213271257,0.01
69,"[1.232466459274292, 0.5143334865570068, 0.9982105493545532, 0.8911333084106445, 0.3885565996170044, 0.43134117126464844, 1.6735531091690063, 1.9066542387008667, 1.5903798341751099, -0.1096869707107544, -0.6842840909957886, -0.8635989427566528, -2.111158847808838, 2.0648341178894043]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,1.9494430213271257,0.01
46,"[0.5350750088691711, -0.2788418233394623, 0.3259885907173157, -0.799949049949646, -0.7358102798461914, -0.09551259875297546, 0.8128926753997803, -0.2327210009098053, -1.2804794311523438, -0.8142117261886597, -0.8629181385040283, -0.7090260982513428, -0.993232250213623, -1.2478747367858887]",[10],<function relu at 0x0000020F3DB012F0>,1500,100,1.9636237467472326,0.01
10,"[0.5350750088691711, -0.2788418233394623, 0.3259885907173157, -0.799949049949646, -0.7358102798461914, -0.09551259875297546, 0.8128926753997803, -0.2327210009098053, -1.2804794311523438, -0.8142117261886597, -0.8629181385040283, -0.7090260982513428, -0.993232250213623, -1.2478747367858887]",[10],<function elu at 0x0000020F3DAF8F28>,1500,100,1.9636237467472326,0.01
35,"[1.3856890201568604, 0.40172260999679565, 0.8002731204032898, 0.6895152926445007, 0.16246259212493896, 0.8053598999977112, 1.475205659866333, 1.4558048248291016, 0.9730882048606873, -1.324960708618164, -0.7025770545005798, -1.4981613159179688, -2.856555700302124, 0.8017657399177551]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,2.024682352287827,0.01
71,"[1.3856890201568604, 0.40172260999679565, 0.8002731204032898, 0.6895152926445007, 0.16246259212493896, 0.8053598999977112, 1.475205659866333, 1.4558048248291016, 0.9730882048606873, -1.324960708618164, -0.7025770545005798, -1.4981613159179688, -2.856555700302124, 0.8017657399177551]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1500,50,2.024682352287827,0.01
21,"[0.7928100228309631, -0.6629207730293274, -0.4460254907608032, 0.053482234477996826, 0.2362796664237976, -1.3874340057373047, -2.937382459640503, -2.170590877532959, -2.0258076190948486, 2.678978204727173, 4.935551166534424, 7.543317794799805, 6.787895202636719, 7.56362247467041]","[10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,2.0308064616620634,0.01
57,"[0.7928100228309631, -0.6629207730293274, -0.4460254907608032, 0.053482234477996826, 0.2362796664237976, -1.3874340057373047, -2.937382459640503, -2.170590877532959, -2.0258076190948486, 2.678978204727173, 4.935551166534424, 7.543317794799805, 6.787895202636719, 7.56362247467041]","[10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,2.0308064616620634,0.01
