index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
64,"[0.5522258877754211, 0.2352326661348343, 2.5610053539276123, 3.711148262023926, -0.3494190573692322, -5.615550518035889, -6.717836856842041, -6.344559669494629, -1.6775062084197998, -1.4866622686386108, 2.5916948318481445, 8.502538681030273, 8.962401390075684, 5.943996906280518]",[75],<function elu at 0x0000021D67FB1E18>,1500,50,2.383072239918316,0.001
136,"[0.5522258877754211, 0.2352326661348343, 2.5610053539276123, 3.711148262023926, -0.3494190573692322, -5.615550518035889, -6.717836856842041, -6.344559669494629, -1.6775062084197998, -1.4866622686386108, 2.5916948318481445, 8.502538681030273, 8.962401390075684, 5.943996906280518]",[75],<function relu at 0x0000021D67FCF1E0>,1500,50,2.383072239918316,0.001
131,"[-0.10373777151107788, -0.22678956389427185, 2.1457719802856445, 2.679248094558716, -0.2727672755718231, -7.042415618896484, -8.182222366333008, -2.837073564529419, -1.5781660079956055, -2.238983392715454, -0.04043075442314148, 2.452008008956909, 5.645771026611328, 13.344908714294434]",[50],<function relu at 0x0000021D67FCF1E0>,1500,200,2.552869197748717,0.001
59,"[-0.10373777151107788, -0.22678956389427185, 2.1457719802856445, 2.679248094558716, -0.2727672755718231, -7.042415618896484, -8.182222366333008, -2.837073564529419, -1.5781660079956055, -2.238983392715454, -0.04043075442314148, 2.452008008956909, 5.645771026611328, 13.344908714294434]",[50],<function elu at 0x0000021D67FB1E18>,1500,200,2.552869197748717,0.001
91,"[1.2719295024871826, -0.08338156342506409, 1.1994438171386719, 3.7360424995422363, -1.4177898168563843, -3.137986421585083, -9.254461288452148, -7.967551231384277, -4.063690662384033, -3.780031442642212, -0.01912674307823181, 3.645798444747925, 3.4805657863616943, 6.533097267150879]","[10, 10]",<function relu at 0x0000021D67FCF1E0>,1500,200,2.624505764740807,0.001
19,"[1.2719295024871826, -0.08338156342506409, 1.1994438171386719, 3.7360424995422363, -1.4177898168563843, -3.137986421585083, -9.254461288452148, -7.967551231384277, -4.063690662384033, -3.780031442642212, -0.01912674307823181, 3.645798444747925, 3.4805657863616943, 6.533097267150879]","[10, 10]",<function elu at 0x0000021D67FB1E18>,1500,200,2.624505764740807,0.001
48,"[0.11574803292751312, -0.22823560237884521, 1.462583065032959, 2.4614131450653076, 0.027829498052597046, -4.701892852783203, -7.367722034454346, -8.739754676818848, -5.110456943511963, -3.4939138889312744, -3.309919595718384, -3.169970750808716, 0.3322306275367737, 0.5084902048110962]",[25],<function elu at 0x0000021D67FB1E18>,1500,50,2.663633170675928,0.001
120,"[0.11574803292751312, -0.22823560237884521, 1.462583065032959, 2.4614131450653076, 0.027829498052597046, -4.701892852783203, -7.367722034454346, -8.739754676818848, -5.110456943511963, -3.4939138889312744, -3.309919595718384, -3.169970750808716, 0.3322306275367737, 0.5084902048110962]",[25],<function relu at 0x0000021D67FCF1E0>,1500,50,2.663633170675928,0.001
42,"[1.3380210399627686, -1.3779218196868896, 0.917993426322937, 2.3510234355926514, -0.8381673097610474, -5.728295803070068, -7.290028095245361, -7.987354278564453, -9.10688304901123, -8.228130340576172, -3.607095241546631, 1.3571109771728516, 1.998734474182129, 5.9164323806762695]","[10, 10, 10]",<function elu at 0x0000021D67FB1E18>,1500,150,2.8867500967357307,0.001
114,"[1.3380210399627686, -1.3779218196868896, 0.917993426322937, 2.3510234355926514, -0.8381673097610474, -5.728295803070068, -7.290028095245361, -7.987354278564453, -9.10688304901123, -8.228130340576172, -3.607095241546631, 1.3571109771728516, 1.998734474182129, 5.9164323806762695]","[10, 10, 10]",<function relu at 0x0000021D67FCF1E0>,1500,150,2.8867500967357307,0.001
99,"[0.12570512294769287, -0.03582971543073654, 2.5466628074645996, 2.226815700531006, 0.02976895123720169, -4.170717239379883, -3.1919991970062256, -3.229027032852173, -1.403670310974121, -2.4537317752838135, -2.7496161460876465, 0.7447974681854248, 10.065869331359863, 10.147332191467285]","[30, 30, 30]",<function relu at 0x0000021D67FCF1E0>,1500,200,3.152924499165401,0.001
27,"[0.12570512294769287, -0.03582971543073654, 2.5466628074645996, 2.226815700531006, 0.02976895123720169, -4.170717239379883, -3.1919991970062256, -3.229027032852173, -1.403670310974121, -2.4537317752838135, -2.7496161460876465, 0.7447974681854248, 10.065869331359863, 10.147332191467285]","[30, 30, 30]",<function elu at 0x0000021D67FB1E18>,1500,200,3.152924499165401,0.001
