index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
23,"[-0.2257152795791626, 2.8904428482055664, 2.8976619243621826, 1.5481758117675781, -3.046888828277588, -5.861464023590088, -6.650712013244629, -3.64703369140625, 0.07508020848035812, -0.4100014865398407, -4.03999662399292, 2.972215175628662, 11.864733695983887, 9.848647117614746]",[25],<function elu at 0x000001940146CE18>,1000,150,2.6349756803422544,0.01
83,"[-0.2257152795791626, 2.8904428482055664, 2.8976619243621826, 1.5481758117675781, -3.046888828277588, -5.861464023590088, -6.650712013244629, -3.64703369140625, 0.07508020848035812, -0.4100014865398407, -4.03999662399292, 2.972215175628662, 11.864733695983887, 9.848647117614746]",[25],<function relu at 0x000001940148D1E0>,1000,150,2.6349756803422544,0.01
43,"[0.42183375358581543, 1.7226896286010742, 2.128122568130493, 1.44924795627594, -3.930246591567993, -7.4660491943359375, -5.216366767883301, -5.193681716918945, -4.5350213050842285, -2.5271759033203125, -0.3541477918624878, -1.0689798593521118, 9.587019920349121, 6.78974723815918]",[30],<function elu at 0x000001940146CE18>,1000,150,2.7052261478278115,0.01
103,"[0.42183375358581543, 1.7226896286010742, 2.128122568130493, 1.44924795627594, -3.930246591567993, -7.4660491943359375, -5.216366767883301, -5.193681716918945, -4.5350213050842285, -2.5271759033203125, -0.3541477918624878, -1.0689798593521118, 9.587019920349121, 6.78974723815918]",[30],<function relu at 0x000001940148D1E0>,1000,150,2.7052261478278115,0.01
73,"[-0.3076428174972534, 2.21530818939209, 3.138957977294922, -0.9285622835159302, -8.093240737915039, -8.213111877441406, -9.303720474243164, -5.746368885040283, -9.808606147766113, -10.568560600280762, -10.397582054138184, -15.192340850830078, -3.3589420318603516, -6.223331928253174]",[50],<function relu at 0x000001940148D1E0>,1000,150,2.763031079056281,0.01
13,"[-0.3076428174972534, 2.21530818939209, 3.138957977294922, -0.9285622835159302, -8.093240737915039, -8.213111877441406, -9.303720474243164, -5.746368885040283, -9.808606147766113, -10.568560600280762, -10.397582054138184, -15.192340850830078, -3.3589420318603516, -6.223331928253174]",[50],<function elu at 0x000001940146CE18>,1000,150,2.763031079056281,0.01
82,"[-0.6486193537712097, 0.22392989695072174, 1.654890775680542, -1.074491024017334, -3.093529462814331, -6.287409782409668, -5.474982738494873, -3.655482769012451, -3.5159294605255127, -2.788294792175293, -1.2960906028747559, 1.2462399005889893, 1.859828233718872, 3.5399510860443115]",[25],<function relu at 0x000001940148D1E0>,1000,250,3.2079251244527915,0.01
22,"[-0.6486193537712097, 0.22392989695072174, 1.654890775680542, -1.074491024017334, -3.093529462814331, -6.287409782409668, -5.474982738494873, -3.655482769012451, -3.5159294605255127, -2.788294792175293, -1.2960906028747559, 1.2462399005889893, 1.859828233718872, 3.5399510860443115]",[25],<function elu at 0x000001940146CE18>,1000,250,3.2079251244527915,0.01
14,"[-0.9672892689704895, 0.36619463562965393, 0.8803454041481018, -3.003296375274658, -8.287090301513672, -10.100489616394043, -8.572171211242676, 8.563859939575195, 7.4049201011657715, 2.938419818878174, 1.0575453042984009, 5.093761444091797, 11.49293041229248, 5.178193092346191]",[50],<function elu at 0x000001940146CE18>,1000,200,3.388436252842284,0.01
74,"[-0.9672892689704895, 0.36619463562965393, 0.8803454041481018, -3.003296375274658, -8.287090301513672, -10.100489616394043, -8.572171211242676, 8.563859939575195, 7.4049201011657715, 2.938419818878174, 1.0575453042984009, 5.093761444091797, 11.49293041229248, 5.178193092346191]",[50],<function relu at 0x000001940148D1E0>,1000,200,3.388436252842284,0.01
