index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
0,"[0.7699023485183716, 1.382060170173645, 0.024626512080430984, 0.37703320384025574, -0.4827541410923004, -1.6306220293045044, -3.898730516433716, -2.3818581104278564, 1.5447814464569092, -1.029869556427002, -3.1726133823394775, 2.950981855392456, -3.769245147705078, -3.5106070041656494]",[100],<function elu at 0x0000025A38D4FE18>,1000,50,1.632431878027828,0.01
60,"[0.7699023485183716, 1.382060170173645, 0.024626512080430984, 0.37703320384025574, -0.4827541410923004, -1.6306220293045044, -3.898730516433716, -2.3818581104278564, 1.5447814464569092, -1.029869556427002, -3.1726133823394775, 2.950981855392456, -3.769245147705078, -3.5106070041656494]",[100],<function relu at 0x0000025A38D6A1E0>,1000,50,1.632431878027828,0.01
42,"[0.31884661316871643, 0.4043245017528534, 2.174424171447754, 0.7879981398582458, -0.20458099246025085, -2.174624443054199, -1.5118446350097656, -2.5271823406219482, -1.5323011875152588, 0.21835190057754517, 1.5330142974853516, 2.223829984664917, 4.0758490562438965, 3.354219913482666]",[30],<function elu at 0x0000025A38D4FE18>,1000,250,1.8717312782573423,0.01
102,"[0.31884661316871643, 0.4043245017528534, 2.174424171447754, 0.7879981398582458, -0.20458099246025085, -2.174624443054199, -1.5118446350097656, -2.5271823406219482, -1.5323011875152588, 0.21835190057754517, 1.5330142974853516, 2.223829984664917, 4.0758490562438965, 3.354219913482666]",[30],<function relu at 0x0000025A38D6A1E0>,1000,250,1.8717312782573423,0.01
82,"[1.2007620334625244, 0.9223860502243042, 2.8155460357666016, 0.9297096729278564, -0.9206868410110474, -2.286285877227783, -1.014428973197937, 0.08792102336883545, 2.935065269470215, 4.76008415222168, 2.5510144233703613, 0.6223611831665039, -1.0188387632369995, -3.5612740516662598]",[25],<function relu at 0x0000025A38D6A1E0>,1000,250,1.9314292006091998,0.01
22,"[1.2007620334625244, 0.9223860502243042, 2.8155460357666016, 0.9297096729278564, -0.9206868410110474, -2.286285877227783, -1.014428973197937, 0.08792102336883545, 2.935065269470215, 4.76008415222168, 2.5510144233703613, 0.6223611831665039, -1.0188387632369995, -3.5612740516662598]",[25],<function elu at 0x0000025A38D4FE18>,1000,250,1.9314292006091998,0.01
61,"[0.9058637619018555, 1.7299695014953613, 0.9312191605567932, 1.2511979341506958, -0.0199875645339489, -1.8619866371154785, -5.549358367919922, -5.110173225402832, -4.40464973449707, -3.2693123817443848, -2.5992817878723145, 2.975490093231201, 1.224579930305481, 8.569738388061523]",[100],<function relu at 0x0000025A38D6A1E0>,1000,100,1.963208527670168,0.01
1,"[0.9058637619018555, 1.7299695014953613, 0.9312191605567932, 1.2511979341506958, -0.0199875645339489, -1.8619866371154785, -5.549358367919922, -5.110173225402832, -4.40464973449707, -3.2693123817443848, -2.5992817878723145, 2.975490093231201, 1.224579930305481, 8.569738388061523]",[100],<function elu at 0x0000025A38D4FE18>,1000,100,1.963208527670168,0.01
72,"[0.8254180550575256, 1.8110153675079346, 1.1763614416122437, 0.28357329964637756, 0.3075185716152191, -0.8389116525650024, -3.453829526901245, -4.6224565505981445, -1.926457166671753, 3.122558355331421, 2.154587507247925, 0.7285832166671753, -1.9452030658721924, -1.1112098693847656]",[50],<function relu at 0x0000025A38D6A1E0>,1000,250,2.070288543056023,0.01
12,"[0.8254180550575256, 1.8110153675079346, 1.1763614416122437, 0.28357329964637756, 0.3075185716152191, -0.8389116525650024, -3.453829526901245, -4.6224565505981445, -1.926457166671753, 3.122558355331421, 2.154587507247925, 0.7285832166671753, -1.9452030658721924, -1.1112098693847656]",[50],<function elu at 0x0000025A38D4FE18>,1000,250,2.070288543056023,0.01
