index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
20,"[-0.7597679495811462, -0.5659308433532715, -0.05531185120344162, 0.8759520649909973, 0.8067545890808105, 0.687046468257904, 0.7751525044441223, 0.30209270119667053, 0.5791953206062317, 0.011785056442022324, 0.540923535823822, 0.0608527809381485, 0.2887680232524872, -0.5167548060417175]",[10],<function elu at 0x0000025A38D4FE18>,500,50,1.4194572959522382,0.0001
164,"[-0.7597679495811462, -0.5659308433532715, -0.05531185120344162, 0.8759520649909973, 0.8067545890808105, 0.687046468257904, 0.7751525044441223, 0.30209270119667053, 0.5791953206062317, 0.011785056442022324, 0.540923535823822, 0.0608527809381485, 0.2887680232524872, -0.5167548060417175]",[10],<function relu at 0x0000025A38D6A1E0>,500,50,1.4194572959522382,0.0001
165,"[0.08737872540950775, -0.3034726679325104, -0.0975600928068161, -0.013579647988080978, -0.03190163895487785, 0.7069588303565979, 0.8494787216186523, 1.0377367734909058, 0.6548401713371277, 0.769967794418335, -0.03635792061686516, 0.2508748471736908, -0.1728629171848297, -0.15045885741710663]",[10],<function relu at 0x0000025A38D6A1E0>,500,100,1.4629857488405922,0.0001
21,"[0.08737872540950775, -0.3034726679325104, -0.0975600928068161, -0.013579647988080978, -0.03190163895487785, 0.7069588303565979, 0.8494787216186523, 1.0377367734909058, 0.6548401713371277, 0.769967794418335, -0.03635792061686516, 0.2508748471736908, -0.1728629171848297, -0.15045885741710663]",[10],<function elu at 0x0000025A38D4FE18>,500,100,1.4629857488405922,0.0001
161,"[0.08683981001377106, -0.19938905537128448, 0.22003965079784393, 0.323509156703949, 0.44694608449935913, 0.9311297535896301, 1.209161400794983, 1.103597640991211, 0.8579081296920776, 0.6525833010673523, 0.37341660261154175, 0.4235588312149048, 0.15549767017364502, 0.06325291097164154]",[10],<function relu at 0x0000025A38D6A1E0>,1000,100,1.498257845693703,0.0001
17,"[0.08683981001377106, -0.19938905537128448, 0.22003965079784393, 0.323509156703949, 0.44694608449935913, 0.9311297535896301, 1.209161400794983, 1.103597640991211, 0.8579081296920776, 0.6525833010673523, 0.37341660261154175, 0.4235588312149048, 0.15549767017364502, 0.06325291097164154]",[10],<function elu at 0x0000025A38D4FE18>,1000,100,1.498257845693703,0.0001
69,"[-0.10934285074472427, -0.2884252369403839, 0.31609562039375305, 0.438251793384552, 0.5669692158699036, 0.8191598057746887, 0.7052502632141113, 0.7146309018135071, 0.45287296175956726, 0.04458446055650711, 0.08735370635986328, 0.44088035821914673, 0.3444581925868988, 0.23338431119918823]","[10, 10]",<function elu at 0x0000025A38D4FE18>,500,100,1.5287156957941195,0.0001
213,"[-0.10934285074472427, -0.2884252369403839, 0.31609562039375305, 0.438251793384552, 0.5669692158699036, 0.8191598057746887, 0.7052502632141113, 0.7146309018135071, 0.45287296175956726, 0.04458446055650711, 0.08735370635986328, 0.44088035821914673, 0.3444581925868988, 0.23338431119918823]","[10, 10]",<function relu at 0x0000025A38D6A1E0>,500,100,1.5287156957941195,0.0001
68,"[-0.1791791319847107, -0.01903538778424263, 0.0964667797088623, 0.28348538279533386, 0.4583606421947479, 1.1089271306991577, 0.7052490711212158, 0.7039835453033447, 0.47271260619163513, 0.060638513416051865, 0.06713113188743591, 0.17789234220981598, -0.245436429977417, 0.27329742908477783]","[10, 10]",<function elu at 0x0000025A38D4FE18>,500,50,1.5441603144053535,0.0001
212,"[-0.1791791319847107, -0.01903538778424263, 0.0964667797088623, 0.28348538279533386, 0.4583606421947479, 1.1089271306991577, 0.7052490711212158, 0.7039835453033447, 0.47271260619163513, 0.060638513416051865, 0.06713113188743591, 0.17789234220981598, -0.245436429977417, 0.27329742908477783]","[10, 10]",<function relu at 0x0000025A38D6A1E0>,500,50,1.5441603144053535,0.0001
260,"[-0.41082024574279785, -0.31511279940605164, 0.2894485890865326, 0.8186847567558289, 1.4481052160263062, 1.578285813331604, 1.4111104011535645, 0.37276923656463623, 0.09131430089473724, -0.6223881244659424, 0.1871466189622879, -0.14978858828544617, 0.47049400210380554, 0.833259642124176]",[30],<function relu at 0x0000025A38D6A1E0>,500,50,1.5564748408695395,0.0001
116,"[-0.41082024574279785, -0.31511279940605164, 0.2894485890865326, 0.8186847567558289, 1.4481052160263062, 1.578285813331604, 1.4111104011535645, 0.37276923656463623, 0.09131430089473724, -0.6223881244659424, 0.1871466189622879, -0.14978858828544617, 0.47049400210380554, 0.833259642124176]",[30],<function elu at 0x0000025A38D4FE18>,500,50,1.5564748408695395,0.0001
160,"[-0.46007248759269714, -0.09276508539915085, 0.12191873788833618, 0.819618284702301, 0.9327257871627808, 0.9105716943740845, 0.868304967880249, 0.459712952375412, 0.7671464681625366, 0.39755979180336, 0.8093199133872986, 0.32558196783065796, 0.5178282856941223, -0.21574613451957703]",[10],<function relu at 0x0000025A38D6A1E0>,1000,50,1.5567908501349144,0.0001
16,"[-0.46007248759269714, -0.09276508539915085, 0.12191873788833618, 0.819618284702301, 0.9327257871627808, 0.9105716943740845, 0.868304967880249, 0.459712952375412, 0.7671464681625366, 0.39755979180336, 0.8093199133872986, 0.32558196783065796, 0.5178282856941223, -0.21574613451957703]",[10],<function elu at 0x0000025A38D4FE18>,1000,50,1.5567908501349144,0.0001
64,"[-0.3057202100753784, -0.05282032862305641, 0.48780557513237, 0.7669511437416077, 1.3324930667877197, 1.7181828022003174, 1.5094547271728516, 1.1648378372192383, 0.772363543510437, 0.10241378843784332, 0.06672126054763794, -0.1786060631275177, -0.37856268882751465, 0.02102958783507347]","[10, 10]",<function elu at 0x0000025A38D4FE18>,1000,50,1.6183649543709553,0.0001
208,"[-0.3057202100753784, -0.05282032862305641, 0.48780557513237, 0.7669511437416077, 1.3324930667877197, 1.7181828022003174, 1.5094547271728516, 1.1648378372192383, 0.772363543510437, 0.10241378843784332, 0.06672126054763794, -0.1786060631275177, -0.37856268882751465, 0.02102958783507347]","[10, 10]",<function relu at 0x0000025A38D6A1E0>,1000,50,1.6183649543709553,0.0001
162,"[0.13998213410377502, -0.1708631068468094, 0.2452736645936966, 0.5962018370628357, 1.1160203218460083, 1.24249267578125, 1.1917808055877686, 1.1872084140777588, 0.8052351474761963, 0.5710816383361816, 0.28706157207489014, 0.6073983907699585, 0.7302614450454712, 0.6931190490722656]",[10],<function relu at 0x0000025A38D6A1E0>,1000,250,1.620969212658417,0.0001
18,"[0.13998213410377502, -0.1708631068468094, 0.2452736645936966, 0.5962018370628357, 1.1160203218460083, 1.24249267578125, 1.1917808055877686, 1.1872084140777588, 0.8052351474761963, 0.5710816383361816, 0.28706157207489014, 0.6073983907699585, 0.7302614450454712, 0.6931190490722656]",[10],<function elu at 0x0000025A38D4FE18>,1000,250,1.620969212658417,0.0001
19,"[-0.11008540540933609, 0.32367658615112305, 0.36708754301071167, 0.4117937386035919, 0.8418612480163574, 1.0260876417160034, 1.0389392375946045, 0.6595670580863953, 0.5333791375160217, 0.3389313519001007, 0.7768585085868835, 0.655553936958313, 0.673272967338562, 0.254241943359375]",[10],<function elu at 0x0000025A38D4FE18>,1000,150,1.6323895576962386,0.0001
163,"[-0.11008540540933609, 0.32367658615112305, 0.36708754301071167, 0.4117937386035919, 0.8418612480163574, 1.0260876417160034, 1.0389392375946045, 0.6595670580863953, 0.5333791375160217, 0.3389313519001007, 0.7768585085868835, 0.655553936958313, 0.673272967338562, 0.254241943359375]",[10],<function relu at 0x0000025A38D6A1E0>,1000,150,1.6323895576962386,0.0001
22,"[0.28408610820770264, 0.06049409508705139, -0.058757245540618896, 0.10343979299068451, 0.638962984085083, 0.8191184401512146, 0.7508322596549988, 0.9420928359031677, 0.6767686009407043, 0.5308011770248413, 0.21878962218761444, 0.4128314256668091, 0.5406025648117065, 0.5209829211235046]",[10],<function elu at 0x0000025A38D4FE18>,500,250,1.6326472737569677,0.0001
166,"[0.28408610820770264, 0.06049409508705139, -0.058757245540618896, 0.10343979299068451, 0.638962984085083, 0.8191184401512146, 0.7508322596549988, 0.9420928359031677, 0.6767686009407043, 0.5308011770248413, 0.21878962218761444, 0.4128314256668091, 0.5406025648117065, 0.5209829211235046]",[10],<function relu at 0x0000025A38D6A1E0>,500,250,1.6326472737569677,0.0001
65,"[-0.10332802683115005, -0.2042836844921112, 0.598226010799408, 0.9973284602165222, 1.1242008209228516, 1.0624122619628906, 1.1255385875701904, 0.7486917972564697, 0.5475499033927917, 0.21518728137016296, 0.49039018154144287, 0.7845104336738586, 0.8027783036231995, 0.6853231191635132]","[10, 10]",<function elu at 0x0000025A38D4FE18>,1000,100,1.6491576852981686,0.0001
209,"[-0.10332802683115005, -0.2042836844921112, 0.598226010799408, 0.9973284602165222, 1.1242008209228516, 1.0624122619628906, 1.1255385875701904, 0.7486917972564697, 0.5475499033927917, 0.21518728137016296, 0.49039018154144287, 0.7845104336738586, 0.8027783036231995, 0.6853231191635132]","[10, 10]",<function relu at 0x0000025A38D6A1E0>,1000,100,1.6491576852981686,0.0001
23,"[-0.07532088458538055, 0.4587639570236206, 0.04328661784529686, -0.17441344261169434, 0.10389485955238342, 0.14643555879592896, 0.2342015504837036, 0.24823451042175293, 0.24404293298721313, 0.2514008581638336, 0.7491899132728577, 0.6440548896789551, 0.6606065034866333, 0.5243169069290161]",[10],<function elu at 0x0000025A38D4FE18>,500,150,1.691460992497413,0.0001
167,"[-0.07532088458538055, 0.4587639570236206, 0.04328661784529686, -0.17441344261169434, 0.10389485955238342, 0.14643555879592896, 0.2342015504837036, 0.24823451042175293, 0.24404293298721313, 0.2514008581638336, 0.7491899132728577, 0.6440548896789551, 0.6606065034866333, 0.5243169069290161]",[10],<function relu at 0x0000025A38D6A1E0>,500,150,1.691460992497413,0.0001
