index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
128,"[0.9212552905082703, 0.6118323802947998, 0.54587721824646, -0.13187828660011292, 1.229649305343628, 0.9947247505187988, 1.0729186534881592, 0.05936897546052933, -0.6089839935302734, -1.2375222444534302, 0.4636315107345581, -0.360958069562912, -0.42950212955474854, -1.5624288320541382]",[50],<function relu at 0x000001F5804A91E0>,1500,50,1.304311206789183,0.001
36,"[0.7192884087562561, 0.7337372303009033, 0.8615106344223022, -0.6903667449951172, 0.8891605138778687, 0.5394357442855835, 0.10170173645019531, -4.131791114807129, -5.361712455749512, -5.572429656982422, -1.8067333698272705, -0.9378490447998047, 4.966910362243652, 3.415621757507324]",[30],<function elu at 0x000001F580492E18>,1500,50,1.325311979908369,0.01
4,"[0.9243226647377014, 0.5289637446403503, 0.3446657061576843, 0.08113767206668854, 1.9606684446334839, 1.5065442323684692, 0.10086800158023834, -1.355018138885498, -2.341416120529175, -1.53042733669281, 0.7945894598960876, -0.07065670192241669, 0.9149764180183411, 0.579014003276825]",[10],<function elu at 0x000001F580492E18>,1500,50,1.3603247987913492,0.01
33,"[0.84992516040802, 0.4351482093334198, 0.6088541746139526, -0.04082993045449257, 1.3186155557632446, 1.7818716764450073, 0.3083029091358185, 0.6231384873390198, 1.2168031930923462, -1.5040773153305054, -2.6487538814544678, -5.115028381347656, -7.004796981811523, -7.48981237411499]",[30],<function elu at 0x000001F580492E18>,1500,100,1.3641553815618952,0.001
69,"[0.9843144416809082, 1.4440258741378784, 0.7549129724502563, -1.131637692451477, 1.9475582838058472, -0.533904492855072, -0.7998828887939453, -1.636494755744934, -0.9126688241958618, 2.2734265327453613, 4.755688190460205, -4.350920677185059, 2.920178174972534, 0.09934984892606735]",[75],<function elu at 0x000001F580492E18>,1500,100,1.399415707680319,0.01
121,"[0.9788721799850464, 0.4057868421077728, 0.43487903475761414, -0.07560459524393082, 0.30624571442604065, 0.7518773078918457, 0.6165055632591248, 1.039136290550232, 0.5006347894668579, -1.8422183990478516, -1.5140324831008911, -1.288895606994629, -1.1911287307739258, -0.40085169672966003]",[25],<function relu at 0x000001F5804A91E0>,1500,100,1.4037615387424351,0.001
126,"[0.911648154258728, -0.04537832736968994, 0.6226388812065125, 0.15525346994400024, 1.4693379402160645, 0.8010478019714355, 1.3125524520874023, 1.3365373611450195, 1.2538928985595703, 0.9652824401855469, 1.3923835754394531, 1.1013580560684204, 1.3971819877624512, 1.7130959033966064]",[25],<function relu at 0x000001F5804A91E0>,1500,150,1.4050174037350627,0.01
83,"[0.7642203569412231, 1.0527209043502808, 0.13103681802749634, -0.02617811970412731, 0.8839078545570374, 0.6650142073631287, 0.3213648796081543, 0.13632655143737793, -0.2893148362636566, -0.3879697024822235, 1.5540894269943237, 2.1670191287994385, 1.5989121198654175, 1.3892099857330322]","[30, 30]",<function relu at 0x000001F5804A91E0>,1500,200,1.4300002965688619,0.001
23,"[1.3270344734191895, 0.734421968460083, -0.4021511375904083, 0.700451135635376, 1.8176159858703613, 1.7237451076507568, 0.8680882453918457, 0.6026073694229126, 1.0273737907409668, 1.9430304765701294, 3.6732964515686035, 0.5625662803649902, -1.267818570137024, -0.7455213069915771]","[10, 10]",<function elu at 0x000001F580492E18>,1500,200,1.4544585529678855,0.01
37,"[0.7652618288993835, 1.1740463972091675, 0.7832839488983154, 0.512121856212616, 1.2545692920684814, 0.6743445992469788, 0.8813117146492004, 3.1124627590179443, 2.738703489303589, 4.36660623550415, 5.510627269744873, 5.209993362426758, 3.733884572982788, 2.1330642700195312]",[30],<function elu at 0x000001F580492E18>,1500,100,1.4659129900019772,0.01
11,"[1.0410382747650146, 0.9521282911300659, 1.3817307949066162, 0.9704278707504272, 1.3059483766555786, 0.8674535155296326, 0.4601266384124756, -0.8940492868423462, -1.5930980443954468, -0.5989166498184204, -1.0277960300445557, -1.326467514038086, -2.015852451324463, -0.10945375263690948]","[30, 30]",<function elu at 0x000001F580492E18>,1500,200,1.4816141184731966,0.001
94,"[0.7980663776397705, 1.1451176404953003, 0.48461323976516724, -0.6528267860412598, 0.080601267516613, -0.13415467739105225, 0.032876577228307724, 0.06368240714073181, -0.15315279364585876, 0.46942099928855896, 0.10670633614063263, -0.060145292431116104, 0.043251942843198776, 0.8677468299865723]","[10, 10]",<function relu at 0x000001F5804A91E0>,1500,150,1.489717236361288,0.01
41,"[0.9251934885978699, 0.41728949546813965, 0.6235992908477783, -0.07154291868209839, 0.22560113668441772, 0.6335740089416504, 1.8197457790374756, 0.5531573295593262, -0.5061559081077576, -1.1602230072021484, -2.0067479610443115, -3.8905344009399414, -4.197186470031738, -3.181020736694336]","[10, 10, 10]",<function elu at 0x000001F580492E18>,1500,100,1.493530475126024,0.001
52,"[0.9519504904747009, 0.5376648306846619, -0.2142626792192459, -0.6168811321258545, 0.17599576711654663, -0.05062023922801018, 1.2921591997146606, 2.740732192993164, 5.607213020324707, 2.102623224258423, -3.8192429542541504, -2.641103744506836, -2.2540814876556396, -2.4638590812683105]",[25],<function elu at 0x000001F580492E18>,1500,50,1.494687927769931,0.01
123,"[1.076059341430664, 0.7065647840499878, 0.7563892602920532, 0.7934970855712891, 0.5414040684700012, 0.9123380184173584, 0.2980778217315674, 0.09172964096069336, -0.2563565969467163, -0.6761593222618103, -0.3379781246185303, -1.1079939603805542, -1.7682698965072632, -1.2366065979003906]",[25],<function relu at 0x000001F5804A91E0>,1500,200,1.4960907736691098,0.001
7,"[1.0918856859207153, 0.891743540763855, 0.6904298067092896, 0.7712973356246948, 0.5506455898284912, 0.5429763793945312, 0.33201876282691956, -0.20530477166175842, -0.8066997528076172, -1.0822786092758179, -0.43793168663978577, -0.5223077535629272, -0.7418259382247925, -1.0244766473770142]",[10],<function elu at 0x000001F580492E18>,1500,200,1.4971967416987002,0.01
49,"[0.8143465518951416, 0.6752638220787048, 0.8434128165245056, -0.03227712959051132, 0.12616413831710815, 0.05002541095018387, 0.4395023286342621, -0.5594217777252197, -0.6331934928894043, -0.13212090730667114, 0.0845450833439827, -2.2566800117492676, -4.057581424713135, -4.006466388702393]",[25],<function elu at 0x000001F580492E18>,1500,100,1.5069697375385207,0.001
143,"[0.770357608795166, 1.637602686882019, -0.618356466293335, -1.8051483631134033, 0.8889579772949219, 1.6245278120040894, 2.010774850845337, -0.6703718900680542, 0.4500856101512909, -1.590674877166748, -0.2630419433116913, 0.102619469165802, -0.747072696685791, -0.2712559103965759]",[75],<function relu at 0x000001F5804A91E0>,1500,200,1.509406056133043,0.01
40,"[0.7548491954803467, 0.9128402471542358, 0.6094839572906494, 0.7657225131988525, 1.5420897006988525, 1.3015568256378174, 0.3436475694179535, -1.6921298503875732, -1.9202954769134521, -1.7813161611557007, -0.5101114511489868, -0.75688636302948, -0.7430182695388794, -2.3697478771209717]","[10, 10, 10]",<function elu at 0x000001F580492E18>,1500,50,1.5146522838895025,0.001
82,"[0.8618618845939636, 1.0325126647949219, -0.18044240772724152, -1.1506766080856323, 0.7217617034912109, -0.35833561420440674, -0.7796629667282104, -1.8681741952896118, -1.3554693460464478, -1.7052266597747803, -0.8134801983833313, -1.4941189289093018, -1.1448880434036255, 0.5312319993972778]","[30, 30]",<function relu at 0x000001F5804A91E0>,1500,150,1.515454041526925,0.001
115,"[0.7725793123245239, 0.3370564877986908, 0.6706761717796326, 0.6074491739273071, 1.1348811388015747, 0.9193903207778931, 1.3487483263015747, 0.7597085237503052, 0.9996896982192993, 0.1110299602150917, 0.10156402736902237, -0.6413947343826294, -0.9870694875717163, -1.9027615785598755]","[10, 10, 10]",<function relu at 0x000001F5804A91E0>,1500,200,1.5212875653187135,0.001
59,"[0.8799197673797607, 0.51137775182724, 0.8662500381469727, 0.42976096272468567, 0.15825480222702026, 1.0807702541351318, 1.0058820247650146, -0.9325665831565857, -3.321052312850952, -4.514776706695557, -5.0915303230285645, -5.959729194641113, -5.425350189208984, -4.807365894317627]",[50],<function elu at 0x000001F580492E18>,1500,200,1.524005094784521,0.001
136,"[0.8678771257400513, 0.6318275928497314, 0.010878831148147583, -0.5335036516189575, 0.16117152571678162, 0.9995570182800293, 2.1515533924102783, 2.533237934112549, 3.564896583557129, 4.9115495681762695, 6.480331897735596, 5.970165729522705, 3.3653361797332764, 1.6485986709594727]",[75],<function relu at 0x000001F5804A91E0>,1500,50,1.5287104784174723,0.001
39,"[0.9328730702400208, 0.08832164853811264, 0.2581322193145752, 0.2784702479839325, 0.4691106379032135, 0.8854694366455078, 1.6438744068145752, 0.8229320645332336, 0.7955931425094604, 2.637587070465088, 1.2185457944869995, -1.5080808401107788, -2.8631222248077393, -2.9967126846313477]",[30],<function elu at 0x000001F580492E18>,1500,200,1.5346826383822496,0.01
