index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
20,"[-1.276827096939087, -0.3857349455356598, 0.11340078711509705, 0.7396467924118042, -0.0010399818420410156, 0.26962244510650635, 1.3227388858795166, 1.1559405326843262, 0.1290619820356369, 0.04039676487445831, 0.08931237459182739, 0.3773657977581024, 0.13360774517059326, -0.6968994140625]",[10],<function elu at 0x0000012CFA5BDE18>,500,50,4.409168297381206,0.0001
212,"[-1.276827096939087, -0.3857349455356598, 0.11340078711509705, 0.7396467924118042, -0.0010399818420410156, 0.26962244510650635, 1.3227388858795166, 1.1559405326843262, 0.1290619820356369, 0.04039676487445831, 0.08931237459182739, 0.3773657977581024, 0.13360774517059326, -0.6968994140625]",[10],<function relu at 0x0000012CFA5DB1E0>,500,50,4.409168297381206,0.0001
260,"[-0.8537718057632446, 0.14998389780521393, 0.4051647484302521, 0.946907103061676, 0.03641853481531143, 1.0096156597137451, 1.3409196138381958, 0.8672919273376465, 0.13732755184173584, 0.07132817059755325, 0.21057653427124023, 0.23086506128311157, 0.015901222825050354, -0.8027874231338501]",[20],<function relu at 0x0000012CFA5DB1E0>,500,50,4.7375088083054075,0.0001
68,"[-0.8537718057632446, 0.14998389780521393, 0.4051647484302521, 0.946907103061676, 0.03641853481531143, 1.0096156597137451, 1.3409196138381958, 0.8672919273376465, 0.13732755184173584, 0.07132817059755325, 0.21057653427124023, 0.23086506128311157, 0.015901222825050354, -0.8027874231338501]",[20],<function elu at 0x0000012CFA5BDE18>,500,50,4.7375088083054075,0.0001
16,"[-0.6299115419387817, 0.24668079614639282, 0.4865339994430542, 0.9653664827346802, 0.43618690967559814, 0.4858388900756836, 0.8743005394935608, 0.6023775339126587, 0.2859167456626892, 0.11721614748239517, 0.01407533884048462, 0.2743551731109619, 0.1265343725681305, -0.1824127733707428]",[10],<function elu at 0x0000012CFA5BDE18>,1000,50,4.837426811319669,0.0001
208,"[-0.6299115419387817, 0.24668079614639282, 0.4865339994430542, 0.9653664827346802, 0.43618690967559814, 0.4858388900756836, 0.8743005394935608, 0.6023775339126587, 0.2859167456626892, 0.11721614748239517, 0.01407533884048462, 0.2743551731109619, 0.1265343725681305, -0.1824127733707428]",[10],<function relu at 0x0000012CFA5DB1E0>,1000,50,4.837426811319669,0.0001
256,"[-0.3002093732357025, 0.45644688606262207, 0.4972776770591736, 1.0862370729446411, -0.13739052414894104, 0.6475105285644531, 0.639091968536377, 0.21682320535182953, 0.06994175910949707, -0.292545348405838, -0.18643741309642792, -0.2290315330028534, -0.3551037013530731, -1.0407413244247437]",[20],<function relu at 0x0000012CFA5DB1E0>,1000,50,4.929572633296805,0.0001
64,"[-0.3002093732357025, 0.45644688606262207, 0.4972776770591736, 1.0862370729446411, -0.13739052414894104, 0.6475105285644531, 0.639091968536377, 0.21682320535182953, 0.06994175910949707, -0.292545348405838, -0.18643741309642792, -0.2290315330028534, -0.3551037013530731, -1.0407413244247437]",[20],<function elu at 0x0000012CFA5BDE18>,1000,50,4.929572633296805,0.0001
214,"[0.26762720942497253, 0.2593376934528351, 0.011857815086841583, 0.045082204043865204, 0.06601598113775253, 0.7262002229690552, -0.5471958518028259, -1.1043368577957153, -1.493510127067566, -1.3167150020599365, -0.7470732927322388, -0.5495441555976868, -0.07656505703926086, 1.2976577281951904]",[10],<function relu at 0x0000012CFA5DB1E0>,500,250,4.938880114677107,0.0001
22,"[0.26762720942497253, 0.2593376934528351, 0.011857815086841583, 0.045082204043865204, 0.06601598113775253, 0.7262002229690552, -0.5471958518028259, -1.1043368577957153, -1.493510127067566, -1.3167150020599365, -0.7470732927322388, -0.5495441555976868, -0.07656505703926086, 1.2976577281951904]",[10],<function elu at 0x0000012CFA5BDE18>,500,250,4.938880114677107,0.0001
335,"[0.04260430857539177, 0.504765510559082, 0.43684524297714233, 0.5165205597877502, 0.14895299077033997, 0.44638386368751526, 0.5795135498046875, 0.7571783661842346, 1.2395944595336914, 0.5938984155654907, 0.07318741083145142, -0.0369245745241642, -0.46702998876571655, -1.212354063987732]",[30],<function relu at 0x0000012CFA5DB1E0>,500,150,4.950541494702819,0.0001
143,"[0.04260430857539177, 0.504765510559082, 0.43684524297714233, 0.5165205597877502, 0.14895299077033997, 0.44638386368751526, 0.5795135498046875, 0.7571783661842346, 1.2395944595336914, 0.5938984155654907, 0.07318741083145142, -0.0369245745241642, -0.46702998876571655, -1.212354063987732]",[30],<function elu at 0x0000012CFA5BDE18>,500,150,4.950541494702819,0.0001
18,"[-0.038239918649196625, 0.1698552370071411, 0.2993755042552948, 0.427836537361145, 0.08816313743591309, 0.677466630935669, -0.787769615650177, -1.2699402570724487, -0.9287492036819458, -0.4477764368057251, -0.0036826804280281067, 0.07631563395261765, 0.37829089164733887, 1.3019897937774658]",[10],<function elu at 0x0000012CFA5BDE18>,1000,250,4.955968173604765,0.0001
210,"[-0.038239918649196625, 0.1698552370071411, 0.2993755042552948, 0.427836537361145, 0.08816313743591309, 0.677466630935669, -0.787769615650177, -1.2699402570724487, -0.9287492036819458, -0.4477764368057251, -0.0036826804280281067, 0.07631563395261765, 0.37829089164733887, 1.3019897937774658]",[10],<function relu at 0x0000012CFA5DB1E0>,1000,250,4.955968173604765,0.0001
285,"[0.1682177484035492, 0.2936652600765228, 0.5292153358459473, 0.4820080101490021, 0.42685285210609436, 0.6194955706596375, 0.7568496465682983, 0.7765991687774658, 1.123453974723816, 0.6610905528068542, 0.04514068365097046, 0.34515583515167236, 0.47696030139923096, 0.5680596232414246]","[10, 10]",<function relu at 0x0000012CFA5DB1E0>,500,100,4.985050284340464,0.0001
93,"[0.1682177484035492, 0.2936652600765228, 0.5292153358459473, 0.4820080101490021, 0.42685285210609436, 0.6194955706596375, 0.7568496465682983, 0.7765991687774658, 1.123453974723816, 0.6610905528068542, 0.04514068365097046, 0.34515583515167236, 0.47696030139923096, 0.5680596232414246]","[10, 10]",<function elu at 0x0000012CFA5BDE18>,500,100,4.985050284340464,0.0001
92,"[0.15473979711532593, 0.43167349696159363, 0.026481453329324722, 0.6718124747276306, 0.07303881645202637, 0.5676494240760803, -0.5211198925971985, 0.5956521034240723, 0.3700590133666992, 0.07396674156188965, 1.1022690534591675, 0.12246459722518921, 0.5143110752105713, 0.9404975771903992]","[10, 10]",<function elu at 0x0000012CFA5BDE18>,500,50,5.002699768560681,0.0001
284,"[0.15473979711532593, 0.43167349696159363, 0.026481453329324722, 0.6718124747276306, 0.07303881645202637, 0.5676494240760803, -0.5211198925971985, 0.5956521034240723, 0.3700590133666992, 0.07396674156188965, 1.1022690534591675, 0.12246459722518921, 0.5143110752105713, 0.9404975771903992]","[10, 10]",<function relu at 0x0000012CFA5DB1E0>,500,50,5.002699768560681,0.0001
358,"[0.31580257415771484, 0.6657842993736267, 0.4462124705314636, 0.6968540549278259, 0.18919871747493744, -0.3713807463645935, 0.522917628288269, 0.8677675724029541, 0.10667921602725983, -0.3005119562149048, 0.05601026117801666, 0.32336413860321045, 0.3949081301689148, 0.5493049621582031]","[10, 10, 10]",<function relu at 0x0000012CFA5DB1E0>,500,250,5.024182009678734,0.0001
166,"[0.31580257415771484, 0.6657842993736267, 0.4462124705314636, 0.6968540549278259, 0.18919871747493744, -0.3713807463645935, 0.522917628288269, 0.8677675724029541, 0.10667921602725983, -0.3005119562149048, 0.05601026117801666, 0.32336413860321045, 0.3949081301689148, 0.5493049621582031]","[10, 10, 10]",<function elu at 0x0000012CFA5BDE18>,500,250,5.024182009678734,0.0001
332,"[-0.43857741355895996, 0.5918298959732056, 0.6895120739936829, 0.9150794744491577, 0.8605777025222778, 0.7668772339820862, 0.6775406002998352, 0.8272204399108887, 0.4104812443256378, 0.03576180338859558, -0.3172195553779602, 0.02153175137937069, -0.5673155188560486, -1.1595875024795532]",[30],<function relu at 0x0000012CFA5DB1E0>,500,50,5.04840972104652,0.0001
140,"[-0.43857741355895996, 0.5918298959732056, 0.6895120739936829, 0.9150794744491577, 0.8605777025222778, 0.7668772339820862, 0.6775406002998352, 0.8272204399108887, 0.4104812443256378, 0.03576180338859558, -0.3172195553779602, 0.02153175137937069, -0.5673155188560486, -1.1595875024795532]",[30],<function elu at 0x0000012CFA5BDE18>,500,50,5.04840972104652,0.0001
263,"[0.2298271656036377, 0.5189608931541443, 0.4318421483039856, 0.34889864921569824, 0.7396520972251892, 0.6990435719490051, 0.7625508308410645, 1.0172083377838135, 0.1082632765173912, -1.0479332208633423, -0.17379070818424225, -0.2703275978565216, 0.9666818976402283, 0.2843945026397705]",[20],<function relu at 0x0000012CFA5DB1E0>,500,150,5.051834746712203,0.0001
71,"[0.2298271656036377, 0.5189608931541443, 0.4318421483039856, 0.34889864921569824, 0.7396520972251892, 0.6990435719490051, 0.7625508308410645, 1.0172083377838135, 0.1082632765173912, -1.0479332208633423, -0.17379070818424225, -0.2703275978565216, 0.9666818976402283, 0.2843945026397705]",[20],<function elu at 0x0000012CFA5BDE18>,500,150,5.051834746712203,0.0001
286,"[0.06409099698066711, 0.6558319926261902, 0.4115457832813263, 0.9206886291503906, 0.4982742965221405, 0.48545804619789124, 0.3473762571811676, 1.264656662940979, 1.1284363269805908, 1.4992704391479492, 0.962238073348999, 1.2792189121246338, 0.9393934607505798, 1.0455561876296997]","[10, 10]",<function relu at 0x0000012CFA5DB1E0>,500,250,5.083409965805173,0.0001
94,"[0.06409099698066711, 0.6558319926261902, 0.4115457832813263, 0.9206886291503906, 0.4982742965221405, 0.48545804619789124, 0.3473762571811676, 1.264656662940979, 1.1284363269805908, 1.4992704391479492, 0.962238073348999, 1.2792189121246338, 0.9393934607505798, 1.0455561876296997]","[10, 10]",<function elu at 0x0000012CFA5BDE18>,500,250,5.083409965805173,0.0001
89,"[0.37695419788360596, 0.38263145089149475, 0.46264228224754333, 0.7969611883163452, 0.6157928109169006, 0.6535347700119019, 0.964314341545105, 0.7360774278640747, 0.9210262894630432, 0.3716258704662323, -0.2763383388519287, 0.01497576478868723, 0.3347564935684204, 0.6231942176818848]","[10, 10]",<function elu at 0x0000012CFA5BDE18>,1000,100,5.091536538592994,0.0001
