index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
2,"[0.4336908459663391, 1.2771767377853394, 1.447708010673523, 1.1138428449630737, -1.587707281112671, -3.156724214553833, -2.7004997730255127, -2.153170585632324, -5.418686866760254, -5.566737174987793, -6.782745838165283, -5.226752758026123, -4.195508003234863, -3.138221263885498]",[10],<function elu at 0x000001B01CD08E18>,1000,250,2.0129344223218557,0.001
151,"[1.015174150466919, 1.3923125267028809, 1.6219189167022705, 0.7184839248657227, -2.1760950088500977, -4.418689250946045, -3.6165380477905273, -2.2893857955932617, -1.3518166542053223, -1.5448988676071167, -2.258121967315674, -2.3229780197143555, -0.29039767384529114, -1.3237192630767822]","[10, 10, 10]",<function elu at 0x000001B01CD08E18>,500,150,2.0889674033921017,0.001
123,"[0.6912131905555725, 1.3332507610321045, 1.2556098699569702, 1.1536037921905518, 0.5098758339881897, -2.9471945762634277, -1.904005765914917, 0.3821648061275482, 0.8285465836524963, 3.7231059074401855, 2.285656452178955, 2.4966328144073486, -0.6589992642402649, -0.9326645731925964]",[30],<function elu at 0x000001B01CD08E18>,1000,150,2.1261162668614313,0.001
40,"[0.4199993908405304, 1.3222980499267578, 1.630509376525879, 2.0529286861419678, -1.796431064605713, -2.5877668857574463, -1.261049747467041, -0.11526040732860565, -1.9091143608093262, 0.15785856544971466, 1.3811858892440796, 2.8110544681549072, 5.0233588218688965, 3.1027302742004395]","[30, 30]",<function elu at 0x000001B01CD08E18>,1000,50,2.2395637700842514,0.0001
184,"[0.5936269760131836, 0.8118087649345398, 0.5233969688415527, 0.4158627390861511, -0.8096607327461243, -2.54624605178833, -3.0474743843078613, -1.2699964046478271, -0.44001471996307373, 2.426532506942749, 4.622884750366211, 6.833501815795898, 7.938072681427002, 5.454504489898682]","[20, 20]",<function elu at 0x000001B01CD08E18>,1000,50,2.252967502702122,0.0001
29,"[0.8147986531257629, 0.728635311126709, 0.17252974212169647, -0.701215386390686, -2.290379285812378, -4.940283298492432, -3.299400568008423, -2.421088933944702, -3.4391610622406006, -1.7596445083618164, 1.033989429473877, -2.821690797805786, -4.346675872802734, -3.730276584625244]","[30, 30]",<function elu at 0x000001B01CD08E18>,500,100,2.275494158014988,0.001
45,"[0.3446875214576721, 0.5247495174407959, 1.140675663948059, 1.1202131509780884, -0.9325811266899109, -1.9792286157608032, -2.3053171634674072, -0.9185158014297485, -0.25173813104629517, 1.5260916948318481, 2.5669286251068115, 4.196594715118408, 4.306049823760986, 1.287508249282837]","[30, 30]",<function elu at 0x000001B01CD08E18>,500,100,2.284749860357614,0.0001
41,"[0.3346949815750122, 0.7771698236465454, 0.5939136147499084, -0.0810127705335617, -1.6852824687957764, -2.6039621829986572, -2.2449231147766113, -2.145164728164673, -0.08205614984035492, 6.558281898498535, 10.25551986694336, 13.24180793762207, 10.784210205078125, 4.140339374542236]","[30, 30]",<function elu at 0x000001B01CD08E18>,1000,100,2.29929098924519,0.0001
136,"[-0.02142324298620224, 0.7131236791610718, 1.1714231967926025, 0.7310693264007568, -1.1302345991134644, -1.6666529178619385, -2.0042734146118164, -0.5839968919754028, -1.0734577178955078, -0.4414336085319519, 1.692162275314331, 3.844947338104248, 3.6264779567718506, 2.4884068965911865]",[30],<function elu at 0x000001B01CD08E18>,1000,50,2.3094196629000914,0.0001
304,"[0.8557904362678528, 0.9056524038314819, 1.3442564010620117, 0.32870668172836304, -2.341665506362915, -3.12680721282959, -3.6867611408233643, -3.625396966934204, -5.366066932678223, -5.628814697265625, -3.7293860912323, -0.8301634788513184, 2.3979315757751465, 3.106532096862793]","[30, 30, 30]",<function relu at 0x000001B01CD2B1E0>,1000,50,2.3124025897892326,0.0001
232,"[0.7680754661560059, 1.3759818077087402, 1.299316167831421, 0.7409626245498657, -1.0311781167984009, -2.393630266189575, -1.543636679649353, 0.20531973242759705, -0.034437380731105804, -0.0700690820813179, 0.2952354848384857, 1.957895278930664, 5.032555103302002, 1.6274176836013794]","[30, 30]",<function relu at 0x000001B01CD2B1E0>,1000,50,2.32348060579685,0.0001
147,"[1.7426791191101074, 1.252265214920044, 1.810495376586914, 1.4982457160949707, -1.951308250427246, -3.820087432861328, -2.7023022174835205, -0.9588862061500549, 0.4685540199279785, 1.2078702449798584, 0.24428123235702515, 1.699582576751709, 3.3575360774993896, 1.8330721855163574]","[10, 10, 10]",<function elu at 0x000001B01CD08E18>,1000,150,2.340110923297036,0.001
221,"[1.2133793830871582, 1.2497221231460571, 1.0536401271820068, 0.6269751191139221, -2.630998373031616, -3.600207567214966, -3.3078503608703613, -3.0583231449127197, -5.416385173797607, -4.655921936035156, -3.3886916637420654, -2.950287103652954, -1.7639797925949097, -6.4621429443359375]","[30, 30]",<function relu at 0x000001B01CD2B1E0>,500,100,2.341630117277743,0.001
118,"[0.2205943763256073, 0.583812952041626, 1.0305770635604858, 0.647702693939209, -1.1231988668441772, -1.745119333267212, -2.086033821105957, -1.4771077632904053, -1.833915114402771, -1.483376383781433, -1.2752329111099243, -0.5471763610839844, -1.838333010673523, -1.9694284200668335]","[30, 30, 30]",<function elu at 0x000001B01CD08E18>,500,250,2.3611303513462607,0.0001
114,"[0.6889010667800903, 1.1302099227905273, 2.0002293586730957, 1.1481350660324097, -0.7351229786872864, -1.7362310886383057, -2.059114694595337, -0.2960101068019867, -0.7218238115310669, 0.6780107617378235, 1.299965262413025, 0.7701955437660217, 0.6949250102043152, 0.405607670545578]","[30, 30, 30]",<function elu at 0x000001B01CD08E18>,1000,250,2.388984219848246,0.0001
139,"[0.15177159011363983, 0.729698896408081, 1.1166290044784546, 1.2649412155151367, 0.05184765160083771, -1.385291576385498, -1.7719050645828247, -0.8046219348907471, -0.18107250332832336, 0.21489185094833374, 1.4995611906051636, 2.712822198867798, 4.029171943664551, 3.1373450756073]",[30],<function elu at 0x000001B01CD08E18>,1000,150,2.3935995462114596,0.0001
56,"[1.2359249591827393, 0.37787747383117676, 1.7451205253601074, 1.6496485471725464, -2.0683798789978027, -3.104872226715088, -1.8545986413955688, -1.427752137184143, -1.897393822669983, -1.5200163125991821, -4.675478458404541, -7.057586669921875, -6.1979265213012695, -3.171079635620117]",[20],<function elu at 0x000001B01CD08E18>,1000,50,2.3986008884366647,0.01
316,"[1.3233938217163086, 1.140124797821045, 0.8017160892486572, 0.24830250442028046, -2.1596217155456543, -3.4928886890411377, -4.041775703430176, -3.579047441482544, -0.835801899433136, -2.3060669898986816, -0.520232081413269, -0.45522817969322205, 0.7650741934776306, -0.7056757807731628]",[30],<function relu at 0x000001B01CD2B1E0>,500,50,2.4022458642562436,0.001
217,"[1.5297895669937134, 1.3326486349105835, 1.130491852760315, 0.8472347259521484, -2.5306711196899414, -3.6061367988586426, -3.3059327602386475, -2.870537281036377, -5.662847995758057, -4.039117813110352, -2.918113946914673, -1.1648513078689575, 1.213899850845337, -4.240328311920166]","[30, 30]",<function relu at 0x000001B01CD2B1E0>,1000,100,2.403502044036256,0.001
