index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
164,"[-0.011220132932066917, 0.12868312001228333, 0.10477663576602936, 0.8271316885948181, 0.7481706142425537, 0.9810396432876587, 0.5900497436523438, 0.2557588517665863, 0.5533884167671204, 0.8091675639152527, 0.2794121503829956, 0.34214383363723755, 0.3255515396595001, 0.5897296667098999]",[50],<function relu at 0x0000012CFA5DB1E0>,300,50,0.35178917643295476,0.0001
68,"[-0.011220132932066917, 0.12868312001228333, 0.10477663576602936, 0.8271316885948181, 0.7481706142425537, 0.9810396432876587, 0.5900497436523438, 0.2557588517665863, 0.5533884167671204, 0.8091675639152527, 0.2794121503829956, 0.34214383363723755, 0.3255515396595001, 0.5897296667098999]",[50],<function elu at 0x0000012CFA5BDE18>,300,50,0.35178917643295476,0.0001
165,"[0.04853864759206772, 0.15614429116249084, 0.14455252885818481, 0.7950398325920105, 0.7122011780738831, 1.0419141054153442, 0.8850399255752563, 0.4700664281845093, 0.0418076366186142, 0.2908533811569214, 0.3256952166557312, 0.029174910858273506, 0.038324251770973206, 0.08002834022045135]",[50],<function relu at 0x0000012CFA5DB1E0>,300,100,0.35542985895483975,0.0001
69,"[0.04853864759206772, 0.15614429116249084, 0.14455252885818481, 0.7950398325920105, 0.7122011780738831, 1.0419141054153442, 0.8850399255752563, 0.4700664281845093, 0.0418076366186142, 0.2908533811569214, 0.3256952166557312, 0.029174910858273506, 0.038324251770973206, 0.08002834022045135]",[50],<function elu at 0x0000012CFA5BDE18>,300,100,0.35542985895483975,0.0001
161,"[-0.038546122610569, 0.0441872701048851, -0.03253679350018501, 0.9567130208015442, 0.8251134157180786, 1.0703282356262207, 0.7544417977333069, 0.10804787278175354, -0.37692686915397644, -0.13596133887767792, -0.2073868215084076, -0.5104038119316101, -0.12319344282150269, 0.10465146601200104]",[50],<function relu at 0x0000012CFA5DB1E0>,500,100,0.399385845361825,0.0001
65,"[-0.038546122610569, 0.0441872701048851, -0.03253679350018501, 0.9567130208015442, 0.8251134157180786, 1.0703282356262207, 0.7544417977333069, 0.10804787278175354, -0.37692686915397644, -0.13596133887767792, -0.2073868215084076, -0.5104038119316101, -0.12319344282150269, 0.10465146601200104]",[50],<function elu at 0x0000012CFA5BDE18>,500,100,0.399385845361825,0.0001
66,"[-0.04141701012849808, 0.01935631036758423, 0.3594585061073303, 1.2222208976745605, 0.7857197523117065, 1.1142780780792236, 0.524313747882843, 0.2989611029624939, -0.8445044159889221, -0.8639435768127441, -1.022312879562378, -1.1270849704742432, -0.2213018834590912, 0.1367284059524536]",[50],<function elu at 0x0000012CFA5BDE18>,500,250,0.4189771523974899,0.0001
162,"[-0.04141701012849808, 0.01935631036758423, 0.3594585061073303, 1.2222208976745605, 0.7857197523117065, 1.1142780780792236, 0.524313747882843, 0.2989611029624939, -0.8445044159889221, -0.8639435768127441, -1.022312879562378, -1.1270849704742432, -0.2213018834590912, 0.1367284059524536]",[50],<function relu at 0x0000012CFA5DB1E0>,500,250,0.4189771523974899,0.0001
166,"[-0.020607057958841324, 0.018659722059965134, 0.38609692454338074, 0.6895978450775146, 0.8251066207885742, 0.8643136620521545, 0.5425064563751221, 0.5325380563735962, 0.006553304381668568, 0.27888190746307373, -0.1954229325056076, -0.5286137461662292, -0.5883194804191589, -1.2042129039764404]",[50],<function relu at 0x0000012CFA5DB1E0>,300,250,0.42703465617229003,0.0001
70,"[-0.020607057958841324, 0.018659722059965134, 0.38609692454338074, 0.6895978450775146, 0.8251066207885742, 0.8643136620521545, 0.5425064563751221, 0.5325380563735962, 0.006553304381668568, 0.27888190746307373, -0.1954229325056076, -0.5286137461662292, -0.5883194804191589, -1.2042129039764404]",[50],<function elu at 0x0000012CFA5BDE18>,300,250,0.42703465617229003,0.0001
