index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
45,"[0.19285935163497925, 1.0417945384979248, 0.8153979778289795, -3.3750314712524414, -5.540482044219971, -5.884929180145264, -7.238495349884033, -7.804015636444092, -8.092426300048828, -8.016210556030273, -5.108739852905273, -3.3742623329162598, -2.8560142517089844, -2.6229028701782227]","[100, 100, 100]",<function relu at 0x000002700903D1E0>,1500,100,2.011375463740857,0.0001
21,"[0.19285935163497925, 1.0417945384979248, 0.8153979778289795, -3.3750314712524414, -5.540482044219971, -5.884929180145264, -7.238495349884033, -7.804015636444092, -8.092426300048828, -8.016210556030273, -5.108739852905273, -3.3742623329162598, -2.8560142517089844, -2.6229028701782227]","[100, 100, 100]",<function elu at 0x0000027009036E18>,1500,100,2.011375463740857,0.0001
27,"[0.1919032633304596, 0.4406598210334778, 1.3519079685211182, -3.2829504013061523, -5.098062992095947, -7.255821228027344, -8.741646766662598, -9.684816360473633, -10.260560989379883, -5.653311252593994, -0.3230513334274292, 3.3551723957061768, 5.45570182800293, 4.434887409210205]",[100],<function relu at 0x000002700903D1E0>,1500,250,2.188007802860568,0.001
3,"[0.1919032633304596, 0.4406598210334778, 1.3519079685211182, -3.2829504013061523, -5.098062992095947, -7.255821228027344, -8.741646766662598, -9.684816360473633, -10.260560989379883, -5.653311252593994, -0.3230513334274292, 3.3551723957061768, 5.45570182800293, 4.434887409210205]",[100],<function elu at 0x0000027009036E18>,1500,250,2.188007802860568,0.001
23,"[0.1814761459827423, 0.822467565536499, 0.9199348092079163, -3.087176561355591, -3.504194974899292, -5.7823286056518555, -7.977325916290283, -9.239460945129395, -10.957783699035645, -9.647655487060547, -7.989665508270264, -6.361816883087158, -2.494161605834961, -1.2938978672027588]","[100, 100, 100]",<function elu at 0x0000027009036E18>,1500,250,2.2256485070777083,0.0001
47,"[0.1814761459827423, 0.822467565536499, 0.9199348092079163, -3.087176561355591, -3.504194974899292, -5.7823286056518555, -7.977325916290283, -9.239460945129395, -10.957783699035645, -9.647655487060547, -7.989665508270264, -6.361816883087158, -2.494161605834961, -1.2938978672027588]","[100, 100, 100]",<function relu at 0x000002700903D1E0>,1500,250,2.2256485070777083,0.0001
37,"[-0.041710879653692245, 0.8400629758834839, 1.287793517112732, -2.899557113647461, -3.6459946632385254, -4.40097713470459, -7.502009868621826, -5.7707905769348145, -3.9872145652770996, -3.4557032585144043, -4.525483131408691, -5.985683917999268, -5.609412670135498, -2.1412200927734375]","[100, 100]",<function relu at 0x000002700903D1E0>,1500,100,2.346825594303203,0.0001
13,"[-0.041710879653692245, 0.8400629758834839, 1.287793517112732, -2.899557113647461, -3.6459946632385254, -4.40097713470459, -7.502009868621826, -5.7707905769348145, -3.9872145652770996, -3.4557032585144043, -4.525483131408691, -5.985683917999268, -5.609412670135498, -2.1412200927734375]","[100, 100]",<function elu at 0x0000027009036E18>,1500,100,2.346825594303203,0.0001
36,"[0.1536797285079956, 1.3296138048171997, 1.8463057279586792, -3.5449748039245605, -5.332473278045654, -7.388030052185059, -9.242693901062012, -10.229045867919922, -7.359927177429199, -4.33683443069458, -0.07318243384361267, -0.9922410249710083, -1.514801263809204, -3.6550779342651367]","[100, 100]",<function relu at 0x000002700903D1E0>,1500,50,2.4050843367436996,0.0001
12,"[0.1536797285079956, 1.3296138048171997, 1.8463057279586792, -3.5449748039245605, -5.332473278045654, -7.388030052185059, -9.242693901062012, -10.229045867919922, -7.359927177429199, -4.33683443069458, -0.07318243384361267, -0.9922410249710083, -1.514801263809204, -3.6550779342651367]","[100, 100]",<function elu at 0x0000027009036E18>,1500,50,2.4050843367436996,0.0001
