index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
33,"[0.34007036685943604, 3.3882815837860107, 4.363980293273926, 3.71290922164917, 7.37211275100708, 3.469487428665161, 2.9023525714874268, 3.265641212463379, -0.7804573774337769, 0.709019124507904, -6.407554626464844, -6.017411708831787, -1.639817476272583, -1.1054952144622803]","[100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,100,2.2170926571622607,0.001
17,"[0.5133127570152283, 3.6634302139282227, 4.714251518249512, 4.588863849639893, 5.512304782867432, 4.727695941925049, 1.6885395050048828, -1.6949831247329712, -6.261659622192383, -6.484337329864502, -7.864109992980957, -4.3216962814331055, -3.6099796295166016, -4.231680393218994]","[100, 100, 100]",<function elu at 0x0000020CB33C0E18>,1500,100,2.4656734565352205,0.001
42,"[0.6459025144577026, 7.402923583984375, 6.697325229644775, 3.9399917125701904, 8.265833854675293, 3.4458367824554443, 1.558323860168457, 2.0950682163238525, -0.3426419496536255, 2.602745771408081, -1.5121228694915771, 1.9551842212677002, 2.821089506149292, -1.2655279636383057]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,123,2.505751887315405,0.001
18,"[0.6835781931877136, 4.997882843017578, 6.395949363708496, 4.518288612365723, 4.8595781326293945, 1.7568098306655884, 5.261453151702881, 1.7045481204986572, -1.5462955236434937, -8.042786598205566, -9.375404357910156, -3.277364492416382, -0.2810457646846771, -2.1894233226776123]","[100, 100, 100]",<function elu at 0x0000020CB33C0E18>,1500,123,2.5592360024200915,0.001
32,"[0.28372323513031006, 2.2482492923736572, 3.4478464126586914, 3.8601932525634766, 6.2182440757751465, 3.570281505584717, 2.092322826385498, 1.499370813369751, 1.1430078744888306, 0.509249210357666, -0.6977371573448181, 0.9062424302101135, 1.0170066356658936, 1.4526987075805664]","[100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,50,2.6057835335349817,0.001
35,"[0.08787009119987488, 2.5099284648895264, 3.9957244396209717, 3.845623016357422, 7.431064605712891, 2.6725194454193115, 0.3453526496887207, -1.150994062423706, -3.637315034866333, -2.6406338214874268, -5.976637840270996, -9.640667915344238, -8.887928009033203, -7.159672260284424]","[100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,250,2.6187463145971774,0.001
19,"[0.4859366714954376, 4.5488200187683105, 6.452976703643799, 5.637522220611572, 3.6107895374298096, 1.202947735786438, 1.0094633102416992, 2.120021343231201, -0.009521840140223503, -4.715298652648926, -6.573512554168701, -5.383242130279541, 0.267329603433609, -4.867093086242676]","[100, 100, 100]",<function elu at 0x0000020CB33C0E18>,1500,250,2.892605393861364,0.001
40,"[0.5264129042625427, 5.42198371887207, 8.043553352355957, 7.219658374786377, 6.751513481140137, 0.5981137752532959, -2.1512980461120605, -2.5452022552490234, -4.2495832443237305, -5.932408332824707, -7.685211658477783, -5.3034491539001465, -1.1488982439041138, 0.052977997809648514]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,50,2.9999684655210066,0.001
9,"[0.27570512890815735, 1.5711264610290527, 2.853508472442627, 3.903017520904541, 7.175676345825195, 1.1634801626205444, -0.08437175303697586, 0.8790961503982544, -1.3570352792739868, -3.710937976837158, -0.5050543546676636, 1.6299694776535034, 7.073543548583984, 4.409787654876709]","[100, 100]",<function elu at 0x0000020CB33C0E18>,1500,100,3.0575176609835064,0.001
34,"[0.29924145340919495, 1.795188069343567, 2.828178644180298, 2.483983039855957, 5.165632247924805, 3.251927137374878, 2.201197862625122, 2.397730827331543, 0.9841050505638123, 0.3513786494731903, -1.4873278141021729, -3.6380722522735596, -1.3220196962356567, -1.218898057937622]","[100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,123,3.2812146682743264,0.001
41,"[0.5417839288711548, 5.536662578582764, 5.831960678100586, 3.1062755584716797, 4.3880720138549805, -0.6641972661018372, 0.10461340844631195, 1.3684765100479126, 0.33758169412612915, 2.5692601203918457, -0.9999843239784241, -0.6768436431884766, 4.785990238189697, 4.532711982727051]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,100,3.6108199959840372,0.001
16,"[0.8215354084968567, 4.551775932312012, 3.3951103687286377, 1.9383983612060547, 6.034757614135742, 2.3970141410827637, -2.8983869552612305, -6.248562812805176, -1.4679919481277466, -9.081465721130371, -5.0795488357543945, 0.07669191807508469, -2.4642832279205322, -0.5443323254585266]","[100, 100, 100]",<function elu at 0x0000020CB33C0E18>,1500,50,4.032027704877733,0.001
47,"[0.04779326170682907, -0.11336108297109604, 1.3309087753295898, 1.5813028812408447, 4.4495134353637695, 2.541072130203247, 0.26955896615982056, 0.17726531624794006, -1.303826093673706, -2.780346632003784, -3.4003798961639404, -3.3273725509643555, -3.4734339714050293, -5.335207462310791]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,250,4.280473576957867,0.0001
43,"[0.7873138189315796, 10.623106956481934, 5.515628814697266, -0.14664539694786072, 6.877708911895752, 4.5445709228515625, 3.5590646266937256, 1.6007925271987915, -0.18083983659744263, 0.44728928804397583, -1.4468185901641846, -2.141258955001831, 0.405401349067688, 0.4161277413368225]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,250,4.334937629816439,0.001
26,"[0.2483723908662796, -0.3445293605327606, 0.7896096110343933, 1.1761195659637451, 5.049511909484863, 3.474569797515869, -0.1460423618555069, -0.32965216040611267, -1.4393303394317627, -1.0404912233352661, -3.6423158645629883, -4.099517345428467, -1.427660346031189, -3.3925933837890625]",[100],<function relu at 0x0000020CB33CD1E0>,1500,123,4.453132867029399,0.001
44,"[-0.11862597614526749, 0.24809050559997559, 0.48197752237319946, 0.7593613862991333, 4.333267688751221, 2.6737804412841797, 0.7009755969047546, 0.7752084732055664, 0.19292789697647095, 0.09187928587198257, -1.6199702024459839, -1.4281535148620605, 2.5091867446899414, 4.285558223724365]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,50,4.528995856764683,0.0001
46,"[0.08562412858009338, 0.5991268157958984, 0.4466632008552551, 1.5231930017471313, 3.749742031097412, 1.9136152267456055, -0.7601261734962463, -1.248491644859314, -3.0102663040161133, -3.0281529426574707, -3.7572126388549805, -5.025573253631592, -3.285970687866211, -4.951625823974609]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,123,4.619575534356401,0.0001
25,"[-0.22564101219177246, -0.21067866683006287, 0.33103546500205994, 1.646090030670166, 4.096755027770996, 1.5032134056091309, -0.651440441608429, -3.047513008117676, -3.6908583641052246, -2.1102097034454346, -0.9282414317131042, 1.1850800514221191, 6.745889186859131, 4.149600505828857]",[100],<function relu at 0x0000020CB33CD1E0>,1500,100,4.650221625718477,0.001
3,"[0.18508100509643555, 0.16236576437950134, 1.3804625272750854, 1.4039946794509888, 3.5681281089782715, 1.6187657117843628, -1.1239136457443237, -0.13279706239700317, -6.373838424682617, -6.312610626220703, -10.796285629272461, -9.16242790222168, -7.67112922668457, -10.333603858947754]",[100],<function elu at 0x0000020CB33C0E18>,1500,250,4.664856992782205,0.001
0,"[-0.11452378332614899, 0.3570511043071747, 1.406626582145691, 2.2561514377593994, 3.287163496017456, 1.148648977279663, -2.6182594299316406, -3.0759525299072266, -4.048555374145508, -0.5779282450675964, -0.6005075573921204, -0.5933817625045776, 3.3558449745178223, 2.7130258083343506]",[100],<function elu at 0x0000020CB33C0E18>,1500,50,4.793737136830228,0.001
11,"[0.27545827627182007, 2.5082406997680664, 2.134617567062378, 2.994866371154785, 2.7631332874298096, 0.8611955046653748, -3.894766330718994, -3.4977142810821533, -1.6212143898010254, 1.9257266521453857, -1.3481215238571167, -7.075019359588623, -6.7528300285339355, -3.382443904876709]","[100, 100]",<function elu at 0x0000020CB33C0E18>,1500,250,4.80092360632679,0.001
8,"[0.2924859821796417, 3.2385408878326416, 4.311100959777832, 3.6958813667297363, 5.908878326416016, 0.3702707588672638, -6.60701322555542, -4.111937522888184, -0.07713929563760757, -8.22187328338623, -8.124873161315918, -2.9792420864105225, 2.00852108001709, -3.8920304775238037]","[100, 100]",<function elu at 0x0000020CB33C0E18>,1500,50,4.814298513260346,0.001
45,"[0.010312976315617561, -0.24508444964885712, 0.14691144227981567, 0.4055405557155609, 3.3445329666137695, 2.655574083328247, 1.2562460899353027, 2.0279784202575684, 1.5943197011947632, 1.0402635335922241, -0.3130471408367157, -0.638689398765564, -0.04809952527284622, -3.2493960857391357]","[100, 100, 100]",<function relu at 0x0000020CB33CD1E0>,1500,100,4.853718174271551,0.0001
24,"[0.04038431495428085, 0.05359271913766861, 0.8327293395996094, 0.6479383707046509, 5.104713439941406, 1.1132556200027466, -2.1683237552642822, -0.779473602771759, -1.670977234840393, 1.5900028944015503, -0.2976638376712799, 1.1826097965240479, 5.115239143371582, 7.447997570037842]",[100],<function relu at 0x0000020CB33CD1E0>,1500,50,4.897471240396504,0.001
13,"[0.06637408584356308, 0.12010972946882248, 0.8598660230636597, 0.18776556849479675, 2.285574197769165, 2.8315935134887695, 1.7937544584274292, 1.8577404022216797, 1.0701699256896973, -0.30458274483680725, -2.2464401721954346, -4.070698261260986, 1.5779374837875366, 2.503356695175171]","[100, 100]",<function elu at 0x0000020CB33C0E18>,1500,100,4.917902948802777,0.0001
1,"[-0.04916482791304588, -0.4152214229106903, 0.5036815404891968, 1.53638756275177, 4.674411296844482, 0.6982265114784241, -2.6118249893188477, -2.6208415031433105, -4.1050825119018555, -3.2804551124572754, -1.6204181909561157, -0.748161792755127, -0.1865762174129486, -2.875788688659668]",[100],<function elu at 0x0000020CB33C0E18>,1500,100,4.9707635692128305,0.001
22,"[-0.07290390133857727, 0.2497473508119583, 0.3834046721458435, 0.7551298141479492, 3.8989756107330322, 2.027480363845825, -2.16318678855896, -2.589846134185791, -5.0054521560668945, -5.761161804199219, -5.8008270263671875, -5.492477893829346, -4.187053680419922, -1.9049386978149414]","[100, 100, 100]",<function elu at 0x0000020CB33C0E18>,1500,123,5.035269562911059,0.0001
2,"[-0.12881603837013245, -0.06867421418428421, 0.3112720549106598, 1.6265608072280884, 4.6046247482299805, 0.5280164480209351, -3.140371799468994, -1.6882513761520386, -0.465378075838089, -2.5087807178497314, -4.217335224151611, -3.047747850418091, 0.3361503779888153, -1.6142079830169678]",[100],<function elu at 0x0000020CB33C0E18>,1500,123,5.0613551629953175,0.001
27,"[-0.2987973690032959, 0.3789740800857544, 0.1979668140411377, 0.2051345407962799, 3.4631128311157227, 1.167228102684021, -0.7550893425941467, -0.523414134979248, -2.2746987342834473, -3.301976203918457, -1.2956615686416626, 3.4061732292175293, 10.636262893676758, 10.210073471069336]",[100],<function relu at 0x0000020CB33CD1E0>,1500,250,5.0697127887684115,0.001
