index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
50,"[1.6809263229370117, 0.5363608598709106, 2.2453958988189697, 3.0768980979919434, 2.7691283226013184, 2.926182985305786, 1.4529316425323486, 3.5807461738586426, 2.5748748779296875, 2.55842924118042, 4.53602409362793, 5.825827121734619, 8.934019088745117, 9.01379108428955]","[10, 10]",<function elu at 0x00000140D384EE18>,1000,250,3.5551118549473175,0.001
194,"[1.6809263229370117, 0.5363608598709106, 2.2453958988189697, 3.0768980979919434, 2.7691283226013184, 2.926182985305786, 1.4529316425323486, 3.5807461738586426, 2.5748748779296875, 2.55842924118042, 4.53602409362793, 5.825827121734619, 8.934019088745117, 9.01379108428955]","[10, 10]",<function relu at 0x00000140D387D1E0>,1000,250,3.5551118549473175,0.001
198,"[1.5158528089523315, 1.0123217105865479, 2.400818109512329, 2.8869104385375977, 3.8119025230407715, 4.020169258117676, 3.723409652709961, 3.660670042037964, 4.416943550109863, 4.405736923217773, 4.656487464904785, 4.961276054382324, 5.660964012145996, 4.613129615783691]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,250,3.7235240485667016,0.001
54,"[1.5158528089523315, 1.0123217105865479, 2.400818109512329, 2.8869104385375977, 3.8119025230407715, 4.020169258117676, 3.723409652709961, 3.660670042037964, 4.416943550109863, 4.405736923217773, 4.656487464904785, 4.961276054382324, 5.660964012145996, 4.613129615783691]","[10, 10]",<function elu at 0x00000140D384EE18>,500,250,3.7235240485667016,0.001
206,"[2.1009607315063477, -0.2561984658241272, 1.445624828338623, 2.723085403442383, 2.8948402404785156, 2.984771490097046, 3.9609718322753906, 5.846181392669678, 4.676321506500244, 4.3827338218688965, 4.3968586921691895, 5.439049243927002, 5.2252678871154785, 4.500107288360596]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,250,4.079289154635825,0.01
62,"[2.1009607315063477, -0.2561984658241272, 1.445624828338623, 2.723085403442383, 2.8948402404785156, 2.984771490097046, 3.9609718322753906, 5.846181392669678, 4.676321506500244, 4.3827338218688965, 4.3968586921691895, 5.439049243927002, 5.2252678871154785, 4.500107288360596]","[10, 10]",<function elu at 0x00000140D384EE18>,500,250,4.079289154635825,0.01
58,"[2.211832046508789, -0.35962241888046265, 1.4701461791992188, 2.285754919052124, 2.3360519409179688, 2.427964448928833, 3.14682674407959, 5.952428817749023, 5.552199840545654, 2.733574390411377, 0.2736697793006897, -0.8931793570518494, -2.1640005111694336, -0.0988500714302063]","[10, 10]",<function elu at 0x00000140D384EE18>,1000,250,4.084819746911838,0.01
202,"[2.211832046508789, -0.35962241888046265, 1.4701461791992188, 2.285754919052124, 2.3360519409179688, 2.427964448928833, 3.14682674407959, 5.952428817749023, 5.552199840545654, 2.733574390411377, 0.2736697793006897, -0.8931793570518494, -2.1640005111694336, -0.0988500714302063]","[10, 10]",<function relu at 0x00000140D387D1E0>,1000,250,4.084819746911838,0.01
132,"[2.5481784343719482, 0.041288211941719055, 0.40830758213996887, 2.738821268081665, 2.978719711303711, 3.6898722648620605, 3.635951042175293, 4.907933712005615, 6.496924877166748, 6.054982662200928, 8.17228889465332, 7.3613691329956055, 7.893522262573242, 9.845727920532227]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,500,50,4.140200819204535,0.01
276,"[2.5481784343719482, 0.041288211941719055, 0.40830758213996887, 2.738821268081665, 2.978719711303711, 3.6898722648620605, 3.635951042175293, 4.907933712005615, 6.496924877166748, 6.054982662200928, 8.17228889465332, 7.3613691329956055, 7.893522262573242, 9.845727920532227]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,500,50,4.140200819204535,0.01
264,"[2.377176523208618, -0.8609079122543335, 1.8099781274795532, 1.5584665536880493, 1.6495627164840698, 0.8423956632614136, 0.36222726106643677, -0.9332391023635864, -8.52680492401123, -7.764308452606201, -9.511469841003418, -7.134434223175049, -7.76251745223999, -8.447553634643555]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,1000,50,4.148884429741271,0.001
120,"[2.377176523208618, -0.8609079122543335, 1.8099781274795532, 1.5584665536880493, 1.6495627164840698, 0.8423956632614136, 0.36222726106643677, -0.9332391023635864, -8.52680492401123, -7.764308452606201, -9.511469841003418, -7.134434223175049, -7.76251745223999, -8.447553634643555]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,1000,50,4.148884429741271,0.001
124,"[2.806980609893799, -0.13815519213676453, 1.9581292867660522, 0.9889541268348694, 0.783435583114624, 0.3836941719055176, 1.532470464706421, -1.4178712368011475, -6.176621437072754, -5.27593469619751, -5.564610004425049, -4.24996280670166, -4.25794792175293, -4.464222431182861]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,500,50,4.236405180705756,0.001
268,"[2.806980609893799, -0.13815519213676453, 1.9581292867660522, 0.9889541268348694, 0.783435583114624, 0.3836941719055176, 1.532470464706421, -1.4178712368011475, -6.176621437072754, -5.27593469619751, -5.564610004425049, -4.24996280670166, -4.25794792175293, -4.464222431182861]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,500,50,4.236405180705756,0.001
49,"[2.238248586654663, 0.4443122148513794, 1.829237699508667, 1.3332219123840332, 0.01826782524585724, 2.9807398319244385, 2.884200096130371, 3.0041253566741943, 4.792785167694092, 5.331392765045166, 4.390428066253662, 3.1558799743652344, 3.476949453353882, 2.6880252361297607]","[10, 10]",<function elu at 0x00000140D384EE18>,1000,100,4.3934485717923435,0.001
193,"[2.238248586654663, 0.4443122148513794, 1.829237699508667, 1.3332219123840332, 0.01826782524585724, 2.9807398319244385, 2.884200096130371, 3.0041253566741943, 4.792785167694092, 5.331392765045166, 4.390428066253662, 3.1558799743652344, 3.476949453353882, 2.6880252361297607]","[10, 10]",<function relu at 0x00000140D387D1E0>,1000,100,4.3934485717923435,0.001
122,"[2.1054060459136963, 0.08701740205287933, 2.287670850753784, 1.309560775756836, 1.527590036392212, 5.015337944030762, 4.445521831512451, 6.4464802742004395, 7.074773788452148, 5.675595760345459, 5.776040077209473, 3.6432929039001465, 3.4172956943511963, 3.6587276458740234]","[10, 10, 10]",<function elu at 0x00000140D384EE18>,1000,250,4.501111617815947,0.001
266,"[2.1054060459136963, 0.08701740205287933, 2.287670850753784, 1.309560775756836, 1.527590036392212, 5.015337944030762, 4.445521831512451, 6.4464802742004395, 7.074773788452148, 5.675595760345459, 5.776040077209473, 3.6432929039001465, 3.4172956943511963, 3.6587276458740234]","[10, 10, 10]",<function relu at 0x00000140D387D1E0>,1000,250,4.501111617815947,0.001
8,"[1.944254994392395, -0.03167456388473511, -0.22401463985443115, 0.3868800401687622, 2.6389498710632324, 2.1838908195495605, -0.6069029569625854, 2.3617968559265137, 0.5526971220970154, 0.4945334494113922, -0.39728379249572754, -2.694026470184326, -2.436645984649658, -2.071674346923828]",[10],<function elu at 0x00000140D384EE18>,1000,50,4.530404805418622,0.01
152,"[1.944254994392395, -0.03167456388473511, -0.22401463985443115, 0.3868800401687622, 2.6389498710632324, 2.1838908195495605, -0.6069029569625854, 2.3617968559265137, 0.5526971220970154, 0.4945334494113922, -0.39728379249572754, -2.694026470184326, -2.436645984649658, -2.071674346923828]",[10],<function relu at 0x00000140D387D1E0>,1000,50,4.530404805418622,0.01
199,"[1.6023403406143188, -0.5360825061798096, 0.5761274695396423, 1.3356494903564453, 1.3128975629806519, 0.49101153016090393, 1.9282736778259277, 2.508737564086914, 4.006901264190674, 5.31929874420166, 6.286542892456055, 7.889998912811279, 8.548887252807617, 10.282852172851562]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,150,4.574936817980863,0.001
55,"[1.6023403406143188, -0.5360825061798096, 0.5761274695396423, 1.3356494903564453, 1.3128975629806519, 0.49101153016090393, 1.9282736778259277, 2.508737564086914, 4.006901264190674, 5.31929874420166, 6.286542892456055, 7.889998912811279, 8.548887252807617, 10.282852172851562]","[10, 10]",<function elu at 0x00000140D384EE18>,500,150,4.574936817980863,0.001
197,"[1.7131569385528564, 0.6826164722442627, 1.3019739389419556, 0.6467104554176331, -0.03860943019390106, 2.5025124549865723, 2.3606255054473877, 1.860016942024231, 2.3016626834869385, 2.96170973777771, 1.909476399421692, 0.8535905480384827, 1.0579475164413452, 0.6048232316970825]","[10, 10]",<function relu at 0x00000140D387D1E0>,500,100,4.5940288157484925,0.001
