index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
231,"[0.09846995770931244, 7.488580703735352, 3.869062900543213, 4.012727737426758, -1.0612658262252808, 2.082639217376709, 1.7414461374282837, -1.3239504098892212, -0.09917043149471283, -10.048176765441895, -8.699102401733398, -2.5478553771972656, -2.0522263050079346, 0.9851600527763367]","[30, 30, 30]",<function relu at 0x0000029C944531E0>,500,150,1.9595581331643284,0.01
273,"[-0.7710378766059875, 6.132596015930176, 0.7287335991859436, -1.5608959197998047, 1.284421443939209, 3.408238172531128, 4.120685577392578, 7.072041988372803, 11.182953834533691, 3.8045239448547363, 4.771191120147705, 1.6169662475585938, 0.931535005569458, 0.04018324613571167]","[10, 10, 10]",<function relu at 0x0000029C944531E0>,1000,100,2.358156806331492,0.01
171,"[0.5074218511581421, 4.285508632659912, 2.770111083984375, 0.4096703827381134, -0.1926424205303192, 1.5799580812454224, 3.671839714050293, 5.317322731018066, 5.818155765533447, 10.261929512023926, 11.774942398071289, 7.4313788414001465, 4.340926170349121, 2.3956992626190186]","[30, 30]",<function relu at 0x0000029C944531E0>,1000,150,2.5986947077665876,0.001
41,"[0.6930093169212341, 4.791131496429443, 2.1756784915924072, 0.6395114660263062, 0.724317193031311, 0.23731788992881775, 1.4480230808258057, 3.2057790756225586, 5.048774242401123, 5.345351696014404, 3.011584997177124, 0.6434997320175171, -1.7707152366638184, -3.449104070663452]","[30, 30]",<function elu at 0x0000029C9443FE18>,1000,100,2.6506851283119657,0.0001
175,"[0.706453800201416, 4.085903644561768, 2.6353061199188232, 2.1360204219818115, 0.9786837100982666, 2.714855670928955, 3.553210735321045, 3.361908435821533, 4.108100891113281, 6.2663044929504395, 6.608206748962402, 3.7685916423797607, 2.9206511974334717, 4.142078876495361]","[30, 30]",<function relu at 0x0000029C944531E0>,500,150,2.686673530545816,0.001
29,"[0.3339086174964905, 4.85316801071167, 0.628251850605011, 1.2050362825393677, 1.7946269512176514, 3.4762394428253174, 4.702425003051758, 7.943944454193115, 5.011105537414551, 3.6095798015594482, 6.3510026931762695, 3.8678996562957764, 1.7719312906265259, 0.5887588262557983]","[30, 30]",<function elu at 0x0000029C9443FE18>,500,100,2.7131588542589533,0.001
198,"[0.6518263816833496, 5.1738667488098145, 3.2660038471221924, 2.7775585651397705, 1.0351606607437134, 0.3413621485233307, 0.0665438175201416, -0.03007073700428009, 1.0058038234710693, -0.11420950293540955, -0.03078518807888031, -2.557802438735962, -0.32194051146507263, -0.027805417776107788]","[10, 10]",<function relu at 0x0000029C944531E0>,500,250,2.7134924972662766,0.001
79,"[0.501670777797699, 4.6949663162231445, 0.9841991066932678, 1.5214179754257202, 1.2268391847610474, 4.380898475646973, 3.2390480041503906, 4.542715072631836, 5.622354507446289, 4.120027542114258, 1.857587456703186, 0.19262473285198212, -3.383575201034546, -1.366236925125122]","[30, 30, 30]",<function elu at 0x0000029C9443FE18>,500,150,2.721522876031422,0.001
99,"[1.17458176612854, 5.63400411605835, 1.1168798208236694, 0.4498068690299988, 1.4914374351501465, 1.1799684762954712, -0.2750597596168518, 2.0052855014801025, -1.1699990034103394, -1.7299562692642212, -1.8468105792999268, -0.2291765660047531, -0.21921615302562714, -2.861851930618286]",[30],<function elu at 0x0000029C9443FE18>,1000,150,2.7811629359414143,0.001
266,"[0.9436864256858826, 5.469505310058594, -0.22993025183677673, 2.028071641921997, 1.9567984342575073, 0.1922260820865631, 2.462217092514038, 3.066164255142212, -0.4591606557369232, -5.284858226776123, -7.002214431762695, -9.551617622375488, -11.216411590576172, -7.625492572784424]","[10, 10, 10]",<function relu at 0x0000029C944531E0>,1000,250,2.8495061539868423,0.001
157,"[0.8845547437667847, 5.75709342956543, 6.578126907348633, 4.718438148498535, 2.2386910915374756, 0.4549674987792969, 2.7903082370758057, 0.01632833480834961, -6.723538398742676, -1.4750484228134155, -3.908308267593384, -4.296298027038574, -1.571568250656128, -1.9692881107330322]",[10],<function relu at 0x0000029C944531E0>,500,100,2.851924147524639,0.01
73,"[-0.18099486827850342, 6.001325607299805, 0.6572556495666504, -0.28675371408462524, -1.577273964881897, 1.7212564945220947, -0.8981447815895081, 1.975061058998108, -0.6805095076560974, -3.8369340896606445, 2.1244919300079346, 1.193762183189392, 0.5261658430099487, -2.888953447341919]","[30, 30, 30]",<function elu at 0x0000029C9443FE18>,1000,100,2.8536545981630645,0.001
