index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
31,"[0.4836540222167969, 0.9945005178451538, 1.1423120498657227, 1.3341166973114014, 1.78042471408844, 2.1941702365875244, 1.2262237071990967, 1.1090409755706787, 2.645181655883789, 1.3023167848587036, 1.8643929958343506, 1.2563703060150146, 3.303600311279297, 4.357898235321045]",[100],<function relu at 0x00000140D387D1E0>,500,100,1.9213315898933327,0.001
13,"[0.4836540222167969, 0.9945005178451538, 1.1423120498657227, 1.3341166973114014, 1.78042471408844, 2.1941702365875244, 1.2262237071990967, 1.1090409755706787, 2.645181655883789, 1.3023167848587036, 1.8643929958343506, 1.2563703060150146, 3.303600311279297, 4.357898235321045]",[100],<function elu at 0x00000140D384EE18>,500,100,1.9213315898933327,0.001
17,"[0.21172383427619934, 0.5500812530517578, 0.7062633633613586, 0.5816309452056885, 1.0164966583251953, 0.4362841248512268, 1.096850872039795, 1.4092988967895508, 1.5076184272766113, 2.619335889816284, 2.192044496536255, 3.0690886974334717, 2.6494460105895996, 1.9312222003936768]",[100],<function elu at 0x00000140D384EE18>,500,250,2.1457207193310355,0.0001
35,"[0.21172383427619934, 0.5500812530517578, 0.7062633633613586, 0.5816309452056885, 1.0164966583251953, 0.4362841248512268, 1.096850872039795, 1.4092988967895508, 1.5076184272766113, 2.619335889816284, 2.192044496536255, 3.0690886974334717, 2.6494460105895996, 1.9312222003936768]",[100],<function relu at 0x00000140D387D1E0>,500,250,2.1457207193310355,0.0001
11,"[0.1133430004119873, 0.6131340861320496, 0.6053006649017334, 0.6036928296089172, 0.8373302817344666, 0.9864365458488464, 0.8543301224708557, 1.6432784795761108, 4.281589984893799, 5.026189804077148, 4.409165859222412, 3.1935982704162598, 2.137526035308838, 1.6379964351654053]",[300],<function elu at 0x00000140D384EE18>,500,250,2.1496431973607972,0.0001
29,"[0.1133430004119873, 0.6131340861320496, 0.6053006649017334, 0.6036928296089172, 0.8373302817344666, 0.9864365458488464, 0.8543301224708557, 1.6432784795761108, 4.281589984893799, 5.026189804077148, 4.409165859222412, 3.1935982704162598, 2.137526035308838, 1.6379964351654053]",[300],<function relu at 0x00000140D387D1E0>,500,250,2.1496431973607972,0.0001
16,"[0.09216244518756866, 0.5266538858413696, 0.5200996994972229, 0.46919623017311096, 1.1471184492111206, 1.5867632627487183, 1.1053582429885864, 0.37713709473609924, 2.5224761962890625, 3.0311639308929443, 2.658705711364746, 3.2923364639282227, 3.591315269470215, 1.8734244108200073]",[100],<function elu at 0x00000140D384EE18>,500,100,2.169630201698548,0.0001
34,"[0.09216244518756866, 0.5266538858413696, 0.5200996994972229, 0.46919623017311096, 1.1471184492111206, 1.5867632627487183, 1.1053582429885864, 0.37713709473609924, 2.5224761962890625, 3.0311639308929443, 2.658705711364746, 3.2923364639282227, 3.591315269470215, 1.8734244108200073]",[100],<function relu at 0x00000140D387D1E0>,500,100,2.169630201698548,0.0001
9,"[0.10377682745456696, 0.5179671049118042, 0.5466535091400146, 0.538057267665863, 0.9086155891418457, 1.2491737604141235, 1.198889136314392, 1.7193032503128052, 3.1793534755706787, 4.2063188552856445, 2.481753349304199, 3.897871971130371, 3.0892627239227295, 2.4712886810302734]",[300],<function elu at 0x00000140D384EE18>,500,50,2.20337982500264,0.0001
27,"[0.10377682745456696, 0.5179671049118042, 0.5466535091400146, 0.538057267665863, 0.9086155891418457, 1.2491737604141235, 1.198889136314392, 1.7193032503128052, 3.1793534755706787, 4.2063188552856445, 2.481753349304199, 3.897871971130371, 3.0892627239227295, 2.4712886810302734]",[300],<function relu at 0x00000140D387D1E0>,500,50,2.20337982500264,0.0001
21,"[0.17988654971122742, 0.5169233679771423, 0.566116452217102, 0.5835452079772949, 0.9144285917282104, 1.065982460975647, 1.3937722444534302, 1.0132663249969482, 2.158891439437866, 3.0641496181488037, 3.2585346698760986, 4.0318403244018555, 3.4643867015838623, 0.744799017906189]",[200],<function relu at 0x00000140D387D1E0>,500,50,2.206485566964222,0.0001
3,"[0.17988654971122742, 0.5169233679771423, 0.566116452217102, 0.5835452079772949, 0.9144285917282104, 1.065982460975647, 1.3937722444534302, 1.0132663249969482, 2.158891439437866, 3.0641496181488037, 3.2585346698760986, 4.0318403244018555, 3.4643867015838623, 0.744799017906189]",[200],<function elu at 0x00000140D384EE18>,500,50,2.206485566964222,0.0001
33,"[0.11758436262607574, 0.5436052680015564, 0.4967191219329834, 0.4340049922466278, 0.7166624069213867, 1.0979176759719849, 0.9968360662460327, 0.7920175790786743, 2.2300171852111816, 2.489412546157837, 2.4431583881378174, 3.216583728790283, 3.8720366954803467, 4.189956188201904]",[100],<function relu at 0x00000140D387D1E0>,500,50,2.2064982295195485,0.0001
