index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
20,"[-0.49735844135284424, -2.7766900062561035, 0.8317525386810303, 3.9652020931243896, 1.3524205684661865, 0.5411422252655029, -1.0001519918441772, -0.16684293746948242, 0.07968974113464355, -0.05265641212463379, 0.5543074607849121, 0.3990762233734131, 0.34017252922058105, 0.5936977863311768]",[50],<function relu at 0x000001874CA371E0>,500,250,3.6487594533147263,0.1
8,"[-0.49735844135284424, -2.7766900062561035, 0.8317525386810303, 3.9652020931243896, 1.3524205684661865, 0.5411422252655029, -1.0001519918441772, -0.16684293746948242, 0.07968974113464355, -0.05265641212463379, 0.5543074607849121, 0.3990762233734131, 0.34017252922058105, 0.5936977863311768]",[50],<function elu at 0x000001874CA08E18>,500,250,3.6487594533147263,0.1
16,"[0.3095375895500183, -0.19119039177894592, 0.40058690309524536, 0.4397629499435425, 1.4572957754135132, 1.7416011095046997, 1.2656017541885376, 2.9468603134155273, -4.338443756103516, -1.1970391273498535, 1.923109531402588, -1.9991315603256226, 0.9279301762580872, 0.9808866381645203]",[100],<function relu at 0x000001874CA371E0>,500,100,4.161915934050738,0.01
4,"[0.3095375895500183, -0.19119039177894592, 0.40058690309524536, 0.4397629499435425, 1.4572957754135132, 1.7416011095046997, 1.2656017541885376, 2.9468603134155273, -4.338443756103516, -1.1970391273498535, 1.923109531402588, -1.9991315603256226, 0.9279301762580872, 0.9808866381645203]",[100],<function elu at 0x000001874CA08E18>,500,100,4.161915934050738,0.01
17,"[0.1985437572002411, -0.0887637659907341, 0.9778473973274231, 0.543799877166748, 1.0814526081085205, 1.0009242296218872, 0.9055793285369873, 5.511800765991211, 5.712092876434326, 1.535728096961975, 1.2737140655517578, -0.9842159152030945, 4.957818031311035, 5.674232006072998]",[100],<function relu at 0x000001874CA371E0>,500,250,4.2182987749964465,0.01
5,"[0.1985437572002411, -0.0887637659907341, 0.9778473973274231, 0.543799877166748, 1.0814526081085205, 1.0009242296218872, 0.9055793285369873, 5.511800765991211, 5.712092876434326, 1.535728096961975, 1.2737140655517578, -0.9842159152030945, 4.957818031311035, 5.674232006072998]",[100],<function elu at 0x000001874CA08E18>,500,250,4.2182987749964465,0.01
11,"[0.23426862061023712, 0.16255970299243927, 0.7672948241233826, 0.4554513096809387, 1.4054176807403564, 0.9185676574707031, 1.4322822093963623, 0.07851673662662506, -1.2097885608673096, -3.895961046218872, -4.187835216522217, -1.319743275642395, 3.9843084812164307, 5.910394668579102]",[50],<function elu at 0x000001874CA08E18>,500,250,4.281967246271461,0.01
23,"[0.23426862061023712, 0.16255970299243927, 0.7672948241233826, 0.4554513096809387, 1.4054176807403564, 0.9185676574707031, 1.4322822093963623, 0.07851673662662506, -1.2097885608673096, -3.895961046218872, -4.187835216522217, -1.319743275642395, 3.9843084812164307, 5.910394668579102]",[50],<function relu at 0x000001874CA371E0>,500,250,4.281967246271461,0.01
9,"[0.4898416996002197, 0.16351890563964844, 0.4060167670249939, 0.23975178599357605, -0.11355680227279663, 1.3347176313400269, 1.9073532819747925, 4.4646100997924805, 7.8902907371521, 2.4198904037475586, 0.30484896898269653, 2.1928293704986572, 2.3336074352264404, 2.459860324859619]",[50],<function elu at 0x000001874CA08E18>,500,50,4.307581658719369,0.01
21,"[0.4898416996002197, 0.16351890563964844, 0.4060167670249939, 0.23975178599357605, -0.11355680227279663, 1.3347176313400269, 1.9073532819747925, 4.4646100997924805, 7.8902907371521, 2.4198904037475586, 0.30484896898269653, 2.1928293704986572, 2.3336074352264404, 2.459860324859619]",[50],<function relu at 0x000001874CA371E0>,500,50,4.307581658719369,0.01
10,"[0.4158775508403778, 0.06617546826601028, 0.20144152641296387, -0.909536600112915, 0.07867012917995453, -0.8451964259147644, 1.4535661935806274, 2.029989004135132, -2.0423636436462402, -4.434171676635742, -1.6692935228347778, 0.37723007798194885, 2.124943494796753, 3.8787715435028076]",[50],<function elu at 0x000001874CA08E18>,500,100,4.481556503341678,0.01
22,"[0.4158775508403778, 0.06617546826601028, 0.20144152641296387, -0.909536600112915, 0.07867012917995453, -0.8451964259147644, 1.4535661935806274, 2.029989004135132, -2.0423636436462402, -4.434171676635742, -1.6692935228347778, 0.37723007798194885, 2.124943494796753, 3.8787715435028076]",[50],<function relu at 0x000001874CA371E0>,500,100,4.481556503341678,0.01
15,"[0.32673126459121704, -0.027913004159927368, 0.3111966848373413, 0.1165320947766304, -0.10981915891170502, -1.1380072832107544, -1.3742952346801758, -1.2959791421890259, -0.4066590666770935, 5.980476379394531, 3.6551730632781982, 4.503470420837402, 3.16139554977417, 4.687131881713867]",[100],<function relu at 0x000001874CA371E0>,500,50,4.49629030250699,0.01
3,"[0.32673126459121704, -0.027913004159927368, 0.3111966848373413, 0.1165320947766304, -0.10981915891170502, -1.1380072832107544, -1.3742952346801758, -1.2959791421890259, -0.4066590666770935, 5.980476379394531, 3.6551730632781982, 4.503470420837402, 3.16139554977417, 4.687131881713867]",[100],<function elu at 0x000001874CA08E18>,500,50,4.49629030250699,0.01
6,"[1.2441134452819824, 8.551877975463867, 12.804657936096191, 22.348621368408203, -1.9537701606750488, 3.8051609992980957, 0.114452064037323, 6.252505779266357, 5.207804203033447, 2.7519946098327637, -0.03829604387283325, 1.3822705745697021, 1.3902509212493896, 2.9439234733581543]",[50],<function elu at 0x000001874CA08E18>,500,50,11.707657390064826,0.1
18,"[1.2441134452819824, 8.551877975463867, 12.804657936096191, 22.348621368408203, -1.9537701606750488, 3.8051609992980957, 0.114452064037323, 6.252505779266357, 5.207804203033447, 2.7519946098327637, -0.03829604387283325, 1.3822705745697021, 1.3902509212493896, 2.9439234733581543]",[50],<function relu at 0x000001874CA371E0>,500,50,11.707657390064826,0.1
14,"[-9.748200416564941, -23.408578872680664, -49.038055419921875, -21.758317947387695, 53.34480667114258, -12.339005470275879, -30.158903121948242, -56.062259674072266, -8.236658096313477, -22.415651321411133, -2.522517204284668, -23.415884017944336, -20.271772384643555, -16.667625427246094]",[100],<function relu at 0x000001874CA371E0>,500,250,31.74805175595181,0.1
2,"[-9.748200416564941, -23.408578872680664, -49.038055419921875, -21.758317947387695, 53.34480667114258, -12.339005470275879, -30.158903121948242, -56.062259674072266, -8.236658096313477, -22.415651321411133, -2.522517204284668, -23.415884017944336, -20.271772384643555, -16.667625427246094]",[100],<function elu at 0x000001874CA08E18>,500,250,31.74805175595181,0.1
12,"[1.278136968612671, -34.636409759521484, 0.23413312435150146, 28.352291107177734, -61.327178955078125, 34.006771087646484, -25.912532806396484, 20.675479888916016, 2.217517852783203, 10.77525806427002, 15.942646980285645, 10.17888355255127, 16.828784942626953, 8.92003345489502]",[100],<function relu at 0x000001874CA371E0>,500,50,31.85792596782557,0.1
0,"[1.278136968612671, -34.636409759521484, 0.23413312435150146, 28.352291107177734, -61.327178955078125, 34.006771087646484, -25.912532806396484, 20.675479888916016, 2.217517852783203, 10.77525806427002, 15.942646980285645, 10.17888355255127, 16.828784942626953, 8.92003345489502]",[100],<function elu at 0x000001874CA08E18>,500,50,31.85792596782557,0.1
19,"[0.8020653128623962, 7.917080879211426, -20.613792419433594, -12.659904479980469, -15.890241622924805, 262.2558288574219, 283.92572021484375, -99.28538513183594, 265.14349365234375, -1248.4266357421875, -130.17913818359375, 280.6458740234375, 749.3850708007812, 1318.5477294921875]",[50],<function relu at 0x000001874CA371E0>,500,100,145.7055284272996,0.1
7,"[0.8020653128623962, 7.917080879211426, -20.613792419433594, -12.659904479980469, -15.890241622924805, 262.2558288574219, 283.92572021484375, -99.28538513183594, 265.14349365234375, -1248.4266357421875, -130.17913818359375, 280.6458740234375, 749.3850708007812, 1318.5477294921875]",[50],<function elu at 0x000001874CA08E18>,500,100,145.7055284272996,0.1
13,"[10.744629859924316, 177.66937255859375, -348.900634765625, 396.2379455566406, -513.9815673828125, 288.0296630859375, 128.1866455078125, -195.77586364746094, 17.888513565063477, -83.675048828125, 241.26583862304688, -193.97496032714844, -240.89602661132812, 19.301395416259766]",[100],<function relu at 0x000001874CA371E0>,500,100,309.86939749410664,0.1
1,"[10.744629859924316, 177.66937255859375, -348.900634765625, 396.2379455566406, -513.9815673828125, 288.0296630859375, 128.1866455078125, -195.77586364746094, 17.888513565063477, -83.675048828125, 241.26583862304688, -193.97496032714844, -240.89602661132812, 19.301395416259766]",[100],<function elu at 0x000001874CA08E18>,500,100,309.86939749410664,0.1
