index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
15,"[0.14303740859031677, -0.6149287223815918, -1.1895344257354736, -0.32789602875709534, -0.14270946383476257, -1.2292152643203735, -0.570520281791687, 0.33162611722946167, 0.6463126540184021, 2.030759811401367, 1.2088645696640015, 2.235077142715454, 2.7308974266052246, 2.011749029159546]",[100],<function relu at 0x000001F88CF8A9D8>,500,50,1.594618181008108,0.01
3,"[0.14303740859031677, -0.6149287223815918, -1.1895344257354736, -0.32789602875709534, -0.14270946383476257, -1.2292152643203735, -0.570520281791687, 0.33162611722946167, 0.6463126540184021, 2.030759811401367, 1.2088645696640015, 2.235077142715454, 2.7308974266052246, 2.011749029159546]",[100],<function elu at 0x000001F88CF5A6A8>,500,50,1.594618181008108,0.01
17,"[0.1437629610300064, -0.23983727395534515, -0.7203578948974609, 0.19906549155712128, 0.16941751539707184, -0.21294061839580536, 0.25754737854003906, 0.44811707735061646, -0.011367227882146835, -1.011004090309143, 1.3808512687683105, 1.1133391857147217, 1.2562904357910156, 0.9584605097770691]",[100],<function relu at 0x000001F88CF8A9D8>,500,250,2.0397642426156146,0.01
5,"[0.1437629610300064, -0.23983727395534515, -0.7203578948974609, 0.19906549155712128, 0.16941751539707184, -0.21294061839580536, 0.25754737854003906, 0.44811707735061646, -0.011367227882146835, -1.011004090309143, 1.3808512687683105, 1.1133391857147217, 1.2562904357910156, 0.9584605097770691]",[100],<function elu at 0x000001F88CF5A6A8>,500,250,2.0397642426156146,0.01
11,"[0.16004447638988495, 0.056400150060653687, -0.5575909614562988, 0.37654250860214233, 0.3698417544364929, 0.3411562442779541, 0.7506064176559448, 0.2588658332824707, 1.291810154914856, -0.8029283881187439, -1.4929041862487793, -1.1987943649291992, -1.4415627717971802, 0.5303069353103638]",[50],<function elu at 0x000001F88CF5A6A8>,500,250,2.3047016675630134,0.01
23,"[0.16004447638988495, 0.056400150060653687, -0.5575909614562988, 0.37654250860214233, 0.3698417544364929, 0.3411562442779541, 0.7506064176559448, 0.2588658332824707, 1.291810154914856, -0.8029283881187439, -1.4929041862487793, -1.1987943649291992, -1.4415627717971802, 0.5303069353103638]",[50],<function relu at 0x000001F88CF8A9D8>,500,250,2.3047016675630134,0.01
8,"[1.2814453840255737, 1.3078261613845825, 0.6137642860412598, 0.5235892534255981, 0.6606341600418091, 0.5187925100326538, 0.947405219078064, 0.26435887813568115, -0.213056743144989, 0.08443772792816162, 0.07719552516937256, -0.08266037702560425, 0.19285809993743896, -0.14413708448410034]",[50],<function elu at 0x000001F88CF5A6A8>,500,250,2.5708643391667056,0.1
20,"[1.2814453840255737, 1.3078261613845825, 0.6137642860412598, 0.5235892534255981, 0.6606341600418091, 0.5187925100326538, 0.947405219078064, 0.26435887813568115, -0.213056743144989, 0.08443772792816162, 0.07719552516937256, -0.08266037702560425, 0.19285809993743896, -0.14413708448410034]",[50],<function relu at 0x000001F88CF8A9D8>,500,250,2.5708643391667056,0.1
4,"[0.2239077091217041, -0.18031927943229675, -0.5216029286384583, 0.2986665368080139, 0.3182030916213989, 1.5656638145446777, 1.2328155040740967, -0.05891914293169975, -1.732645869255066, -3.1116204261779785, -2.375377893447876, -1.1226561069488525, 1.7780258655548096, -0.5721394419670105]",[100],<function elu at 0x000001F88CF5A6A8>,500,100,2.65571089475258,0.01
16,"[0.2239077091217041, -0.18031927943229675, -0.5216029286384583, 0.2986665368080139, 0.3182030916213989, 1.5656638145446777, 1.2328155040740967, -0.05891914293169975, -1.732645869255066, -3.1116204261779785, -2.375377893447876, -1.1226561069488525, 1.7780258655548096, -0.5721394419670105]",[100],<function relu at 0x000001F88CF8A9D8>,500,100,2.65571089475258,0.01
