index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
111,"[0.6592868566513062, 0.5957273244857788, 0.02945026010274887, -0.3869974911212921, -0.0887855738401413, 0.07154224812984467, 0.25864890217781067, 0.38351771235466003, 0.4332744777202606, -0.06647588312625885, -0.14790964126586914, -0.04076957702636719, -0.04320785403251648, -0.32979461550712585]",[500],<function relu at 0x0000013DE5EF11E0>,500,250,0.5110352542166507,0.005
31,"[0.6592868566513062, 0.5957273244857788, 0.02945026010274887, -0.3869974911212921, -0.0887855738401413, 0.07154224812984467, 0.25864890217781067, 0.38351771235466003, 0.4332744777202606, -0.06647588312625885, -0.14790964126586914, -0.04076957702636719, -0.04320785403251648, -0.32979461550712585]",[500],<function elu at 0x0000013DE5EE6E18>,500,250,0.5110352542166507,0.005
26,"[0.5395562648773193, 0.4554172456264496, 0.26885250210762024, -0.5939114689826965, -0.17603835463523865, 0.5417727828025818, -0.17393234372138977, 0.21885430812835693, 0.2597276568412781, 0.3204919993877411, 0.25693467259407043, 0.05691906437277794, 0.12346585839986801, 0.24595433473587036]",[500],<function elu at 0x0000013DE5EE6E18>,300,100,0.5492842697073037,0.005
106,"[0.5395562648773193, 0.4554172456264496, 0.26885250210762024, -0.5939114689826965, -0.17603835463523865, 0.5417727828025818, -0.17393234372138977, 0.21885430812835693, 0.2597276568412781, 0.3204919993877411, 0.25693467259407043, 0.05691906437277794, 0.12346585839986801, 0.24595433473587036]",[500],<function relu at 0x0000013DE5EF11E0>,300,100,0.5492842697073037,0.005
146,"[0.5930107831954956, 0.40631604194641113, 0.03930800408124924, -0.39153581857681274, -0.08661817014217377, 0.40895527601242065, 0.18303856253623962, -1.0052295923233032, -1.4357924461364746, -1.8798744678497314, -2.138000965118408, -1.6059263944625854, -1.1924735307693481, 0.11519543081521988]",[100],<function relu at 0x0000013DE5EF11E0>,300,100,0.5571890793720138,0.001
66,"[0.5930107831954956, 0.40631604194641113, 0.03930800408124924, -0.39153581857681274, -0.08661817014217377, 0.40895527601242065, 0.18303856253623962, -1.0052295923233032, -1.4357924461364746, -1.8798744678497314, -2.138000965118408, -1.6059263944625854, -1.1924735307693481, 0.11519543081521988]",[100],<function elu at 0x0000013DE5EE6E18>,300,100,0.5571890793720138,0.001
129,"[0.5505644679069519, 0.3215811550617218, -0.07044362276792526, -0.7410430908203125, -0.021454112604260445, 0.30202120542526245, 0.15779820084571838, 0.2072238326072693, -0.8490408062934875, -1.5435941219329834, -2.7805845737457275, -2.0452325344085693, -1.130719542503357, -1.5709638595581055]",[300],<function relu at 0x0000013DE5EF11E0>,300,123,0.5692164699744799,0.001
49,"[0.5505644679069519, 0.3215811550617218, -0.07044362276792526, -0.7410430908203125, -0.021454112604260445, 0.30202120542526245, 0.15779820084571838, 0.2072238326072693, -0.8490408062934875, -1.5435941219329834, -2.7805845737457275, -2.0452325344085693, -1.130719542503357, -1.5709638595581055]",[300],<function elu at 0x0000013DE5EE6E18>,300,123,0.5692164699744799,0.001
82,"[0.5813196897506714, 0.44504138827323914, 0.04975032061338425, -0.23941034078598022, 0.1350526660680771, -0.09613152593374252, 0.0312496330589056, -0.24146422743797302, 0.37906238436698914, -0.32528629899024963, -1.0648713111877441, -0.07097139209508896, -0.08095385879278183, -0.291231244802475]",[1000],<function relu at 0x0000013DE5EF11E0>,300,100,0.5699516345213622,0.001
2,"[0.5813196897506714, 0.44504138827323914, 0.04975032061338425, -0.23941034078598022, 0.1350526660680771, -0.09613152593374252, 0.0312496330589056, -0.24146422743797302, 0.37906238436698914, -0.32528629899024963, -1.0648713111877441, -0.07097139209508896, -0.08095385879278183, -0.291231244802475]",[1000],<function elu at 0x0000013DE5EE6E18>,300,100,0.5699516345213622,0.001
