index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
113,"[0.28825217485427856, 0.028049912303686142, 0.153636634349823, 0.27639317512512207, 1.6691416501998901, -1.527177095413208, -3.1185808181762695, -2.060187339782715, -0.32303541898727417, -0.34819549322128296, 1.0981700420379639, 3.675433397293091, 4.85228157043457, 5.242804050445557]",[500],<function relu at 0x000001B80E0881E0>,1000,250,0.9870054909460879,0.005
41,"[0.28825217485427856, 0.028049912303686142, 0.153636634349823, 0.27639317512512207, 1.6691416501998901, -1.527177095413208, -3.1185808181762695, -2.060187339782715, -0.32303541898727417, -0.34819549322128296, 1.0981700420379639, 3.675433397293091, 4.85228157043457, 5.242804050445557]",[500],<function elu at 0x000001B80E059E18>,1000,250,0.9870054909460879,0.005
39,"[0.4308220148086548, 0.15378572046756744, 0.31121036410331726, 0.23444870114326477, 0.08226685971021652, -0.19189444184303284, -0.6433392763137817, -0.3208269476890564, -0.5973281860351562, -1.0812214612960815, 0.030570268630981445, -0.09063256531953812, -0.785233736038208, -0.818748414516449]",[500],<function elu at 0x000001B80E059E18>,1000,100,1.2359069187635292,0.005
111,"[0.4308220148086548, 0.15378572046756744, 0.31121036410331726, 0.23444870114326477, 0.08226685971021652, -0.19189444184303284, -0.6433392763137817, -0.3208269476890564, -0.5973281860351562, -1.0812214612960815, 0.030570268630981445, -0.09063256531953812, -0.785233736038208, -0.818748414516449]",[500],<function relu at 0x000001B80E0881E0>,1000,100,1.2359069187635292,0.005
42,"[0.30249133706092834, 0.3642086386680603, 0.3568327724933624, -0.019720960408449173, 0.5549874305725098, 0.12848816812038422, -0.8304021954536438, -0.6040759682655334, -0.6450464129447937, -0.9274245500564575, -0.10969093441963196, -0.6846644282341003, -0.3490889370441437, -1.6939748525619507]",[500],<function elu at 0x000001B80E059E18>,500,100,1.3233592591364178,0.0005
114,"[0.30249133706092834, 0.3642086386680603, 0.3568327724933624, -0.019720960408449173, 0.5549874305725098, 0.12848816812038422, -0.8304021954536438, -0.6040759682655334, -0.6450464129447937, -0.9274245500564575, -0.10969093441963196, -0.6846644282341003, -0.3490889370441437, -1.6939748525619507]",[500],<function relu at 0x000001B80E0881E0>,500,100,1.3233592591364178,0.0005
22,"[0.1600591391324997, 0.369162380695343, 0.14542201161384583, 0.016745787113904953, 0.18677988648414612, -0.1347288340330124, -0.08768121898174286, 0.43225976824760437, 0.725793182849884, 0.3623981475830078, 0.08574004471302032, -0.3712032735347748, -0.5598599314689636, -0.8348002433776855]",[100],<function elu at 0x000001B80E059E18>,1000,500,1.4236168770460589,0.0005
94,"[0.1600591391324997, 0.369162380695343, 0.14542201161384583, 0.016745787113904953, 0.18677988648414612, -0.1347288340330124, -0.08768121898174286, 0.43225976824760437, 0.725793182849884, 0.3623981475830078, 0.08574004471302032, -0.3712032735347748, -0.5598599314689636, -0.8348002433776855]",[100],<function relu at 0x000001B80E0881E0>,1000,500,1.4236168770460589,0.0005
103,"[0.444943904876709, 0.3624410033226013, 0.11074533313512802, 0.2764384150505066, 0.2600783407688141, -0.22045020759105682, -0.07338375598192215, 1.121671199798584, 1.1385116577148438, -0.055043384432792664, 0.7835785150527954, 0.9133350253105164, 0.8086469173431396, 1.1842392683029175]",[500],<function relu at 0x000001B80E0881E0>,500,500,1.435228190729109,0.001
31,"[0.444943904876709, 0.3624410033226013, 0.11074533313512802, 0.2764384150505066, 0.2600783407688141, -0.22045020759105682, -0.07338375598192215, 1.121671199798584, 1.1385116577148438, -0.055043384432792664, 0.7835785150527954, 0.9133350253105164, 0.8086469173431396, 1.1842392683029175]",[500],<function elu at 0x000001B80E059E18>,500,500,1.435228190729109,0.001
11,"[0.3588876724243164, 0.40789201855659485, 0.19836415350437164, 0.06668910384178162, 0.22211189568042755, -0.10233378410339355, -0.009321197867393494, -0.19521331787109375, 0.1960592120885849, 0.27314865589141846, 1.0133130550384521, 1.4866044521331787, 0.7870962619781494, 0.5330885052680969]",[100],<function elu at 0x000001B80E059E18>,1000,250,1.4666473762390824,0.001
83,"[0.3588876724243164, 0.40789201855659485, 0.19836415350437164, 0.06668910384178162, 0.22211189568042755, -0.10233378410339355, -0.009321197867393494, -0.19521331787109375, 0.1960592120885849, 0.27314865589141846, 1.0133130550384521, 1.4866044521331787, 0.7870962619781494, 0.5330885052680969]",[100],<function relu at 0x000001B80E0881E0>,1000,250,1.4666473762390824,0.001
38,"[0.3986740708351135, 0.34734034538269043, 0.2785438299179077, 0.3501223027706146, 0.6320672035217285, 0.2219352424144745, -0.3696029484272003, 0.23677805066108704, 1.351493000984192, 0.9364161491394043, 1.2340009212493896, 1.3376312255859375, 2.959740400314331, 3.3415896892547607]",[500],<function elu at 0x000001B80E059E18>,500,250,1.4780912488955493,0.005
110,"[0.3986740708351135, 0.34734034538269043, 0.2785438299179077, 0.3501223027706146, 0.6320672035217285, 0.2219352424144745, -0.3696029484272003, 0.23677805066108704, 1.351493000984192, 0.9364161491394043, 1.2340009212493896, 1.3376312255859375, 2.959740400314331, 3.3415896892547607]",[500],<function relu at 0x000001B80E0881E0>,500,250,1.4780912488955493,0.005
137,"[0.14020100235939026, 0.43950092792510986, 0.40060657262802124, 0.44581133127212524, -0.048923417925834656, 0.04203994572162628, 0.03216083347797394, 0.24526675045490265, 0.5039740204811096, 0.4486653208732605, 0.3458283543586731, 0.5406304597854614, 0.19664837419986725, 0.3873141407966614]",[1000],<function relu at 0x000001B80E0881E0>,1000,250,1.478394057186881,0.005
65,"[0.14020100235939026, 0.43950092792510986, 0.40060657262802124, 0.44581133127212524, -0.048923417925834656, 0.04203994572162628, 0.03216083347797394, 0.24526675045490265, 0.5039740204811096, 0.4486653208732605, 0.3458283543586731, 0.5406304597854614, 0.19664837419986725, 0.3873141407966614]",[1000],<function elu at 0x000001B80E059E18>,1000,250,1.478394057186881,0.005
90,"[0.13312405347824097, 0.41710999608039856, 0.4173872172832489, 0.0806041955947876, 0.2727431654930115, 0.04242599755525589, -0.019630150869488716, 0.7790886163711548, 1.1741024255752563, 1.191349744796753, 1.040074348449707, 0.646237313747406, 0.3897964358329773, 0.35668137669563293]",[100],<function relu at 0x000001B80E0881E0>,500,100,1.484050611143157,0.0005
18,"[0.13312405347824097, 0.41710999608039856, 0.4173872172832489, 0.0806041955947876, 0.2727431654930115, 0.04242599755525589, -0.019630150869488716, 0.7790886163711548, 1.1741024255752563, 1.191349744796753, 1.040074348449707, 0.646237313747406, 0.3897964358329773, 0.35668137669563293]",[100],<function elu at 0x000001B80E059E18>,500,100,1.484050611143157,0.0005
19,"[0.1549665927886963, 0.38678988814353943, 0.29290083050727844, 0.10721878707408905, 0.22587236762046814, 0.08084990829229355, -0.01975024677813053, 0.4345816969871521, 1.0595319271087646, 1.0598564147949219, 0.5380911231040955, 0.14202779531478882, -0.11668156087398529, -0.6406611204147339]",[100],<function elu at 0x000001B80E059E18>,500,500,1.4866773603764283,0.0005
91,"[0.1549665927886963, 0.38678988814353943, 0.29290083050727844, 0.10721878707408905, 0.22587236762046814, 0.08084990829229355, -0.01975024677813053, 0.4345816969871521, 1.0595319271087646, 1.0598564147949219, 0.5380911231040955, 0.14202779531478882, -0.11668156087398529, -0.6406611204147339]",[100],<function relu at 0x000001B80E0881E0>,500,500,1.4866773603764283,0.0005
139,"[0.45871084928512573, 0.34117186069488525, 0.23690491914749146, 0.027474112808704376, 0.4016074538230896, -0.10792606323957443, 0.04234785586595535, 1.3501688241958618, 1.11945641040802, 1.354286789894104, 1.8444880247116089, 1.8029688596725464, 1.0715192556381226, -0.5276276469230652]",[1000],<function relu at 0x000001B80E0881E0>,500,500,1.500387485769989,0.0005
67,"[0.45871084928512573, 0.34117186069488525, 0.23690491914749146, 0.027474112808704376, 0.4016074538230896, -0.10792606323957443, 0.04234785586595535, 1.3501688241958618, 1.11945641040802, 1.354286789894104, 1.8444880247116089, 1.8029688596725464, 1.0715192556381226, -0.5276276469230652]",[1000],<function elu at 0x000001B80E059E18>,500,500,1.500387485769989,0.0005
134,"[0.06688147783279419, 0.5675324201583862, 0.2713925838470459, 0.5225890874862671, -0.09586487710475922, 0.0646752268075943, 0.09924687445163727, 0.22122563421726227, 0.6022558212280273, 0.5428522825241089, 0.4454164505004883, 0.6783934831619263, 0.4386003017425537, 0.7120225429534912]",[1000],<function relu at 0x000001B80E0881E0>,500,250,1.5126844128304457,0.005
62,"[0.06688147783279419, 0.5675324201583862, 0.2713925838470459, 0.5225890874862671, -0.09586487710475922, 0.0646752268075943, 0.09924687445163727, 0.22122563421726227, 0.6022558212280273, 0.5428522825241089, 0.4454164505004883, 0.6783934831619263, 0.4386003017425537, 0.7120225429534912]",[1000],<function elu at 0x000001B80E059E18>,500,250,1.5126844128304457,0.005
93,"[0.12729650735855103, 0.41312703490257263, 0.3419857919216156, -0.021544216200709343, 0.21867653727531433, 0.03839074820280075, 0.15416069328784943, 1.102179765701294, 1.3308557271957397, 0.9563583135604858, 0.9731898307800293, 0.6619690656661987, 0.5366405844688416, -0.4020772874355316]",[100],<function relu at 0x000001B80E0881E0>,1000,100,1.530625222967483,0.0005
21,"[0.12729650735855103, 0.41312703490257263, 0.3419857919216156, -0.021544216200709343, 0.21867653727531433, 0.03839074820280075, 0.15416069328784943, 1.102179765701294, 1.3308557271957397, 0.9563583135604858, 0.9731898307800293, 0.6619690656661987, 0.5366405844688416, -0.4020772874355316]",[100],<function elu at 0x000001B80E059E18>,1000,100,1.530625222967483,0.0005
117,"[0.4012996554374695, 0.3056204617023468, 0.18054942786693573, 0.2861918807029724, 0.35226017236709595, -0.07920736074447632, 0.212290421128273, 0.8896660804748535, 0.640216052532196, 0.38092726469039917, 1.2375527620315552, 1.118929147720337, 1.2611836194992065, -0.440105140209198]",[500],<function relu at 0x000001B80E0881E0>,1000,100,1.5475250056660634,0.0005
45,"[0.4012996554374695, 0.3056204617023468, 0.18054942786693573, 0.2861918807029724, 0.35226017236709595, -0.07920736074447632, 0.212290421128273, 0.8896660804748535, 0.640216052532196, 0.38092726469039917, 1.2375527620315552, 1.118929147720337, 1.2611836194992065, -0.440105140209198]",[500],<function elu at 0x000001B80E059E18>,1000,100,1.5475250056660634,0.0005
