index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
22,"[0.32988888025283813, 0.22929006814956665, 0.0999952107667923, -0.04906705021858215, -0.7616016864776611, -0.6342864036560059, -0.8443953394889832, -0.43605509400367737, -0.43219614028930664, 1.4966702461242676, 3.47122859954834, 3.2505457401275635, 5.058831691741943, 5.214128017425537]",[50],<function relu at 0x000001BAEC5371E0>,500,100,0.6394230537609146,0.01
10,"[0.32988888025283813, 0.22929006814956665, 0.0999952107667923, -0.04906705021858215, -0.7616016864776611, -0.6342864036560059, -0.8443953394889832, -0.43605509400367737, -0.43219614028930664, 1.4966702461242676, 3.47122859954834, 3.2505457401275635, 5.058831691741943, 5.214128017425537]",[50],<function elu at 0x000001BAEC539E18>,500,100,0.6394230537609146,0.01
20,"[0.2544075846672058, -0.2600552439689636, -0.6145679950714111, 0.2576903700828552, -0.40752270817756653, 0.22885918617248535, -0.6373670101165771, 0.11316651105880737, 0.7213568091392517, 0.8490995764732361, 0.42271488904953003, 0.3253287672996521, 0.6838598847389221, 0.5873844027519226]",[50],<function relu at 0x000001BAEC5371E0>,500,250,0.6883381603916047,0.1
8,"[0.2544075846672058, -0.2600552439689636, -0.6145679950714111, 0.2576903700828552, -0.40752270817756653, 0.22885918617248535, -0.6373670101165771, 0.11316651105880737, 0.7213568091392517, 0.8490995764732361, 0.42271488904953003, 0.3253287672996521, 0.6838598847389221, 0.5873844027519226]",[50],<function elu at 0x000001BAEC539E18>,500,250,0.6883381603916047,0.1
11,"[0.2607406675815582, 0.432699054479599, 0.33255261182785034, -0.07464853674173355, -0.17025810480117798, -0.18162411451339722, -0.6034748554229736, -0.8076578378677368, -0.3029925525188446, 0.013125047087669373, -0.3262895345687866, -1.849503993988037, -1.3109501600265503, 0.5520755052566528]",[50],<function elu at 0x000001BAEC539E18>,500,250,0.7224062911049208,0.01
23,"[0.2607406675815582, 0.432699054479599, 0.33255261182785034, -0.07464853674173355, -0.17025810480117798, -0.18162411451339722, -0.6034748554229736, -0.8076578378677368, -0.3029925525188446, 0.013125047087669373, -0.3262895345687866, -1.849503993988037, -1.3109501600265503, 0.5520755052566528]",[50],<function relu at 0x000001BAEC5371E0>,500,250,0.7224062911049208,0.01
21,"[0.40091049671173096, 0.2817295789718628, -0.3386807441711426, 0.0950414389371872, 0.47278791666030884, 0.13171343505382538, 0.06854812800884247, -0.7923640608787537, -1.123069167137146, 0.28611743450164795, -1.2641557455062866, -0.5865981578826904, 1.1771912574768066, 0.8074817061424255]",[50],<function relu at 0x000001BAEC5371E0>,500,50,0.9027966340435517,0.01
9,"[0.40091049671173096, 0.2817295789718628, -0.3386807441711426, 0.0950414389371872, 0.47278791666030884, 0.13171343505382538, 0.06854812800884247, -0.7923640608787537, -1.123069167137146, 0.28611743450164795, -1.2641557455062866, -0.5865981578826904, 1.1771912574768066, 0.8074817061424255]",[50],<function elu at 0x000001BAEC539E18>,500,50,0.9027966340435517,0.01
3,"[0.40797504782676697, 0.4087024927139282, 0.2655668556690216, 0.34392181038856506, -0.18255780637264252, -0.17822694778442383, 0.20080925524234772, -0.5444888472557068, 0.05693789944052696, 1.6768053770065308, 1.935136079788208, 3.1311492919921875, 3.0711612701416016, 2.5515806674957275]",[100],<function elu at 0x000001BAEC539E18>,500,50,0.9415320959251728,0.01
15,"[0.40797504782676697, 0.4087024927139282, 0.2655668556690216, 0.34392181038856506, -0.18255780637264252, -0.17822694778442383, 0.20080925524234772, -0.5444888472557068, 0.05693789944052696, 1.6768053770065308, 1.935136079788208, 3.1311492919921875, 3.0711612701416016, 2.5515806674957275]",[100],<function relu at 0x000001BAEC5371E0>,500,50,0.9415320959251728,0.01
17,"[0.4695897698402405, 0.2587530016899109, 0.18715856969356537, 0.3003179430961609, -0.6856628656387329, -0.2752392888069153, 0.29083579778671265, 0.7827792763710022, -0.1459406167268753, 0.6231637597084045, 2.1193156242370605, 0.453726589679718, 1.7619839906692505, 3.3628015518188477]",[100],<function relu at 0x000001BAEC5371E0>,500,250,0.9885357045971864,0.01
5,"[0.4695897698402405, 0.2587530016899109, 0.18715856969356537, 0.3003179430961609, -0.6856628656387329, -0.2752392888069153, 0.29083579778671265, 0.7827792763710022, -0.1459406167268753, 0.6231637597084045, 2.1193156242370605, 0.453726589679718, 1.7619839906692505, 3.3628015518188477]",[100],<function elu at 0x000001BAEC539E18>,500,250,0.9885357045971864,0.01
6,"[0.9341869950294495, 1.030898094177246, -0.7040575742721558, 0.48196691274642944, -0.3800085186958313, 1.4607863426208496, -0.6148315072059631, 0.7752289175987244, -1.8875786066055298, 0.16245979070663452, -0.9389395713806152, 1.4797139167785645, 2.1025028228759766, 0.33425384759902954]",[50],<function elu at 0x000001BAEC539E18>,500,50,1.15587504099407,0.1
18,"[0.9341869950294495, 1.030898094177246, -0.7040575742721558, 0.48196691274642944, -0.3800085186958313, 1.4607863426208496, -0.6148315072059631, 0.7752289175987244, -1.8875786066055298, 0.16245979070663452, -0.9389395713806152, 1.4797139167785645, 2.1025028228759766, 0.33425384759902954]",[50],<function relu at 0x000001BAEC5371E0>,500,50,1.15587504099407,0.1
4,"[0.34093376994132996, 0.45112162828445435, -0.09094637632369995, 0.42735686898231506, 0.036458343267440796, 0.4339657127857208, 0.9535717964172363, -0.17173758149147034, 0.2095763087272644, 0.17491351068019867, -0.029325872659683228, -0.9366704225540161, -0.7502249479293823, -1.7922979593276978]",[100],<function elu at 0x000001BAEC539E18>,500,100,1.244240430326954,0.01
16,"[0.34093376994132996, 0.45112162828445435, -0.09094637632369995, 0.42735686898231506, 0.036458343267440796, 0.4339657127857208, 0.9535717964172363, -0.17173758149147034, 0.2095763087272644, 0.17491351068019867, -0.029325872659683228, -0.9366704225540161, -0.7502249479293823, -1.7922979593276978]",[100],<function relu at 0x000001BAEC5371E0>,500,100,1.244240430326954,0.01
14,"[12.679420471191406, -28.253448486328125, 32.47148513793945, 68.13529968261719, 46.949127197265625, 24.586143493652344, 9.367483139038086, 19.17146873474121, 13.159761428833008, 28.839832305908203, 29.812904357910156, 7.552725791931152, 19.044397354125977, -35.730003356933594]",[100],<function relu at 0x000001BAEC5371E0>,500,250,36.967471195647065,0.1
2,"[12.679420471191406, -28.253448486328125, 32.47148513793945, 68.13529968261719, 46.949127197265625, 24.586143493652344, 9.367483139038086, 19.17146873474121, 13.159761428833008, 28.839832305908203, 29.812904357910156, 7.552725791931152, 19.044397354125977, -35.730003356933594]",[100],<function elu at 0x000001BAEC539E18>,500,250,36.967471195647065,0.1
19,"[-8.835625648498535, 41.83385467529297, 33.02494430541992, 87.47480010986328, -26.940959930419922, -36.02773666381836, 38.628265380859375, -12.629956245422363, 117.25711822509766, 52.72623825073242, -11.331372261047363, -1.8705724477767944, 75.13603973388672, 20.999820709228516]",[50],<function relu at 0x000001BAEC5371E0>,500,100,44.980251748754455,0.1
7,"[-8.835625648498535, 41.83385467529297, 33.02494430541992, 87.47480010986328, -26.940959930419922, -36.02773666381836, 38.628265380859375, -12.629956245422363, 117.25711822509766, 52.72623825073242, -11.331372261047363, -1.8705724477767944, 75.13603973388672, 20.999820709228516]",[50],<function elu at 0x000001BAEC539E18>,500,100,44.980251748754455,0.1
1,"[0.6114799976348877, 8.267678260803223, -38.79116439819336, -91.53697967529297, -148.05352783203125, -231.3356475830078, 7.535297393798828, 53.65642166137695, -29.937297821044922, 89.97087097167969, -53.19623947143555, 38.7532844543457, 173.1653289794922, -224.8504180908203]",[100],<function elu at 0x000001BAEC539E18>,500,100,110.33037544601899,0.1
13,"[0.6114799976348877, 8.267678260803223, -38.79116439819336, -91.53697967529297, -148.05352783203125, -231.3356475830078, 7.535297393798828, 53.65642166137695, -29.937297821044922, 89.97087097167969, -53.19623947143555, 38.7532844543457, 173.1653289794922, -224.8504180908203]",[100],<function relu at 0x000001BAEC5371E0>,500,100,110.33037544601899,0.1
12,"[-5.654435634613037, 75.96173858642578, -101.27487182617188, 138.5698699951172, -188.2628936767578, -382.42230224609375, 308.918212890625, -362.3788146972656, 375.4519958496094, -740.5300903320312, 549.3334350585938, -532.86279296875, 68.72362518310547, -184.00807189941406]",[100],<function relu at 0x000001BAEC5371E0>,500,50,211.42346428738432,0.1
0,"[-5.654435634613037, 75.96173858642578, -101.27487182617188, 138.5698699951172, -188.2628936767578, -382.42230224609375, 308.918212890625, -362.3788146972656, 375.4519958496094, -740.5300903320312, 549.3334350585938, -532.86279296875, 68.72362518310547, -184.00807189941406]",[100],<function elu at 0x000001BAEC539E18>,500,50,211.42346428738432,0.1
