index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
1,"[0.5781561136245728, 0.6092676520347595, 0.272113561630249, 0.00981022696942091, -0.3632175922393799, -1.1520458459854126, -0.734458863735199, -0.1752004772424698, 0.1129819005727768, 0.3609725832939148, 0.39640170335769653, 0.47821545600891113, -0.26499709486961365, -0.3713701665401459]","[30, 30, 30]",<function elu at 0x000001B80E059E18>,500,50,2.352415656809822,0.0001
7,"[0.5781561136245728, 0.6092676520347595, 0.272113561630249, 0.00981022696942091, -0.3632175922393799, -1.1520458459854126, -0.734458863735199, -0.1752004772424698, 0.1129819005727768, 0.3609725832939148, 0.39640170335769653, 0.47821545600891113, -0.26499709486961365, -0.3713701665401459]","[30, 30, 30]",<function relu at 0x000001B80E0881E0>,500,50,2.352415656809822,0.0001
5,"[0.4426954984664917, 0.49576273560523987, 0.5446008443832397, 0.07120973616838455, -0.0062525514513254166, -0.37642374634742737, -0.9382684230804443, 0.13575118780136108, 0.9846625924110413, 1.1343575716018677, 0.9142271280288696, 1.805029034614563, 1.4981290102005005, 1.5380390882492065]","[30, 10, 30, 10]",<function elu at 0x000001B80E059E18>,500,50,2.3536989324880078,0.0001
11,"[0.4426954984664917, 0.49576273560523987, 0.5446008443832397, 0.07120973616838455, -0.0062525514513254166, -0.37642374634742737, -0.9382684230804443, 0.13575118780136108, 0.9846625924110413, 1.1343575716018677, 0.9142271280288696, 1.805029034614563, 1.4981290102005005, 1.5380390882492065]","[30, 10, 30, 10]",<function relu at 0x000001B80E0881E0>,500,50,2.3536989324880078,0.0001
0,"[0.5019551515579224, 0.7290024757385254, 0.33543938398361206, 0.34237781167030334, 0.26405662298202515, -0.3781938850879669, -0.24022963643074036, 0.04855669289827347, 0.19645553827285767, 0.1102357730269432, -0.04973744601011276, 0.03312869369983673, -0.17145805060863495, -0.5479263067245483]","[30, 30, 30]",<function elu at 0x000001B80E059E18>,300,50,2.368840060175908,0.0001
6,"[0.5019551515579224, 0.7290024757385254, 0.33543938398361206, 0.34237781167030334, 0.26405662298202515, -0.3781938850879669, -0.24022963643074036, 0.04855669289827347, 0.19645553827285767, 0.1102357730269432, -0.04973744601011276, 0.03312869369983673, -0.17145805060863495, -0.5479263067245483]","[30, 30, 30]",<function relu at 0x000001B80E0881E0>,300,50,2.368840060175908,0.0001
2,"[0.5748630166053772, 0.47674182057380676, 0.6002973318099976, -0.3861408531665802, -0.31405502557754517, 0.16688600182533264, 0.5526794195175171, 0.41954097151756287, 0.35174715518951416, 0.46487876772880554, 0.453630656003952, 0.5113858580589294, 0.6394094228744507, 0.6289485096931458]","[10, 10, 10]",<function elu at 0x000001B80E059E18>,300,50,2.4484430399851096,0.0001
8,"[0.5748630166053772, 0.47674182057380676, 0.6002973318099976, -0.3861408531665802, -0.31405502557754517, 0.16688600182533264, 0.5526794195175171, 0.41954097151756287, 0.35174715518951416, 0.46487876772880554, 0.453630656003952, 0.5113858580589294, 0.6394094228744507, 0.6289485096931458]","[10, 10, 10]",<function relu at 0x000001B80E0881E0>,300,50,2.4484430399851096,0.0001
4,"[0.08925338834524155, 0.4419027268886566, 0.6765638589859009, 0.15228159725666046, -0.2223244160413742, -0.4137819707393646, -0.4327966868877411, 0.49882447719573975, 0.6575441360473633, 0.8357473611831665, 0.5693288445472717, 0.6043396592140198, 0.5716714859008789, 0.6975918412208557]","[30, 10, 30, 10]",<function elu at 0x000001B80E059E18>,300,50,2.460196701550183,0.0001
10,"[0.08925338834524155, 0.4419027268886566, 0.6765638589859009, 0.15228159725666046, -0.2223244160413742, -0.4137819707393646, -0.4327966868877411, 0.49882447719573975, 0.6575441360473633, 0.8357473611831665, 0.5693288445472717, 0.6043396592140198, 0.5716714859008789, 0.6975918412208557]","[30, 10, 30, 10]",<function relu at 0x000001B80E0881E0>,300,50,2.460196701550183,0.0001
3,"[0.5204912424087524, 0.46338891983032227, 0.5235252380371094, -0.20323361456394196, -0.07906464487314224, 0.14912116527557373, 0.5196934938430786, 0.4522584080696106, 0.37048864364624023, 0.48858362436294556, 0.3964729905128479, 0.5044494271278381, 0.699748158454895, 0.6739099025726318]","[10, 10, 10]",<function elu at 0x000001B80E059E18>,500,50,2.4684129105781314,0.0001
9,"[0.5204912424087524, 0.46338891983032227, 0.5235252380371094, -0.20323361456394196, -0.07906464487314224, 0.14912116527557373, 0.5196934938430786, 0.4522584080696106, 0.37048864364624023, 0.48858362436294556, 0.3964729905128479, 0.5044494271278381, 0.699748158454895, 0.6739099025726318]","[10, 10, 10]",<function relu at 0x000001B80E0881E0>,500,50,2.4684129105781314,0.0001
