index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
516,"[-0.22482630610466003, -0.09758982807397842, -0.9989397525787354, -1.9046775102615356, -2.5301449298858643, -2.7075324058532715, -3.0015475749969482, -0.7019979953765869, -0.7974010705947876, 3.347640037536621, 6.579135417938232, 7.237626552581787, 0.817574143409729, -1.6672067642211914]","[100, 100, 50]",<function relu at 0x0000029B96B960D0>,500,100,2.1522337015898056,0.001
192,"[-0.22482630610466003, -0.09758982807397842, -0.9989397525787354, -1.9046775102615356, -2.5301449298858643, -2.7075324058532715, -3.0015475749969482, -0.7019979953765869, -0.7974010705947876, 3.347640037536621, 6.579135417938232, 7.237626552581787, 0.817574143409729, -1.6672067642211914]","[100, 100, 50]",<function elu at 0x0000029B96B65D08>,500,100,2.1522337015898056,0.001
134,"[0.29746612906455994, -0.3604991137981415, -0.5821412205696106, 1.0950875282287598, -4.13424825668335, -2.2223498821258545, -1.5873734951019287, 6.069530487060547, 4.889124393463135, 1.0246422290802002, 0.9427799582481384, -4.883185863494873, -1.286970615386963, -4.046652793884277]","[100, 50]",<function elu at 0x0000029B96B65D08>,1000,250,2.477354265266582,0.005
458,"[0.29746612906455994, -0.3604991137981415, -0.5821412205696106, 1.0950875282287598, -4.13424825668335, -2.2223498821258545, -1.5873734951019287, 6.069530487060547, 4.889124393463135, 1.0246422290802002, 0.9427799582481384, -4.883185863494873, -1.286970615386963, -4.046652793884277]","[100, 50]",<function relu at 0x0000029B96B960D0>,1000,250,2.477354265266582,0.005
205,"[0.37127792835235596, -0.7225619554519653, -2.157789945602417, -0.3838733434677124, -1.0592193603515625, -3.981433629989624, -3.357665538787842, 2.7092678546905518, 4.7897629737854, 2.9899747371673584, 8.895146369934082, 11.012629508972168, 4.832581996917725, 1.8364778757095337]","[100, 100, 50]",<function elu at 0x0000029B96B65D08>,1000,500,2.5698146717104557,0.005
529,"[0.37127792835235596, -0.7225619554519653, -2.157789945602417, -0.3838733434677124, -1.0592193603515625, -3.981433629989624, -3.357665538787842, 2.7092678546905518, 4.7897629737854, 2.9899747371673584, 8.895146369934082, 11.012629508972168, 4.832581996917725, 1.8364778757095337]","[100, 100, 50]",<function relu at 0x0000029B96B960D0>,1000,500,2.5698146717104557,0.005
514,"[-0.4223901331424713, -0.12431396543979645, -0.7018157243728638, -1.6303638219833374, -1.9773573875427246, -1.3930268287658691, -2.551741123199463, -1.4471814632415771, 0.878481924533844, 3.645207166671753, 5.824558258056641, 7.855952262878418, 4.084397315979004, 1.9677082300186157]","[100, 100, 50]",<function relu at 0x0000029B96B960D0>,300,500,2.5710717682942223,0.001
190,"[-0.4223901331424713, -0.12431396543979645, -0.7018157243728638, -1.6303638219833374, -1.9773573875427246, -1.3930268287658691, -2.551741123199463, -1.4471814632415771, 0.878481924533844, 3.645207166671753, 5.824558258056641, 7.855952262878418, 4.084397315979004, 1.9677082300186157]","[100, 100, 50]",<function elu at 0x0000029B96B65D08>,300,500,2.5710717682942223,0.001
412,"[-0.14938154816627502, -0.08116865158081055, -2.101266622543335, -4.079079627990723, -5.29548454284668, -2.261565923690796, -0.3246486186981201, 3.571082353591919, 1.681077241897583, -0.5459564924240112, 2.62536358833313, 2.5262012481689453, -0.28883278369903564, 0.7149026393890381]",[1000],<function relu at 0x0000029B96B960D0>,1000,500,2.640834272784963,0.001
88,"[-0.14938154816627502, -0.08116865158081055, -2.101266622543335, -4.079079627990723, -5.29548454284668, -2.261565923690796, -0.3246486186981201, 3.571082353591919, 1.681077241897583, -0.5459564924240112, 2.62536358833313, 2.5262012481689453, -0.28883278369903564, 0.7149026393890381]",[1000],<function elu at 0x0000029B96B65D08>,1000,500,2.640834272784963,0.001
