index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
0,"[-0.13988235592842102, 0.30921033024787903, 0.9753409028053284, 1.0068269968032837, 0.48108237981796265, 0.6947774887084961, 0.8786259889602661, 1.1344830989837646, 1.0097267627716064, 0.4613090455532074, -0.5517226457595825, -1.4136484861373901, -2.1726884841918945, -2.2961106300354004]",[100],<function elu at 0x0000029B96B65D08>,300,100,3.5876515934797957,0.0001
324,"[-0.13988235592842102, 0.30921033024787903, 0.9753409028053284, 1.0068269968032837, 0.48108237981796265, 0.6947774887084961, 0.8786259889602661, 1.1344830989837646, 1.0097267627716064, 0.4613090455532074, -0.5517226457595825, -1.4136484861373901, -2.1726884841918945, -2.2961106300354004]",[100],<function relu at 0x0000029B96B960D0>,300,100,3.5876515934797957,0.0001
2,"[0.1325271725654602, 0.4251674711704254, 0.588040828704834, 1.2487356662750244, 0.5165141224861145, 0.9555912613868713, 0.4859909415245056, 0.396613210439682, 0.5499879717826843, 0.13278663158416748, -0.3473082184791565, -1.2526729106903076, -0.924044132232666, -0.45864081382751465]",[100],<function elu at 0x0000029B96B65D08>,300,250,3.662304889473322,0.0001
326,"[0.1325271725654602, 0.4251674711704254, 0.588040828704834, 1.2487356662750244, 0.5165141224861145, 0.9555912613868713, 0.4859909415245056, 0.396613210439682, 0.5499879717826843, 0.13278663158416748, -0.3473082184791565, -1.2526729106903076, -0.924044132232666, -0.45864081382751465]",[100],<function relu at 0x0000029B96B960D0>,300,250,3.662304889473322,0.0001
415,"[-0.18687817454338074, 0.6548954248428345, 1.265231728553772, 1.0238338708877563, 0.7680505514144897, 0.41435566544532776, 0.3254794776439667, 0.09257856011390686, 0.345007985830307, 0.6662681102752686, 0.8982342481613159, 1.055338978767395, 1.632145643234253, 0.5706411600112915]",[1000],<function relu at 0x0000029B96B960D0>,300,500,3.761498647029482,0.005
91,"[-0.18687817454338074, 0.6548954248428345, 1.265231728553772, 1.0238338708877563, 0.7680505514144897, 0.41435566544532776, 0.3254794776439667, 0.09257856011390686, 0.345007985830307, 0.6662681102752686, 0.8982342481613159, 1.055338978767395, 1.632145643234253, 0.5706411600112915]",[1000],<function elu at 0x0000029B96B65D08>,300,500,3.761498647029482,0.005
3,"[-0.1398286521434784, 0.6388953328132629, 1.3285179138183594, 1.40010666847229, 0.5880047082901001, 1.1013970375061035, 0.8401550650596619, 0.686392605304718, -0.3329920470714569, -0.5682162642478943, -2.1769607067108154, -3.082254648208618, -4.275094509124756, -4.436029434204102]",[100],<function elu at 0x0000029B96B65D08>,500,100,3.771516765066254,0.0001
327,"[-0.1398286521434784, 0.6388953328132629, 1.3285179138183594, 1.40010666847229, 0.5880047082901001, 1.1013970375061035, 0.8401550650596619, 0.686392605304718, -0.3329920470714569, -0.5682162642478943, -2.1769607067108154, -3.082254648208618, -4.275094509124756, -4.436029434204102]",[100],<function relu at 0x0000029B96B960D0>,500,100,3.771516765066254,0.0001
414,"[-0.33220332860946655, 0.568625807762146, 1.6104742288589478, 1.4172158241271973, 1.0456550121307373, 0.47962504625320435, 0.8195250630378723, 0.9414923787117004, 0.7688210606575012, 1.1532447338104248, 1.0013773441314697, 1.3504836559295654, 1.3072302341461182, 0.9954736828804016]",[1000],<function relu at 0x0000029B96B960D0>,300,100,3.813890665976626,0.005
90,"[-0.33220332860946655, 0.568625807762146, 1.6104742288589478, 1.4172158241271973, 1.0456550121307373, 0.47962504625320435, 0.8195250630378723, 0.9414923787117004, 0.7688210606575012, 1.1532447338104248, 1.0013773441314697, 1.3504836559295654, 1.3072302341461182, 0.9954736828804016]",[1000],<function elu at 0x0000029B96B65D08>,300,100,3.813890665976626,0.005
