index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
169,"[0.1559135466814041, -0.1750277578830719, -0.8864348530769348, -0.7721580862998962, -1.5132819414138794, 0.3058982789516449, -1.5652974843978882, 4.341991424560547, 5.6175336837768555, -0.27563267946243286, -2.2669484615325928, -3.1205036640167236, 0.17112095654010773, 1.358557939529419]","[500, 100]",<function elu at 0x0000029B96B65D08>,1000,500,1.974249553800364,0.005
493,"[0.1559135466814041, -0.1750277578830719, -0.8864348530769348, -0.7721580862998962, -1.5132819414138794, 0.3058982789516449, -1.5652974843978882, 4.341991424560547, 5.6175336837768555, -0.27563267946243286, -2.2669484615325928, -3.1205036640167236, 0.17112095654010773, 1.358557939529419]","[500, 100]",<function relu at 0x0000029B96B960D0>,1000,500,1.974249553800364,0.005
166,"[0.22195091843605042, 0.6850531697273254, -0.37568673491477966, -1.625672698020935, -1.0100996494293213, -2.029599905014038, 0.3625298738479614, 1.7743303775787354, 1.769661545753479, -2.15765643119812, -2.8914856910705566, -5.180532932281494, -2.999065399169922, 3.977372407913208]","[500, 100]",<function elu at 0x0000029B96B65D08>,500,500,2.022171247547214,0.005
490,"[0.22195091843605042, 0.6850531697273254, -0.37568673491477966, -1.625672698020935, -1.0100996494293213, -2.029599905014038, 0.3625298738479614, 1.7743303775787354, 1.769661545753479, -2.15765643119812, -2.8914856910705566, -5.180532932281494, -2.999065399169922, 3.977372407913208]","[500, 100]",<function relu at 0x0000029B96B960D0>,500,500,2.022171247547214,0.005
0,"[0.11100555956363678, 0.3467704951763153, 0.731367826461792, 1.0717377662658691, 1.1897833347320557, 0.8401994705200195, 0.8485756516456604, 1.2451434135437012, 1.4596226215362549, 1.3840910196304321, 1.1801687479019165, 0.1402602642774582, -0.6362351179122925, -0.7554060220718384]",[100],<function elu at 0x0000029B96B65D08>,300,100,2.4281094949788065,0.0001
324,"[0.11100555956363678, 0.3467704951763153, 0.731367826461792, 1.0717377662658691, 1.1897833347320557, 0.8401994705200195, 0.8485756516456604, 1.2451434135437012, 1.4596226215362549, 1.3840910196304321, 1.1801687479019165, 0.1402602642774582, -0.6362351179122925, -0.7554060220718384]",[100],<function relu at 0x0000029B96B960D0>,300,100,2.4281094949788065,0.0001
97,"[0.21624326705932617, 0.6850910186767578, 1.2880570888519287, 0.6601346731185913, -0.04979851841926575, 1.032987356185913, 0.728259801864624, 0.6995835304260254, 0.08535084128379822, 0.585699200630188, 0.21094515919685364, -0.6241921186447144, -0.9437718391418457, 0.26097843050956726]",[1000],<function elu at 0x0000029B96B65D08>,1000,500,2.4574458857120978,0.005
421,"[0.21624326705932617, 0.6850910186767578, 1.2880570888519287, 0.6601346731185913, -0.04979851841926575, 1.032987356185913, 0.728259801864624, 0.6995835304260254, 0.08535084128379822, 0.585699200630188, 0.21094515919685364, -0.6241921186447144, -0.9437718391418457, 0.26097843050956726]",[1000],<function relu at 0x0000029B96B960D0>,1000,500,2.4574458857120978,0.005
604,"[0.25737398862838745, 0.7350185513496399, 1.0807734727859497, 1.5390894412994385, 1.5234696865081787, 1.3059700727462769, 0.07041934877634048, -0.13982117176055908, 1.9642086029052734, 1.6043496131896973, 3.1449007987976074, 3.2665293216705322, 3.075469732284546, 0.6820018887519836]","[100, 100, 100, 50]",<function relu at 0x0000029B96B960D0>,300,500,2.457762665920527,0.0005
280,"[0.25737398862838745, 0.7350185513496399, 1.0807734727859497, 1.5390894412994385, 1.5234696865081787, 1.3059700727462769, 0.07041934877634048, -0.13982117176055908, 1.9642086029052734, 1.6043496131896973, 3.1449007987976074, 3.2665293216705322, 3.075469732284546, 0.6820018887519836]","[100, 100, 100, 50]",<function elu at 0x0000029B96B65D08>,300,500,2.457762665920527,0.0005
325,"[0.09885108470916748, 0.3419155180454254, 0.7746550440788269, 1.1493914127349854, 1.3217202425003052, 1.0377438068389893, 0.7262049913406372, 1.2632696628570557, 1.2533982992172241, 0.7833052277565002, 0.2737899720668793, 7.060542702674866e-05, -0.48054739832878113, -1.0333197116851807]",[100],<function relu at 0x0000029B96B960D0>,300,500,2.4613387908207036,0.0001
1,"[0.09885108470916748, 0.3419155180454254, 0.7746550440788269, 1.1493914127349854, 1.3217202425003052, 1.0377438068389893, 0.7262049913406372, 1.2632696628570557, 1.2533982992172241, 0.7833052277565002, 0.2737899720668793, 7.060542702674866e-05, -0.48054739832878113, -1.0333197116851807]",[100],<function elu at 0x0000029B96B65D08>,300,500,2.4613387908207036,0.0001
414,"[0.044782478362321854, 0.39331895112991333, 1.4292436838150024, 1.7869017124176025, 2.2919840812683105, 1.258034110069275, -0.0016288012266159058, 0.1117999404668808, -0.03894911706447601, 0.33927619457244873, -0.8657985925674438, -0.35859835147857666, -1.2710983753204346, -1.8307400941848755]",[1000],<function relu at 0x0000029B96B960D0>,300,100,2.506860520924505,0.005
90,"[0.044782478362321854, 0.39331895112991333, 1.4292436838150024, 1.7869017124176025, 2.2919840812683105, 1.258034110069275, -0.0016288012266159058, 0.1117999404668808, -0.03894911706447601, 0.33927619457244873, -0.8657985925674438, -0.35859835147857666, -1.2710983753204346, -1.8307400941848755]",[1000],<function elu at 0x0000029B96B65D08>,300,100,2.506860520924505,0.005
93,"[0.08416146785020828, 0.5000282526016235, 1.2273881435394287, 1.9310126304626465, 2.0071403980255127, 0.5393155217170715, 1.1025824546813965, 1.2627513408660889, 0.8875847458839417, 0.7587106227874756, 1.1505045890808105, 0.5258115530014038, -0.8365909457206726, -0.48959940671920776]",[1000],<function elu at 0x0000029B96B65D08>,500,100,2.536975295533465,0.005
417,"[0.08416146785020828, 0.5000282526016235, 1.2273881435394287, 1.9310126304626465, 2.0071403980255127, 0.5393155217170715, 1.1025824546813965, 1.2627513408660889, 0.8875847458839417, 0.7587106227874756, 1.1505045890808105, 0.5258115530014038, -0.8365909457206726, -0.48959940671920776]",[1000],<function relu at 0x0000029B96B960D0>,500,100,2.536975295533465,0.005
