index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
30,"[0.705101490020752, 0.31853994727134705, -0.17252583801746368, 0.22738872468471527, 1.1019330024719238, -0.3048391342163086, -2.1273064613342285, -2.950511932373047, -3.60958194732666, -4.697238922119141, -1.1248830556869507, 1.4964836835861206, 0.34301912784576416, -1.8270397186279297]",[500],<function elu at 0x0000029B96B65D08>,500,100,3.6765612677628043,0.001
102,"[0.705101490020752, 0.31853994727134705, -0.17252583801746368, 0.22738872468471527, 1.1019330024719238, -0.3048391342163086, -2.1273064613342285, -2.950511932373047, -3.60958194732666, -4.697238922119141, -1.1248830556869507, 1.4964836835861206, 0.34301912784576416, -1.8270397186279297]",[500],<function relu at 0x0000029B96B960D0>,500,100,3.6765612677628043,0.001
82,"[0.539735734462738, 0.403432160615921, -0.13911423087120056, 0.5777963995933533, 0.08229485899209976, -0.8583581447601318, -0.18966379761695862, 1.1985348463058472, 1.4995698928833008, 1.260661244392395, 0.5503564476966858, -3.2955541610717773, -5.900398254394531, -6.27251672744751]",[100],<function relu at 0x0000029B96B960D0>,1000,500,3.8278049084914434,0.001
10,"[0.539735734462738, 0.403432160615921, -0.13911423087120056, 0.5777963995933533, 0.08229485899209976, -0.8583581447601318, -0.18966379761695862, 1.1985348463058472, 1.4995698928833008, 1.260661244392395, 0.5503564476966858, -3.2955541610717773, -5.900398254394531, -6.27251672744751]",[100],<function elu at 0x0000029B96B65D08>,1000,500,3.8278049084914434,0.001
73,"[0.3407275378704071, 0.40918105840682983, -0.02493305131793022, -0.13361364603042603, -0.15171320736408234, 0.03602840378880501, -0.3647843301296234, 0.36852550506591797, 0.7244849801063538, 0.7171820998191833, 1.6278454065322876, 1.9982960224151611, 2.355031967163086, 2.5797038078308105]",[100],<function relu at 0x0000029B96B960D0>,500,500,3.8642063077098907,0.0001
1,"[0.3407275378704071, 0.40918105840682983, -0.02493305131793022, -0.13361364603042603, -0.15171320736408234, 0.03602840378880501, -0.3647843301296234, 0.36852550506591797, 0.7244849801063538, 0.7171820998191833, 1.6278454065322876, 1.9982960224151611, 2.355031967163086, 2.5797038078308105]",[100],<function elu at 0x0000029B96B65D08>,500,500,3.8642063077098907,0.0001
4,"[0.4028097689151764, 0.4512438476085663, -0.05330967530608177, -0.0909009724855423, -0.1759156733751297, -0.1453726887702942, -0.013690821826457977, 0.646099328994751, 0.9988613724708557, 1.1537808179855347, 1.8129589557647705, 1.146605372428894, -0.536104142665863, -1.9444334506988525]",[100],<function elu at 0x0000029B96B65D08>,1000,500,3.8992187289939437,0.0001
76,"[0.4028097689151764, 0.4512438476085663, -0.05330967530608177, -0.0909009724855423, -0.1759156733751297, -0.1453726887702942, -0.013690821826457977, 0.646099328994751, 0.9988613724708557, 1.1537808179855347, 1.8129589557647705, 1.146605372428894, -0.536104142665863, -1.9444334506988525]",[100],<function relu at 0x0000029B96B960D0>,1000,500,3.8992187289939437,0.0001
93,"[0.5249759554862976, 0.42737114429473877, 0.16014456748962402, 0.5779920220375061, -0.026102855801582336, 0.1965593546628952, -0.43844074010849, 0.8743570446968079, 1.308087944984436, 1.9396113157272339, 2.2620646953582764, 4.139735698699951, 5.172397613525391, 5.277074813842773]",[100],<function relu at 0x0000029B96B960D0>,1000,100,3.9382821350810153,0.0005
21,"[0.5249759554862976, 0.42737114429473877, 0.16014456748962402, 0.5779920220375061, -0.026102855801582336, 0.1965593546628952, -0.43844074010849, 0.8743570446968079, 1.308087944984436, 1.9396113157272339, 2.2620646953582764, 4.139735698699951, 5.172397613525391, 5.277074813842773]",[100],<function elu at 0x0000029B96B65D08>,1000,100,3.9382821350810153,0.0005
97,"[0.3077819347381592, 0.2832334339618683, -0.17593003809452057, 0.19599087536334991, -0.2771108150482178, -0.34550145268440247, 0.16422437131404877, 1.454867959022522, 1.88356351852417, 1.0873029232025146, 0.6757619380950928, -1.0793298482894897, -0.9940221905708313, -2.1146488189697266]",[500],<function relu at 0x0000029B96B960D0>,500,500,3.9437932141160315,0.0001
25,"[0.3077819347381592, 0.2832334339618683, -0.17593003809452057, 0.19599087536334991, -0.2771108150482178, -0.34550145268440247, 0.16422437131404877, 1.454867959022522, 1.88356351852417, 1.0873029232025146, 0.6757619380950928, -1.0793298482894897, -0.9940221905708313, -2.1146488189697266]",[500],<function elu at 0x0000029B96B65D08>,500,500,3.9437932141160315,0.0001
26,"[0.29304245114326477, 0.26887673139572144, -0.16639387607574463, 0.19505803287029266, 0.031023560091853142, -0.24584577977657318, -0.07428774237632751, 0.6418263912200928, 0.7575376033782959, 0.41307520866394043, -1.2688277959823608, -2.7818970680236816, -2.301736831665039, -2.4679839611053467]",[500],<function elu at 0x0000029B96B65D08>,500,250,3.9553463069305317,0.0001
98,"[0.29304245114326477, 0.26887673139572144, -0.16639387607574463, 0.19505803287029266, 0.031023560091853142, -0.24584577977657318, -0.07428774237632751, 0.6418263912200928, 0.7575376033782959, 0.41307520866394043, -1.2688277959823608, -2.7818970680236816, -2.301736831665039, -2.4679839611053467]",[500],<function relu at 0x0000029B96B960D0>,500,250,3.9553463069305317,0.0001
92,"[0.382357656955719, 0.2136780172586441, 0.08437443524599075, 0.7032038569450378, 0.5856856107711792, -0.42882096767425537, -0.2667185068130493, 0.04704952985048294, 0.19433782994747162, 1.0015586614608765, 0.728649377822876, -0.6151758432388306, -1.058069109916687, -2.2871150970458984]",[100],<function relu at 0x0000029B96B960D0>,500,250,4.017188836574812,0.0005
