Security,ALPEKA MM Equity                                                
Start Date,25/04/2012 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
15/01/2019,26.53
14/01/2019,26.52
11/1/2019,26.69
10/1/2019,26.47
9/1/2019,27.2
8/1/2019,25.94
7/1/2019,25.72
4/1/2019,24.8
3/1/2019,24.35
2/1/2019,24.36
31/12/2018,24.03
28/12/2018,24
27/12/2018,23.99
26/12/2018,23.67
24/12/2018,23.26
21/12/2018,23.49
20/12/2018,23.5
19/12/2018,23.65
18/12/2018,23.66
17/12/2018,23.75
14/12/2018,23.9
13/12/2018,23.99
11/12/2018,23.87
10/12/2018,24.4
7/12/2018,25.53
6/12/2018,25.02
5/12/2018,25.05
4/12/2018,24.7
3/12/2018,24.68
30/11/2018,24.76
29/11/2018,24.64
28/11/2018,24.92
27/11/2018,25.03
26/11/2018,26.06
23/11/2018,26.25
22/11/2018,26.59
21/11/2018,26.91
20/11/2018,26.54
16/11/2018,27.31
15/11/2018,27.66
14/11/2018,26.98
13/11/2018,27.04
12/11/2018,28.83
9/11/2018,28.43
8/11/2018,28.31
7/11/2018,28.79
6/11/2018,28.68
5/11/2018,28.59
1/11/2018,28.52
31/10/2018,26.74
30/10/2018,26.67
29/10/2018,26.98
26/10/2018,28.4
25/10/2018,28.58
24/10/2018,29.29
23/10/2018,30.04
22/10/2018,30.39
19/10/2018,30.47
18/10/2018,30.16
17/10/2018,31.22
16/10/2018,31.57
15/10/2018,31.01
12/10/2018,30.11
11/10/2018,30.02
10/10/2018,31.31
9/10/2018,31.63
8/10/2018,31.99
5/10/2018,31.43
4/10/2018,31.37
3/10/2018,31.33
2/10/2018,30.43
1/10/2018,30.46
28/09/2018,30.52
27/09/2018,29.95
26/09/2018,30.01
25/09/2018,30.02
24/09/2018,29.39
21/09/2018,28.99
20/09/2018,28.35
19/09/2018,28.95
18/09/2018,28.98
17/09/2018,29.07
14/09/2018,29.17
13/09/2018,29.19
12/9/2018,28.41
11/9/2018,28.35
10/9/2018,28.25
7/9/2018,28.66
6/9/2018,27.99
