Security,ALSEA* MM Equity                                                
Start Date,08/01/2001 00:00
End Date,07/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
07/01/2019,54.26
04/01/2019,52.68
03/01/2019,52.25
02/01/2019,51.34
31/12/2018,51.24
28/12/2018,51.7
27/12/2018,51.21
26/12/2018,51.65
24/12/2018,49.8
21/12/2018,49.9
20/12/2018,50.64
19/12/2018,50.02
18/12/2018,49.61
17/12/2018,48.5
14/12/2018,49.24
13/12/2018,51.21
11/12/2018,49.64
10/12/2018,50
07/12/2018,50.11
06/12/2018,50.31
05/12/2018,50.77
04/12/2018,50.8
03/12/2018,50.79
30/11/2018,51.01
29/11/2018,51.05
28/11/2018,50.14
27/11/2018,48.42
26/11/2018,46.65
23/11/2018,48.63
22/11/2018,48.96
21/11/2018,49.4
20/11/2018,48.74
16/11/2018,47.55
15/11/2018,45.44
14/11/2018,46.87
13/11/2018,48.23
12/11/2018,49.96
09/11/2018,52.47
08/11/2018,51.61
07/11/2018,54.28
06/11/2018,53.91
05/11/2018,53.08
01/11/2018,52.59
31/10/2018,51.94
30/10/2018,52.34
29/10/2018,54.88
26/10/2018,56.21
25/10/2018,57.45
24/10/2018,57.58
23/10/2018,57.84
22/10/2018,55.97
19/10/2018,57.93
18/10/2018,58.08
17/10/2018,59.91
16/10/2018,58.88
15/10/2018,59.15
12/10/2018,59.26
11/10/2018,59.09
10/10/2018,59.65
09/10/2018,60.41
08/10/2018,61.04
05/10/2018,60.71
04/10/2018,62.91
03/10/2018,63.08
02/10/2018,62.78
01/10/2018,64.22
28/09/2018,63.67
27/09/2018,65.08
26/09/2018,65.46
25/09/2018,65.23
24/09/2018,64.46
21/09/2018,64.65
20/09/2018,65.23
19/09/2018,66.15
18/09/2018,65.35
17/09/2018,65.69
14/09/2018,66.84
13/09/2018,65.96
12/09/2018,65.3
11/09/2018,66.05
10/09/2018,67.2
07/09/2018,67.32
06/09/2018,65.9
05/09/2018,65.91
04/09/2018,66.66
03/09/2018,67.37
31/08/2018,68.06
30/08/2018,67.52
29/08/2018,69.47
28/08/2018,69.03
27/08/2018,68.78
24/08/2018,67.62
23/08/2018,68.02
22/08/2018,67.58
21/08/2018,67.5
20/08/2018,67.2
17/08/2018,66
16/08/2018,65.1
15/08/2018,65
14/08/2018,65.05
13/08/2018,64.65
10/08/2018,64.26
09/08/2018,65.67
08/08/2018,66.43
07/08/2018,66.35
06/08/2018,66.37
03/08/2018,65.5
02/08/2018,64.01
01/08/2018,64.54
31/07/2018,64.29
30/07/2018,64.22
27/07/2018,65.47
26/07/2018,65.67
25/07/2018,66.73
24/07/2018,67.14
23/07/2018,66.73
20/07/2018,67.67
19/07/2018,65.83
18/07/2018,66
17/07/2018,65.16
16/07/2018,66.37
13/07/2018,66.77
12/07/2018,67.84
11/07/2018,68.42
10/07/2018,68.25
09/07/2018,69.98
06/07/2018,69.15
05/07/2018,69.4
04/07/2018,65.91
03/07/2018,66.06
02/07/2018,65.57
29/06/2018,68.4
28/06/2018,66.02
27/06/2018,65.39
26/06/2018,65.75
25/06/2018,66.65
22/06/2018,66.16
21/06/2018,63.68
20/06/2018,65.78
19/06/2018,63.58
18/06/2018,63.62
15/06/2018,63.68
14/06/2018,63.74
13/06/2018,64.77
12/06/2018,64.42
11/06/2018,63.88
08/06/2018,64.33
07/06/2018,64.15
06/06/2018,65.08
05/06/2018,65.46
04/06/2018,65.98
01/06/2018,64.02
31/05/2018,65.41
30/05/2018,65.69
29/05/2018,65.83
28/05/2018,68.28
25/05/2018,68.55
24/05/2018,68.1
23/05/2018,69.5
22/05/2018,68.95
21/05/2018,69.5
18/05/2018,68.83
17/05/2018,68.67
16/05/2018,69.52
15/05/2018,68.45
14/05/2018,69.91
11/05/2018,69.75
10/05/2018,69.74
09/05/2018,68.76
08/05/2018,68.45
07/05/2018,67.89
04/05/2018,68.57
03/05/2018,69.58
02/05/2018,70.63
30/04/2018,69.56
27/04/2018,68.95
26/04/2018,68.68
25/04/2018,69.12
24/04/2018,69
23/04/2018,69.94
20/04/2018,70.11
19/04/2018,69.84
18/04/2018,69.54
17/04/2018,69.51
16/04/2018,68.67
13/04/2018,68.52
12/04/2018,68.87
11/04/2018,67.09
10/04/2018,66.59
09/04/2018,65.32
06/04/2018,65.54
05/04/2018,65.67
04/04/2018,65.38
03/04/2018,65.1
02/04/2018,63.18
28/03/2018,63.53
27/03/2018,65.37
26/03/2018,64
23/03/2018,64.53
22/03/2018,65.06
21/03/2018,65.73
20/03/2018,65.16
16/03/2018,64.99
15/03/2018,65.28
14/03/2018,64.34
13/03/2018,64.44
12/03/2018,64.55
09/03/2018,64.58
08/03/2018,64.47
07/03/2018,64
06/03/2018,63.93
05/03/2018,64.1
02/03/2018,63.71
01/03/2018,63.98
28/02/2018,64.26
27/02/2018,64.2
26/02/2018,64.18
23/02/2018,64.19
22/02/2018,63.88
21/02/2018,62.35
20/02/2018,62
19/02/2018,61.91
16/02/2018,62.28
15/02/2018,61.46
14/02/2018,61.69
13/02/2018,62.27
12/02/2018,61.21
09/02/2018,61.26
08/02/2018,60.93
07/02/2018,62.14
06/02/2018,61.23
02/02/2018,62.11
01/02/2018,61.49
31/01/2018,60.88
30/01/2018,60.7
29/01/2018,61.3
26/01/2018,61.99
25/01/2018,63.25
24/01/2018,63.88
23/01/2018,63.3
22/01/2018,63.05
19/01/2018,63.72
18/01/2018,63.96
17/01/2018,64.34
16/01/2018,64.38
15/01/2018,64.18
12/01/2018,62.95
11/01/2018,62.84
10/01/2018,62.88
09/01/2018,65.53
08/01/2018,65.29
05/01/2018,65.26
04/01/2018,64.69
03/01/2018,65.15
02/01/2018,65.04
29/12/2017,64.37
28/12/2017,63.2
27/12/2017,62.75
26/12/2017,64.44
22/12/2017,63.69
21/12/2017,63.27
20/12/2017,63.33
19/12/2017,64.57
18/12/2017,65.57
15/12/2017,65.51
