Security,AMXL MM Equity                                                  
Start Date,07/02/2001 00:00
End Date,24/12/2018 00:00
Period,D
Currency,MXN
,
Date,PRECIO
24/12/2018,14.07
21/12/2018,14.09
20/12/2018,14.38
19/12/2018,14.39
18/12/2018,14.13
17/12/2018,13.9
14/12/2018,14.37
13/12/2018,14.37
11/12/2018,13.85
10/12/2018,13.95
07/12/2018,13.99
06/12/2018,14.06
05/12/2018,13.92
04/12/2018,13.9
03/12/2018,13.78
30/11/2018,13.68
29/11/2018,13.97
28/11/2018,13.24
27/11/2018,12.7
26/11/2018,12.57
23/11/2018,13.12
22/11/2018,13.42
21/11/2018,13.44
20/11/2018,13.43
16/11/2018,13.59
15/11/2018,13.44
14/11/2018,13.69
13/11/2018,13.8
12/11/2018,14.25
09/11/2018,14.57
08/11/2018,14.63
07/11/2018,15.43
06/11/2018,15.23
05/11/2018,15.56
01/11/2018,15.32
31/10/2018,14.71
30/10/2018,14.2
29/10/2018,13.9
26/10/2018,14.07
25/10/2018,14.15
24/10/2018,13.79
23/10/2018,14.06
22/10/2018,14.14
19/10/2018,14.32
18/10/2018,14.08
17/10/2018,14.24
16/10/2018,14.87
15/10/2018,14.59
12/10/2018,14.54
11/10/2018,14.75
10/10/2018,14.97
09/10/2018,15
08/10/2018,15.12
05/10/2018,14.59
04/10/2018,14.71
03/10/2018,14.68
02/10/2018,15.16
01/10/2018,15.24
28/09/2018,15.04
27/09/2018,15.3
26/09/2018,15.42
25/09/2018,15.56
24/09/2018,15.54
21/09/2018,15.57
20/09/2018,15.62
19/09/2018,15.6
18/09/2018,15.61
17/09/2018,15.55
14/09/2018,15.67
13/09/2018,16.06
12/09/2018,16.05
11/09/2018,15.6
10/09/2018,15.71
07/09/2018,15.71
06/09/2018,15.51
05/09/2018,15.3
04/09/2018,15.79
03/09/2018,16.1
31/08/2018,16.05
30/08/2018,16.22
29/08/2018,16.55
28/08/2018,16.37
27/08/2018,16.32
24/08/2018,16.13
23/08/2018,16.02
22/08/2018,16.42
21/08/2018,16.41
20/08/2018,15.98
17/08/2018,15.72
16/08/2018,15.58
15/08/2018,15.71
14/08/2018,15.9
13/08/2018,15.78
10/08/2018,15.66
09/08/2018,15.94
08/08/2018,16.27
07/08/2018,16.17
06/08/2018,15.72
03/08/2018,15.72
02/08/2018,15.7
01/08/2018,15.8
31/07/2018,15.97
