Fecha,Cierre
2001-02-08,1.714
2001-02-09,1.8330000000000002
2001-02-12,1.8619999999999999
2001-02-13,1.757
2001-02-14,1.633
2001-02-15,1.609
2001-02-16,1.6469999999999998
2001-02-19,1.6369999999999998
2001-02-20,1.5959999999999999
2001-02-21,1.547
2001-02-22,1.528
2001-02-23,1.465
2001-02-28,1.4340000000000002
2001-03-01,1.403
2001-03-02,1.3780000000000001
2001-03-05,1.3940000000000001
2001-03-06,1.444
2001-03-07,1.4240000000000002
2001-03-08,1.429
2001-03-09,1.4369999999999998
2001-03-12,1.361
2001-03-13,1.3430000000000002
2001-03-14,1.28
2001-03-15,1.2570000000000001
2001-03-16,1.2930000000000001
2001-03-19,1.355
2001-03-20,1.274
2001-03-22,1.204
2001-03-23,1.181
2001-03-26,1.168
2001-03-27,1.1740000000000002
2001-03-28,1.155
2001-03-29,1.107
2001-03-30,1.143
2001-04-02,1.146
2001-04-03,1.13
2001-04-04,1.13
2001-04-05,1.178
2001-04-06,1.199
2001-04-09,1.2009999999999998
2001-04-10,1.249
2001-04-11,1.2670000000000001
2001-04-16,1.2590000000000001
2001-04-17,1.2819999999999998
2001-04-18,1.2930000000000001
2001-04-19,1.2919999999999998
2001-04-20,1.236
2001-04-23,1.2670000000000001
2001-04-24,1.274
2001-04-25,1.29
2001-04-26,1.3559999999999999
2001-04-27,1.381
2001-04-30,1.406
2001-05-02,1.4869999999999999
2001-05-03,1.5219999999999998
2001-05-04,1.505
2001-05-07,1.5119999999999998
2001-05-08,1.474
2001-05-09,1.5019999999999998
2001-05-10,1.52
2001-05-11,1.5219999999999998
2001-05-14,1.499
2001-05-15,1.489
2001-05-16,1.517
2001-05-17,1.5219999999999998
2001-05-18,1.588
2001-05-21,1.619
2001-05-22,1.639
2001-05-23,1.672
2001-05-24,1.621
2001-05-28,1.618
2001-05-29,1.581
2001-05-30,1.548
2001-05-31,1.555
2001-06-01,1.568
2001-06-04,1.571
2001-06-05,1.599
2001-06-06,1.6769999999999998
2001-06-07,1.659
2001-06-08,1.636
2001-06-11,1.609
2001-06-12,1.639
2001-06-13,1.629
2001-06-15,1.59
2001-06-19,1.49
2001-06-20,1.499
2001-06-21,1.515
2001-06-22,1.507
2001-06-25,1.518
2001-06-26,1.5330000000000001
2001-06-27,1.5430000000000001
2001-06-28,1.557
2001-06-29,1.5659999999999998
2001-07-02,1.614
2001-07-03,1.6280000000000001
2001-07-04,1.626
2001-07-05,1.6030000000000002
2001-07-06,1.555
2001-07-10,1.557
2001-07-11,1.537
2001-07-12,1.505
2001-07-13,1.475
2001-07-16,1.459
2001-07-17,1.4369999999999998
2001-07-18,1.4169999999999998
2001-07-19,1.432
2001-07-20,1.432
2001-07-23,1.4369999999999998
2001-07-24,1.4269999999999998
2001-07-25,1.4469999999999998
2001-07-26,1.479
2001-07-27,1.48
2001-07-30,1.4969999999999999
2001-07-31,1.495
2001-08-01,1.515
2001-08-02,1.55
2001-08-03,1.5530000000000002
2001-08-06,1.5230000000000001
2001-08-07,1.515
2001-08-08,1.51
2001-08-09,1.489
2001-08-10,1.499
2001-08-13,1.505
2001-08-14,1.505
2001-08-15,1.4469999999999998
2001-08-16,1.3630000000000002
2001-08-17,1.325
2001-08-21,1.338
2001-08-22,1.345
2001-08-23,1.338
2001-08-24,1.369
2001-08-27,1.376
2001-08-28,1.3330000000000002
2001-08-29,1.331
2001-08-30,1.295
2001-08-31,1.29
2001-09-03,1.2670000000000001
2001-09-04,1.237
2001-09-05,1.169
2001-09-06,1.104
2001-09-10,1.109
2001-09-11,1.012
2001-09-17,0.9690000000000001
2001-09-18,0.965
2001-09-19,0.982
2001-09-20,0.987
2001-09-21,1.02
2001-09-24,1.1059999999999999
2001-09-25,1.083
2001-09-26,1.078
2001-09-27,1.111
2001-09-28,1.167
2001-10-01,1.169
2001-10-02,1.176
2001-10-03,1.163
2001-10-04,1.158
2001-10-05,1.1440000000000001
2001-10-08,1.113
2001-10-09,1.1440000000000001
2001-10-10,1.187
2001-10-11,1.194
2001-10-15,1.1159999999999999
2001-10-16,1.1159999999999999
2001-10-17,1.103
2001-10-18,1.071
2001-10-19,1.091
2001-10-22,1.083
2001-10-23,1.095
2001-10-24,1.158
2001-10-25,1.166
2001-10-26,1.141
2001-10-29,1.111
2001-10-30,1.113
2001-10-31,1.146
2001-11-01,1.172
2001-11-05,1.187
2001-11-07,1.181
2001-11-08,1.1740000000000002
2001-11-09,1.181
2001-11-12,1.158
2001-11-13,1.206
2001-11-14,1.254
2001-11-16,1.24
2001-11-19,1.234
2001-11-21,1.197
2001-11-22,1.214
2001-11-23,1.23
2001-11-26,1.249
2001-11-27,1.28
2001-11-28,1.29
2001-11-29,1.31
2001-11-30,1.32
2001-12-03,1.337
2001-12-04,1.358
2001-12-05,1.413
2001-12-06,1.406
2001-12-07,1.4340000000000002
2001-12-10,1.425
2001-12-11,1.426
2001-12-13,1.368
2001-12-14,1.4080000000000001
2001-12-17,1.4580000000000002
2001-12-18,1.453
2001-12-19,1.446
2001-12-20,1.453
2001-12-21,1.464
2001-12-26,1.483
2001-12-27,1.4880000000000002
2001-12-28,1.4880000000000002
2002-01-02,1.463
2002-01-03,1.526
2002-01-04,1.517
2002-01-07,1.506
2002-01-08,1.526
2002-01-09,1.492
2002-01-10,1.416
2002-01-11,1.416
2002-01-14,1.409
2002-01-15,1.4909999999999999
2002-01-16,1.507
2002-01-17,1.507
2002-01-18,1.476
2002-01-21,1.459
2002-01-22,1.4280000000000002
2002-01-23,1.492
2002-01-24,1.4909999999999999
2002-01-28,1.521
2002-01-29,1.4880000000000002
2002-01-30,1.4609999999999999
2002-01-31,1.5090000000000001
2002-02-01,1.4480000000000002
2002-02-04,1.3980000000000001
2002-02-06,1.396
2002-02-07,1.4
2002-02-08,1.409
2002-02-13,1.39
2002-02-14,1.413
2002-02-15,1.411
2002-02-18,1.411
2002-02-19,1.358
2002-02-20,1.36
2002-02-21,1.358
2002-02-22,1.3559999999999999
2002-02-25,1.368
2002-02-26,1.386
2002-02-27,1.409
2002-02-28,1.371
2002-03-01,1.4
2002-03-04,1.4509999999999998
2002-03-05,1.4509999999999998
2002-03-06,1.4880000000000002
2002-03-07,1.4380000000000002
2002-03-08,1.479
2002-03-11,1.499
2002-03-12,1.524
2002-03-13,1.489
2002-03-14,1.4709999999999999
2002-03-15,1.483
2002-03-18,1.507
2002-03-19,1.526
2002-03-20,1.5219999999999998
2002-03-22,1.5319999999999998
2002-03-25,1.501
2002-03-26,1.484
2002-03-27,1.486
2002-04-01,1.466
2002-04-03,1.433
2002-04-04,1.4680000000000002
2002-04-05,1.4809999999999999
2002-04-08,1.449
2002-04-09,1.429
2002-04-10,1.4709999999999999
2002-04-11,1.431
2002-04-12,1.406
2002-04-15,1.396
2002-04-16,1.439
2002-04-17,1.466
2002-04-18,1.4909999999999999
2002-04-19,1.4780000000000002
2002-04-22,1.4680000000000002
2002-04-23,1.4380000000000002
2002-04-24,1.469
2002-04-25,1.4709999999999999
2002-04-26,1.4780000000000002
2002-04-29,1.453
2002-04-30,1.4509999999999998
2002-05-02,1.426
2002-05-03,1.4609999999999999
2002-05-06,1.464
2002-05-07,1.4280000000000002
2002-05-08,1.474
2002-05-09,1.4580000000000002
2002-05-10,1.4509999999999998
2002-05-13,1.463
2002-05-14,1.4609999999999999
2002-05-15,1.473
2002-05-16,1.506
2002-05-17,1.514
2002-05-20,1.496
2002-05-21,1.469
2002-05-22,1.479
2002-05-23,1.492
2002-05-24,1.4809999999999999
2002-05-27,1.486
2002-05-28,1.4680000000000002
2002-05-29,1.439
2002-05-31,1.389
2002-06-03,1.36
2002-06-04,1.376
2002-06-05,1.358
2002-06-06,1.276
2002-06-07,1.253
2002-06-10,1.215
2002-06-11,1.212
2002-06-12,1.19
2002-06-13,1.185
2002-06-14,1.182
2002-06-17,1.183
2002-06-18,1.205
2002-06-19,1.205
2002-06-20,1.178
2002-06-21,1.157
2002-06-24,1.079
2002-06-25,1.077
2002-06-26,0.992
2002-06-27,1.115
2002-06-28,1.109
2002-07-01,1.107
2002-07-02,1.07
2002-07-03,1.105
2002-07-04,1.122
2002-07-05,1.157
2002-07-08,1.16
2002-07-10,1.109
2002-07-11,1.1320000000000001
2002-07-12,1.135
2002-07-15,1.17
2002-07-16,1.1640000000000001
2002-07-17,1.159
2002-07-18,1.157
2002-07-19,1.125
2002-07-22,1.056
2002-07-23,1.041
2002-07-24,1.074
2002-07-25,1.072
2002-07-26,1.079
2002-07-29,1.092
2002-07-30,1.0590000000000002
2002-07-31,1.042
2002-08-01,0.976
2002-08-02,0.9690000000000001
2002-08-05,0.9520000000000001
2002-08-06,0.981
2002-08-07,1.0090000000000001
2002-08-08,1.107
2002-08-09,1.077
2002-08-12,1.112
2002-08-13,1.075
2002-08-14,1.129
2002-08-15,1.147
2002-08-16,1.155
2002-08-19,1.139
2002-08-20,1.135
2002-08-21,1.147
2002-08-22,1.139
2002-08-23,1.125
2002-08-26,1.1520000000000001
2002-08-27,1.137
2002-08-28,1.135
2002-08-29,1.159
2002-08-30,1.157
2002-09-02,1.145
2002-09-03,1.13
2002-09-04,1.13
2002-09-05,1.127
2002-09-06,1.157
2002-09-09,1.1520000000000001
2002-09-10,1.172
