Security;AMXL MM Equity                                                   ;
Start Date;07/02/2001 0:00;
End Date;11/07/2018 0:00;
Period;D;
Currency;MXN;
;;
Date;PX_LAST;PX_VOLUME
11/07/2018;17,02;31965915
10/07/2018;16,98;75026038
09/07/2018;17,22;30658812
06/07/2018;16,84;43713139
05/07/2018;16,65;36411209
04/07/2018;16,12;2824762
03/07/2018;16,12;26953025
02/07/2018;16,15;32543640
29/06/2018;16,57;48193273
28/06/2018;16,46;39003719
27/06/2018;16,48;42653548
26/06/2018;16,25;38531532
25/06/2018;16,28;36661784
22/06/2018;16,31;30234397
21/06/2018;16,17;37819638
20/06/2018;16,3;43818111
19/06/2018;16,31;38089741
18/06/2018;16,39;41303037
15/06/2018;16,6;278854644
14/06/2018;16,59;81828133
13/06/2018;16,08;52472518
12/06/2018;15,93;43853605
11/06/2018;15,76;40500931
08/06/2018;15,57;24096485
07/06/2018;15,36;41909748
06/06/2018;15,58;29675737
05/06/2018;15,63;45348547
04/06/2018;15,62;33927432
01/06/2018;15,77;17254854
31/05/2018;15,5;152079920
30/05/2018;15,4;64457444
29/05/2018;15,57;57367166
28/05/2018;15,68;10780823
25/05/2018;15,82;47439487
24/05/2018;16,07;29035988
23/05/2018;16,23;30046241
22/05/2018;16,13;47616142
21/05/2018;15,94;38260909
18/05/2018;16,34;51526668
17/05/2018;16,2;37873047
16/05/2018;16,53;31707197
15/05/2018;16,65;55832682
14/05/2018;16,72;53737173
11/05/2018;16,89;23793025
10/05/2018;16,75;48313116
09/05/2018;16,78;29694336
08/05/2018;16,98;35079391
07/05/2018;16,97;17528533
04/05/2018;17,04;21487498
03/05/2018;17,05;52268175
02/05/2018;17,24;43809763
30/04/2018;17,31;33003248
27/04/2018;17,4;35198785
26/04/2018;17,5;35774528
25/04/2018;17,5;32941027
24/04/2018;17,59;34902919
23/04/2018;17,74;48025649
20/04/2018;17,85;39358043
19/04/2018;17,98;61510069
18/04/2018;17,94;47349153
17/04/2018;17,79;52875509
16/04/2018;17,6;31445861
13/04/2018;17,76;37194286
12/04/2018;17,8;38124342
11/04/2018;17,78;50472656
10/04/2018;17,87;41189380
09/04/2018;17,84;52316395
06/04/2018;17,76;46405278
