Security,AXTELCPO MM Equity                                              
Start Date,6/12/2005 0:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
15/01/2019,2.93
14/01/2019,2.97
11/1/2019,3.01
10/1/2019,3.03
9/1/2019,3.05
8/1/2019,3
7/1/2019,3
4/1/2019,2.98
3/1/2019,2.98
2/1/2019,2.99
31/12/2018,2.97
28/12/2018,2.98
27/12/2018,3
26/12/2018,2.99
24/12/2018,2.99
21/12/2018,3.04
20/12/2018,2.99
19/12/2018,3.02
18/12/2018,3.16
17/12/2018,2.96
14/12/2018,2.97
13/12/2018,3.01
11/12/2018,3.01
10/12/2018,2.98
7/12/2018,3.12
6/12/2018,3.11
5/12/2018,3.1
4/12/2018,3.11
3/12/2018,3.3
30/11/2018,3.18
29/11/2018,3.12
28/11/2018,3.15
27/11/2018,3
26/11/2018,2.91
23/11/2018,3.04
22/11/2018,3.1
21/11/2018,3.09
20/11/2018,3.17
16/11/2018,3.25
15/11/2018,3.1
14/11/2018,3.16
13/11/2018,3.06
12/11/2018,3.16
9/11/2018,3.12
8/11/2018,3.17
7/11/2018,3.5
6/11/2018,3.4
5/11/2018,3.39
1/11/2018,3.37
31/10/2018,3.31
30/10/2018,3.17
29/10/2018,3.1
26/10/2018,3.25
25/10/2018,3.36
24/10/2018,3.33
23/10/2018,3.47
22/10/2018,3.51
19/10/2018,3.58
18/10/2018,3.68
17/10/2018,3.77
16/10/2018,3.69
15/10/2018,3.64
12/10/2018,3.76
11/10/2018,3.72
10/10/2018,3.76
9/10/2018,3.8
8/10/2018,3.83
5/10/2018,3.81
4/10/2018,3.72
3/10/2018,3.68
2/10/2018,3.65
1/10/2018,3.72
28/09/2018,3.73
27/09/2018,3.71
26/09/2018,3.78
25/09/2018,3.7
24/09/2018,3.81
21/09/2018,3.81
20/09/2018,3.78
19/09/2018,3.76
18/09/2018,3.7
17/09/2018,3.67
14/09/2018,3.72
13/09/2018,3.77
12/9/2018,3.69
11/9/2018,3.52
10/9/2018,3.55
7/9/2018,3.65
6/9/2018,3.73
5/9/2018,3.75
4/9/2018,3.78
3/9/2018,3.85
31/08/2018,3.82
30/08/2018,3.82
29/08/2018,3.87
28/08/2018,3.86
27/08/2018,3.96
24/08/2018,3.79
23/08/2018,3.81
22/08/2018,3.82
21/08/2018,3.79
20/08/2018,3.78
17/08/2018,3.75
16/08/2018,3.8
15/08/2018,3.86
14/08/2018,3.88
13/08/2018,3.85
10/8/2018,3.8
9/8/2018,3.85
8/8/2018,3.94
7/8/2018,3.93
6/8/2018,3.75
3/8/2018,3.84
2/8/2018,3.75
1/8/2018,3.88
31/07/2018,3.87
30/07/2018,3.88
27/07/2018,3.89
26/07/2018,3.89
25/07/2018,3.85
24/07/2018,3.83
23/07/2018,3.87
20/07/2018,3.87
19/07/2018,3.98
18/07/2018,3.95
17/07/2018,3.88
16/07/2018,3.98
13/07/2018,3.91
12/7/2018,3.95
11/7/2018,3.97
10/7/2018,3.96
9/7/2018,4.03
6/7/2018,4.15
5/7/2018,3.98
4/7/2018,3.86
3/7/2018,3.87
2/7/2018,3.9
29/06/2018,3.97
28/06/2018,3.94
27/06/2018,4.02
26/06/2018,3.98
25/06/2018,3.89
22/06/2018,3.92
