Security,AXTELCPO MM Equity                                              
Start Date,06/12/2005 00:00
End Date,03/12/2018 00:00
Period,D
Currency,MXN
,
Date,PRECIO
03/12/2018,3.3
30/11/2018,3.18
29/11/2018,3.12
28/11/2018,3.15
27/11/2018,3
26/11/2018,2.91
23/11/2018,3.04
22/11/2018,3.1
21/11/2018,3.09
20/11/2018,3.17
16/11/2018,3.25
15/11/2018,3.1
14/11/2018,3.16
13/11/2018,3.06
12/11/2018,3.16
09/11/2018,3.12
08/11/2018,3.17
07/11/2018,3.5
06/11/2018,3.4
05/11/2018,3.39
01/11/2018,3.37
31/10/2018,3.31
30/10/2018,3.17
29/10/2018,3.1
26/10/2018,3.25
25/10/2018,3.36
24/10/2018,3.33
23/10/2018,3.47
22/10/2018,3.51
19/10/2018,3.58
18/10/2018,3.68
17/10/2018,3.77
16/10/2018,3.69
15/10/2018,3.64
12/10/2018,3.76
11/10/2018,3.72
10/10/2018,3.76
09/10/2018,3.8
08/10/2018,3.83
05/10/2018,3.81
04/10/2018,3.72
03/10/2018,3.68
02/10/2018,3.65
01/10/2018,3.72
28/09/2018,3.73
27/09/2018,3.71
26/09/2018,3.78
25/09/2018,3.7
24/09/2018,3.81
21/09/2018,3.81
20/09/2018,3.78
19/09/2018,3.76
18/09/2018,3.7
17/09/2018,3.67
14/09/2018,3.72
13/09/2018,3.77
12/09/2018,3.69
11/09/2018,3.52
10/09/2018,3.55
07/09/2018,3.65
06/09/2018,3.73
05/09/2018,3.75
04/09/2018,3.78
03/09/2018,3.85
31/08/2018,3.82
30/08/2018,3.82
29/08/2018,3.87
28/08/2018,3.86
27/08/2018,3.96
24/08/2018,3.79
23/08/2018,3.81
22/08/2018,3.82
21/08/2018,3.79
20/08/2018,3.78
17/08/2018,3.75
16/08/2018,3.8
15/08/2018,3.86
14/08/2018,3.88
13/08/2018,3.85
10/08/2018,3.8
09/08/2018,3.85
08/08/2018,3.94
07/08/2018,3.93
06/08/2018,3.75
03/08/2018,3.84
02/08/2018,3.75
01/08/2018,3.88
31/07/2018,3.87
30/07/2018,3.88
27/07/2018,3.89
26/07/2018,3.89
25/07/2018,3.85
24/07/2018,3.83
23/07/2018,3.87
20/07/2018,3.87
19/07/2018,3.98
18/07/2018,3.95
17/07/2018,3.88
16/07/2018,3.98
13/07/2018,3.91
12/07/2018,3.95
11/07/2018,3.97
10/07/2018,3.96
09/07/2018,4.03
06/07/2018,4.15
05/07/2018,3.98
04/07/2018,3.86
03/07/2018,3.87
02/07/2018,3.9
29/06/2018,3.97
28/06/2018,3.94
27/06/2018,4.02
26/06/2018,3.98
25/06/2018,3.89
22/06/2018,3.92
21/06/2018,3.85
20/06/2018,3.93
19/06/2018,3.99
18/06/2018,4.01
15/06/2018,3.95
14/06/2018,4.16
13/06/2018,4.2
12/06/2018,4.21
11/06/2018,4.19
08/06/2018,4.24
07/06/2018,4.05
06/06/2018,4.15
05/06/2018,4.15
04/06/2018,4.25
01/06/2018,4.19
31/05/2018,4.13
30/05/2018,4.25
29/05/2018,4.23
28/05/2018,4.28
25/05/2018,4.2
24/05/2018,4.28
23/05/2018,4.33
22/05/2018,4.26
21/05/2018,4.22
18/05/2018,4.26
17/05/2018,4.25
16/05/2018,4.34
15/05/2018,4.31
14/05/2018,4.41
11/05/2018,4.3
10/05/2018,4.45
09/05/2018,4.41
08/05/2018,4.22
07/05/2018,4.16
04/05/2018,4.22
03/05/2018,4.2
02/05/2018,4.26
30/04/2018,4.24
27/04/2018,4.32
26/04/2018,4.36
25/04/2018,4.37
24/04/2018,4.4
23/04/2018,4.36
20/04/2018,4.41
19/04/2018,4.44
18/04/2018,4.63
17/04/2018,4.69
16/04/2018,4.61
13/04/2018,4.37
12/04/2018,4.38
11/04/2018,4.29
10/04/2018,4.31
09/04/2018,4.17
06/04/2018,4.21
05/04/2018,4.21
04/04/2018,4.19
03/04/2018,4.01
02/04/2018,3.97
28/03/2018,4.09
27/03/2018,4.14
26/03/2018,4.13
23/03/2018,4.15
22/03/2018,4.27
21/03/2018,4.3
20/03/2018,4.2
16/03/2018,4.19
15/03/2018,4.2
14/03/2018,4.21
13/03/2018,4.21
12/03/2018,4.2
09/03/2018,4.24
08/03/2018,4.2
07/03/2018,4.23
06/03/2018,4.23
05/03/2018,4.19
02/03/2018,4.24
01/03/2018,4.29
28/02/2018,4.39
27/02/2018,4.48
26/02/2018,4.58
23/02/2018,4.56
22/02/2018,4.55
21/02/2018,4.63
20/02/2018,4.65
19/02/2018,4.51
16/02/2018,4.45
15/02/2018,4.6
14/02/2018,4.6
13/02/2018,4.74
12/02/2018,4.46
09/02/2018,4.44
08/02/2018,4.53
07/02/2018,4.81
06/02/2018,4.89
02/02/2018,4.8
01/02/2018,4.8
31/01/2018,4.76
30/01/2018,4.53
29/01/2018,4.4
26/01/2018,4.36
25/01/2018,4.42
24/01/2018,4.47
23/01/2018,4.47
22/01/2018,4.22
19/01/2018,4.12
18/01/2018,3.92
17/01/2018,3.95
16/01/2018,3.87
15/01/2018,3.83
12/01/2018,3.8
11/01/2018,3.66
10/01/2018,3.8
09/01/2018,3.92
08/01/2018,3.96
05/01/2018,3.96
04/01/2018,3.85
03/01/2018,3.84
02/01/2018,3.77
29/12/2017,3.78
28/12/2017,3.73
27/12/2017,3.74
26/12/2017,3.72
22/12/2017,3.66
21/12/2017,3.66
20/12/2017,3.78
19/12/2017,3.72
18/12/2017,3.79
15/12/2017,3.73
14/12/2017,3.72
13/12/2017,3.79
11/12/2017,3.83
08/12/2017,3.82
07/12/2017,3.81
06/12/2017,3.88
05/12/2017,3.89
04/12/2017,3.93
01/12/2017,4.02
30/11/2017,4.04
29/11/2017,4.13
28/11/2017,4.11
27/11/2017,4.14
24/11/2017,4.25
23/11/2017,4.34
22/11/2017,4.35
21/11/2017,4.34
17/11/2017,4.22
16/11/2017,4.18
15/11/2017,4.24
14/11/2017,4.3
13/11/2017,4.4
10/11/2017,4.46
09/11/2017,4.4
08/11/2017,4.33
07/11/2017,4.27
06/11/2017,4.33
03/11/2017,4.13
01/11/2017,4.14
31/10/2017,4.15
30/10/2017,4.1
27/10/2017,4.16
26/10/2017,4.06
25/10/2017,4.05
24/10/2017,4.16
23/10/2017,4
20/10/2017,4.08
19/10/2017,4.29
18/10/2017,4.33
17/10/2017,4.36
16/10/2017,4.61
13/10/2017,4.88
12/10/2017,4.84
11/10/2017,4.43
10/10/2017,4.4
09/10/2017,4.4
06/10/2017,4.41
05/10/2017,4.41
04/10/2017,4.4
03/10/2017,4.36
02/10/2017,4.32
29/09/2017,4.32
28/09/2017,4.31
27/09/2017,4.32
26/09/2017,4.38
25/09/2017,4.36
22/09/2017,4.35
21/09/2017,4.4
20/09/2017,4.48
19/09/2017,4.22
18/09/2017,4.21
15/09/2017,4.18
14/09/2017,4.17
13/09/2017,4.2
12/09/2017,4.19
11/09/2017,4.22
08/09/2017,4.22
07/09/2017,4.2
06/09/2017,4.21
05/09/2017,4.23
04/09/2017,4.24
01/09/2017,4.23
31/08/2017,4.16
30/08/2017,4.21
29/08/2017,4.18
28/08/2017,4.24
25/08/2017,4.28
24/08/2017,4.25
23/08/2017,4.26
22/08/2017,4.22
21/08/2017,4.3
18/08/2017,4.22
17/08/2017,4.18
16/08/2017,4.3
15/08/2017,4.18
14/08/2017,4.17
11/08/2017,4.11
10/08/2017,4.11
09/08/2017,4.24
08/08/2017,4.23
07/08/2017,4.33
04/08/2017,4.16
03/08/2017,4.12
02/08/2017,4.11
01/08/2017,4.09
31/07/2017,4.23
28/07/2017,4.21
27/07/2017,4.44
26/07/2017,4.6
25/07/2017,4.45
24/07/2017,4.31
21/07/2017,4.32
20/07/2017,4.31
19/07/2017,4.3
18/07/2017,4.27
17/07/2017,4.27
14/07/2017,4.28
13/07/2017,4.16
12/07/2017,4.15
11/07/2017,4.1
10/07/2017,4.14
07/07/2017,4.11
06/07/2017,4.08
05/07/2017,3.91
04/07/2017,3.73
03/07/2017,3.76
30/06/2017,3.77
29/06/2017,3.69
28/06/2017,3.7
27/06/2017,3.71
26/06/2017,3.7
23/06/2017,3.77
22/06/2017,3.72
21/06/2017,3.69
20/06/2017,3.78
19/06/2017,3.76
16/06/2017,3.74
15/06/2017,3.63
14/06/2017,3.68
13/06/2017,3.84
12/06/2017,3.71
09/06/2017,3.51
08/06/2017,3.36
07/06/2017,3.4
06/06/2017,3.38
05/06/2017,3.39
02/06/2017,3.39
01/06/2017,3.39
31/05/2017,3.42
30/05/2017,3.42
29/05/2017,3.55
26/05/2017,3.62
25/05/2017,3.61
24/05/2017,3.57
23/05/2017,3.44
22/05/2017,3.47
19/05/2017,3.51
18/05/2017,3.54
17/05/2017,3.51
16/05/2017,3.62
15/05/2017,3.74
12/05/2017,3.8
11/05/2017,3.67
10/05/2017,3.76
09/05/2017,3.8
08/05/2017,3.83
05/05/2017,3.82
04/05/2017,3.93
03/05/2017,4.05
02/05/2017,4.13
28/04/2017,4.12
27/04/2017,4.14
26/04/2017,4.02
25/04/2017,4.3
24/04/2017,4.09
21/04/2017,3.98
20/04/2017,3.71
19/04/2017,3.7
18/04/2017,3.6
17/04/2017,3.65
12/04/2017,3.59
11/04/2017,3.58
10/04/2017,3.7
07/04/2017,3.72
06/04/2017,3.7
05/04/2017,3.74
04/04/2017,3.71
03/04/2017,3.74
31/03/2017,3.75
30/03/2017,3.76
29/03/2017,3.86
28/03/2017,3.79
27/03/2017,3.83
24/03/2017,3.81
23/03/2017,3.82
22/03/2017,3.84
21/03/2017,3.86
17/03/2017,3.94
16/03/2017,3.89
15/03/2017,3.9
14/03/2017,3.86
13/03/2017,3.87
10/03/2017,3.88
09/03/2017,3.86
08/03/2017,3.88
07/03/2017,3.91
06/03/2017,3.94
03/03/2017,3.9
02/03/2017,3.91
01/03/2017,3.9
28/02/2017,3.68
27/02/2017,3.64
24/02/2017,3.68
23/02/2017,3.67
22/02/2017,3.69
21/02/2017,3.56
20/02/2017,3.55
17/02/2017,3.54
16/02/2017,3.69
15/02/2017,3.41
14/02/2017,3.39
13/02/2017,3.43
10/02/2017,3.56
09/02/2017,3.61
08/02/2017,3.64
07/02/2017,3.6
03/02/2017,3.63
02/02/2017,3.67
01/02/2017,3.67
31/01/2017,3.7
30/01/2017,3.64
27/01/2017,3.62
26/01/2017,3.58
25/01/2017,3.69
24/01/2017,3.61
23/01/2017,3.45
20/01/2017,3.34
19/01/2017,3.3
18/01/2017,3.45
17/01/2017,3.56
16/01/2017,3.76
13/01/2017,3.86
12/01/2017,3.71
11/01/2017,3.71
10/01/2017,3.68
09/01/2017,3.74
06/01/2017,3.95
05/01/2017,4.02
04/01/2017,3.83
03/01/2017,3.83
02/01/2017,3.62
30/12/2016,3.52
29/12/2016,3.45
28/12/2016,3.54
27/12/2016,3.47
26/12/2016,3.62
23/12/2016,3.62
22/12/2016,3.65
21/12/2016,3.75
20/12/2016,3.87
19/12/2016,3.92
16/12/2016,4.07
15/12/2016,4.18
14/12/2016,4.19
13/12/2016,4.21
09/12/2016,4.16
08/12/2016,3.9
07/12/2016,4.01
06/12/2016,3.9
05/12/2016,3.84
02/12/2016,3.8
01/12/2016,3.95
30/11/2016,4.07
29/11/2016,4.02
28/11/2016,3.98
25/11/2016,4.15
24/11/2016,4.06
23/11/2016,4.03
22/11/2016,4.18
18/11/2016,4.31
17/11/2016,4.46
16/11/2016,4.52
15/11/2016,4.58
14/11/2016,4.5
11/11/2016,4.48
10/11/2016,4.27
09/11/2016,4.49
08/11/2016,4.84
07/11/2016,4.77
04/11/2016,4.56
03/11/2016,4.39
01/11/2016,4.5
31/10/2016,4.69
28/10/2016,4.69
27/10/2016,4.84
26/10/2016,4.89
25/10/2016,5.02
24/10/2016,4.98
21/10/2016,5.06
20/10/2016,5.19
19/10/2016,5.27
18/10/2016,5
17/10/2016,4.85
14/10/2016,4.93
13/10/2016,4.9
12/10/2016,5.03
11/10/2016,5.02
10/10/2016,4.74
07/10/2016,4.64
06/10/2016,4.69
05/10/2016,4.69
04/10/2016,4.48
03/10/2016,4.4
30/09/2016,4.46
29/09/2016,4.56
28/09/2016,4.7
27/09/2016,4.6
26/09/2016,4.56
23/09/2016,4.73
22/09/2016,4.58
21/09/2016,4.37
20/09/2016,4.41
19/09/2016,4.47
15/09/2016,4.55
14/09/2016,4.49
13/09/2016,4.49
12/09/2016,4.66
09/09/2016,4.71
08/09/2016,4.8
07/09/2016,4.81
06/09/2016,4.96
05/09/2016,5.02
02/09/2016,5.05
01/09/2016,5.03
31/08/2016,5.06
30/08/2016,5.17
29/08/2016,5.13
26/08/2016,5.13
25/08/2016,5.1
24/08/2016,5.06
23/08/2016,5.1
22/08/2016,5.16
19/08/2016,5.19
18/08/2016,5.15
17/08/2016,5
16/08/2016,5.06
15/08/2016,5.18
12/08/2016,5.2
11/08/2016,5.24
10/08/2016,5.26
09/08/2016,5.27
08/08/2016,5.3
05/08/2016,5.27
04/08/2016,5.41
03/08/2016,5.62
02/08/2016,5.6
01/08/2016,5.64
29/07/2016,5.59
28/07/2016,5.73
27/07/2016,5.69
26/07/2016,5.9
25/07/2016,5.85
22/07/2016,5.79
21/07/2016,5.63
20/07/2016,5.92
19/07/2016,6.02
18/07/2016,6.41
15/07/2016,6.33
14/07/2016,6.42
13/07/2016,6.36
12/07/2016,6.37
11/07/2016,6.43
08/07/2016,6.31
07/07/2016,6.24
06/07/2016,6.26
05/07/2016,6.3
04/07/2016,6.38
01/07/2016,6.3
30/06/2016,6.27
29/06/2016,6.37
28/06/2016,6.26
27/06/2016,6.15
24/06/2016,6.46
23/06/2016,6.6
22/06/2016,6.57
21/06/2016,6.49
20/06/2016,6.5
17/06/2016,6.41
16/06/2016,6.38
15/06/2016,6.42
14/06/2016,6.4
13/06/2016,6.6
10/06/2016,6.76
09/06/2016,6.97
08/06/2016,6.54
07/06/2016,6.25
06/06/2016,6.45
03/06/2016,6.43
02/06/2016,6.36
01/06/2016,6.34
31/05/2016,6.45
30/05/2016,6.66
27/05/2016,6.7
26/05/2016,6.76
25/05/2016,6.82
24/05/2016,6.94
23/05/2016,6.97
20/05/2016,7.06
19/05/2016,7.02
18/05/2016,6.94
17/05/2016,7.04
16/05/2016,7.14
13/05/2016,7.22
12/05/2016,7.26
11/05/2016,7.3
10/05/2016,7.36
09/05/2016,7.21
06/05/2016,7.39
05/05/2016,7.5
04/05/2016,7.3
03/05/2016,7.52
02/05/2016,7.58
29/04/2016,7.63
28/04/2016,7.66
27/04/2016,7.7
26/04/2016,7.71
25/04/2016,7.69
22/04/2016,7.92
21/04/2016,7.7
20/04/2016,7.64
19/04/2016,7.88
18/04/2016,7.77
15/04/2016,7.98
14/04/2016,8.05
13/04/2016,8.08
12/04/2016,8.1
11/04/2016,8.05
08/04/2016,8.1
07/04/2016,8.16
06/04/2016,8.22
05/04/2016,8.23
04/04/2016,8.41
01/04/2016,8.49
31/03/2016,8.48
30/03/2016,8.33
29/03/2016,8
28/03/2016,8.14
23/03/2016,8.09
22/03/2016,8.18
18/03/2016,8.17
17/03/2016,8.24
16/03/2016,8.26
15/03/2016,8.22
14/03/2016,8.4
11/03/2016,8.39
10/03/2016,8.32
09/03/2016,8.33
08/03/2016,8.07
07/03/2016,8.28
04/03/2016,8.12
03/03/2016,7.91
02/03/2016,7.71
01/03/2016,7.67
29/02/2016,7.61
26/02/2016,7.7
25/02/2016,7.75
24/02/2016,7.67
23/02/2016,7.66
22/02/2016,7.75
19/02/2016,7.74
18/02/2016,7.69
17/02/2016,7.74
16/02/2016,7.77
15/02/2016,7.84
12/02/2016,7.71
11/02/2016,7.6
10/02/2016,7.71
09/02/2016,7.82
08/02/2016,7.66
05/02/2016,7.57
04/02/2016,7.75
03/02/2016,7.89
02/02/2016,7.97
29/01/2016,7.95
28/01/2016,8.01
27/01/2016,8.06
26/01/2016,7.97
25/01/2016,7.82
22/01/2016,7.97
21/01/2016,7.96
20/01/2016,8
19/01/2016,8.27
18/01/2016,8.51
15/01/2016,8.52
14/01/2016,8.49
13/01/2016,8.66
12/01/2016,8.75
11/01/2016,8.77
08/01/2016,8.41
07/01/2016,8.33
06/01/2016,8.76
05/01/2016,8.5
04/01/2016,8.5
31/12/2015,8.7
30/12/2015,8.73
29/12/2015,8.75
28/12/2015,8.71
24/12/2015,8.73
23/12/2015,8.8
22/12/2015,8.59
21/12/2015,8.56
18/12/2015,8.44
17/12/2015,8.25
16/12/2015,8.47
15/12/2015,8.43
14/12/2015,8.58
11/12/2015,8.65
10/12/2015,8.69
09/12/2015,8.96
08/12/2015,8.86
07/12/2015,8.91
04/12/2015,8.78
03/12/2015,8.79
02/12/2015,8.72
01/12/2015,8.49
30/11/2015,8.14
27/11/2015,8.57
26/11/2015,8.11
25/11/2015,7.98
24/11/2015,8.19
23/11/2015,7.96
20/11/2015,7.9
19/11/2015,7.86
18/11/2015,7.93
17/11/2015,7.78
13/11/2015,7.41
12/11/2015,7.18
11/11/2015,7.14
10/11/2015,7.2
09/11/2015,7.18
