Security,GFNORTEO MM Equity                                              
Start Date,02/01/2001 00:00
End Date,27/12/2018 00:00
Period,D
Currency,MXN
,
Date,PRECIO
27/12/2018,93.57
26/12/2018,94.39
24/12/2018,92.8
21/12/2018,93.83
20/12/2018,92.81
19/12/2018,95.39
18/12/2018,92.55
17/12/2018,88.58
14/12/2018,91.98
13/12/2018,91.68
11/12/2018,90.59
10/12/2018,93.15
07/12/2018,95.84
06/12/2018,98.37
05/12/2018,97.39
04/12/2018,98.86
03/12/2018,97.34
30/11/2018,93.15
29/11/2018,91.93
28/11/2018,90.6
27/11/2018,84.91
26/11/2018,83.63
23/11/2018,96.07
22/11/2018,97
21/11/2018,96.69
20/11/2018,97.46
16/11/2018,98.24
15/11/2018,96.45
14/11/2018,100.48
13/11/2018,97.54
12/11/2018,98.74
09/11/2018,105.41
08/11/2018,106.94
07/11/2018,121.39
06/11/2018,121.79
05/11/2018,123.74
01/11/2018,118.69
31/10/2018,111.76
30/10/2018,110.05
29/10/2018,115.19
26/10/2018,125.96
25/10/2018,127.92
24/10/2018,126.34
23/10/2018,128.77
22/10/2018,131.86
19/10/2018,133.16
18/10/2018,130.82
17/10/2018,133
16/10/2018,132.58
15/10/2018,132.18
12/10/2018,131.57
11/10/2018,132.08
10/10/2018,133.18
09/10/2018,131.92
08/10/2018,129.82
05/10/2018,131.82
04/10/2018,132.1
03/10/2018,133.24
02/10/2018,132.25
01/10/2018,136.38
28/09/2018,135.3
27/09/2018,134.7
26/09/2018,133.86
25/09/2018,133.66
24/09/2018,131.74
21/09/2018,129.9
20/09/2018,129.93
19/09/2018,131.05
18/09/2018,133.7
17/09/2018,133.02
14/09/2018,133.67
13/09/2018,134
12/09/2018,132.54
11/09/2018,130.86
10/09/2018,128.34
07/09/2018,130.06
06/09/2018,129.91
05/09/2018,130.24
04/09/2018,126.22
03/09/2018,129.13
31/08/2018,130.86
30/08/2018,129.99
29/08/2018,130.91
28/08/2018,133.23
27/08/2018,134.67
24/08/2018,132.33
23/08/2018,135.41
22/08/2018,134.23
21/08/2018,132.06
20/08/2018,128.5
17/08/2018,125.88
16/08/2018,125.13
15/08/2018,128.2
14/08/2018,129.59
13/08/2018,127.58
10/08/2018,125.87
09/08/2018,131.67
08/08/2018,134.35
07/08/2018,132.98
06/08/2018,127.05
03/08/2018,125.62
02/08/2018,127.16
01/08/2018,128.87
31/07/2018,129.96
30/07/2018,129.87
27/07/2018,129.82
26/07/2018,129.26
25/07/2018,127.08
24/07/2018,128.06
23/07/2018,126.98
20/07/2018,126.6
19/07/2018,124.99
18/07/2018,124.57
