Security,BIMBOA MM Equity                                                
Start Date,01/02/2001 00:00
End Date,07/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
07/01/2019,39.11
04/01/2019,39.39
03/01/2019,39.32
02/01/2019,39.26
31/12/2018,39.2
28/12/2018,38.83
27/12/2018,39.23
26/12/2018,38.86
24/12/2018,38.97
21/12/2018,38.64
20/12/2018,39.93
19/12/2018,38.78
18/12/2018,38.48
17/12/2018,37.77
14/12/2018,38.78
13/12/2018,38.45
11/12/2018,38.57
10/12/2018,38.95
07/12/2018,39
06/12/2018,38.92
05/12/2018,38.97
04/12/2018,38.54
03/12/2018,39.06
30/11/2018,39
29/11/2018,39.99
28/11/2018,39.71
27/11/2018,38.72
26/11/2018,36.79
23/11/2018,37.51
22/11/2018,38.12
21/11/2018,38.63
20/11/2018,38.9
16/11/2018,38.81
15/11/2018,37.2
14/11/2018,37.97
13/11/2018,37.96
12/11/2018,39.28
09/11/2018,40.66
08/11/2018,38.53
07/11/2018,39.98
06/11/2018,39.22
05/11/2018,40.22
01/11/2018,38.7
31/10/2018,38.05
30/10/2018,37.89
29/10/2018,36.4
26/10/2018,38.2
25/10/2018,38.3
24/10/2018,36.38
23/10/2018,37.22
22/10/2018,36.78
19/10/2018,36.78
18/10/2018,37.46
17/10/2018,37.67
16/10/2018,38.22
15/10/2018,37.34
12/10/2018,37.35
11/10/2018,38.61
10/10/2018,38.27
09/10/2018,38.54
08/10/2018,38.31
05/10/2018,38.19
04/10/2018,38.55
03/10/2018,38.82
02/10/2018,39.04
01/10/2018,39.86
28/09/2018,39.91
27/09/2018,40.56
26/09/2018,40.69
25/09/2018,40.62
24/09/2018,40.39
21/09/2018,40.25
20/09/2018,40.12
19/09/2018,40.48
18/09/2018,40.5
17/09/2018,40
14/09/2018,39.78
13/09/2018,38.96
12/09/2018,38.88
11/09/2018,38.72
10/09/2018,38.84
07/09/2018,38.81
06/09/2018,38.41
05/09/2018,38.74
04/09/2018,39.38
03/09/2018,39.78
31/08/2018,39.75
30/08/2018,39.49
29/08/2018,40.66
28/08/2018,39.9
27/08/2018,40.63
24/08/2018,40.24
23/08/2018,40.26
22/08/2018,40.5
21/08/2018,40.3
20/08/2018,39.94
17/08/2018,39.1
16/08/2018,38.96
15/08/2018,38.63
14/08/2018,39.48
13/08/2018,39.16
10/08/2018,38.8
09/08/2018,39.57
08/08/2018,39.97
07/08/2018,40.33
06/08/2018,39.26
03/08/2018,39.18
02/08/2018,38.26
01/08/2018,38.48
31/07/2018,39.66
30/07/2018,39.74
27/07/2018,39.1
26/07/2018,38.18
25/07/2018,38.01
24/07/2018,38.63
23/07/2018,38.44
20/07/2018,39.85
19/07/2018,38.84
18/07/2018,38.9
17/07/2018,38.18
16/07/2018,38.98
13/07/2018,39.62
12/07/2018,40.01
11/07/2018,39.94
10/07/2018,40.3
09/07/2018,40.39
06/07/2018,40.31
05/07/2018,39.76
04/07/2018,37.92
03/07/2018,37.07
02/07/2018,37.44
29/06/2018,38.69
28/06/2018,37.12
27/06/2018,36.66
26/06/2018,37.22
25/06/2018,37.31
22/06/2018,37.22
21/06/2018,36.78
20/06/2018,37.03
19/06/2018,37
18/06/2018,37.11
15/06/2018,36.87
14/06/2018,36.73
13/06/2018,36.53
12/06/2018,36.66
11/06/2018,36.68
08/06/2018,35.73
07/06/2018,35.07
06/06/2018,36.22
05/06/2018,36.75
04/06/2018,36.28
01/06/2018,37.35
31/05/2018,38.06
30/05/2018,37.85
29/05/2018,37.33
28/05/2018,37.9
25/05/2018,37.98
24/05/2018,39.41
23/05/2018,39.63
22/05/2018,39.35
21/05/2018,38.41
18/05/2018,38.9
17/05/2018,38.76
16/05/2018,40.09
15/05/2018,39.96
14/05/2018,39.95
11/05/2018,39.98
10/05/2018,40.35
09/05/2018,39.59
08/05/2018,40.84
07/05/2018,40.66
04/05/2018,41.19
03/05/2018,41.14
02/05/2018,42.46
30/04/2018,43.53
27/04/2018,43.29
26/04/2018,43.1
25/04/2018,43.27
24/04/2018,43.04
23/04/2018,42.76
20/04/2018,43.26
19/04/2018,43.05
18/04/2018,43.66
17/04/2018,42.94
16/04/2018,41.51
13/04/2018,42.09
12/04/2018,42.69
11/04/2018,41.08
10/04/2018,41.41
09/04/2018,40.89
06/04/2018,40.8
05/04/2018,40.94
04/04/2018,41.25
03/04/2018,39.43
02/04/2018,39.38
28/03/2018,39.78
27/03/2018,40.76
26/03/2018,40.76
23/03/2018,41.52
22/03/2018,41.64
21/03/2018,42.02
20/03/2018,41.65
16/03/2018,41.26
15/03/2018,41.66
14/03/2018,41.59
13/03/2018,41.91
12/03/2018,43.16
09/03/2018,42.55
08/03/2018,42.26
07/03/2018,41.1
