Security,LACOMUBC MM Equity                                              
Start Date,4/1/2016 0:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
15/01/2019,20.81
14/01/2019,20.99
11/1/2019,20.96
10/1/2019,20.8
9/1/2019,20.78
8/1/2019,20.97
7/1/2019,20.83
4/1/2019,20.83
3/1/2019,20.99
2/1/2019,20.92
31/12/2018,20.37
28/12/2018,20.37
27/12/2018,20.01
26/12/2018,20.14
24/12/2018,19.7
21/12/2018,19.62
20/12/2018,19.52
19/12/2018,19.54
18/12/2018,19.65
17/12/2018,19.57
14/12/2018,19.67
13/12/2018,20.02
11/12/2018,20.25
10/12/2018,19.92
7/12/2018,20.58
6/12/2018,20.98
5/12/2018,20.93
4/12/2018,20.75
3/12/2018,21.07
30/11/2018,20.73
29/11/2018,20.95
28/11/2018,21.02
27/11/2018,20.44
26/11/2018,19.91
23/11/2018,20.97
22/11/2018,20.73
21/11/2018,20.91
20/11/2018,21.11
16/11/2018,21.2
15/11/2018,21.09
14/11/2018,21.18
13/11/2018,21.01
12/11/2018,20.38
9/11/2018,20.54
8/11/2018,20.72
7/11/2018,22.02
6/11/2018,21.43
5/11/2018,21.42
1/11/2018,21.36
31/10/2018,21.18
30/10/2018,20.99
29/10/2018,20.69
26/10/2018,21.48
25/10/2018,21.89
24/10/2018,22.19
23/10/2018,22.16
22/10/2018,22.24
19/10/2018,22.3
18/10/2018,22.47
17/10/2018,22.97
16/10/2018,21.59
15/10/2018,21
12/10/2018,21.49
11/10/2018,21.4
10/10/2018,21.29
9/10/2018,21.29
8/10/2018,21.3
5/10/2018,21.24
4/10/2018,21.1
3/10/2018,21.19
2/10/2018,21.2
1/10/2018,21.19
28/09/2018,21.16
27/09/2018,21.19
26/09/2018,21
25/09/2018,21
24/09/2018,21
21/09/2018,21.18
20/09/2018,21
19/09/2018,21.08
18/09/2018,21
17/09/2018,20.99
14/09/2018,21
13/09/2018,21.2
12/9/2018,20.34
11/9/2018,20.98
10/9/2018,20.99
7/9/2018,20.98
6/9/2018,20.98
5/9/2018,21
4/9/2018,20.99
3/9/2018,21.18
31/08/2018,21.2
30/08/2018,21.11
29/08/2018,21.19
28/08/2018,21.19
27/08/2018,21.18
24/08/2018,21.2
23/08/2018,21.2
22/08/2018,21.2
21/08/2018,21.18
20/08/2018,20.84
17/08/2018,20.65
16/08/2018,20.73
15/08/2018,21.18
14/08/2018,21.04
13/08/2018,20.82
10/8/2018,20.5
9/8/2018,20.95
8/8/2018,21.2
7/8/2018,21.33
6/8/2018,20.67
3/8/2018,20.46
2/8/2018,20.28
1/8/2018,20.49
31/07/2018,20.5
30/07/2018,20.28
27/07/2018,20.32
26/07/2018,20.44
25/07/2018,20.07
24/07/2018,20.19
23/07/2018,19.97
20/07/2018,20
19/07/2018,20.3
18/07/2018,20.44
17/07/2018,20.5
16/07/2018,20.5
13/07/2018,20.43
12/7/2018,20.49
11/7/2018,20.6
10/7/2018,20.75
9/7/2018,20.91
6/7/2018,21.13
5/7/2018,20.88
4/7/2018,20.89
3/7/2018,20.88
2/7/2018,21.77
29/06/2018,20.77
28/06/2018,20.66
27/06/2018,20.43
26/06/2018,20.14
25/06/2018,20.33
22/06/2018,19.67
21/06/2018,19.96
20/06/2018,19.44
19/06/2018,18.87
18/06/2018,19.25
15/06/2018,19.49
14/06/2018,19.04
13/06/2018,19
12/6/2018,18.73
11/6/2018,19.09
8/6/2018,18.67
7/6/2018,18.32
6/6/2018,18.36
5/6/2018,18.59
4/6/2018,19.17
1/6/2018,19.17
31/05/2018,19.46
30/05/2018,19.5
29/05/2018,19.23
28/05/2018,19.43
25/05/2018,19.51
24/05/2018,19.72
23/05/2018,19.13
22/05/2018,18.9
21/05/2018,18.29
18/05/2018,18.51
17/05/2018,17.85
16/05/2018,18.34
15/05/2018,18.36
14/05/2018,18.48
11/5/2018,18.83
10/5/2018,18.85
9/5/2018,19.19
8/5/2018,19.51
7/5/2018,19.63
4/5/2018,19.73
3/5/2018,19.24
2/5/2018,19.79
30/04/2018,19.71
27/04/2018,19.71
26/04/2018,19.9
25/04/2018,19.94
24/04/2018,19.57
23/04/2018,19.92
20/04/2018,19.89
19/04/2018,20.2
18/04/2018,19.96
17/04/2018,20
16/04/2018,20.01
13/04/2018,20.45
12/4/2018,20.19
11/4/2018,20.45
10/4/2018,20.52
9/4/2018,20.75
6/4/2018,20.45
5/4/2018,19.94
4/4/2018,19.98
3/4/2018,19.72
2/4/2018,18.74
28/03/2018,18.42
27/03/2018,18.53
26/03/2018,18.61
23/03/2018,18.01
22/03/2018,18.15
21/03/2018,18.25
20/03/2018,18.11
16/03/2018,18.31
15/03/2018,18.52
14/03/2018,18.33
13/03/2018,18.13
12/3/2018,18.46
9/3/2018,18.49
8/3/2018,18.69
7/3/2018,18.53
6/3/2018,18.57
5/3/2018,18.65
2/3/2018,18.44
1/3/2018,18.71
28/02/2018,18.75
27/02/2018,19.01
26/02/2018,18.75
23/02/2018,18.38
22/02/2018,18.41
21/02/2018,18.16
20/02/2018,18.06
19/02/2018,18.05
16/02/2018,18.25
15/02/2018,18.2
14/02/2018,17.91
13/02/2018,18.14
12/2/2018,17.93
9/2/2018,17.47
8/2/2018,17.45
7/2/2018,17.93
6/2/2018,18.55
2/2/2018,18.92
1/2/2018,18.97
31/01/2018,18.98
30/01/2018,18.88
29/01/2018,19.27
26/01/2018,19.26
25/01/2018,19
24/01/2018,19.31
23/01/2018,18.99
22/01/2018,19.15
19/01/2018,19.26
18/01/2018,19.89
17/01/2018,19.53
16/01/2018,19.47
15/01/2018,19
12/1/2018,19.11
11/1/2018,19.01
10/1/2018,19.03
9/1/2018,19.35
8/1/2018,19.61
5/1/2018,19.69
4/1/2018,19.7
3/1/2018,20.01
2/1/2018,20.17
29/12/2017,20.25
28/12/2017,19.76
27/12/2017,19.91
26/12/2017,19.75
22/12/2017,19.49
21/12/2017,19.19
20/12/2017,18.95
19/12/2017,19
18/12/2017,18.68
15/12/2017,18.44
14/12/2017,18.34
13/12/2017,18.32
11/12/2017,18.42
8/12/2017,18.49
7/12/2017,18.04
6/12/2017,17.92
5/12/2017,18
4/12/2017,18.21
1/12/2017,18.44
30/11/2017,18.35
29/11/2017,18.46
28/11/2017,18.49
27/11/2017,18.4
24/11/2017,18.5
23/11/2017,18.5
22/11/2017,18.32
21/11/2017,18.08
17/11/2017,18.28
16/11/2017,18.2
15/11/2017,18.09
14/11/2017,18.12
13/11/2017,18.33
10/11/2017,17.83
9/11/2017,18.41
8/11/2017,18.53
7/11/2017,18.78
6/11/2017,18.73
3/11/2017,18.46
1/11/2017,18.39
31/10/2017,18.6
30/10/2017,18.67
27/10/2017,18.14
26/10/2017,18.17
25/10/2017,18.48
24/10/2017,18.75
23/10/2017,18.12
20/10/2017,18.29
19/10/2017,18.48
18/10/2017,18.21
17/10/2017,17.51
16/10/2017,17.33
13/10/2017,17.68
12/10/2017,17.37
11/10/2017,17.8
10/10/2017,17.6
9/10/2017,17.59
6/10/2017,17.88
5/10/2017,17.71
4/10/2017,18.08
3/10/2017,18.33
2/10/2017,18.33
29/09/2017,18.3
28/09/2017,17.64
27/09/2017,17.77
26/09/2017,18.01
25/09/2017,18.27
22/09/2017,18.25
21/09/2017,18.23
20/09/2017,18.33
19/09/2017,18.02
18/09/2017,18.35
15/09/2017,18.44
14/09/2017,17.65
13/09/2017,18.09
12/9/2017,18.43
11/9/2017,17.91
8/9/2017,17.52
7/9/2017,17.56
6/9/2017,17.32
5/9/2017,17.43
4/9/2017,17.84
1/9/2017,17.99
31/08/2017,17.79
30/08/2017,17.75
29/08/2017,17.92
28/08/2017,18.26
25/08/2017,18.35
24/08/2017,18.46
23/08/2017,18.8
22/08/2017,18.71
21/08/2017,18.49
18/08/2017,18.84
17/08/2017,18.19
16/08/2017,18.25
15/08/2017,18.14
14/08/2017,18.66
11/8/2017,18.66
10/8/2017,18.8
9/8/2017,18.83
8/8/2017,18.17
7/8/2017,18.12
4/8/2017,18.09
3/8/2017,18.05
2/8/2017,17.84
1/8/2017,18.06
31/07/2017,18.04
28/07/2017,17.89
27/07/2017,18
26/07/2017,17.98
25/07/2017,17.52
24/07/2017,17.24
21/07/2017,17.26
20/07/2017,16.98
19/07/2017,17.21
18/07/2017,17.53
17/07/2017,17.93
14/07/2017,17.29
13/07/2017,17.29
12/7/2017,17.28
11/7/2017,16.85
10/7/2017,16.9
7/7/2017,16.58
6/7/2017,16.49
5/7/2017,16.41
4/7/2017,16.32
3/7/2017,16.29
30/06/2017,16.36
29/06/2017,16.2
28/06/2017,16
27/06/2017,15.76
26/06/2017,15.74
23/06/2017,15.54
22/06/2017,15.2
21/06/2017,15.05
20/06/2017,14.73
19/06/2017,14.64
16/06/2017,14.4
15/06/2017,14.18
14/06/2017,14.31
13/06/2017,14.25
12/6/2017,14.11
9/6/2017,14.26
8/6/2017,14.38
7/6/2017,14.14
6/6/2017,14.08
5/6/2017,14.01
2/6/2017,13.96
1/6/2017,13.92
31/05/2017,14.11
30/05/2017,14.01
29/05/2017,14.39
26/05/2017,14.41
25/05/2017,14.33
24/05/2017,14.3
23/05/2017,14.51
22/05/2017,14.55
19/05/2017,14.54
18/05/2017,14.49
17/05/2017,14.57
16/05/2017,14.6
15/05/2017,14.51
12/5/2017,14.47
11/5/2017,14.6
10/5/2017,14.68
9/5/2017,14.68
8/5/2017,14.69
5/5/2017,14.59
4/5/2017,14.36
3/5/2017,14.71
2/5/2017,14.64
28/04/2017,14.7
27/04/2017,14.68
26/04/2017,14.75
25/04/2017,14.85
24/04/2017,14.76
21/04/2017,14.75
20/04/2017,14.64
19/04/2017,14.73
18/04/2017,14.69
17/04/2017,14.85
12/4/2017,14.84
11/4/2017,15.04
10/4/2017,15.3
7/4/2017,15.19
6/4/2017,15.43
5/4/2017,15.42
4/4/2017,15.51
3/4/2017,15.05
31/03/2017,15.21
30/03/2017,15.25
29/03/2017,14.94
28/03/2017,14.86
27/03/2017,15.02
24/03/2017,15.23
23/03/2017,15.3
22/03/2017,15.36
21/03/2017,15.04
17/03/2017,14.65
16/03/2017,14.14
15/03/2017,14.05
14/03/2017,14.05
13/03/2017,14.16
10/3/2017,14.21
9/3/2017,14.03
8/3/2017,14.15
7/3/2017,14.15
6/3/2017,14.1
3/3/2017,14.02
2/3/2017,13.78
1/3/2017,13.67
28/02/2017,13.45
27/02/2017,13.91
24/02/2017,13.92
23/02/2017,14.05
22/02/2017,14.42
21/02/2017,14.34
20/02/2017,14.09
17/02/2017,13.64
16/02/2017,14.24
15/02/2017,14.13
14/02/2017,14.4
13/02/2017,14.34
10/2/2017,14.59
9/2/2017,14.53
8/2/2017,14.52
7/2/2017,14.58
3/2/2017,14.8
2/2/2017,14.87
1/2/2017,14.75
31/01/2017,14.76
30/01/2017,14.65
27/01/2017,14.58
26/01/2017,14.55
25/01/2017,14.93
24/01/2017,15.07
23/01/2017,14.69
20/01/2017,14.52
19/01/2017,14.36
18/01/2017,14.59
17/01/2017,14.94
16/01/2017,15.22
13/01/2017,15.12
12/1/2017,15.13
11/1/2017,15.25
10/1/2017,15.18
9/1/2017,15.16
6/1/2017,15.42
5/1/2017,15.97
4/1/2017,16.2
3/1/2017,15.88
2/1/2017,15.7
30/12/2016,15.65
29/12/2016,15.8
28/12/2016,15.69
27/12/2016,15.7
26/12/2016,15.64
23/12/2016,15.52
22/12/2016,15.51
21/12/2016,15.62
20/12/2016,15.7
19/12/2016,15.67
16/12/2016,15.5
15/12/2016,15.8
14/12/2016,15.94
13/12/2016,16.62
9/12/2016,16.38
8/12/2016,16.47
7/12/2016,16.68
6/12/2016,16.59
5/12/2016,16.09
2/12/2016,15.9
1/12/2016,15.73
30/11/2016,15.9
29/11/2016,16
28/11/2016,15.95
25/11/2016,16.26
24/11/2016,16.44
23/11/2016,16.43
22/11/2016,16.63
18/11/2016,16.4
17/11/2016,16.31
16/11/2016,16.53
15/11/2016,16.74
14/11/2016,16.18
11/11/2016,15.81
10/11/2016,16.01
9/11/2016,16.79
8/11/2016,17.82
7/11/2016,17.48
4/11/2016,17.1
3/11/2016,16.89
1/11/2016,17
31/10/2016,17.23
28/10/2016,17.58
27/10/2016,17.6
26/10/2016,18.05
25/10/2016,17.99
24/10/2016,17.99
21/10/2016,17.97
20/10/2016,17.96
19/10/2016,17.95
18/10/2016,17.9
17/10/2016,17.81
14/10/2016,18.12
13/10/2016,17.9
12/10/2016,18.13
11/10/2016,18.15
10/10/2016,18.18
7/10/2016,17.99
6/10/2016,18.02
5/10/2016,18
4/10/2016,17.88
3/10/2016,17.39
30/09/2016,17.74
29/09/2016,17.74
28/09/2016,17.65
27/09/2016,17.51
26/09/2016,17.17
23/09/2016,17.27
22/09/2016,17.64
21/09/2016,17.39
20/09/2016,17.27
19/09/2016,17.18
15/09/2016,16.92
14/09/2016,16.83
13/09/2016,16.85
12/9/2016,17.09
9/9/2016,17.33
8/9/2016,17.34
7/9/2016,17.31
6/9/2016,17.22
5/9/2016,17.26
2/9/2016,17.19
1/9/2016,17.28
31/08/2016,17.12
30/08/2016,17.38
29/08/2016,17.3
26/08/2016,17.11
25/08/2016,17.31
24/08/2016,17.29
23/08/2016,17.15
22/08/2016,17.01
19/08/2016,16.97
18/08/2016,17.14
17/08/2016,16.75
16/08/2016,16.84
15/08/2016,16.85
12/8/2016,16.78
11/8/2016,16.89
10/8/2016,16.65
9/8/2016,16.41
8/8/2016,16.44
5/8/2016,16.48
4/8/2016,16.48
3/8/2016,16.42
2/8/2016,16.46
1/8/2016,16.57
29/07/2016,16.69
28/07/2016,16.99
27/07/2016,17
26/07/2016,17.25
25/07/2016,17.06
22/07/2016,17.2
21/07/2016,17.3
20/07/2016,17.5
19/07/2016,17.45
18/07/2016,17.26
15/07/2016,17.34
14/07/2016,17.41
13/07/2016,17.64
12/7/2016,17.79
11/7/2016,17.84
8/7/2016,17.88
7/7/2016,18.1
6/7/2016,18.21
5/7/2016,18.27
4/7/2016,18.4
1/7/2016,18.49
30/06/2016,18
29/06/2016,17.96
28/06/2016,17.58
27/06/2016,17.84
24/06/2016,17.77
23/06/2016,18.16
22/06/2016,18.26
21/06/2016,18.36
20/06/2016,18.4
17/06/2016,18.81
16/06/2016,18.03
15/06/2016,18.3
14/06/2016,18.64
13/06/2016,19.09
10/6/2016,19.21
9/6/2016,19.22
8/6/2016,19.19
7/6/2016,19.06
6/6/2016,19.35
3/6/2016,19.03
2/6/2016,18.91
1/6/2016,19
31/05/2016,19.22
30/05/2016,19.2
27/05/2016,19.14
26/05/2016,19
25/05/2016,19.07
24/05/2016,19.03
23/05/2016,19.01
20/05/2016,19.29
19/05/2016,19.35
18/05/2016,19.72
17/05/2016,19.27
16/05/2016,19.15
13/05/2016,18.97
12/5/2016,18.91
11/5/2016,18.56
10/5/2016,18.54
9/5/2016,18.7
6/5/2016,18.51
5/5/2016,18.67
4/5/2016,18.71
3/5/2016,18.56
2/5/2016,18.42
29/04/2016,17.96
28/04/2016,18.5
27/04/2016,18.22
26/04/2016,17.95
25/04/2016,17.98
22/04/2016,17.93
21/04/2016,17.92
20/04/2016,18
19/04/2016,18
18/04/2016,18.1
15/04/2016,18.41
14/04/2016,18.38
13/04/2016,17.89
12/4/2016,18.16
11/4/2016,17.83
8/4/2016,18.14
7/4/2016,18.3
6/4/2016,18.28
5/4/2016,18.03
4/4/2016,17.91
1/4/2016,18.55
31/03/2016,18.65
30/03/2016,18.4
29/03/2016,18.34
28/03/2016,17.98
23/03/2016,17.8
22/03/2016,17.84
18/03/2016,17.7
17/03/2016,17.52
16/03/2016,17.25
15/03/2016,17.11
14/03/2016,17.22
11/3/2016,17.36
10/3/2016,17.33
9/3/2016,17.32
8/3/2016,17.24
7/3/2016,17.28
4/3/2016,17.6
3/3/2016,17.66
2/3/2016,17.33
1/3/2016,17.34
29/02/2016,17.46
26/02/2016,17.53
25/02/2016,17.48
24/02/2016,17.26
23/02/2016,17.45
22/02/2016,17.9
19/02/2016,18.12
18/02/2016,17.65
17/02/2016,17.79
16/02/2016,17.09
15/02/2016,16.92
12/2/2016,17.04
11/2/2016,17.15
10/2/2016,17.39
9/2/2016,17.47
8/2/2016,17.25
5/2/2016,17.15
4/2/2016,16.54
3/2/2016,16.23
2/2/2016,16.19
29/01/2016,16.12
28/01/2016,15.8
27/01/2016,15.97
26/01/2016,15.63
25/01/2016,15.86
22/01/2016,16.09
21/01/2016,16.22
20/01/2016,15.78
19/01/2016,15.53
18/01/2016,15.38
15/01/2016,15.76
14/01/2016,15.75
13/01/2016,15.83
12/1/2016,15.9
11/1/2016,16.01
8/1/2016,16.65
7/1/2016,18.36
6/1/2016,17.3
5/1/2016,16.06
4/1/2016,14.74
