Security,LALAB MM Equity                                                 
Start Date,15/10/2013 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
15/01/2019,22.88
14/01/2019,22.06
11/1/2019,22.02
10/1/2019,21.87
9/1/2019,21.94
8/1/2019,21.71
7/1/2019,21.87
4/1/2019,21.9
3/1/2019,21.65
2/1/2019,21.32
31/12/2018,21.09
28/12/2018,20.85
27/12/2018,20.67
26/12/2018,21.09
24/12/2018,20.95
21/12/2018,21.37
20/12/2018,20.77
19/12/2018,20.01
18/12/2018,19.83
17/12/2018,20.04
14/12/2018,20.15
13/12/2018,20.18
11/12/2018,19.8
10/12/2018,19.38
7/12/2018,19.28
6/12/2018,18.6
5/12/2018,17.71
4/12/2018,17.52
3/12/2018,17.56
30/11/2018,18.44
29/11/2018,18.33
28/11/2018,17.93
27/11/2018,17.42
26/11/2018,16.99
23/11/2018,16.85
22/11/2018,17
21/11/2018,16.86
20/11/2018,16.85
16/11/2018,16.97
15/11/2018,16.72
14/11/2018,17.12
13/11/2018,17.34
12/11/2018,18.04
9/11/2018,18.84
8/11/2018,18.44
7/11/2018,18.88
6/11/2018,18.49
5/11/2018,18.37
1/11/2018,17.86
31/10/2018,17.75
30/10/2018,18.36
29/10/2018,18.62
26/10/2018,18.52
25/10/2018,18.57
24/10/2018,18.54
23/10/2018,18.62
22/10/2018,19.7
19/10/2018,19.39
18/10/2018,19.65
17/10/2018,19.89
16/10/2018,19.81
15/10/2018,19.61
12/10/2018,19.93
11/10/2018,19.97
10/10/2018,19.62
9/10/2018,20.19
8/10/2018,20.23
5/10/2018,20.57
4/10/2018,20.6
3/10/2018,20.52
2/10/2018,21.83
1/10/2018,21.42
28/09/2018,21.4
27/09/2018,21.3
26/09/2018,21.22
25/09/2018,21.04
24/09/2018,20.94
21/09/2018,20.7
20/09/2018,20.23
19/09/2018,20.14
18/09/2018,19.84
17/09/2018,19.8
14/09/2018,19.91
13/09/2018,20.16
12/9/2018,19.71
11/9/2018,19.79
10/9/2018,19.74
7/9/2018,19.54
6/9/2018,19.53
5/9/2018,19.8
4/9/2018,20.08
3/9/2018,20.36
31/08/2018,20.31
30/08/2018,20.27
29/08/2018,20.61
28/08/2018,20.5
27/08/2018,21.21
24/08/2018,20.52
23/08/2018,20.75
22/08/2018,20.8
21/08/2018,20.68
20/08/2018,20.31
17/08/2018,20.25
16/08/2018,20.05
15/08/2018,19.5
14/08/2018,19.77
13/08/2018,19.31
10/8/2018,19.46
9/8/2018,19.24
8/8/2018,19.52
7/8/2018,19.6
6/8/2018,19.26
3/8/2018,19.4
2/8/2018,19.65
1/8/2018,19.53
31/07/2018,19.77
30/07/2018,19.84
27/07/2018,19.81
26/07/2018,19.88
25/07/2018,20.61
24/07/2018,20.27
23/07/2018,20.37
20/07/2018,20.15
19/07/2018,20.6
18/07/2018,20.74
17/07/2018,20.73
16/07/2018,20.88
13/07/2018,20.74
12/7/2018,21.16
11/7/2018,21.67
10/7/2018,21.87
9/7/2018,22.04
6/7/2018,21.85
5/7/2018,21.77
4/7/2018,21.31
3/7/2018,20.94
2/7/2018,20.44
29/06/2018,20.48
28/06/2018,20.04
27/06/2018,20.3
26/06/2018,19.9
25/06/2018,19.75
22/06/2018,20.17
21/06/2018,20.11
20/06/2018,19.69
19/06/2018,19.71
18/06/2018,20.3
15/06/2018,20.58
14/06/2018,20.79
13/06/2018,21.01
12/6/2018,21.52
11/6/2018,20.9
8/6/2018,20.65
7/6/2018,20.63
6/6/2018,20.46
5/6/2018,20.47
4/6/2018,21.11
1/6/2018,21.4
31/05/2018,21.73
30/05/2018,23.66
29/05/2018,22.98
28/05/2018,22.67
25/05/2018,22.65
24/05/2018,21.21
23/05/2018,21.88
22/05/2018,21.43
21/05/2018,20.69
18/05/2018,21.35
17/05/2018,22.11
16/05/2018,23
15/05/2018,21.23
14/05/2018,20.27
11/5/2018,21.29
10/5/2018,21.74
9/5/2018,21.53
8/5/2018,22.1
7/5/2018,22.78
4/5/2018,22.92
3/5/2018,23.56
2/5/2018,24.09
30/04/2018,23.92
27/04/2018,24.02
26/04/2018,24.25
25/04/2018,24.02
24/04/2018,24.19
23/04/2018,23.76
20/04/2018,24.85
19/04/2018,24.46
18/04/2018,24.84
17/04/2018,24.38
16/04/2018,23.77
13/04/2018,23.92
12/4/2018,24.02
11/4/2018,23.97
10/4/2018,23.89
9/4/2018,24.03
6/4/2018,24.21
5/4/2018,24.77
4/4/2018,24.36
3/4/2018,24.3
2/4/2018,23.78
28/03/2018,24.73
27/03/2018,25.06
26/03/2018,25.32
23/03/2018,25.33
22/03/2018,25.31
21/03/2018,25.24
20/03/2018,25.62
16/03/2018,26.34
15/03/2018,26.34
14/03/2018,26.15
13/03/2018,26.64
12/3/2018,26.99
9/3/2018,26.5
8/3/2018,26.46
7/3/2018,26.34
6/3/2018,27.14
5/3/2018,26.69
2/3/2018,27.25
1/3/2018,27.48
28/02/2018,27.61
27/02/2018,28.26
26/02/2018,28.4
23/02/2018,28.22
22/02/2018,28.52
21/02/2018,28.95
20/02/2018,29.12
19/02/2018,29.63
16/02/2018,28.75
15/02/2018,29.02
14/02/2018,29.02
13/02/2018,28.79
12/2/2018,28.14
9/2/2018,28.32
