Security,LIVEPOLC MM Equity                                              
Start Date,03/01/2001 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
14/01/2019,127.08
11/01/2019,131.34
10/01/2019,134.49
09/01/2019,134.38
08/01/2019,134.38
07/01/2019,133.21
04/01/2019,130.02
03/01/2019,129.35
02/01/2019,129.74
31/12/2018,126.18
28/12/2018,127.97
27/12/2018,129.12
26/12/2018,126.28
24/12/2018,127.61
21/12/2018,124.34
20/12/2018,129.51
19/12/2018,125.38
18/12/2018,123.95
17/12/2018,124.25
14/12/2018,127.89
13/12/2018,124.98
11/12/2018,124.12
10/12/2018,124.69
07/12/2018,123.68
06/12/2018,123.01
05/12/2018,122.62
04/12/2018,121.37
03/12/2018,121.13
30/11/2018,121.3
29/11/2018,123.79
28/11/2018,122.39
27/11/2018,118.5
26/11/2018,110.96
23/11/2018,123.62
22/11/2018,127.36
21/11/2018,125.63
20/11/2018,129.42
16/11/2018,131.51
15/11/2018,127.75
14/11/2018,128.55
13/11/2018,127.41
12/11/2018,131.62
09/11/2018,135.53
08/11/2018,135.31
07/11/2018,142.93
06/11/2018,137.69
05/11/2018,136.05
01/11/2018,130.59
31/10/2018,128.73
30/10/2018,136.35
29/10/2018,141.94
26/10/2018,145.26
25/10/2018,148.5
24/10/2018,145.14
23/10/2018,150.36
22/10/2018,145.75
19/10/2018,143.87
18/10/2018,141.74
17/10/2018,143.11
16/10/2018,143.66
15/10/2018,140.89
12/10/2018,142.13
11/10/2018,141.06
10/10/2018,140.99
09/10/2018,142
08/10/2018,143.14
05/10/2018,141.78
04/10/2018,142.21
03/10/2018,144.82
02/10/2018,143.92
01/10/2018,141.87
28/09/2018,140.44
27/09/2018,138.72
26/09/2018,140.78
25/09/2018,139.82
24/09/2018,139.58
21/09/2018,138.66
20/09/2018,141.89
19/09/2018,143.32
18/09/2018,140.89
17/09/2018,138.79
14/09/2018,139.99
13/09/2018,139.78
12/09/2018,136.17
11/09/2018,134.21
10/09/2018,134
07/09/2018,132.43
06/09/2018,131.97
05/09/2018,131.56
04/09/2018,132.82
03/09/2018,134.32
31/08/2018,134.51
30/08/2018,135.72
29/08/2018,138.43
28/08/2018,135.8
27/08/2018,140.03
24/08/2018,137.19
23/08/2018,136.33
22/08/2018,137.08
21/08/2018,136.69
20/08/2018,134.07
17/08/2018,131.06
16/08/2018,131.4
15/08/2018,134.74
14/08/2018,137.28
13/08/2018,135.23
10/08/2018,132.82
09/08/2018,137.08
08/08/2018,137.05
07/08/2018,136.85
06/08/2018,136.95
03/08/2018,137.77
02/08/2018,136.64
01/08/2018,135.43
31/07/2018,138.31
30/07/2018,138.7
27/07/2018,132.25
26/07/2018,134.22
25/07/2018,138.44
24/07/2018,138.51
23/07/2018,136.15
20/07/2018,135.55
19/07/2018,133.07
18/07/2018,134.01
17/07/2018,136.11
16/07/2018,136.85
13/07/2018,137.84
12/07/2018,134.86
11/07/2018,134.89
10/07/2018,133.94
09/07/2018,133.82
06/07/2018,132.55
05/07/2018,134.84
