Security,NAFTRAC MM Equity                                               
Start Date,16/04/2002 00:00
End Date,02/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
02/01/2019,42.43
31/12/2018,41.56
28/12/2018,41.46
27/12/2018,41.39
26/12/2018,41.69
24/12/2018,41.47
21/12/2018,41.59
20/12/2018,41.8
19/12/2018,41.5
18/12/2018,41.04
17/12/2018,40.47
14/12/2018,41.38
13/12/2018,41.61
11/12/2018,40.98
10/12/2018,41.43
07/12/2018,41.98
06/12/2018,42.04
05/12/2018,41.92
04/12/2018,41.9
03/12/2018,42.12
30/11/2018,41.83
29/11/2018,41.99
28/11/2018,41.08
27/11/2018,40.01
26/11/2018,39.67
23/11/2018,41.28
22/11/2018,41.42
21/11/2018,41.66
20/11/2018,41.88
16/11/2018,42.39
15/11/2018,41.49
14/11/2018,42.43
13/11/2018,42.5
12/11/2018,43.37
09/11/2018,44.34
08/11/2018,44.3
07/11/2018,46.88
06/11/2018,46.33
05/11/2018,46.82
01/11/2018,45.38
31/10/2018,43.86
30/10/2018,43.51
29/10/2018,43.82
26/10/2018,45.77
25/10/2018,46.18
24/10/2018,45.89
23/10/2018,46.39
22/10/2018,46.92
19/10/2018,47.33
18/10/2018,46.97
17/10/2018,47.83
16/10/2018,48.09
15/10/2018,47.68
12/10/2018,47.37
11/10/2018,47.5
10/10/2018,48.07
09/10/2018,48.42
08/10/2018,48
05/10/2018,48.01
04/10/2018,48.63
03/10/2018,48.95
02/10/2018,49.32
01/10/2018,49.74
28/09/2018,49.41
27/09/2018,49.54
26/09/2018,49.53
25/09/2018,49.63
24/09/2018,49.34
21/09/2018,49.26
20/09/2018,49.51
19/09/2018,49.6
18/09/2018,49.64
17/09/2018,49.4
14/09/2018,49.62
13/09/2018,49.7
12/09/2018,49.25
11/09/2018,48.89
10/09/2018,48.79
07/09/2018,48.95
06/09/2018,48.73
05/09/2018,48.61
04/09/2018,48.91
03/09/2018,49.55
31/08/2018,49.52
30/08/2018,49.66
29/08/2018,50.18
28/08/2018,50.05
27/08/2018,50.43
24/08/2018,49.64
23/08/2018,49.75
22/08/2018,49.87
21/08/2018,49.34
20/08/2018,48.74
17/08/2018,48.26
16/08/2018,47.99
15/08/2018,48.48
14/08/2018,49.01
13/08/2018,48.69
10/08/2018,48.3
09/08/2018,49.19
08/08/2018,49.83
07/08/2018,49.86
06/08/2018,49.22
03/08/2018,49.24
02/08/2018,48.98
01/08/2018,49.34
31/07/2018,49.6
30/07/2018,49.64
27/07/2018,49.61
26/07/2018,49.46
25/07/2018,49.61
24/07/2018,49.52
23/07/2018,48.89
20/07/2018,48.94
19/07/2018,48.76
18/07/2018,49.02
17/07/2018,48.77
16/07/2018,48.48
13/07/2018,48.47
12/07/2018,48.77
11/07/2018,49.01
10/07/2018,48.97
09/07/2018,49.21
06/07/2018,48.97
05/07/2018,48.54
04/07/2018,47.33
03/07/2018,47.05
02/07/2018,46.65
29/06/2018,47.64
28/06/2018,47.02
27/06/2018,46.85
26/06/2018,47.1
25/06/2018,46.96
22/06/2018,46.94
21/06/2018,46.68
20/06/2018,46.97
19/06/2018,46.7
18/06/2018,46.87
15/06/2018,47.1
14/06/2018,47.37
13/06/2018,46.92
12/06/2018,46.84
11/06/2018,46.48
08/06/2018,46.11
07/06/2018,45.66
06/06/2018,45.2
05/06/2018,45.15
04/06/2018,45.27
01/06/2018,45.05
31/05/2018,44.74
30/05/2018,44.77
29/05/2018,44.68
28/05/2018,45.01
25/05/2018,45.24
24/05/2018,45.56
23/05/2018,45.89
22/05/2018,45.72
21/05/2018,45.39
18/05/2018,45.75
17/05/2018,45.87
16/05/2018,46.48
15/05/2018,46.32
14/05/2018,46.58
11/05/2018,46.8
10/05/2018,46.61
09/05/2018,46.37
08/05/2018,46.75
07/05/2018,46.53
04/05/2018,47.03
03/05/2018,47.13
02/05/2018,47.81
30/04/2018,48.3
27/04/2018,48.24
26/04/2018,48.24
25/04/2018,48.01
24/04/2018,48.01
23/04/2018,48.41
20/04/2018,48.37
19/04/2018,48.67
18/04/2018,49.05
17/04/2018,48.84
16/04/2018,48.37
13/04/2018,48.72
12/04/2018,48.73
11/04/2018,48.48
10/04/2018,48.28
09/04/2018,47.99
06/04/2018,47.85
05/04/2018,47.88
04/04/2018,47.42
03/04/2018,46.62
02/04/2018,45.75
28/03/2018,46.05
27/03/2018,46.71
26/03/2018,46.82
23/03/2018,46.53
22/03/2018,47.34
