fecha,tasa,precios
03-10-2018,-5.534105534105531,14.68
04-10-2018,-5.462724935732646,14.71
05-10-2018,-5.382619974059663,14.59
08-10-2018,-1.1764705882353037,15.12
09-10-2018,-0.26595744680850497,15.0
10-10-2018,-1.7716535433070837,14.97
11-10-2018,-2.70448548812665,14.75
12-10-2018,-0.9536784741144453,14.54
15-10-2018,-0.8157715839564988,14.59
16-10-2018,1.919122686771757,14.87
17-10-2018,-5.820105820105814,14.24
18-10-2018,-6.133333333333334,14.08
19-10-2018,-4.342017368069474,14.32
22-10-2018,-4.135593220338979,14.14
