fecha,tasa,precios
27-09-2018,0.14814814814815377,40.56
28-09-2018,-1.4081027667984198,39.91
01-10-2018,-0.6480558325024875,39.86
02-10-2018,-3.0062111801242257,39.04
03-10-2018,-3.8871007675167126,38.82
04-10-2018,-5.096011816838996,38.55
05-10-2018,-6.144015728680266,38.19
08-10-2018,-5.547337278106508,38.31
09-10-2018,-3.4327236281633615,38.54
10-10-2018,-3.9889613647767095,38.27
11-10-2018,-1.1014344262295075,38.61
12-10-2018,-3.786707882534773,37.35
15-10-2018,-3.138780804150438,37.34
16-10-2018,0.07855459544383644,38.22
