index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
416,"[-0.06148311495780945, -1.195014476776123, -0.5181733965873718, 1.0800256729125977, 0.7127534747123718, 0.9919053912162781, -0.27053481340408325, 0.7267925143241882, 0.3753296732902527, 0.7577258944511414, 0.7116896510124207, 0.9644438624382019, 0.8870055079460144, 1.1312544345855713]",[1000],<function relu at 0x0000029B96B960D0>,300,250,1.0881483429722487,0.005
92,"[-0.06148311495780945, -1.195014476776123, -0.5181733965873718, 1.0800256729125977, 0.7127534747123718, 0.9919053912162781, -0.27053481340408325, 0.7267925143241882, 0.3753296732902527, 0.7577258944511414, 0.7116896510124207, 0.9644438624382019, 0.8870055079460144, 1.1312544345855713]",[1000],<function elu at 0x0000029B96B65D08>,300,250,1.0881483429722487,0.005
95,"[-0.008712772279977798, -0.8747771978378296, -0.004236336797475815, 0.8598501682281494, 1.0194075107574463, 0.3807661533355713, -0.11514782905578613, 0.5927932262420654, 0.4497706890106201, 0.672743558883667, 0.762620210647583, 1.033116102218628, 0.966092586517334, 1.2351458072662354]",[1000],<function elu at 0x0000029B96B65D08>,500,250,1.1063194830137766,0.005
419,"[-0.008712772279977798, -0.8747771978378296, -0.004236336797475815, 0.8598501682281494, 1.0194075107574463, 0.3807661533355713, -0.11514782905578613, 0.5927932262420654, 0.4497706890106201, 0.672743558883667, 0.762620210647583, 1.033116102218628, 0.966092586517334, 1.2351458072662354]",[1000],<function relu at 0x0000029B96B960D0>,500,250,1.1063194830137766,0.005
98,"[0.17923615872859955, -0.16715413331985474, 0.5335783958435059, 0.5617632865905762, 1.2358167171478271, 0.10568594932556152, 0.07609343528747559, 0.3121612071990967, 0.3379828929901123, 0.17366957664489746, 0.7582738399505615, 1.0028936862945557, 0.889089822769165, 1.0716800689697266]",[1000],<function elu at 0x0000029B96B65D08>,1000,250,1.3641717404575107,0.005
422,"[0.17923615872859955, -0.16715413331985474, 0.5335783958435059, 0.5617632865905762, 1.2358167171478271, 0.10568594932556152, 0.07609343528747559, 0.3121612071990967, 0.3379828929901123, 0.17366957664489746, 0.7582738399505615, 1.0028936862945557, 0.889089822769165, 1.0716800689697266]",[1000],<function relu at 0x0000029B96B960D0>,1000,250,1.3641717404575107,0.005
190,"[0.5266004800796509, 0.29051080346107483, 0.5773119330406189, 0.9303010702133179, 0.9817460179328918, 0.06894365698099136, -0.7908053994178772, -2.4029855728149414, -4.011639595031738, -5.9864349365234375, -5.542473316192627, -5.0249714851379395, -4.013835906982422, -3.952909469604492]","[100, 100, 50]",<function elu at 0x0000029B96B65D08>,300,500,1.4807549919187193,0.001
514,"[0.5266004800796509, 0.29051080346107483, 0.5773119330406189, 0.9303010702133179, 0.9817460179328918, 0.06894365698099136, -0.7908053994178772, -2.4029855728149414, -4.011639595031738, -5.9864349365234375, -5.542473316192627, -5.0249714851379395, -4.013835906982422, -3.952909469604492]","[100, 100, 50]",<function relu at 0x0000029B96B960D0>,300,500,1.4807549919187193,0.001
118,"[0.5469200015068054, 0.2321569174528122, 0.7833211421966553, 0.8637682795524597, 0.9565946459770203, 0.5440381169319153, 0.07198101282119751, 0.0760623887181282, 0.2570672929286957, -1.8122971057891846, -5.396000385284424, -7.46446418762207, -6.332995891571045, -5.452309608459473]","[100, 50]",<function elu at 0x0000029B96B65D08>,300,500,1.5758871643179055,0.001
442,"[0.5469200015068054, 0.2321569174528122, 0.7833211421966553, 0.8637682795524597, 0.9565946459770203, 0.5440381169319153, 0.07198101282119751, 0.0760623887181282, 0.2570672929286957, -1.8122971057891846, -5.396000385284424, -7.46446418762207, -6.332995891571045, -5.452309608459473]","[100, 50]",<function relu at 0x0000029B96B960D0>,300,500,1.5758871643179055,0.001
